[14:40:27] Collected: 12, Deleted: 41 jobs, Total logs: 41/255
[14:41:32] Collected: 2, Deleted: 2 jobs, Total logs: 43/255
[14:42:45] Collected: 5, Deleted: 5 jobs, Total logs: 48/255
[14:43:53] Collected: 4, Deleted: 4 jobs, Total logs: 52/255
[14:45:27] Collected: 1, Deleted: 2 jobs, Total logs: 53/255
[14:46:39] Collected: 5, Deleted: 6 jobs, Total logs: 58/255
[14:47:02] Collected: 0, Deleted: 0 jobs, Total logs: 58/255
[14:47:42] Collected: 2, Deleted: 2 jobs, Total logs: 60/255
[14:48:05] Collected: 1, Deleted: 1 jobs, Total logs: 61/255
[14:48:49] Collected: 3, Deleted: 3 jobs, Total logs: 64/255
[14:49:09] Collected: 2, Deleted: 2 jobs, Total logs: 66/255
[14:49:52] Collected: 1, Deleted: 1 jobs, Total logs: 67/255
[14:50:10] Collected: 0, Deleted: 0 jobs, Total logs: 67/255
[14:50:58] Collected: 2, Deleted: 2 jobs, Total logs: 69/255
[14:51:13] Collected: 1, Deleted: 1 jobs, Total logs: 70/255
[14:52:09] Collected: 5, Deleted: 5 jobs, Total logs: 75/255
[14:52:14] Collected: 0, Deleted: 1 jobs, Total logs: 75/255
[14:53:12] Collected: 1, Deleted: 1 jobs, Total logs: 76/255
[14:53:15] Collected: 0, Deleted: 0 jobs, Total logs: 76/255
[14:54:18] Collected: 2, Deleted: 3 jobs, Total logs: 78/255
[14:54:19] Collected: 1, Deleted: 1 jobs, Total logs: 78/255
[14:55:25] Collected: 3, Deleted: 3 jobs, Total logs: 81/255
[14:55:25] Collected: 3, Deleted: 3 jobs, Total logs: 81/255
[14:56:31] Collected: 4, Deleted: 4 jobs, Total logs: 85/255
[14:56:31] Collected: 4, Deleted: 4 jobs, Total logs: 85/255
[14:57:39] Collected: 4, Deleted: 4 jobs, Total logs: 89/255
[14:57:40] Collected: 4, Deleted: 4 jobs, Total logs: 89/255
[14:58:43] Collected: 1, Deleted: 2 jobs, Total logs: 90/255
[14:58:44] Collected: 1, Deleted: 2 jobs, Total logs: 90/255
[14:59:51] Collected: 4, Deleted: 4 jobs, Total logs: 94/255
[14:59:52] Collected: 4, Deleted: 4 jobs, Total logs: 94/255
[15:01:02] Collected: 4, Deleted: 5 jobs, Total logs: 99/255
[15:01:02] Collected: 5, Deleted: 5 jobs, Total logs: 99/255
[15:02:06] Collected: 1, Deleted: 2 jobs, Total logs: 100/255
[15:02:06] Collected: 1, Deleted: 2 jobs, Total logs: 100/255
