===== Redis Benchmark: c8i.2xlarge =====
Timestamp: 2026-01-15T07:00:05+00:00

=== memtier_benchmark ===
GET       4.223       99.999
GET       4.255       99.999
GET       4.479       99.999
GET       4.639       99.999
GET       4.799       99.999
GET       4.991       99.999
GET      79.871       99.999
GET      79.871       99.999
GET      79.871       99.999
GET      79.871       99.999
GET      79.871      100.000
GET      79.871      100.000
GET      79.871      100.000
GET      79.871      100.000
GET      79.871      100.000
GET      79.871      100.000
GET      80.383      100.000
GET      80.383      100.000
---
WAIT      0.000      100.000

=== SET Pipeline ===
SET       9.663      100.000
SET       9.663      100.000
SET       9.663      100.000
SET       9.663      100.000
SET       9.663      100.000
SET       9.663      100.000
SET       9.663      100.000
SET       9.727      100.000
SET       9.727      100.000
---

===== Complete =====
