===== Elasticsearch Rally Benchmark: c5.xlarge =====
Timestamp: 2026-01-21T05:47:19+00:00
ES Host: es-server-c5-xlarge

=== ES Cluster Info ===
{
  "name" : "benchmark-node",
  "cluster_name" : "rally-benchmark",
  "cluster_uuid" : "X3FthwnARyC2PLzKceXiFQ",
  "version" : {
    "number" : "8.11.0",
    "build_flavor" : "default",
    "build_type" : "docker",
    "build_hash" : "d9ec3fa628c7b0ba3d25692e277ba26814820b20",
    "build_date" : "2023-11-04T10:04:57.184859352Z",
    "build_snapshot" : false,
    "lucene_version" : "9.8.0",
    "minimum_wire_compatibility_version" : "7.17.0",
    "minimum_index_compatibility_version" : "7.0.0"
  },
  "tagline" : "You Know, for Search"
}

=== ES Cluster Health ===
{
  "cluster_name" : "rally-benchmark",
  "status" : "yellow",
  "timed_out" : false,
  "number_of_nodes" : 1,
  "number_of_data_nodes" : 1,
  "active_primary_shards" : 1,
  "active_shards" : 1,
  "relocating_shards" : 0,
  "initializing_shards" : 0,
  "unassigned_shards" : 1,
  "delayed_unassigned_shards" : 0,
  "number_of_pending_tasks" : 0,
  "number_of_in_flight_fetch" : 0,
  "task_max_waiting_in_queue_millis" : 0,
  "active_shards_percent_as_number" : 50.0
}

=== Running Rally Benchmark ===
Track: geonames


    ____        ____
   / __ \____ _/ / /_  __
  / /_/ / __ `/ / / / / /
 / _, _/ /_/ / / / /_/ /
/_/ |_|\__,_/_/_/\__, /
                /____/

[INFO] Race id is [6ba4f94b-03b4-4234-a3be-6d3caa35c2e8]

---------------------------------
[INFO] SUCCESS (took 468 seconds)
---------------------------------

=== Rally Results ===
Duration: 469.341590255s

|                                                         Metric |         Task |           Value |   Unit |
|---------------------------------------------------------------:|-------------:|----------------:|-------:|
|                     Cumulative indexing time of primary shards |              |    35.1988      |    min |
|             Min cumulative indexing time across primary shards |              |    35.1988      |    min |
|          Median cumulative indexing time across primary shards |              |    35.1988      |    min |
|             Max cumulative indexing time across primary shards |              |    35.1988      |    min |
|            Cumulative indexing throttle time of primary shards |              |     0           |    min |
|    Min cumulative indexing throttle time across primary shards |              |     0           |    min |
| Median cumulative indexing throttle time across primary shards |              |     0           |    min |
|    Max cumulative indexing throttle time across primary shards |              |     0           |    min |
|                        Cumulative merge time of primary shards |              |    12.2877      |    min |
|                       Cumulative merge count of primary shards |              |    20           |        |
|                Min cumulative merge time across primary shards |              |    12.2877      |    min |
|             Median cumulative merge time across primary shards |              |    12.2877      |    min |
|                Max cumulative merge time across primary shards |              |    12.2877      |    min |
|               Cumulative merge throttle time of primary shards |              |     1.96392     |    min |
|       Min cumulative merge throttle time across primary shards |              |     1.96392     |    min |
|    Median cumulative merge throttle time across primary shards |              |     1.96392     |    min |
|       Max cumulative merge throttle time across primary shards |              |     1.96392     |    min |
|                      Cumulative refresh time of primary shards |              |     1.67862     |    min |
|                     Cumulative refresh count of primary shards |              |    37           |        |
|              Min cumulative refresh time across primary shards |              |     1.67862     |    min |
|           Median cumulative refresh time across primary shards |              |     1.67862     |    min |
|              Max cumulative refresh time across primary shards |              |     1.67862     |    min |
|                        Cumulative flush time of primary shards |              |     4.7898      |    min |
|                       Cumulative flush count of primary shards |              |    19           |        |
|                Min cumulative flush time across primary shards |              |     4.7898      |    min |
|             Median cumulative flush time across primary shards |              |     4.7898      |    min |
|                Max cumulative flush time across primary shards |              |     4.7898      |    min |
|                                        Total Young Gen GC time |              |     3.645       |      s |
|                                       Total Young Gen GC count |              |   168           |        |
|                                          Total Old Gen GC time |              |     0           |      s |
|                                         Total Old Gen GC count |              |     0           |        |
|                                                   Dataset size |              |     6.09113     |     GB |
|                                                     Store size |              |     6.09113     |     GB |
|                                                  Translog size |              |     5.12227e-08 |     GB |
|                                         Heap used for segments |              |     0           |     MB |
|                                       Heap used for doc values |              |     0           |     MB |
|                                            Heap used for terms |              |     0           |     MB |
|                                            Heap used for norms |              |     0           |     MB |
|                                           Heap used for points |              |     0           |     MB |
|                                    Heap used for stored fields |              |     0           |     MB |
|                                                  Segment count |              |    53           |        |
|                                    Total Ingest Pipeline count |              |     0           |        |
|                                     Total Ingest Pipeline time |              |     0           |      s |
|                                   Total Ingest Pipeline failed |              |     0           |        |
|                                                 Min Throughput | index-append | 38615.9         | docs/s |
|                                                Mean Throughput | index-append | 40970.5         | docs/s |
|                                              Median Throughput | index-append | 40003           | docs/s |
|                                                 Max Throughput | index-append | 46478           | docs/s |
|                                        50th percentile latency | index-append |   875.441       |     ms |
|                                        90th percentile latency | index-append |  1408.9         |     ms |
|                                        99th percentile latency | index-append |  5602.4         |     ms |
|                                      99.9th percentile latency | index-append | 12593.3         |     ms |
|                                       100th percentile latency | index-append | 14475.5         |     ms |
