===== Elasticsearch Rally Benchmark: c5n.xlarge =====
Timestamp: 2026-01-21T06:45:20+00:00
ES Host: es-server-c5n-xlarge

=== ES Cluster Info ===
{
  "name" : "benchmark-node",
  "cluster_name" : "rally-benchmark",
  "cluster_uuid" : "vQP7VkRWS_Ok37TwNp8_yQ",
  "version" : {
    "number" : "8.11.0",
    "build_flavor" : "default",
    "build_type" : "docker",
    "build_hash" : "d9ec3fa628c7b0ba3d25692e277ba26814820b20",
    "build_date" : "2023-11-04T10:04:57.184859352Z",
    "build_snapshot" : false,
    "lucene_version" : "9.8.0",
    "minimum_wire_compatibility_version" : "7.17.0",
    "minimum_index_compatibility_version" : "7.0.0"
  },
  "tagline" : "You Know, for Search"
}

=== ES Cluster Health ===
{
  "cluster_name" : "rally-benchmark",
  "status" : "yellow",
  "timed_out" : false,
  "number_of_nodes" : 1,
  "number_of_data_nodes" : 1,
  "active_primary_shards" : 1,
  "active_shards" : 1,
  "relocating_shards" : 0,
  "initializing_shards" : 0,
  "unassigned_shards" : 1,
  "delayed_unassigned_shards" : 0,
  "number_of_pending_tasks" : 0,
  "number_of_in_flight_fetch" : 0,
  "task_max_waiting_in_queue_millis" : 0,
  "active_shards_percent_as_number" : 50.0
}

=== Running Rally Benchmark ===
Track: geonames


    ____        ____
   / __ \____ _/ / /_  __
  / /_/ / __ `/ / / / / /
 / _, _/ /_/ / / / /_/ /
/_/ |_|\__,_/_/_/\__, /
                /____/

[INFO] Race id is [e7e49ec9-ec58-4dfe-9256-759e081abbe6]

---------------------------------
[INFO] SUCCESS (took 481 seconds)
---------------------------------

=== Rally Results ===
Duration: 481.753184637s

|                                                         Metric |         Task |           Value |   Unit |
|---------------------------------------------------------------:|-------------:|----------------:|-------:|
|                     Cumulative indexing time of primary shards |              |   158.787       |    min |
|             Min cumulative indexing time across primary shards |              |   158.787       |    min |
|          Median cumulative indexing time across primary shards |              |   158.787       |    min |
|             Max cumulative indexing time across primary shards |              |   158.787       |    min |
|            Cumulative indexing throttle time of primary shards |              |     0           |    min |
|    Min cumulative indexing throttle time across primary shards |              |     0           |    min |
| Median cumulative indexing throttle time across primary shards |              |     0           |    min |
|    Max cumulative indexing throttle time across primary shards |              |     0           |    min |
|                        Cumulative merge time of primary shards |              |    94.3837      |    min |
|                       Cumulative merge count of primary shards |              |    82           |        |
|                Min cumulative merge time across primary shards |              |    94.3837      |    min |
|             Median cumulative merge time across primary shards |              |    94.3837      |    min |
|                Max cumulative merge time across primary shards |              |    94.3837      |    min |
|               Cumulative merge throttle time of primary shards |              |    10.1037      |    min |
|       Min cumulative merge throttle time across primary shards |              |    10.1037      |    min |
|    Median cumulative merge throttle time across primary shards |              |    10.1037      |    min |
|       Max cumulative merge throttle time across primary shards |              |    10.1037      |    min |
|                      Cumulative refresh time of primary shards |              |     7.18592     |    min |
|                     Cumulative refresh count of primary shards |              |   119           |        |
|              Min cumulative refresh time across primary shards |              |     7.18592     |    min |
|           Median cumulative refresh time across primary shards |              |     7.18592     |    min |
|              Max cumulative refresh time across primary shards |              |     7.18592     |    min |
|                        Cumulative flush time of primary shards |              |    23.3053      |    min |
|                       Cumulative flush count of primary shards |              |    89           |        |
|                Min cumulative flush time across primary shards |              |    23.3053      |    min |
|             Median cumulative flush time across primary shards |              |    23.3053      |    min |
|                Max cumulative flush time across primary shards |              |    23.3053      |    min |
|                                        Total Young Gen GC time |              |     3.856       |      s |
|                                       Total Young Gen GC count |              |   186           |        |
|                                          Total Old Gen GC time |              |     0           |      s |
|                                         Total Old Gen GC count |              |     0           |        |
|                                                   Dataset size |              |    22.5369      |     GB |
|                                                     Store size |              |    22.5369      |     GB |
|                                                  Translog size |              |     5.12227e-08 |     GB |
|                                         Heap used for segments |              |     0           |     MB |
|                                       Heap used for doc values |              |     0           |     MB |
|                                            Heap used for terms |              |     0           |     MB |
|                                            Heap used for norms |              |     0           |     MB |
|                                           Heap used for points |              |     0           |     MB |
|                                    Heap used for stored fields |              |     0           |     MB |
|                                                  Segment count |              |    39           |        |
|                                    Total Ingest Pipeline count |              |     0           |        |
|                                     Total Ingest Pipeline time |              |     0           |      s |
|                                   Total Ingest Pipeline failed |              |     0           |        |
|                                                 Min Throughput | index-append | 36396.5         | docs/s |
|                                                Mean Throughput | index-append | 37319.3         | docs/s |
|                                              Median Throughput | index-append | 37205.8         | docs/s |
|                                                 Max Throughput | index-append | 39008.2         | docs/s |
|                                        50th percentile latency | index-append |   886.041       |     ms |
|                                        90th percentile latency | index-append |  1369.9         |     ms |
|                                        99th percentile latency | index-append |  6816.99        |     ms |
|                                      99.9th percentile latency | index-append | 13335.2         |     ms |
|                                       100th percentile latency | index-append | 14240.3         |     ms |
|                                   50th percentile service time | index-append |   886.041       |     ms |
|                                   90th percentile service time | index-append |  1369.9         |     ms |
|                                   99th percentile service time | index-append |  6816.99        |     ms |
|                                 99.9th percentile service time | index-append | 13335.2         |     ms |
|                                  100th percentile service time | index-append | 14240.3         |     ms |
|                                                     error rate | index-append |     0           |      % |
|                                                 Min Throughput |  index-stats |    90           |  ops/s |
|                                                Mean Throughput |  index-stats |    90.01        |  ops/s |
|                                              Median Throughput |  index-stats |    90.01        |  ops/s |
|                                                 Max Throughput |  index-stats |    90.01        |  ops/s |
