instance,run,url,single_core,multi_core,model
c5.xlarge,1,https://browser.geekbench.com/v6/cpu/16162239,1211,2637,
c5.xlarge,2,https://browser.geekbench.com/v6/cpu/16162352,1202,2362,
c5.xlarge,3,https://browser.geekbench.com/v6/cpu/16162468,1203,2603,
c5.xlarge,4,https://browser.geekbench.com/v6/cpu/16162574,1198,2587,
c5.xlarge,5,https://browser.geekbench.com/v6/cpu/16162686,1179,2557,
c5a.xlarge,1,https://browser.geekbench.com/v6/cpu/16169219,1338,3054,
c5a.xlarge,2,https://browser.geekbench.com/v6/cpu/16162137,1327,3023,
c5a.xlarge,3,https://browser.geekbench.com/v6/cpu/16168873,1310,2828,
c5a.xlarge,4,https://browser.geekbench.com/v6/cpu/16169107,1344,3032,
c5a.xlarge,5,https://browser.geekbench.com/v6/cpu/16169164,1329,3057,
c5d.xlarge,1,https://browser.geekbench.com/v6/cpu/16161124,1115,2468,
c5d.xlarge,2,https://browser.geekbench.com/v6/cpu/16162032,1170,2562,
c5d.xlarge,3,https://browser.geekbench.com/v6/cpu/16162247,1180,2563,
c5d.xlarge,4,https://browser.geekbench.com/v6/cpu/16162354,1176,2527,
c5d.xlarge,5,https://browser.geekbench.com/v6/cpu/16162462,1176,2456,
c5n.xlarge,1,https://browser.geekbench.com/v6/cpu/16162251,1160,2460,
c5n.xlarge,2,https://browser.geekbench.com/v6/cpu/16162379,1146,2515,
c5n.xlarge,3,https://browser.geekbench.com/v6/cpu/16162485,1156,2526,
c5n.xlarge,4,https://browser.geekbench.com/v6/cpu/16162598,1161,2516,
c5n.xlarge,5,https://browser.geekbench.com/v6/cpu/16162705,1174,2548,
c6g.xlarge,1,https://browser.geekbench.com/v6/cpu/16162240,975,3249,
c6g.xlarge,2,https://browser.geekbench.com/v6/cpu/16162358,975,3240,
c6g.xlarge,3,https://browser.geekbench.com/v6/cpu/16162464,975,3268,
c6g.xlarge,4,https://browser.geekbench.com/v6/cpu/16162577,974,3278,
c6g.xlarge,5,https://browser.geekbench.com/v6/cpu/16162687,970,3243,
c6gd.xlarge,1,https://browser.geekbench.com/v6/cpu/16162250,957,3211,
c6gd.xlarge,2,https://browser.geekbench.com/v6/cpu/16162372,962,3186,
c6gd.xlarge,3,https://browser.geekbench.com/v6/cpu/16162472,960,3218,
c6gd.xlarge,4,https://browser.geekbench.com/v6/cpu/16162587,962,3220,
c6gd.xlarge,5,https://browser.geekbench.com/v6/cpu/16162697,980,3256,
c6gn.xlarge,1,https://browser.geekbench.com/v6/cpu/16168500,971,3253,
c6gn.xlarge,2,https://browser.geekbench.com/v6/cpu/16168606,973,3236,
c6gn.xlarge,3,https://browser.geekbench.com/v6/cpu/16168691,976,3213,
c6gn.xlarge,4,https://browser.geekbench.com/v6/cpu/16168768,961,3227,
c6gn.xlarge,5,https://browser.geekbench.com/v6/cpu/16168839,968,3232,
c6i.xlarge,1,https://browser.geekbench.com/v6/cpu/16161284,1604,3413,
c6i.xlarge,2,https://browser.geekbench.com/v6/cpu/16162140,1612,3424,
c6i.xlarge,3,https://browser.geekbench.com/v6/cpu/16162237,1619,3317,
c6i.xlarge,4,https://browser.geekbench.com/v6/cpu/16162346,1678,3512,
c6i.xlarge,5,https://browser.geekbench.com/v6/cpu/16162434,1681,3521,
c6id.xlarge,1,https://browser.geekbench.com/v6/cpu/16161283,1649,3496,
c6id.xlarge,2,https://browser.geekbench.com/v6/cpu/16168478,1653,3514,
c6id.xlarge,3,https://browser.geekbench.com/v6/cpu/16168572,1667,3526,
c6id.xlarge,4,https://browser.geekbench.com/v6/cpu/16168648,1660,3519,
c6id.xlarge,5,https://browser.geekbench.com/v6/cpu/16168716,1664,3499,
c6in.xlarge,1,https://browser.geekbench.com/v6/cpu/16161286,1607,3413,
c6in.xlarge,2,https://browser.geekbench.com/v6/cpu/16168480,1625,3460,
c6in.xlarge,3,https://browser.geekbench.com/v6/cpu/16168579,1628,3459,
c6in.xlarge,4,https://browser.geekbench.com/v6/cpu/16168659,1626,3462,
c6in.xlarge,5,https://browser.geekbench.com/v6/cpu/16168730,1624,3443,
c7g.xlarge,1,https://browser.geekbench.com/v6/cpu/16168460,1507,4846,
c7g.xlarge,2,https://browser.geekbench.com/v6/cpu/16168554,1507,4871,
c7g.xlarge,3,https://browser.geekbench.com/v6/cpu/16168634,1506,4892,
c7g.xlarge,4,https://browser.geekbench.com/v6/cpu/16168695,1501,4865,
c7g.xlarge,5,https://browser.geekbench.com/v6/cpu/16169104,1496,4843,
c7gd.xlarge,1,https://browser.geekbench.com/v6/cpu/16161288,1518,4926,
c7gd.xlarge,2,https://browser.geekbench.com/v6/cpu/16168459,1521,4874,
c7gd.xlarge,3,https://browser.geekbench.com/v6/cpu/16168556,1517,4900,
c7gd.xlarge,4,https://browser.geekbench.com/v6/cpu/16168636,1523,4883,
c7gd.xlarge,5,https://browser.geekbench.com/v6/cpu/16168698,1522,4897,
c7i-flex.xlarge,1,https://browser.geekbench.com/v6/cpu/16161273,1760,4749,
c7i-flex.xlarge,2,https://browser.geekbench.com/v6/cpu/16161273,1760,4749,
c7i-flex.xlarge,3,https://browser.geekbench.com/v6/cpu/16168464,1839,5086,
c7i-flex.xlarge,4,https://browser.geekbench.com/v6/cpu/16168550,1836,5261,
c7i-flex.xlarge,5,https://browser.geekbench.com/v6/cpu/16168630,1836,5185,
c7i.xlarge,1,https://browser.geekbench.com/v6/cpu/16161264,2063,4605,
c7i.xlarge,2,https://browser.geekbench.com/v6/cpu/16161264,2063,4605,
c7i.xlarge,3,https://browser.geekbench.com/v6/cpu/16161264,2063,4605,
c7i.xlarge,4,https://browser.geekbench.com/v6/cpu/16168458,2102,4709,
c7i.xlarge,5,https://browser.geekbench.com/v6/cpu/16168557,1892,4192,
