instance,requests_per_sec,latency_avg_ms,transfer_mb_sec
c5.xlarge,87918,4.06,0
c5a.xlarge,57619,9.91,0
c5d.xlarge,83394,4.27,0
c5n.xlarge,89240,4.36,0
c6g.xlarge,142477,2.87,0
c6gd.xlarge,142052,2.85,0
c6gn.xlarge,138721,2.88,0
c6i.xlarge,121490,3.16,0
c6id.xlarge,131623,3.05,0
c6in.xlarge,128376,3.03,0
c7g.xlarge,191496,2.07,0
c7gd.xlarge,194855,2.02,0
c7i-flex.xlarge,198849,2.04,0
c7i.xlarge,175420,2.42,0
c8g.xlarge,258617,1.48,0
c8i-flex.xlarge,239642,1.54,0
c8i.xlarge,243974,1.55,0
m5.xlarge,85543,4.72,0
m5a.xlarge,49347,8.00,0
m5ad.xlarge,49233,8.21,0
m5d.xlarge,84654,4.88,0
m5zn.xlarge,122051,3.40,0
m6g.xlarge,139951,2.96,0
m6gd.xlarge,142108,2.80,0
m6i.xlarge,130251,3.16,0
m6id.xlarge,129777,3.04,0
m6idn.xlarge,130869,3.14,0
m6in.xlarge,124705,3.18,0
m7g.xlarge,199230,2.20,0
m7gd.xlarge,198822,2.03,0
m7i-flex.xlarge,188787,2.33,0
m7i.xlarge,195187,2.22,0
m8g.xlarge,262093,1.48,0
m8i.xlarge,241635,1.61,0
r5.xlarge,82337,5.30,0
r5a.xlarge,48091,8.66,0
r5ad.xlarge,47932,8.27,0
r5b.xlarge,85655,4.73,0
r5d.xlarge,83873,4.76,0
r5dn.xlarge,86288,4.41,0
r5n.xlarge,81988,4.65,0
r6g.xlarge,140431,2.98,0
r6gd.xlarge,139341,2.92,0
r6i.xlarge,120931,3.15,0
r6id.xlarge,125469,3.13,0
r7g.xlarge,196593,2.00,0
r7gd.xlarge,196871,2.00,0
r7i.xlarge,187384,2.02,0
r8g.xlarge,266160,1.43,0
r8i-flex.xlarge,249220,1.57,0
r8i.xlarge,242022,1.62,0
