instance,rps_2t_100c,rps_4t_200c,rps_8t_400c
c5.xlarge,92344.23,90745.45,87918.42
c5a.xlarge,58513.89,59175.82,57619.95
c5d.xlarge,88241.09,91624.63,92646.65
c5n.xlarge,84387.46,88604.76,89240.91
c6g.xlarge,124146.37,139677.30,142477.57
c6gd.xlarge,117972.71,140652.76,142052.32
c6gn.xlarge,122028.93,135650.16,138721.48
c6i.xlarge,117971.82,121627.71,121490.86
c6id.xlarge,126300.65,130898.01,131623.93
c6in.xlarge,121061.47,127399.02,128376.36
c7g.xlarge,150495.38,192417.58,191496.57
c7gd.xlarge,187797.23,194428.15,194855.06
c7i-flex.xlarge,130197.78,193379.28,198849.88
c7i.xlarge,155126.86,175650.31,175420.65
c8g.xlarge,126971.50,201127.97,258617.09
c8i-flex.xlarge,95957.95,171413.57,239642.83
c8i.xlarge,118819.01,203033.00,243974.80
m5.xlarge,84150.50,85863.79,85543.09
m5a.xlarge,48845.24,50208.49,49347.88
m5ad.xlarge,46150.64,49454.64,49233.82
m5d.xlarge,79061.32,86030.01,84654.85
m5zn.xlarge,121416.85,121239.01,122051.77
m6g.xlarge,128123.54,140737.07,139951.78
m6gd.xlarge,119567.83,139634.26,142108.86
m6i.xlarge,117690.46,129499.14,130251.56
m6id.xlarge,127646.73,129295.88,129777.94
m6idn.xlarge,91931.80,127978.22,130869.26
m6in.xlarge,98030.34,124142.28,124705.93
m7g.xlarge,142986.09,196860.48,199230.91
m7gd.xlarge,124493.65,174989.17,198822.89
m7i-flex.xlarge,122373.88,183435.05,188787.94
m7i.xlarge,118459.13,178364.79,195187.16
m8g.xlarge,99822.27,183846.66,262093.33
m8i.xlarge,81601.14,158645.42,241635.21
r5.xlarge,83854.43,81596.06,82337.52
r5a.xlarge,48513.78,48636.39,48091.41
r5ad.xlarge,47421.54,48401.18,47932.78
r5b.xlarge,84390.94,84748.81,85655.29
r5d.xlarge,83764.36,83766.12,83873.36
r5dn.xlarge,85905.34,86122.23,86288.52
r5n.xlarge,80392.42,81251.84,81989.00
r6g.xlarge,113403.93,138723.96,140431.38
r6gd.xlarge,138252.21,140736.63,139341.89
r6i.xlarge,118234.02,120722.60,120931.94
r6id.xlarge,123390.38,125720.23,125469.05
r7g.xlarge,157669.39,195168.26,196593.98
r7gd.xlarge,105121.06,144076.32,196871.24
r7i.xlarge,142143.93,183882.90,187384.31
r8g.xlarge,148838.76,214546.78,266160.48
r8i-flex.xlarge,145880.12,218643.77,249220.78
r8i.xlarge,117118.70,198116.85,242022.09
