===== Redis 100M Benchmark =====
Instance Type: c5.xlarge
Run: 1
Date: 2026-01-21T07:35:22+00:00

--- System Info ---
CPU: 4 cores
Memory: 7.6G
model name	: Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz

--- Starting Redis Server ---
Redis server started

--- Warmup ---
Warmup complete (100K SET requests)

--- Test 1: SET 100M requests (50 clients, 3 threads) ---
Start: 2026-01-21T07:35:25+00:00
 
SET: rps=0.0 (overall: -nan) avg_msec=0.099 (overall: 0.000)
                                                             
SET: rps=121900.0 (overall: 121900.0) avg_msec=0.380 (overall: 0.380)
                                                                      
SET: rps=121768.9 (overall: 121834.3) avg_msec=0.379 (overall: 0.379)
                                                                      
SET: rps=122432.0 (overall: 122033.3) avg_msec=0.381 (overall: 0.380)
                                                                      
SET: rps=120334.7 (overall: 121607.8) avg_msec=0.379 (overall: 0.380)
                                                                      
SET: rps=122428.0 (overall: 121771.6) avg_msec=0.374 (overall: 0.379)
                                                                      
SET: rps=122705.2 (overall: 121927.5) avg_msec=0.384 (overall: 0.380)
                                                                      
SET: rps=123032.0 (overall: 122085.0) avg_msec=0.385 (overall: 0.380)
                                                                      
SET: rps=122804.0 (overall: 122174.7) avg_msec=0.384 (overall: 0.381)
                                                                      
SET: rps=122004.0 (overall: 122155.7) avg_msec=0.380 (overall: 0.381)
                                                                      
SET: rps=123244.0 (overall: 122264.4) avg_msec=0.383 (overall: 0.381)
                                                                      
SET: rps=123296.0 (overall: 122358.0) avg_msec=0.383 (overall: 0.381)
                                                                      
SET: rps=122414.4 (overall: 122362.7) avg_msec=0.385 (overall: 0.382)
                                                                      
SET: rps=121656.0 (overall: 122308.4) avg_msec=0.384 (overall: 0.382)
                                                                      
SET: rps=122864.5 (overall: 122348.3) avg_msec=0.382 (overall: 0.382)
                                                                      
SET: rps=123908.0 (overall: 122452.1) avg_msec=0.377 (overall: 0.382)
                                                                      
SET: rps=122624.0 (overall: 122462.8) avg_msec=0.380 (overall: 0.381)
                                                                      
SET: rps=123498.0 (overall: 122523.8) avg_msec=0.374 (overall: 0.381)
                                                                      
SET: rps=123836.0 (overall: 122596.6) avg_msec=0.382 (overall: 0.381)
                                                                      
SET: rps=123490.0 (overall: 122643.8) avg_msec=0.377 (overall: 0.381)
                                                                      
SET: rps=124164.0 (overall: 122719.6) avg_msec=0.380 (overall: 0.381)
                                                                      
SET: rps=120660.0 (overall: 122621.7) avg_msec=0.382 (overall: 0.381)
                                                                      
SET: rps=121318.7 (overall: 122562.4) avg_msec=0.371 (overall: 0.380)
                                                                      
SET: rps=123544.0 (overall: 122605.0) avg_msec=0.376 (overall: 0.380)
                                                                      
SET: rps=121625.5 (overall: 122564.1) avg_msec=0.373 (overall: 0.380)
                                                                      
SET: rps=122095.2 (overall: 122545.2) avg_msec=0.385 (overall: 0.380)
                                                                      
SET: rps=123988.0 (overall: 122600.6) avg_msec=0.381 (overall: 0.380)
                                                                      
SET: rps=123498.0 (overall: 122633.9) avg_msec=0.377 (overall: 0.380)
                                                                      
SET: rps=123408.0 (overall: 122661.5) avg_msec=0.376 (overall: 0.380)
                                                                      
SET: rps=121091.6 (overall: 122607.2) avg_msec=0.383 (overall: 0.380)
                                                                      
SET: rps=120448.0 (overall: 122535.4) avg_msec=0.384 (overall: 0.380)
                                                                      
SET: rps=122183.3 (overall: 122524.0) avg_msec=0.375 (overall: 0.380)
                                                                      
SET: rps=121812.8 (overall: 122501.8) avg_msec=0.374 (overall: 0.380)
                                                                      
SET: rps=121652.0 (overall: 122476.0) avg_msec=0.375 (overall: 0.380)
                                                                      
SET: rps=123410.4 (overall: 122503.6) avg_msec=0.370 (overall: 0.379)
                                                                      
SET: rps=119424.0 (overall: 122415.8) avg_msec=0.391 (overall: 0.380)
                                                                      
SET: rps=123356.0 (overall: 122441.8) avg_msec=0.378 (overall: 0.380)
                                                                      
SET: rps=122888.5 (overall: 122453.9) avg_msec=0.384 (overall: 0.380)
                                                                      
SET: rps=123184.0 (overall: 122473.1) avg_msec=0.383 (overall: 0.380)
                                                                      
SET: rps=124318.9 (overall: 122521.1) avg_msec=0.353 (overall: 0.379)
                                                                      
SET: rps=119252.0 (overall: 122439.5) avg_msec=0.375 (overall: 0.379)
                                                                      
SET: rps=122832.7 (overall: 122449.1) avg_msec=0.379 (overall: 0.379)
                                                                      
SET: rps=123820.0 (overall: 122481.7) avg_msec=0.380 (overall: 0.379)
                                                                      
SET: rps=124020.0 (overall: 122517.4) avg_msec=0.376 (overall: 0.379)
                                                                      
SET: rps=123019.9 (overall: 122528.8) avg_msec=0.376 (overall: 0.379)
                                                                      
SET: rps=120392.0 (overall: 122481.5) avg_msec=0.381 (overall: 0.379)
                                                                      
SET: rps=123008.0 (overall: 122492.9) avg_msec=0.383 (overall: 0.379)
                                                                      
SET: rps=123816.0 (overall: 122521.0) avg_msec=0.377 (overall: 0.379)
                                                                      
SET: rps=122072.0 (overall: 122511.7) avg_msec=0.385 (overall: 0.379)
                                                                      
SET: rps=121972.1 (overall: 122500.6) avg_msec=0.385 (overall: 0.379)
                                                                      
SET: rps=123156.0 (overall: 122513.7) avg_msec=0.372 (overall: 0.379)
                                                                      
SET: rps=122517.9 (overall: 122513.8) avg_msec=0.385 (overall: 0.379)
                                                                      
SET: rps=123484.0 (overall: 122532.4) avg_msec=0.378 (overall: 0.379)
                                                                      
SET: rps=123360.0 (overall: 122548.0) avg_msec=0.384 (overall: 0.379)
                                                                      
SET: rps=122776.9 (overall: 122552.3) avg_msec=0.380 (overall: 0.379)
                                                                      
SET: rps=122688.0 (overall: 122554.7) avg_msec=0.383 (overall: 0.379)
                                                                      
SET: rps=122248.0 (overall: 122549.3) avg_msec=0.384 (overall: 0.380)
                                                                      
SET: rps=122565.7 (overall: 122549.5) avg_msec=0.377 (overall: 0.380)
                                                                      
SET: rps=122456.0 (overall: 122547.9) avg_msec=0.386 (overall: 0.380)
                                                                      
SET: rps=123400.0 (overall: 122562.4) avg_msec=0.382 (overall: 0.380)
                                                                      
SET: rps=123103.6 (overall: 122571.4) avg_msec=0.376 (overall: 0.380)
                                                                      
SET: rps=120692.0 (overall: 122540.6) avg_msec=0.379 (overall: 0.380)
                                                                      
SET: rps=121310.8 (overall: 122520.8) avg_msec=0.383 (overall: 0.380)
                                                                      
SET: rps=120684.0 (overall: 122491.7) avg_msec=0.381 (overall: 0.380)
                                                                      
SET: rps=121584.0 (overall: 122477.5) avg_msec=0.378 (overall: 0.380)
                                                                      
SET: rps=123593.6 (overall: 122494.7) avg_msec=0.359 (overall: 0.379)
                                                                      
SET: rps=124020.0 (overall: 122517.8) avg_msec=0.378 (overall: 0.379)
                                                                      
SET: rps=123306.8 (overall: 122529.6) avg_msec=0.369 (overall: 0.379)
                                                                      
SET: rps=121920.0 (overall: 122520.6) avg_msec=0.380 (overall: 0.379)
                                                                      
SET: rps=124412.0 (overall: 122548.0) avg_msec=0.368 (overall: 0.379)
                                                                      
SET: rps=122768.9 (overall: 122551.2) avg_msec=0.377 (overall: 0.379)
                                                                      
SET: rps=120484.0 (overall: 122522.1) avg_msec=0.390 (overall: 0.379)
                                                                      
SET: rps=120936.3 (overall: 122500.0) avg_msec=0.381 (overall: 0.379)
                                                                      
SET: rps=123432.0 (overall: 122512.8) avg_msec=0.375 (overall: 0.379)
                                                                      
SET: rps=121944.0 (overall: 122505.1) avg_msec=0.387 (overall: 0.379)
                                                                      
SET: rps=120820.7 (overall: 122482.6) avg_msec=0.380 (overall: 0.379)
                                                                      
SET: rps=123096.0 (overall: 122490.7) avg_msec=0.379 (overall: 0.379)
                                                                      
SET: rps=123250.0 (overall: 122500.6) avg_msec=0.362 (overall: 0.379)
                                                                      
