===== Redis 100M Benchmark =====
Instance Type: c5d.xlarge
Run: 3
Date: 2026-01-21T04:54:53+00:00

--- System Info ---
CPU: 4 cores
Memory: 7.6G
model name	: Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz

--- Starting Redis Server ---
Redis server started

--- Warmup ---
Warmup complete (1M requests)

--- Test 1: SET 100M requests (50 clients, 3 threads) ---
Start: 2026-01-21T05:15:20+00:00
 
SET: rps=0.0 (overall: -nan) avg_msec=0.244 (overall: 0.000)
                                                             
SET: rps=121043.8 (overall: 121043.8) avg_msec=0.389 (overall: 0.389)
                                                                      
SET: rps=119764.0 (overall: 120405.2) avg_msec=0.391 (overall: 0.390)
                                                                      
SET: rps=119768.9 (overall: 120192.8) avg_msec=0.388 (overall: 0.390)
                                                                      
SET: rps=121868.0 (overall: 120610.8) avg_msec=0.386 (overall: 0.389)
                                                                      
SET: rps=116760.0 (overall: 119841.9) avg_msec=0.394 (overall: 0.390)
                                                                      
SET: rps=121569.7 (overall: 120130.4) avg_msec=0.382 (overall: 0.388)
                                                                      
SET: rps=122424.0 (overall: 120457.5) avg_msec=0.385 (overall: 0.388)
                                                                      
SET: rps=120071.7 (overall: 120409.2) avg_msec=0.384 (overall: 0.388)
                                                                      
SET: rps=122200.0 (overall: 120607.8) avg_msec=0.386 (overall: 0.387)
                                                                      
SET: rps=122716.0 (overall: 120818.3) avg_msec=0.382 (overall: 0.387)
                                                                      
SET: rps=120330.7 (overall: 120773.9) avg_msec=0.389 (overall: 0.387)
                                                                      
SET: rps=119356.0 (overall: 120655.9) avg_msec=0.385 (overall: 0.387)
                                                                      
SET: rps=121872.5 (overall: 120749.7) avg_msec=0.384 (overall: 0.387)
                                                                      
SET: rps=123279.5 (overall: 120932.8) avg_msec=0.373 (overall: 0.386)
                                                                      
SET: rps=121693.2 (overall: 120983.5) avg_msec=0.385 (overall: 0.386)
                                                                      
SET: rps=122132.0 (overall: 121055.1) avg_msec=0.379 (overall: 0.385)
                                                                      
SET: rps=122504.0 (overall: 121140.1) avg_msec=0.380 (overall: 0.385)
                                                                      
SET: rps=121047.8 (overall: 121135.0) avg_msec=0.382 (overall: 0.385)
                                                                      
SET: rps=122428.0 (overall: 121202.9) avg_msec=0.385 (overall: 0.385)
                                                                      
SET: rps=122589.6 (overall: 121272.3) avg_msec=0.368 (overall: 0.384)
                                                                      
SET: rps=122729.1 (overall: 121341.8) avg_msec=0.383 (overall: 0.384)
                                                                      
SET: rps=123676.0 (overall: 121447.6) avg_msec=0.378 (overall: 0.384)
                                                                      
SET: rps=122737.1 (overall: 121503.7) avg_msec=0.381 (overall: 0.384)
                                                                      
SET: rps=122888.0 (overall: 121561.3) avg_msec=0.381 (overall: 0.383)
                                                                      
SET: rps=122668.0 (overall: 121605.4) avg_msec=0.382 (overall: 0.383)
                                                                      
SET: rps=122454.2 (overall: 121638.1) avg_msec=0.374 (overall: 0.383)
                                                                      
SET: rps=122668.0 (overall: 121676.2) avg_msec=0.382 (overall: 0.383)
                                                                      
SET: rps=122378.5 (overall: 121701.3) avg_msec=0.383 (overall: 0.383)
                                                                      
SET: rps=122932.0 (overall: 121743.6) avg_msec=0.384 (overall: 0.383)
                                                                      
SET: rps=122712.0 (overall: 121775.8) avg_msec=0.383 (overall: 0.383)
                                                                      
SET: rps=122075.7 (overall: 121785.5) avg_msec=0.383 (overall: 0.383)
                                                                      
SET: rps=120836.0 (overall: 121755.9) avg_msec=0.383 (overall: 0.383)
                                                                      
SET: rps=121075.7 (overall: 121735.3) avg_msec=0.388 (overall: 0.383)
                                                                      
SET: rps=122328.0 (overall: 121752.7) avg_msec=0.385 (overall: 0.383)
                                                                      
SET: rps=118996.0 (overall: 121674.1) avg_msec=0.362 (overall: 0.383)
                                                                      
SET: rps=121103.6 (overall: 121658.2) avg_msec=0.387 (overall: 0.383)
                                                                      
SET: rps=122604.0 (overall: 121683.7) avg_msec=0.385 (overall: 0.383)
                                                                      
SET: rps=121088.0 (overall: 121668.1) avg_msec=0.389 (overall: 0.383)
                                                                      
SET: rps=118832.7 (overall: 121595.2) avg_msec=0.392 (overall: 0.383)
                                                                      
SET: rps=121992.0 (overall: 121605.1) avg_msec=0.385 (overall: 0.383)
                                                                      
SET: rps=122460.0 (overall: 121625.9) avg_msec=0.385 (overall: 0.383)
                                                                      
SET: rps=121195.2 (overall: 121615.7) avg_msec=0.386 (overall: 0.383)
                                                                      
SET: rps=121240.0 (overall: 121606.9) avg_msec=0.382 (overall: 0.383)
                                                                      
SET: rps=121517.9 (overall: 121604.9) avg_msec=0.384 (overall: 0.383)
                                                                      
SET: rps=121552.0 (overall: 121603.7) avg_msec=0.377 (overall: 0.383)
                                                                      
SET: rps=121892.4 (overall: 121610.0) avg_msec=0.383 (overall: 0.383)
                                                                      
SET: rps=121692.0 (overall: 121611.8) avg_msec=0.383 (overall: 0.383)
                                                                      
SET: rps=122227.1 (overall: 121624.6) avg_msec=0.384 (overall: 0.383)
                                                                      
SET: rps=121132.0 (overall: 121614.6) avg_msec=0.376 (overall: 0.383)
                                                                      
SET: rps=122944.0 (overall: 121641.1) avg_msec=0.367 (overall: 0.383)
                                                                      
SET: rps=121545.8 (overall: 121639.2) avg_msec=0.383 (overall: 0.383)
                                                                      
SET: rps=118932.0 (overall: 121587.3) avg_msec=0.384 (overall: 0.383)
                                                                      
SET: rps=122816.0 (overall: 121610.4) avg_msec=0.380 (overall: 0.383)
                                                                      
SET: rps=122259.0 (overall: 121622.5) avg_msec=0.384 (overall: 0.383)
                                                                      
SET: rps=123300.0 (overall: 121652.9) avg_msec=0.378 (overall: 0.383)
                                                                      
SET: rps=121721.1 (overall: 121654.1) avg_msec=0.382 (overall: 0.383)
                                                                      
SET: rps=122760.0 (overall: 121673.5) avg_msec=0.374 (overall: 0.383)
                                                                      
SET: rps=121916.0 (overall: 121677.7) avg_msec=0.385 (overall: 0.383)
                                                                      
SET: rps=121581.7 (overall: 121676.0) avg_msec=0.382 (overall: 0.383)
                                                                      
SET: rps=122028.0 (overall: 121681.9) avg_msec=0.387 (overall: 0.383)
                                                                      
SET: rps=122382.5 (overall: 121693.4) avg_msec=0.382 (overall: 0.383)
                                                                      
SET: rps=121108.0 (overall: 121684.0) avg_msec=0.385 (overall: 0.383)
                                                                      
SET: rps=123084.0 (overall: 121706.1) avg_msec=0.379 (overall: 0.383)
                                                                      
SET: rps=122171.3 (overall: 121713.4) avg_msec=0.384 (overall: 0.383)
                                                                      
SET: rps=121500.0 (overall: 121710.1) avg_msec=0.380 (overall: 0.383)
                                                                      
SET: rps=121733.1 (overall: 121710.5) avg_msec=0.381 (overall: 0.383)
                                                                      
SET: rps=122808.0 (overall: 121726.9) avg_msec=0.383 (overall: 0.383)
                                                                      
SET: rps=121482.1 (overall: 121723.2) avg_msec=0.385 (overall: 0.383)
                                                                      
SET: rps=120980.0 (overall: 121712.5) avg_msec=0.383 (overall: 0.383)
                                                                      
SET: rps=123152.0 (overall: 121733.0) avg_msec=0.380 (overall: 0.383)
                                                                      
SET: rps=122685.3 (overall: 121746.5) avg_msec=0.380 (overall: 0.383)
                                                                      
SET: rps=120028.0 (overall: 121722.6) avg_msec=0.374 (overall: 0.382)
                                                                      
SET: rps=119876.0 (overall: 121697.4) avg_msec=0.391 (overall: 0.383)
                                                                      
SET: rps=121589.6 (overall: 121695.9) avg_msec=0.384 (overall: 0.383)
                                                                      
SET: rps=116484.0 (overall: 121626.6) avg_msec=0.385 (overall: 0.383)
                                                                      
SET: rps=121780.9 (overall: 121628.6) avg_msec=0.383 (overall: 0.383)
                                                                      
SET: rps=122212.0 (overall: 121636.2) avg_msec=0.384 (overall: 0.383)
                                                                      
SET: rps=122876.0 (overall: 121652.0) avg_msec=0.383 (overall: 0.383)
                                                                      
SET: rps=122581.7 (overall: 121663.8) avg_msec=0.381 (overall: 0.383)
                                                                      
SET: rps=119856.0 (overall: 121641.3) avg_msec=0.389 (overall: 0.383)
                                                                      
SET: rps=122424.0 (overall: 121650.9) avg_msec=0.378 (overall: 0.383)
                                                                      
SET: rps=120856.6 (overall: 121641.2) avg_msec=0.377 (overall: 0.383)
                                                                      
SET: rps=121936.0 (overall: 121644.8) avg_msec=0.383 (overall: 0.383)
                                                                      
SET: rps=122808.8 (overall: 121658.6) avg_msec=0.382 (overall: 0.383)
                                                                      
SET: rps=121804.0 (overall: 121660.3) avg_msec=0.379 (overall: 0.383)
                                                                      
SET: rps=122504.0 (overall: 121670.1) avg_msec=0.376 (overall: 0.383)
                                                                      
SET: rps=122063.8 (overall: 121674.7) avg_msec=0.381 (overall: 0.382)
                                                                      
SET: rps=122360.0 (overall: 121682.4) avg_msec=0.385 (overall: 0.383)
                                                                      
SET: rps=123276.0 (overall: 121700.3) avg_msec=0.381 (overall: 0.383)
                                                                      
SET: rps=122282.9 (overall: 121706.8) avg_msec=0.381 (overall: 0.382)
                                                                      
SET: rps=122592.0 (overall: 121716.5) avg_msec=0.385 (overall: 0.383)
                                                                      
SET: rps=118737.1 (overall: 121684.1) avg_msec=0.383 (overall: 0.383)
                                                                      
SET: rps=122344.0 (overall: 121691.1) avg_msec=0.385 (overall: 0.383)
                                                                      
SET: rps=121916.3 (overall: 121693.5) avg_msec=0.382 (overall: 0.383)
                                                                      
SET: rps=123032.0 (overall: 121707.6) avg_msec=0.378 (overall: 0.383)
                                                                      
SET: rps=122848.0 (overall: 121719.5) avg_msec=0.381 (overall: 0.382)
                                                                      
SET: rps=122788.9 (overall: 121730.5) avg_msec=0.376 (overall: 0.382)
                                                                      
SET: rps=123044.0 (overall: 121743.9) avg_msec=0.379 (overall: 0.382)
                                                                      
SET: rps=120304.0 (overall: 121729.4) avg_msec=0.383 (overall: 0.382)
                                                                      
SET: rps=121884.5 (overall: 121730.9) avg_msec=0.386 (overall: 0.382)
                                                                      
SET: rps=122408.0 (overall: 121737.6) avg_msec=0.384 (overall: 0.382)
                                                                      
SET: rps=122175.3 (overall: 121741.9) avg_msec=0.385 (overall: 0.382)
                                                                      
SET: rps=122916.0 (overall: 121753.3) avg_msec=0.385 (overall: 0.383)
                                                                      
SET: rps=122573.7 (overall: 121761.2) avg_msec=0.384 (overall: 0.383)
                                                                      
SET: rps=122912.0 (overall: 121772.1) avg_msec=0.383 (overall: 0.383)
                                                                      
SET: rps=121653.4 (overall: 121771.0) avg_msec=0.386 (overall: 0.383)
                                                                      
SET: rps=122032.0 (overall: 121773.5) avg_msec=0.386 (overall: 0.383)
                                                                      
SET: rps=122472.0 (overall: 121779.9) avg_msec=0.385 (overall: 0.383)
                                                                      
SET: rps=121980.1 (overall: 121781.8) avg_msec=0.384 (overall: 0.383)
                                                                      
SET: rps=122268.0 (overall: 121786.2) avg_msec=0.386 (overall: 0.383)
                                                                      
SET: rps=119123.5 (overall: 121762.1) avg_msec=0.391 (overall: 0.383)
                                                                      
SET: rps=119187.3 (overall: 121739.1) avg_msec=0.387 (overall: 0.383)
                                                                      
SET: rps=122440.0 (overall: 121745.3) avg_msec=0.386 (overall: 0.383)
                                                                      
SET: rps=122380.0 (overall: 121750.8) avg_msec=0.385 (overall: 0.383)
                                                                      
SET: rps=116916.3 (overall: 121708.7) avg_msec=0.389 (overall: 0.383)
                                                                      
SET: rps=122212.0 (overall: 121713.0) avg_msec=0.386 (overall: 0.383)
                                                                      
SET: rps=121992.0 (overall: 121715.4) avg_msec=0.385 (overall: 0.383)
                                                                      
SET: rps=122312.0 (overall: 121720.5) avg_msec=0.386 (overall: 0.383)
                                                                      
SET: rps=121920.0 (overall: 121722.1) avg_msec=0.387 (overall: 0.383)
                                                                      
SET: rps=121808.8 (overall: 121722.9) avg_msec=0.367 (overall: 0.383)
                                                                      
SET: rps=121816.0 (overall: 121723.6) avg_msec=0.386 (overall: 0.383)
                                                                      
SET: rps=120964.1 (overall: 121717.4) avg_msec=0.383 (overall: 0.383)
                                                                      
SET: rps=122304.0 (overall: 121722.2) avg_msec=0.385 (overall: 0.383)
                                                                      
SET: rps=122223.1 (overall: 121726.2) avg_msec=0.384 (overall: 0.383)
                                                                      
SET: rps=122032.0 (overall: 121728.6) avg_msec=0.380 (overall: 0.383)
                                                                      
SET: rps=122788.0 (overall: 121737.0) avg_msec=0.383 (overall: 0.383)
                                                                      
SET: rps=121896.4 (overall: 121738.3) avg_msec=0.379 (overall: 0.383)
                                                                      
SET: rps=122924.0 (overall: 121747.5) avg_msec=0.382 (overall: 0.383)
                                                                      
SET: rps=121968.1 (overall: 121749.3) avg_msec=0.385 (overall: 0.383)
                                                                      
SET: rps=122836.0 (overall: 121757.6) avg_msec=0.375 (overall: 0.383)
                                                                      
SET: rps=121761.0 (overall: 121757.6) avg_msec=0.373 (overall: 0.383)
                                                                      
SET: rps=118572.0 (overall: 121733.5) avg_msec=0.374 (overall: 0.383)
                                                                      
SET: rps=122292.0 (overall: 121737.7) avg_msec=0.385 (overall: 0.383)
                                                                      
SET: rps=122884.5 (overall: 121746.3) avg_msec=0.380 (overall: 0.383)
                                                                      
SET: rps=121276.0 (overall: 121742.8) avg_msec=0.383 (overall: 0.383)
                                                                      
SET: rps=120741.0 (overall: 121735.4) avg_msec=0.389 (overall: 0.383)
                                                                      
SET: rps=122496.0 (overall: 121741.0) avg_msec=0.382 (overall: 0.383)
                                                                      
SET: rps=122553.8 (overall: 121746.9) avg_msec=0.381 (overall: 0.383)
                                                                      
SET: rps=123000.0 (overall: 121755.9) avg_msec=0.381 (overall: 0.383)
                                                                      
SET: rps=122864.0 (overall: 121763.8) avg_msec=0.380 (overall: 0.383)
                                                                      
SET: rps=122557.8 (overall: 121769.4) avg_msec=0.383 (overall: 0.383)
                                                                      
SET: rps=122900.0 (overall: 121777.4) avg_msec=0.382 (overall: 0.383)
                                                                      
SET: rps=122008.0 (overall: 121779.0) avg_msec=0.378 (overall: 0.383)
                                                                      
SET: rps=121828.0 (overall: 121779.3) avg_msec=0.385 (overall: 0.383)
                                                                      
SET: rps=121880.5 (overall: 121780.0) avg_msec=0.382 (overall: 0.383)
                                                                      
SET: rps=122484.0 (overall: 121784.9) avg_msec=0.381 (overall: 0.383)
                                                                      
SET: rps=119036.0 (overall: 121766.2) avg_msec=0.393 (overall: 0.383)
                                                                      
SET: rps=119820.7 (overall: 121753.0) avg_msec=0.391 (overall: 0.383)
                                                                      
SET: rps=121784.0 (overall: 121753.2) avg_msec=0.381 (overall: 0.383)
                                                                      
SET: rps=119673.3 (overall: 121739.3) avg_msec=0.387 (overall: 0.383)
                                                                      
SET: rps=122756.0 (overall: 121746.0) avg_msec=0.385 (overall: 0.383)
                                                                      
SET: rps=119496.0 (overall: 121731.3) avg_msec=0.383 (overall: 0.383)
                                                                      
SET: rps=118629.5 (overall: 121710.9) avg_msec=0.390 (overall: 0.383)
                                                                      
SET: rps=121232.0 (overall: 121707.8) avg_msec=0.385 (overall: 0.383)
                                                                      
SET: rps=117980.0 (overall: 121683.8) avg_msec=0.389 (overall: 0.383)
                                                                      
SET: rps=120888.5 (overall: 121678.7) avg_msec=0.381 (overall: 0.383)
                                                                      
SET: rps=122192.0 (overall: 121682.0) avg_msec=0.384 (overall: 0.383)
                                                                      
SET: rps=121832.7 (overall: 121682.9) avg_msec=0.379 (overall: 0.383)
                                                                      
SET: rps=121577.7 (overall: 121682.3) avg_msec=0.387 (overall: 0.383)
                                                                      
SET: rps=121944.0 (overall: 121683.9) avg_msec=0.385 (overall: 0.383)
                                                                      
SET: rps=121996.0 (overall: 121685.9) avg_msec=0.386 (overall: 0.383)
                                                                      
SET: rps=120980.1 (overall: 121681.5) avg_msec=0.386 (overall: 0.383)
                                                                      
SET: rps=122372.0 (overall: 121685.7) avg_msec=0.384 (overall: 0.383)
                                                                      
SET: rps=122035.9 (overall: 121687.8) avg_msec=0.377 (overall: 0.383)
                                                                      
SET: rps=120900.0 (overall: 121683.1) avg_msec=0.385 (overall: 0.383)
                                                                      
SET: rps=121231.1 (overall: 121680.4) avg_msec=0.384 (overall: 0.383)
                                                                      
SET: rps=121664.0 (overall: 121680.2) avg_msec=0.387 (overall: 0.383)
                                                                      
SET: rps=121780.0 (overall: 121680.8) avg_msec=0.383 (overall: 0.383)
                                                                      
SET: rps=121677.3 (overall: 121680.8) avg_msec=0.382 (overall: 0.383)
                                                                      
SET: rps=122384.0 (overall: 121685.0) avg_msec=0.385 (overall: 0.383)
                                                                      
SET: rps=121051.8 (overall: 121681.2) avg_msec=0.379 (overall: 0.383)
                                                                      
SET: rps=119352.0 (overall: 121667.7) avg_msec=0.388 (overall: 0.383)
                                                                      
SET: rps=123236.0 (overall: 121676.8) avg_msec=0.379 (overall: 0.383)
                                                                      
