===== Redis 100M Benchmark =====
Instance Type: c5n.xlarge
Run: 3
Date: 2026-01-23T05:34:25+00:00

--- System Info ---
CPU: 4 cores
Memory: 10.0G
model name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz

--- Starting Redis Server ---
Redis server started

--- Warmup ---
Warmup complete (100K SET requests)

--- Test 1: SET 100M requests (50 clients, 3 threads) ---
Start: 2026-01-23T05:34:28+00:00
 
SET: rps=0.0 (overall: -nan) avg_msec=0.000 (overall: -nan)
                                                            
SET: rps=93729.1 (overall: 93729.1) avg_msec=0.452 (overall: 0.453)
                                                                    
SET: rps=94924.3 (overall: 94326.7) avg_msec=0.427 (overall: 0.440)
                                                                    
SET: rps=90370.5 (overall: 93008.0) avg_msec=0.451 (overall: 0.444)
                                                                    
SET: rps=88107.6 (overall: 91782.9) avg_msec=0.476 (overall: 0.452)
                                                                    
SET: rps=93557.8 (overall: 92137.9) avg_msec=0.430 (overall: 0.447)
                                                                    
SET: rps=92464.8 (overall: 92193.2) avg_msec=0.440 (overall: 0.446)
                                                                    
SET: rps=93434.3 (overall: 92370.0) avg_msec=0.433 (overall: 0.444)
                                                                    
SET: rps=77964.1 (overall: 90573.8) avg_msec=0.532 (overall: 0.454)
                                                                    
SET: rps=99892.9 (overall: 91610.6) avg_msec=0.412 (overall: 0.449)
                                                                    
SET: rps=99992.0 (overall: 92446.7) avg_msec=0.423 (overall: 0.446)
                                                                    
SET: rps=98324.0 (overall: 92977.9) avg_msec=0.435 (overall: 0.445)
                                                                    
SET: rps=115374.5 (overall: 94841.2) avg_msec=0.388 (overall: 0.439)
                                                                     
SET: rps=114404.0 (overall: 96338.2) avg_msec=0.392 (overall: 0.435)
                                                                     
SET: rps=115633.5 (overall: 97714.9) avg_msec=0.385 (overall: 0.431)
                                                                     
SET: rps=116880.0 (overall: 98986.5) avg_msec=0.380 (overall: 0.427)
                                                                     
SET: rps=120757.0 (overall: 100346.1) avg_msec=0.372 (overall: 0.423)
                                                                      
SET: rps=120900.4 (overall: 101554.3) avg_msec=0.372 (overall: 0.419)
                                                                      
SET: rps=116024.0 (overall: 102354.6) avg_msec=0.381 (overall: 0.417)
                                                                      
SET: rps=115649.4 (overall: 103054.1) avg_msec=0.383 (overall: 0.415)
                                                                      
SET: rps=118592.0 (overall: 103827.7) avg_msec=0.381 (overall: 0.413)
                                                                      
SET: rps=102390.4 (overall: 103759.3) avg_msec=0.424 (overall: 0.413)
                                                                      
SET: rps=101653.4 (overall: 103663.6) avg_msec=0.423 (overall: 0.414)
                                                                      
SET: rps=100332.0 (overall: 103519.3) avg_msec=0.444 (overall: 0.415)
                                                                      
SET: rps=121462.2 (overall: 104266.9) avg_msec=0.370 (overall: 0.413)
                                                                      
SET: rps=120000.0 (overall: 104893.8) avg_msec=0.363 (overall: 0.411)
                                                                      
SET: rps=118569.7 (overall: 105419.9) avg_msec=0.375 (overall: 0.409)
                                                                      
SET: rps=111236.0 (overall: 105634.5) avg_msec=0.402 (overall: 0.409)
                                                                      
SET: rps=119800.8 (overall: 106150.3) avg_msec=0.366 (overall: 0.407)
                                                                      
SET: rps=117948.0 (overall: 106555.4) avg_msec=0.378 (overall: 0.406)
                                                                      
SET: rps=117265.4 (overall: 106924.7) avg_msec=0.367 (overall: 0.404)
                                                                      
SET: rps=115023.9 (overall: 107185.6) avg_msec=0.398 (overall: 0.404)
                                                                      
SET: rps=114055.8 (overall: 107400.0) avg_msec=0.399 (overall: 0.404)
                                                                      
SET: rps=118076.0 (overall: 107721.8) avg_msec=0.389 (overall: 0.404)
                                                                      
SET: rps=120920.0 (overall: 108108.0) avg_msec=0.373 (overall: 0.403)
                                                                      
SET: rps=118115.5 (overall: 108393.7) avg_msec=0.370 (overall: 0.402)
                                                                      
SET: rps=100148.0 (overall: 108165.8) avg_msec=0.429 (overall: 0.402)
                                                                      
SET: rps=108992.0 (overall: 108188.1) avg_msec=0.404 (overall: 0.402)
                                                                      
SET: rps=118800.0 (overall: 108466.0) avg_msec=0.380 (overall: 0.402)
                                                                      
SET: rps=122255.0 (overall: 108819.3) avg_msec=0.366 (overall: 0.401)
                                                                      
SET: rps=116280.0 (overall: 109005.0) avg_msec=0.384 (overall: 0.400)
                                                                      
SET: rps=114761.0 (overall: 109145.3) avg_msec=0.401 (overall: 0.400)
                                                                      
SET: rps=111712.0 (overall: 109206.1) avg_msec=0.408 (overall: 0.400)
                                                                      
SET: rps=117151.4 (overall: 109390.8) avg_msec=0.394 (overall: 0.400)
                                                                      
SET: rps=115512.0 (overall: 109529.3) avg_msec=0.399 (overall: 0.400)
                                                                      
SET: rps=116354.6 (overall: 109680.9) avg_msec=0.395 (overall: 0.400)
                                                                      
SET: rps=113521.9 (overall: 109764.4) avg_msec=0.392 (overall: 0.400)
                                                                      
SET: rps=120276.0 (overall: 109987.1) avg_msec=0.385 (overall: 0.400)
                                                                      
SET: rps=120862.1 (overall: 110222.5) avg_msec=0.379 (overall: 0.399)
                                                                      
SET: rps=117251.0 (overall: 110365.7) avg_msec=0.390 (overall: 0.399)
                                                                      
SET: rps=119544.0 (overall: 110548.4) avg_msec=0.383 (overall: 0.399)
                                                                      
SET: rps=112685.3 (overall: 110590.3) avg_msec=0.375 (overall: 0.398)
                                                                      
SET: rps=114736.0 (overall: 110669.6) avg_msec=0.401 (overall: 0.398)
                                                                      
SET: rps=123824.7 (overall: 110917.6) avg_msec=0.367 (overall: 0.398)
                                                                      
SET: rps=121536.0 (overall: 111113.3) avg_msec=0.390 (overall: 0.397)
                                                                      
SET: rps=112980.1 (overall: 111147.2) avg_msec=0.412 (overall: 0.398)
                                                                      
SET: rps=106444.0 (overall: 111063.6) avg_msec=0.425 (overall: 0.398)
                                                                      
SET: rps=109466.1 (overall: 111035.6) avg_msec=0.411 (overall: 0.398)
                                                                      
SET: rps=108294.8 (overall: 110988.4) avg_msec=0.417 (overall: 0.399)
                                                                      
SET: rps=104255.0 (overall: 110874.3) avg_msec=0.405 (overall: 0.399)
                                                                      
SET: rps=110196.0 (overall: 110863.1) avg_msec=0.402 (overall: 0.399)
                                                                      
