===== Redis Benchmark =====
Instance Type: c6g.xlarge
Redis Host: redis-server-c6g-xlarge

--- Redis Server Info ---
# Server
redis_version:7.4.7
redis_git_sha1:00000000
redis_git_dirty:0
redis_build_id:dce10dbf0440d6f1
redis_mode:standalone
os:Linux 6.12.63-84.121.amzn2023.aarch64 aarch64
arch_bits:64
monotonic_clock:POSIX clock_gettime
multiplexing_api:epoll
atomicvar_api:c11-builtin
gcc_version:14.2.0
process_id:1
process_supervised:no
run_id:8e4bfd1f2152ca14f295c5c5ea8c9864799e78fb
tcp_port:6379
server_time_usec:1768545695150746
uptime_in_seconds:3177
uptime_in_days:0
hz:10

--- Standard Benchmark (50 clients, 100000 requests) ---
 
PING_INLINE: rps=0.0 (overall: 0.0) avg_msec=-nan (overall: -nan)
                                                                  
PING_INLINE: rps=101892.0 (overall: 101486.1) avg_msec=0.324 (overall: 0.324)
                                                                              
PING_INLINE: rps=102404.0 (overall: 101944.1) avg_msec=0.323 (overall: 0.323)
                                                                              
PING_INLINE: rps=69800.8 (overall: 91215.4) avg_msec=0.437 (overall: 0.353)
                                                                            
PING_INLINE: rps=105644.0 (overall: 94815.4) avg_msec=0.316 (overall: 0.342)
                                                                             
PING_INLINE: 95238.10 requests per second, p50=0.319 msec
 
PING_MBULK: rps=40912.0 (overall: 67735.1) avg_msec=0.450 (overall: 0.450)
                                                                           
PING_MBULK: rps=92772.9 (overall: 83368.2) avg_msec=0.353 (overall: 0.383)
                                                                           
PING_MBULK: rps=104216.0 (overall: 91362.0) avg_msec=0.316 (overall: 0.354)
                                                                            
PING_MBULK: rps=106864.5 (overall: 95671.1) avg_msec=0.315 (overall: 0.342)
                                                                            
PING_MBULK: 97943.19 requests per second, p50=0.319 msec
 
SET: rps=28324.0 (overall: 90782.0) avg_msec=0.345 (overall: 0.345)
                                                                    
SET: rps=91208.0 (overall: 91106.7) avg_msec=0.349 (overall: 0.348)
                                                                    
SET: rps=109402.4 (overall: 99038.0) avg_msec=0.306 (overall: 0.328)
                                                                     
SET: rps=118384.0 (overall: 104872.1) avg_msec=0.292 (overall: 0.316)
                                                                      
SET: 107874.87 requests per second, p50=0.311 msec
 
GET: rps=23520.0 (overall: 61894.7) avg_msec=0.484 (overall: 0.484)
                                                                    
GET: rps=84625.5 (overall: 78384.4) avg_msec=0.371 (overall: 0.395)
                                                                    
GET: rps=94372.0 (overall: 85090.6) avg_msec=0.340 (overall: 0.370)
                                                                    
GET: rps=107183.3 (overall: 91637.5) avg_msec=0.307 (overall: 0.348)
                                                                     
GET: 92936.80 requests per second, p50=0.335 msec
 
INCR: rps=0.0 (overall: -nan) avg_msec=-nan (overall: -nan)
                                                            
INCR: rps=117424.0 (overall: 117424.0) avg_msec=0.294 (overall: 0.294)
                                                                       
INCR: rps=118255.0 (overall: 117840.3) avg_msec=0.291 (overall: 0.292)
                                                                       
INCR: rps=120156.0 (overall: 118611.2) avg_msec=0.291 (overall: 0.292)
                                                                       
INCR: 118483.41 requests per second, p50=0.295 msec
 
LPUSH: rps=52648.0 (overall: 119654.5) avg_msec=0.323 (overall: 0.323)
                                                                       
LPUSH: rps=112860.6 (overall: 114930.8) avg_msec=0.323 (overall: 0.323)
                                                                        
LPUSH: rps=113380.0 (overall: 114296.2) avg_msec=0.330 (overall: 0.326)
                                                                        
LPUSH: rps=100120.0 (overall: 110180.0) avg_msec=0.345 (overall: 0.331)
                                                                        
LPUSH: 109170.30 requests per second, p50=0.327 msec
 
RPUSH: rps=83796.0 (overall: 146496.5) avg_msec=0.247 (overall: 0.247)
                                                                       
RPUSH: rps=146414.3 (overall: 146444.2) avg_msec=0.257 (overall: 0.253)
                                                                        
RPUSH: rps=147692.0 (overall: 146928.6) avg_msec=0.256 (overall: 0.254)
                                                                        
RPUSH: 147058.83 requests per second, p50=0.255 msec
 
LPOP: rps=68400.0 (overall: 106875.0) avg_msec=0.411 (overall: 0.411)
                                                                      
LPOP: rps=97240.0 (overall: 101000.0) avg_msec=0.407 (overall: 0.409)
                                                                      
LPOP: rps=75892.4 (overall: 91466.0) avg_msec=0.446 (overall: 0.421)
                                                                     
LPOP: rps=83896.0 (overall: 89388.6) avg_msec=0.528 (overall: 0.448)
                                                                     
LPOP: 87873.46 requests per second, p50=0.455 msec
 
RPOP: rps=0.0 (overall: -nan) avg_msec=-nan (overall: -nan)
                                                            
RPOP: rps=102426.3 (overall: 102426.3) avg_msec=0.322 (overall: 0.322)
                                                                       
RPOP: rps=110040.0 (overall: 106225.6) avg_msec=0.309 (overall: 0.315)
                                                                       
RPOP: rps=111816.0 (overall: 108086.6) avg_msec=0.304 (overall: 0.312)
                                                                       
RPOP: 107874.87 requests per second, p50=0.311 msec
 
SADD: rps=7184.0 (overall: 89800.0) avg_msec=0.382 (overall: 0.382)
                                                                    
SADD: rps=91159.4 (overall: 91059.0) avg_msec=0.352 (overall: 0.354)
                                                                     
SADD: rps=98748.0 (overall: 94748.6) avg_msec=0.334 (overall: 0.344)
                                                                     
SADD: rps=106024.0 (overall: 98404.7) avg_msec=0.316 (overall: 0.334)
                                                                      
SADD: rps=94557.8 (overall: 97459.9) avg_msec=0.350 (overall: 0.338)
                                                                     
SADD: 97370.98 requests per second, p50=0.335 msec
 
HSET: rps=95884.0 (overall: 122928.2) avg_msec=0.320 (overall: 0.320)
                                                                      
HSET: rps=111032.0 (overall: 116244.9) avg_msec=0.334 (overall: 0.327)
                                                                       
HSET: rps=103549.8 (overall: 111666.7) avg_msec=0.368 (overall: 0.341)
                                                                       
HSET: 106723.59 requests per second, p50=0.343 msec
 
SPOP: rps=0.0 (overall: -nan) avg_msec=-nan (overall: -nan)
                                                            
SPOP: rps=103852.0 (overall: 103852.0) avg_msec=0.328 (overall: 0.328)
                                                                       
SPOP: rps=109418.3 (overall: 106640.7) avg_msec=0.304 (overall: 0.316)
                                                                       
SPOP: rps=98976.0 (overall: 104089.2) avg_msec=0.330 (overall: 0.320)
                                                                      
SPOP: 101419.88 requests per second, p50=0.327 msec
 
ZADD: rps=0.0 (overall: -nan) avg_msec=-nan (overall: -nan)
                                                            
ZADD: rps=94255.0 (overall: 94255.0) avg_msec=0.340 (overall: 0.340)
                                                                     
ZADD: rps=96136.0 (overall: 95193.6) avg_msec=0.338 (overall: 0.339)
                                                                     
ZADD: rps=101310.8 (overall: 97235.4) avg_msec=0.326 (overall: 0.334)
                                                                      
ZADD: rps=107260.0 (overall: 99736.5) avg_msec=0.315 (overall: 0.329)
                                                                      
ZADD: 99700.90 requests per second, p50=0.327 msec
 
ZPOPMIN: rps=117512.0 (overall: 145435.6) avg_msec=0.255 (overall: 0.255)
                                                                          
ZPOPMIN: rps=138044.0 (overall: 141347.3) avg_msec=0.291 (overall: 0.274)
                                                                          
ZPOPMIN: rps=113040.0 (overall: 131266.4) avg_msec=0.361 (overall: 0.301)
                                                                          
ZPOPMIN: 124223.60 requests per second, p50=0.295 msec
 
LPUSH (needed to benchmark LRANGE): rps=37541.8 (overall: 97144.3) avg_msec=0.346 (overall: 0.346)
                                                                                                   
LPUSH (needed to benchmark LRANGE): rps=97024.0 (overall: 97057.6) avg_msec=0.382 (overall: 0.372)
                                                                                                   
LPUSH (needed to benchmark LRANGE): rps=102406.4 (overall: 99302.7) avg_msec=0.425 (overall: 0.395)
                                                                                                    
LPUSH (needed to benchmark LRANGE): rps=92808.0 (overall: 97388.0) avg_msec=0.406 (overall: 0.398)
                                                                                                   
LPUSH (needed to benchmark LRANGE): 97465.88 requests per second, p50=0.391 msec
 
LRANGE_100 (first 100 elements): rps=2565.7 (overall: 25760.0) avg_msec=1.053 (overall: 1.053)
                                                                                               
LRANGE_100 (first 100 elements): rps=30000.0 (overall: 29615.9) avg_msec=0.909 (overall: 0.920)
                                                                                                
LRANGE_100 (first 100 elements): rps=28761.0 (overall: 29208.7) avg_msec=0.947 (overall: 0.933)
                                                                                                
LRANGE_100 (first 100 elements): rps=31772.9 (overall: 30036.0) avg_msec=0.865 (overall: 0.910)
                                                                                                
LRANGE_100 (first 100 elements): rps=33300.0 (overall: 30829.8) avg_msec=0.831 (overall: 0.889)
                                                                                                
LRANGE_100 (first 100 elements): rps=32200.0 (overall: 31097.8) avg_msec=0.855 (overall: 0.882)
                                                                                                
LRANGE_100 (first 100 elements): rps=26346.6 (overall: 30317.9) avg_msec=1.019 (overall: 0.902)
                                                                                                
LRANGE_100 (first 100 elements): rps=25928.0 (overall: 29701.0) avg_msec=1.021 (overall: 0.916)
                                                                                                
LRANGE_100 (first 100 elements): rps=26330.7 (overall: 29284.2) avg_msec=1.006 (overall: 0.926)
                                                                                                
LRANGE_100 (first 100 elements): rps=26414.3 (overall: 28968.4) avg_msec=1.012 (overall: 0.935)
                                                                                                
LRANGE_100 (first 100 elements): rps=31780.0 (overall: 29246.1) avg_msec=0.868 (overall: 0.928)
                                                                                                
LRANGE_100 (first 100 elements): rps=27541.8 (overall: 29092.4) avg_msec=0.970 (overall: 0.931)
                                                                                                
LRANGE_100 (first 100 elements): rps=32705.2 (overall: 29391.4) avg_msec=0.839 (overall: 0.923)
                                                                                                
LRANGE_100 (first 100 elements): rps=25528.0 (overall: 29097.2) avg_msec=1.040 (overall: 0.931)
                                                                                                
LRANGE_100 (first 100 elements): 28901.73 requests per second, p50=0.919 msec
 
LRANGE_300 (first 300 elements): rps=609.6 (overall: 5884.6) avg_msec=4.220 (overall: 4.220)
                                                                                             
LRANGE_300 (first 300 elements): rps=10853.2 (overall: 10388.5) avg_msec=2.338 (overall: 2.438)
                                                                                                
LRANGE_300 (first 300 elements): rps=12809.5 (overall: 11539.6) avg_msec=1.971 (overall: 2.191)
                                                                                                
LRANGE_300 (first 300 elements): rps=12864.5 (overall: 11965.4) avg_msec=1.991 (overall: 2.122)
                                                                                                
LRANGE_300 (first 300 elements): rps=12654.8 (overall: 12133.6) avg_msec=1.992 (overall: 2.089)
                                                                                                
LRANGE_300 (first 300 elements): rps=11426.3 (overall: 11995.3) avg_msec=2.205 (overall: 2.111)
                                                                                                
LRANGE_300 (first 300 elements): rps=10412.7 (overall: 11735.7) avg_msec=2.420 (overall: 2.156)
                                                                                                
LRANGE_300 (first 300 elements): rps=13172.0 (overall: 11936.7) avg_msec=1.934 (overall: 2.121)
                                                                                                
LRANGE_300 (first 300 elements): rps=11384.9 (overall: 11868.5) avg_msec=2.218 (overall: 2.133)
                                                                                                
LRANGE_300 (first 300 elements): rps=10040.0 (overall: 11668.7) avg_msec=2.517 (overall: 2.169)
                                                                                                
LRANGE_300 (first 300 elements): rps=12207.2 (overall: 11721.9) avg_msec=2.079 (overall: 2.160)
                                                                                                
LRANGE_300 (first 300 elements): rps=11780.9 (overall: 11727.2) avg_msec=2.144 (overall: 2.158)
                                                                                                
LRANGE_300 (first 300 elements): rps=12553.8 (overall: 11795.5) avg_msec=2.014 (overall: 2.146)
                                                                                                
LRANGE_300 (first 300 elements): rps=11142.9 (overall: 11745.5) avg_msec=2.252 (overall: 2.153)
                                                                                                
LRANGE_300 (first 300 elements): rps=11426.3 (overall: 11722.9) avg_msec=2.206 (overall: 2.157)
                                                                                                
LRANGE_300 (first 300 elements): rps=10231.1 (overall: 11624.2) avg_msec=2.454 (overall: 2.174)
                                                                                                
LRANGE_300 (first 300 elements): rps=10316.2 (overall: 11542.5) avg_msec=2.424 (overall: 2.188)
                                                                                                
LRANGE_300 (first 300 elements): rps=10012.0 (overall: 11453.1) avg_msec=2.503 (overall: 2.204)
                                                                                                
LRANGE_300 (first 300 elements): rps=10678.6 (overall: 11410.2) avg_msec=2.345 (overall: 2.212)
                                                                                                
LRANGE_300 (first 300 elements): rps=10011.9 (overall: 11336.6) avg_msec=2.498 (overall: 2.225)
                                                                                                
LRANGE_300 (first 300 elements): rps=12673.3 (overall: 11403.0) avg_msec=2.016 (overall: 2.213)
                                                                                                
LRANGE_300 (first 300 elements): rps=13528.0 (overall: 11503.1) avg_msec=1.894 (overall: 2.196)
                                                                                                
LRANGE_300 (first 300 elements): rps=12852.6 (overall: 11564.1) avg_msec=1.967 (overall: 2.184)
                                                                                                
LRANGE_300 (first 300 elements): rps=13416.0 (overall: 11643.8) avg_msec=1.896 (overall: 2.170)
                                                                                                
LRANGE_300 (first 300 elements): rps=13658.7 (overall: 11727.6) avg_msec=1.849 (overall: 2.154)
                                                                                                
LRANGE_300 (first 300 elements): rps=13988.0 (overall: 11817.2) avg_msec=1.816 (overall: 2.139)
                                                                                                
LRANGE_300 (first 300 elements): rps=13824.7 (overall: 11894.0) avg_msec=1.831 (overall: 2.125)
                                                                                                
LRANGE_300 (first 300 elements): rps=13992.1 (overall: 11971.7) avg_msec=1.810 (overall: 2.111)
                                                                                                
LRANGE_300 (first 300 elements): rps=11721.1 (overall: 11962.8) avg_msec=2.154 (overall: 2.113)
                                                                                                
LRANGE_300 (first 300 elements): rps=14092.0 (overall: 12035.6) avg_msec=1.807 (overall: 2.101)
                                                                                                
LRANGE_300 (first 300 elements): rps=14203.2 (overall: 12107.5) avg_msec=1.810 (overall: 2.089)
                                                                                                
LRANGE_300 (first 300 elements): rps=13681.3 (overall: 12158.0) avg_msec=1.862 (overall: 2.081)
                                                                                                
LRANGE_300 (first 300 elements): rps=13055.8 (overall: 12186.0) avg_msec=1.940 (overall: 2.076)
                                                                                                
LRANGE_300 (first 300 elements): 12214.49 requests per second, p50=1.943 msec
 
LRANGE_500 (first 500 elements): rps=1366.1 (overall: 4565.8) avg_msec=5.467 (overall: 5.467)
                                                                                              
LRANGE_500 (first 500 elements): rps=8545.8 (overall: 7620.8) avg_msec=2.927 (overall: 3.281)
                                                                                              
LRANGE_500 (first 500 elements): rps=8608.0 (overall: 8048.5) avg_msec=2.931 (overall: 3.119)
                                                                                              
LRANGE_500 (first 500 elements): rps=8916.3 (overall: 8311.6) avg_msec=2.819 (overall: 3.021)
                                                                                              
LRANGE_500 (first 500 elements): rps=9032.0 (overall: 8478.7) avg_msec=2.769 (overall: 2.959)
                                                                                              
LRANGE_500 (first 500 elements): rps=8746.0 (overall: 8529.3) avg_msec=2.849 (overall: 2.937)
                                                                                              
LRANGE_500 (first 500 elements): rps=7772.9 (overall: 8409.2) avg_msec=3.209 (overall: 2.977)
                                                                                              
LRANGE_500 (first 500 elements): rps=8094.9 (overall: 8365.9) avg_msec=3.072 (overall: 2.990)
                                                                                              
LRANGE_500 (first 500 elements): rps=9235.1 (overall: 8470.5) avg_msec=2.747 (overall: 2.958)
                                                                                              
LRANGE_500 (first 500 elements): rps=9142.9 (overall: 8543.0) avg_msec=2.756 (overall: 2.935)
                                                                                              
LRANGE_500 (first 500 elements): rps=9032.0 (overall: 8590.3) avg_msec=2.793 (overall: 2.920)
                                                                                              
LRANGE_500 (first 500 elements): rps=9043.5 (overall: 8630.6) avg_msec=2.789 (overall: 2.908)
                                                                                              
LRANGE_500 (first 500 elements): rps=8968.0 (overall: 8657.9) avg_msec=2.801 (overall: 2.899)
                                                                                              
LRANGE_500 (first 500 elements): rps=9119.0 (overall: 8692.7) avg_msec=2.750 (overall: 2.887)
                                                                                              
LRANGE_500 (first 500 elements): rps=9296.0 (overall: 8734.7) avg_msec=2.701 (overall: 2.873)
                                                                                              
LRANGE_500 (first 500 elements): rps=9094.9 (overall: 8758.4) avg_msec=2.750 (overall: 2.865)
                                                                                              
LRANGE_500 (first 500 elements): rps=9255.0 (overall: 8788.8) avg_msec=2.712 (overall: 2.855)
                                                                                              
LRANGE_500 (first 500 elements): rps=9024.0 (overall: 8802.3) avg_msec=2.798 (overall: 2.852)
                                                                                              
LRANGE_500 (first 500 elements): rps=9087.3 (overall: 8818.0) avg_msec=2.775 (overall: 2.847)
                                                                                              
LRANGE_500 (first 500 elements): rps=9170.6 (overall: 8836.3) avg_msec=2.735 (overall: 2.841)
                                                                                              
LRANGE_500 (first 500 elements): rps=9392.9 (overall: 8863.8) avg_msec=2.666 (overall: 2.832)
                                                                                              
LRANGE_500 (first 500 elements): rps=9000.0 (overall: 8870.2) avg_msec=2.783 (overall: 2.830)
                                                                                              
LRANGE_500 (first 500 elements): rps=9428.6 (overall: 8895.3) avg_msec=2.658 (overall: 2.822)
                                                                                              
LRANGE_500 (first 500 elements): rps=9392.9 (overall: 8916.7) avg_msec=2.664 (overall: 2.814)
                                                                                              
LRANGE_500 (first 500 elements): rps=9376.0 (overall: 8935.5) avg_msec=2.682 (overall: 2.809)
                                                                                              
LRANGE_500 (first 500 elements): rps=7506.0 (overall: 8879.1) avg_msec=3.305 (overall: 2.825)
                                                                                              
LRANGE_500 (first 500 elements): rps=8689.2 (overall: 8871.9) avg_msec=2.877 (overall: 2.827)
                                                                                              
LRANGE_500 (first 500 elements): rps=7211.2 (overall: 8811.1) avg_msec=3.444 (overall: 2.846)
                                                                                              
LRANGE_500 (first 500 elements): rps=8422.3 (overall: 8797.4) avg_msec=2.965 (overall: 2.850)
                                                                                              
LRANGE_500 (first 500 elements): rps=9354.6 (overall: 8816.4) avg_msec=2.682 (overall: 2.844)
                                                                                              
LRANGE_500 (first 500 elements): rps=8686.5 (overall: 8812.1) avg_msec=2.872 (overall: 2.845)
                                                                                              
LRANGE_500 (first 500 elements): rps=7587.3 (overall: 8772.8) avg_msec=3.294 (overall: 2.857)
                                                                                              
LRANGE_500 (first 500 elements): rps=7600.8 (overall: 8736.3) avg_msec=3.265 (overall: 2.868)
                                                                                              
LRANGE_500 (first 500 elements): rps=7521.7 (overall: 8699.6) avg_msec=3.310 (overall: 2.880)
                                                                                              
LRANGE_500 (first 500 elements): rps=7563.5 (overall: 8666.4) avg_msec=3.279 (overall: 2.890)
                                                                                              
LRANGE_500 (first 500 elements): rps=7177.9 (overall: 8624.0) avg_msec=3.464 (overall: 2.903)
                                                                                              
LRANGE_500 (first 500 elements): rps=7901.2 (overall: 8604.0) avg_msec=3.142 (overall: 2.910)
                                                                                              
LRANGE_500 (first 500 elements): rps=7884.0 (overall: 8584.8) avg_msec=3.165 (overall: 2.916)
                                                                                              
LRANGE_500 (first 500 elements): rps=7877.0 (overall: 8566.3) avg_msec=3.147 (overall: 2.921)
                                                                                              
LRANGE_500 (first 500 elements): rps=7862.2 (overall: 8548.2) avg_msec=3.200 (overall: 2.928)
                                                                                              
LRANGE_500 (first 500 elements): rps=7928.3 (overall: 8532.8) avg_msec=3.129 (overall: 2.933)
                                                                                              
LRANGE_500 (first 500 elements): rps=8071.4 (overall: 8521.7) avg_msec=3.080 (overall: 2.936)
                                                                                              
LRANGE_500 (first 500 elements): rps=7901.2 (overall: 8506.9) avg_msec=3.148 (overall: 2.941)
                                                                                              
LRANGE_500 (first 500 elements): rps=7992.0 (overall: 8495.1) avg_msec=3.121 (overall: 2.945)
                                                                                              
LRANGE_500 (first 500 elements): rps=7830.0 (overall: 8480.0) avg_msec=3.179 (overall: 2.949)
                                                                                              
LRANGE_500 (first 500 elements): rps=7616.6 (overall: 8460.8) avg_msec=3.255 (overall: 2.956)
                                                                                              
LRANGE_500 (first 500 elements): rps=7880.5 (overall: 8448.3) avg_msec=3.159 (overall: 2.960)
                                                                                              
LRANGE_500 (first 500 elements): 8440.96 requests per second, p50=2.871 msec
 
LRANGE_600 (first 600 elements): rps=107.1 (overall: 3857.1) avg_msec=3.312 (overall: 3.312)
                                                                                             
LRANGE_600 (first 600 elements): rps=6452.0 (overall: 6381.3) avg_msec=3.940 (overall: 3.929)
                                                                                              
LRANGE_600 (first 600 elements): rps=8122.5 (overall: 7245.1) avg_msec=3.079 (overall: 3.457)
                                                                                              
LRANGE_600 (first 600 elements): rps=8079.4 (overall: 7521.0) avg_msec=3.092 (overall: 3.327)
                                                                                              
LRANGE_600 (first 600 elements): rps=8119.5 (overall: 7669.3) avg_msec=3.073 (overall: 3.260)
                                                                                              
LRANGE_600 (first 600 elements): rps=8126.5 (overall: 7760.7) avg_msec=3.076 (overall: 3.222)
                                                                                              
LRANGE_600 (first 600 elements): rps=8162.7 (overall: 7827.4) avg_msec=3.048 (overall: 3.192)
                                                                                              
LRANGE_600 (first 600 elements): rps=8099.6 (overall: 7866.0) avg_msec=3.093 (overall: 3.177)
                                                                                              
LRANGE_600 (first 600 elements): rps=8102.8 (overall: 7895.6) avg_msec=3.077 (overall: 3.164)
                                                                                              
LRANGE_600 (first 600 elements): rps=8067.5 (overall: 7914.7) avg_msec=3.087 (overall: 3.156)
                                                                                              
LRANGE_600 (first 600 elements): rps=8138.9 (overall: 7937.1) avg_msec=3.083 (overall: 3.148)
                                                                                              
LRANGE_600 (first 600 elements): rps=8150.8 (overall: 7956.4) avg_msec=3.067 (overall: 3.141)
                                                                                              
LRANGE_600 (first 600 elements): rps=8182.5 (overall: 7975.2) avg_msec=3.051 (overall: 3.133)
                                                                                              
LRANGE_600 (first 600 elements): rps=8084.0 (overall: 7983.5) avg_msec=3.092 (overall: 3.130)
                                                                                              
LRANGE_600 (first 600 elements): rps=8206.3 (overall: 7999.4) avg_msec=3.044 (overall: 3.124)
                                                                                              
LRANGE_600 (first 600 elements): rps=8163.3 (overall: 8010.3) avg_msec=3.066 (overall: 3.120)
                                                                                              
LRANGE_600 (first 600 elements): rps=8035.9 (overall: 8011.9) avg_msec=3.112 (overall: 3.119)
                                                                                              
LRANGE_600 (first 600 elements): rps=8103.2 (overall: 8017.3) avg_msec=3.078 (overall: 3.117)
                                                                                              
LRANGE_600 (first 600 elements): rps=8210.3 (overall: 8028.0) avg_msec=3.051 (overall: 3.113)
                                                                                              
LRANGE_600 (first 600 elements): rps=8137.8 (overall: 8033.8) avg_msec=3.070 (overall: 3.111)
                                                                                              
LRANGE_600 (first 600 elements): rps=8162.1 (overall: 8040.2) avg_msec=3.078 (overall: 3.109)
                                                                                              
LRANGE_600 (first 600 elements): rps=8191.2 (overall: 8047.4) avg_msec=3.055 (overall: 3.106)
                                                                                              
LRANGE_600 (first 600 elements): rps=8131.5 (overall: 8051.2) avg_msec=3.061 (overall: 3.104)
                                                                                              
LRANGE_600 (first 600 elements): rps=8170.6 (overall: 8056.4) avg_msec=3.057 (overall: 3.102)
                                                                                              
LRANGE_600 (first 600 elements): rps=8138.9 (overall: 8059.8) avg_msec=3.067 (overall: 3.101)
                                                                                              
LRANGE_600 (first 600 elements): rps=8047.4 (overall: 8059.3) avg_msec=3.102 (overall: 3.101)
                                                                                              
LRANGE_600 (first 600 elements): rps=8087.6 (overall: 8060.4) avg_msec=3.063 (overall: 3.099)
                                                                                              
LRANGE_600 (first 600 elements): rps=8228.0 (overall: 8066.6) avg_msec=3.041 (overall: 3.097)
                                                                                              
LRANGE_600 (first 600 elements): rps=8219.1 (overall: 8072.0) avg_msec=3.036 (overall: 3.095)
                                                                                              
LRANGE_600 (first 600 elements): rps=8206.3 (overall: 8076.6) avg_msec=3.053 (overall: 3.093)
                                                                                              
LRANGE_600 (first 600 elements): rps=8170.0 (overall: 8079.8) avg_msec=3.063 (overall: 3.092)
                                                                                              
LRANGE_600 (first 600 elements): rps=8211.2 (overall: 8084.0) avg_msec=3.049 (overall: 3.091)
                                                                                              
LRANGE_600 (first 600 elements): rps=8170.0 (overall: 8086.7) avg_msec=3.068 (overall: 3.090)
                                                                                              
LRANGE_600 (first 600 elements): rps=8210.3 (overall: 8090.4) avg_msec=3.046 (overall: 3.089)
                                                                                              
LRANGE_600 (first 600 elements): rps=8215.1 (overall: 8094.1) avg_msec=3.052 (overall: 3.088)
                                                                                              
LRANGE_600 (first 600 elements): rps=8191.2 (overall: 8096.8) avg_msec=3.052 (overall: 3.087)
                                                                                              
LRANGE_600 (first 600 elements): rps=8207.2 (overall: 8099.9) avg_msec=3.047 (overall: 3.086)
                                                                                              
LRANGE_600 (first 600 elements): rps=8178.6 (overall: 8102.0) avg_msec=3.059 (overall: 3.085)
                                                                                              
LRANGE_600 (first 600 elements): rps=8246.0 (overall: 8105.8) avg_msec=3.045 (overall: 3.084)
                                                                                              
LRANGE_600 (first 600 elements): rps=8225.3 (overall: 8108.9) avg_msec=3.043 (overall: 3.083)
                                                                                              
LRANGE_600 (first 600 elements): rps=8232.0 (overall: 8111.9) avg_msec=3.033 (overall: 3.082)
                                                                                              
LRANGE_600 (first 600 elements): rps=8159.4 (overall: 8113.1) avg_msec=3.051 (overall: 3.081)
                                                                                              
LRANGE_600 (first 600 elements): rps=8227.1 (overall: 8115.8) avg_msec=3.043 (overall: 3.080)
                                                                                              
LRANGE_600 (first 600 elements): rps=8233.2 (overall: 8118.5) avg_msec=3.037 (overall: 3.079)
                                                                                              
LRANGE_600 (first 600 elements): rps=8196.0 (overall: 8120.3) avg_msec=3.048 (overall: 3.078)
                                                                                              
LRANGE_600 (first 600 elements): rps=8199.2 (overall: 8122.0) avg_msec=3.038 (overall: 3.077)
                                                                                              
LRANGE_600 (first 600 elements): rps=8231.1 (overall: 8124.4) avg_msec=3.028 (overall: 3.076)
                                                                                              
LRANGE_600 (first 600 elements): rps=8183.3 (overall: 8125.6) avg_msec=3.067 (overall: 3.076)
                                                                                              
LRANGE_600 (first 600 elements): rps=8142.3 (overall: 8126.0) avg_msec=3.069 (overall: 3.076)
                                                                                              
LRANGE_600 (first 600 elements): 8126.78 requests per second, p50=3.007 msec
 
MSET (10 keys): rps=0.0 (overall: -nan) avg_msec=-nan (overall: -nan)
                                                                      
MSET (10 keys): rps=89440.0 (overall: 89440.0) avg_msec=0.518 (overall: 0.518)
                                                                               
MSET (10 keys): rps=92039.8 (overall: 90742.5) avg_msec=0.502 (overall: 0.510)
                                                                               
MSET (10 keys): rps=86476.0 (overall: 89322.2) avg_msec=0.487 (overall: 0.503)
                                                                               
MSET (10 keys): rps=85432.0 (overall: 88350.6) avg_msec=0.477 (overall: 0.497)
                                                                               
MSET (10 keys): 88809.95 requests per second, p50=0.503 msec
 
XADD: rps=34354.6 (overall: 116527.0) avg_msec=0.347 (overall: 0.347)
                                                                      
XADD: rps=119276.0 (overall: 118648.1) avg_msec=0.342 (overall: 0.343)
                                                                       
XADD: rps=119300.0 (overall: 118932.1) avg_msec=0.346 (overall: 0.344)
                                                                       
XADD: rps=107304.0 (overall: 115404.1) avg_msec=0.335 (overall: 0.342)
                                                                       
XADD: 115340.26 requests per second, p50=0.343 msec


--- Pipeline Benchmark (16 commands per pipeline) ---
 
PING_INLINE: rps=0.0 (overall: 0.0) avg_msec=-nan (overall: -nan)
                                                                  
PING_INLINE: 806451.62 requests per second, p50=0.887 msec
 
PING_MBULK: rps=265216.0 (overall: 920888.9) avg_msec=0.766 (overall: 0.766)
                                                                             
PING_MBULK: 925925.88 requests per second, p50=0.759 msec
 
SET: 632911.38 requests per second, p50=1.135 msec
 
GET: rps=0.0 (overall: 0.0) avg_msec=-nan (overall: -nan)
                                                          
GET: 719424.44 requests per second, p50=0.983 msec
 
INCR: rps=170560.0 (overall: 666249.9) avg_msec=1.079 (overall: 1.079)
                                                                       
INCR: 675675.69 requests per second, p50=1.079 msec
 
LPUSH: rps=133184.0 (overall: 294654.9) avg_msec=2.567 (overall: 2.567)
                                                                        
