===== Redis 100M Benchmark =====
Instance Type: c6g.xlarge
Run: 4
Date: 2026-01-23T04:43:02+00:00

--- System Info ---
CPU: 4 cores
Memory: 7.6G

--- Starting Redis Server ---
Redis server started

--- Warmup ---
Warmup complete (100K SET requests)

--- Test 1: SET 100M requests (50 clients, 3 threads) ---
Start: 2026-01-23T04:43:05+00:00
 
SET: rps=0.0 (overall: nan) avg_msec=nan (overall: nan)
                                                        
SET: rps=150748.0 (overall: 150748.0) avg_msec=0.306 (overall: 0.306)
                                                                      
SET: rps=151920.0 (overall: 151334.0) avg_msec=0.304 (overall: 0.305)
                                                                      
SET: rps=149362.6 (overall: 150675.1) avg_msec=0.305 (overall: 0.305)
                                                                      
SET: rps=147605.6 (overall: 149906.2) avg_msec=0.303 (overall: 0.304)
                                                                      
SET: rps=151200.0 (overall: 150164.5) avg_msec=0.305 (overall: 0.304)
                                                                      
SET: rps=151123.5 (overall: 150324.7) avg_msec=0.302 (overall: 0.304)
                                                                      
SET: rps=147744.0 (overall: 149956.6) avg_msec=0.306 (overall: 0.304)
                                                                      
SET: rps=150083.7 (overall: 149972.6) avg_msec=0.306 (overall: 0.304)
                                                                      
SET: rps=150932.0 (overall: 150079.0) avg_msec=0.300 (overall: 0.304)
                                                                      
SET: rps=151580.0 (overall: 150228.8) avg_msec=0.298 (overall: 0.303)
                                                                      
SET: rps=150378.5 (overall: 150242.5) avg_msec=0.304 (overall: 0.303)
                                                                      
SET: rps=151540.0 (overall: 150350.4) avg_msec=0.297 (overall: 0.303)
                                                                      
SET: rps=148804.0 (overall: 150231.6) avg_msec=0.298 (overall: 0.303)
                                                                      
SET: rps=150159.4 (overall: 150226.5) avg_msec=0.302 (overall: 0.303)
                                                                      
SET: rps=145753.0 (overall: 149927.6) avg_msec=0.301 (overall: 0.302)
                                                                      
SET: rps=149480.0 (overall: 149899.7) avg_msec=0.295 (overall: 0.302)
                                                                      
SET: rps=150988.1 (overall: 149963.8) avg_msec=0.303 (overall: 0.302)
                                                                      
SET: rps=150000.0 (overall: 149965.9) avg_msec=0.307 (overall: 0.302)
                                                                      
SET: rps=149996.0 (overall: 149967.4) avg_msec=0.304 (overall: 0.302)
                                                                      
SET: rps=149768.0 (overall: 149957.5) avg_msec=0.305 (overall: 0.303)
                                                                      
SET: rps=150908.4 (overall: 150002.8) avg_msec=0.305 (overall: 0.303)
                                                                      
SET: rps=149669.3 (overall: 149987.7) avg_msec=0.302 (overall: 0.303)
                                                                      
SET: rps=142155.4 (overall: 149646.6) avg_msec=0.310 (overall: 0.303)
                                                                      
SET: rps=151196.0 (overall: 149711.0) avg_msec=0.303 (overall: 0.303)
                                                                      
SET: rps=149354.6 (overall: 149696.7) avg_msec=0.303 (overall: 0.303)
                                                                      
SET: rps=150936.0 (overall: 149744.3) avg_msec=0.300 (overall: 0.303)
                                                                      
SET: rps=145968.1 (overall: 149604.2) avg_msec=0.308 (overall: 0.303)
                                                                      
SET: rps=151492.0 (overall: 149671.5) avg_msec=0.300 (overall: 0.303)
                                                                      
SET: rps=151019.9 (overall: 149718.0) avg_msec=0.307 (overall: 0.303)
                                                                      
SET: rps=151160.0 (overall: 149766.0) avg_msec=0.298 (overall: 0.303)
                                                                      
SET: rps=150506.0 (overall: 149789.9) avg_msec=0.305 (overall: 0.303)
                                                                      
SET: rps=150668.0 (overall: 149817.3) avg_msec=0.299 (overall: 0.303)
                                                                      
SET: rps=151408.0 (overall: 149865.4) avg_msec=0.301 (overall: 0.303)
                                                                      
SET: rps=140577.7 (overall: 149591.7) avg_msec=0.309 (overall: 0.303)
                                                                      
SET: rps=147032.0 (overall: 149518.8) avg_msec=0.311 (overall: 0.303)
                                                                      
SET: rps=150517.9 (overall: 149546.6) avg_msec=0.300 (overall: 0.303)
                                                                      
