===== Redis 100M Benchmark =====
Instance Type: c6g.xlarge
Run: 5
Date: 2026-01-23T04:42:55+00:00

--- System Info ---
CPU: 4 cores
Memory: 7.6G

--- Starting Redis Server ---
Redis server started

--- Warmup ---
Warmup complete (100K SET requests)

--- Test 1: SET 100M requests (50 clients, 3 threads) ---
Start: 2026-01-23T04:42:58+00:00
 
SET: rps=0.0 (overall: nan) avg_msec=0.000 (overall: 0.065)
                                                            
SET: rps=151368.0 (overall: 151368.0) avg_msec=0.302 (overall: 0.302)
                                                                      
SET: rps=152171.3 (overall: 151770.5) avg_msec=0.304 (overall: 0.303)
                                                                      
SET: rps=152440.0 (overall: 151993.3) avg_msec=0.306 (overall: 0.304)
                                                                      
SET: rps=151183.3 (overall: 151790.4) avg_msec=0.304 (overall: 0.304)
                                                                      
SET: rps=151460.0 (overall: 151724.4) avg_msec=0.307 (overall: 0.305)
                                                                      
SET: rps=152068.0 (overall: 151781.6) avg_msec=0.306 (overall: 0.305)
                                                                      
SET: rps=151107.6 (overall: 151685.1) avg_msec=0.306 (overall: 0.305)
                                                                      
SET: rps=151804.0 (overall: 151700.0) avg_msec=0.303 (overall: 0.305)
                                                                      
SET: rps=143344.0 (overall: 150772.8) avg_msec=0.313 (overall: 0.306)
                                                                      
SET: rps=151302.8 (overall: 150825.9) avg_msec=0.299 (overall: 0.305)
                                                                      
SET: rps=150916.0 (overall: 150834.1) avg_msec=0.304 (overall: 0.305)
                                                                      
SET: rps=151584.0 (overall: 150896.5) avg_msec=0.305 (overall: 0.305)
                                                                      
SET: rps=143960.2 (overall: 150361.6) avg_msec=0.318 (overall: 0.306)
                                                                      
SET: rps=150956.0 (overall: 150404.0) avg_msec=0.303 (overall: 0.306)
                                                                      
SET: rps=147800.0 (overall: 150230.6) avg_msec=0.310 (overall: 0.306)
                                                                      
SET: rps=149964.2 (overall: 150213.9) avg_msec=0.299 (overall: 0.306)
                                                                      
SET: rps=146672.0 (overall: 150005.9) avg_msec=0.311 (overall: 0.306)
                                                                      
SET: rps=151580.0 (overall: 150093.2) avg_msec=0.300 (overall: 0.306)
                                                                      
SET: rps=150729.1 (overall: 150126.8) avg_msec=0.302 (overall: 0.305)
                                                                      
SET: rps=148784.0 (overall: 150059.7) avg_msec=0.303 (overall: 0.305)
                                                                      
SET: rps=150316.0 (overall: 150071.9) avg_msec=0.299 (overall: 0.305)
                                                                      
SET: rps=151565.8 (overall: 150140.0) avg_msec=0.299 (overall: 0.305)
                                                                      
SET: rps=151406.4 (overall: 150195.2) avg_msec=0.301 (overall: 0.305)
                                                                      
SET: rps=147960.0 (overall: 150102.2) avg_msec=0.304 (overall: 0.305)
                                                                      
SET: rps=147167.3 (overall: 149984.5) avg_msec=0.309 (overall: 0.305)
                                                                      
SET: rps=151248.0 (overall: 150033.0) avg_msec=0.298 (overall: 0.304)
                                                                      
SET: rps=150776.9 (overall: 150060.6) avg_msec=0.299 (overall: 0.304)
                                                                      
SET: rps=150556.0 (overall: 150078.3) avg_msec=0.303 (overall: 0.304)
                                                                      
SET: rps=151116.0 (overall: 150114.0) avg_msec=0.306 (overall: 0.304)
                                                                      
SET: rps=150533.9 (overall: 150128.1) avg_msec=0.301 (overall: 0.304)
                                                                      
SET: rps=150108.0 (overall: 150127.4) avg_msec=0.303 (overall: 0.304)
                                                                      
SET: rps=151320.0 (overall: 150164.6) avg_msec=0.301 (overall: 0.304)
                                                                      
