===== Redis 100M Benchmark =====
Instance Type: c6gd.xlarge
Run: 1
Date: 2026-01-21T05:00:01+00:00

--- System Info ---
CPU: 4 cores
Memory: 7.6G

--- Starting Redis Server ---
Redis server started

--- Warmup ---
Warmup complete (1M requests)

--- Test 1: SET 100M requests (50 clients, 3 threads) ---
Start: 2026-01-21T05:20:08+00:00
 
SET: rps=0.0 (overall: nan) avg_msec=0.000 (overall: 0.163)
                                                            
SET: rps=146004.0 (overall: 146004.0) avg_msec=0.317 (overall: 0.317)
                                                                      
SET: rps=147440.0 (overall: 146720.6) avg_msec=0.317 (overall: 0.317)
                                                                      
SET: rps=147356.0 (overall: 146932.1) avg_msec=0.311 (overall: 0.315)
                                                                      
SET: rps=146629.5 (overall: 146856.3) avg_msec=0.293 (overall: 0.310)
                                                                      
SET: rps=144072.0 (overall: 146300.3) avg_msec=0.313 (overall: 0.310)
                                                                      
SET: rps=146768.9 (overall: 146378.6) avg_msec=0.320 (overall: 0.312)
                                                                      
SET: rps=142740.0 (overall: 145859.7) avg_msec=0.317 (overall: 0.313)
                                                                      
SET: rps=146288.0 (overall: 145913.1) avg_msec=0.320 (overall: 0.313)
                                                                      
SET: rps=144904.4 (overall: 145800.8) avg_msec=0.324 (overall: 0.315)
                                                                      
SET: rps=145804.0 (overall: 145801.1) avg_msec=0.321 (overall: 0.315)
                                                                      
SET: rps=147432.0 (overall: 145949.2) avg_msec=0.319 (overall: 0.316)
                                                                      
SET: rps=147127.5 (overall: 146047.6) avg_msec=0.318 (overall: 0.316)
                                                                      
SET: rps=147548.0 (overall: 146162.8) avg_msec=0.320 (overall: 0.316)
                                                                      
SET: rps=147668.0 (overall: 146270.2) avg_msec=0.320 (overall: 0.316)
                                                                      
SET: rps=147362.6 (overall: 146343.2) avg_msec=0.319 (overall: 0.317)
                                                                      
SET: rps=146228.0 (overall: 146336.0) avg_msec=0.317 (overall: 0.317)
                                                                      
SET: rps=146832.7 (overall: 146365.3) avg_msec=0.310 (overall: 0.316)
                                                                      
SET: rps=146900.0 (overall: 146394.9) avg_msec=0.318 (overall: 0.316)
                                                                      
SET: rps=146593.6 (overall: 146405.4) avg_msec=0.318 (overall: 0.316)
                                                                      
SET: rps=147300.0 (overall: 146450.1) avg_msec=0.319 (overall: 0.317)
                                                                      
SET: rps=147108.0 (overall: 146481.4) avg_msec=0.320 (overall: 0.317)
                                                                      
SET: rps=146187.3 (overall: 146468.0) avg_msec=0.321 (overall: 0.317)
                                                                      
SET: rps=147616.0 (overall: 146517.8) avg_msec=0.320 (overall: 0.317)
                                                                      
SET: rps=147036.0 (overall: 146539.4) avg_msec=0.318 (overall: 0.317)
                                                                      
SET: rps=147080.0 (overall: 146561.0) avg_msec=0.321 (overall: 0.317)
                                                                      
SET: rps=146521.9 (overall: 146559.4) avg_msec=0.320 (overall: 0.317)
                                                                      
SET: rps=147516.0 (overall: 146594.8) avg_msec=0.319 (overall: 0.317)
                                                                      
SET: rps=147488.0 (overall: 146626.7) avg_msec=0.317 (overall: 0.317)
                                                                      
SET: rps=146972.1 (overall: 146638.6) avg_msec=0.320 (overall: 0.318)
                                                                      
SET: rps=147176.0 (overall: 146656.5) avg_msec=0.320 (overall: 0.318)
                                                                      
SET: rps=146772.9 (overall: 146660.3) avg_msec=0.320 (overall: 0.318)
                                                                      
SET: rps=147484.0 (overall: 146686.0) avg_msec=0.319 (overall: 0.318)
                                                                      
SET: rps=147656.0 (overall: 146715.3) avg_msec=0.319 (overall: 0.318)
                                                                      
SET: rps=146832.7 (overall: 146718.8) avg_msec=0.320 (overall: 0.318)
                                                                      
SET: rps=147788.0 (overall: 146749.3) avg_msec=0.319 (overall: 0.318)
                                                                      
SET: rps=147236.0 (overall: 146762.8) avg_msec=0.319 (overall: 0.318)
                                                                      
SET: rps=146872.5 (overall: 146765.8) avg_msec=0.320 (overall: 0.318)
                                                                      
SET: rps=145628.0 (overall: 146735.9) avg_msec=0.310 (overall: 0.318)
                                                                      
SET: rps=147624.0 (overall: 146758.6) avg_msec=0.318 (overall: 0.318)
                                                                      
SET: rps=146434.3 (overall: 146750.5) avg_msec=0.316 (overall: 0.318)
                                                                      
SET: rps=147164.0 (overall: 146760.5) avg_msec=0.316 (overall: 0.318)
                                                                      
SET: rps=147368.0 (overall: 146775.0) avg_msec=0.319 (overall: 0.318)
                                                                      
SET: rps=146860.6 (overall: 146777.0) avg_msec=0.319 (overall: 0.318)
                                                                      
SET: rps=147116.0 (overall: 146784.7) avg_msec=0.315 (overall: 0.318)
                                                                      
SET: rps=143444.0 (overall: 146710.5) avg_msec=0.325 (overall: 0.318)
                                                                      
SET: rps=146410.4 (overall: 146704.0) avg_msec=0.320 (overall: 0.318)
                                                                      
SET: rps=144508.0 (overall: 146657.3) avg_msec=0.318 (overall: 0.318)
                                                                      
SET: rps=140625.5 (overall: 146531.4) avg_msec=0.326 (overall: 0.318)
                                                                      
SET: rps=144576.0 (overall: 146491.5) avg_msec=0.316 (overall: 0.318)
                                                                      
SET: rps=144462.2 (overall: 146450.8) avg_msec=0.315 (overall: 0.318)
                                                                      
SET: rps=146888.0 (overall: 146459.4) avg_msec=0.321 (overall: 0.318)
                                                                      
SET: rps=147004.0 (overall: 146469.8) avg_msec=0.320 (overall: 0.318)
                                                                      
SET: rps=146502.0 (overall: 146470.5) avg_msec=0.319 (overall: 0.318)
                                                                      
SET: rps=147020.0 (overall: 146480.6) avg_msec=0.320 (overall: 0.318)
                                                                      
SET: rps=146968.0 (overall: 146489.5) avg_msec=0.320 (overall: 0.318)
                                                                      
SET: rps=146243.0 (overall: 146485.1) avg_msec=0.317 (overall: 0.318)
                                                                      
SET: rps=147360.0 (overall: 146500.4) avg_msec=0.320 (overall: 0.318)
                                                                      
SET: rps=145180.0 (overall: 146477.7) avg_msec=0.321 (overall: 0.318)
                                                                      
SET: rps=147392.0 (overall: 146493.1) avg_msec=0.319 (overall: 0.318)
                                                                      
SET: rps=146968.1 (overall: 146501.1) avg_msec=0.318 (overall: 0.318)
                                                                      
SET: rps=147104.0 (overall: 146510.9) avg_msec=0.315 (overall: 0.318)
                                                                      
SET: rps=147180.0 (overall: 146521.7) avg_msec=0.318 (overall: 0.318)
                                                                      
SET: rps=146840.0 (overall: 146526.8) avg_msec=0.321 (overall: 0.318)
                                                                      
SET: rps=146502.0 (overall: 146526.4) avg_msec=0.320 (overall: 0.318)
                                                                      
SET: rps=147592.0 (overall: 146542.7) avg_msec=0.319 (overall: 0.318)
                                                                      
SET: rps=147496.0 (overall: 146557.2) avg_msec=0.319 (overall: 0.318)
                                                                      
SET: rps=146633.5 (overall: 146558.3) avg_msec=0.321 (overall: 0.318)
                                                                      
SET: rps=147164.0 (overall: 146567.2) avg_msec=0.318 (overall: 0.318)
                                                                      
SET: rps=147496.0 (overall: 146580.6) avg_msec=0.320 (overall: 0.318)
                                                                      
SET: rps=147356.0 (overall: 146591.7) avg_msec=0.321 (overall: 0.318)
                                                                      
SET: rps=146868.5 (overall: 146595.6) avg_msec=0.320 (overall: 0.318)
                                                                      
SET: rps=146580.0 (overall: 146595.4) avg_msec=0.321 (overall: 0.318)
                                                                      
SET: rps=147204.0 (overall: 146603.7) avg_msec=0.319 (overall: 0.319)
                                                                      
SET: rps=146350.6 (overall: 146600.3) avg_msec=0.319 (overall: 0.319)
                                                                      
SET: rps=147100.0 (overall: 146607.0) avg_msec=0.321 (overall: 0.319)
                                                                      
SET: rps=147092.0 (overall: 146613.3) avg_msec=0.312 (overall: 0.318)
                                                                      
SET: rps=146577.7 (overall: 146612.8) avg_msec=0.316 (overall: 0.318)
                                                                      
SET: rps=147356.0 (overall: 146622.4) avg_msec=0.319 (overall: 0.318)
                                                                      
SET: rps=147476.0 (overall: 146633.2) avg_msec=0.319 (overall: 0.318)
                                                                      
SET: rps=146374.5 (overall: 146629.9) avg_msec=0.312 (overall: 0.318)
                                                                      
SET: rps=146896.0 (overall: 146633.2) avg_msec=0.301 (overall: 0.318)
                                                                      
SET: rps=147512.0 (overall: 146643.9) avg_msec=0.317 (overall: 0.318)
                                                                      
SET: rps=147496.0 (overall: 146654.2) avg_msec=0.319 (overall: 0.318)
                                                                      
SET: rps=145103.6 (overall: 146635.7) avg_msec=0.318 (overall: 0.318)
                                                                      
SET: rps=143432.0 (overall: 146598.0) avg_msec=0.322 (overall: 0.318)
                                                                      
SET: rps=145593.6 (overall: 146586.3) avg_msec=0.322 (overall: 0.318)
                                                                      
SET: rps=143600.0 (overall: 146552.0) avg_msec=0.321 (overall: 0.318)
                                                                      
SET: rps=145740.0 (overall: 146542.8) avg_msec=0.321 (overall: 0.318)
                                                                      
SET: rps=145458.2 (overall: 146530.6) avg_msec=0.320 (overall: 0.318)
                                                                      
SET: rps=144828.0 (overall: 146511.7) avg_msec=0.311 (overall: 0.318)
                                                                      
SET: rps=146260.0 (overall: 146508.9) avg_msec=0.323 (overall: 0.318)
                                                                      
SET: rps=146816.0 (overall: 146512.3) avg_msec=0.321 (overall: 0.318)
                                                                      
SET: rps=145992.0 (overall: 146506.7) avg_msec=0.321 (overall: 0.318)
                                                                      
SET: rps=146588.0 (overall: 146507.5) avg_msec=0.322 (overall: 0.318)
                                                                      
SET: rps=145537.9 (overall: 146497.3) avg_msec=0.322 (overall: 0.318)
                                                                      
SET: rps=146544.0 (overall: 146497.8) avg_msec=0.319 (overall: 0.318)
                                                                      
SET: rps=145844.0 (overall: 146491.0) avg_msec=0.305 (overall: 0.318)
                                                                      
SET: rps=145896.4 (overall: 146485.0) avg_msec=0.321 (overall: 0.318)
                                                                      
SET: rps=146676.0 (overall: 146486.9) avg_msec=0.320 (overall: 0.318)
                                                                      
SET: rps=146576.0 (overall: 146487.8) avg_msec=0.322 (overall: 0.318)
                                                                      
SET: rps=145780.9 (overall: 146480.8) avg_msec=0.322 (overall: 0.318)
                                                                      
SET: rps=146720.0 (overall: 146483.1) avg_msec=0.322 (overall: 0.318)
                                                                      
SET: rps=146704.0 (overall: 146485.2) avg_msec=0.322 (overall: 0.319)
                                                                      
SET: rps=145804.8 (overall: 146478.7) avg_msec=0.317 (overall: 0.319)
                                                                      
SET: rps=146068.0 (overall: 146474.8) avg_msec=0.323 (overall: 0.319)
                                                                      
