===== Redis 100M Benchmark =====
Instance Type: c6gd.xlarge
Run: 2
Date: 2026-01-23T04:43:08+00:00

--- System Info ---
CPU: 4 cores
Memory: 7.6G

--- Starting Redis Server ---
Redis server started

--- Warmup ---
Warmup complete (100K SET requests)

--- Test 1: SET 100M requests (50 clients, 3 threads) ---
Start: 2026-01-23T04:43:11+00:00
 
SET: rps=0.0 (overall: nan) avg_msec=nan (overall: nan)
                                                        
SET: rps=146932.0 (overall: 146932.0) avg_msec=0.314 (overall: 0.314)
                                                                      
SET: rps=146856.0 (overall: 146894.0) avg_msec=0.309 (overall: 0.311)
                                                                      
SET: rps=145605.6 (overall: 146463.4) avg_msec=0.314 (overall: 0.312)
                                                                      
SET: rps=146156.0 (overall: 146386.6) avg_msec=0.315 (overall: 0.313)
                                                                      
SET: rps=144888.5 (overall: 146086.3) avg_msec=0.311 (overall: 0.313)
                                                                      
SET: rps=146900.0 (overall: 146221.7) avg_msec=0.307 (overall: 0.312)
                                                                      
SET: rps=146776.9 (overall: 146301.2) avg_msec=0.310 (overall: 0.311)
                                                                      
SET: rps=147212.0 (overall: 146414.9) avg_msec=0.310 (overall: 0.311)
                                                                      
SET: rps=145406.4 (overall: 146302.6) avg_msec=0.309 (overall: 0.311)
                                                                      
SET: rps=146160.0 (overall: 146288.3) avg_msec=0.308 (overall: 0.311)
                                                                      
SET: rps=146976.0 (overall: 146350.8) avg_msec=0.311 (overall: 0.311)
                                                                      
SET: rps=142506.0 (overall: 146029.6) avg_msec=0.312 (overall: 0.311)
                                                                      
SET: rps=147188.0 (overall: 146118.6) avg_msec=0.304 (overall: 0.310)
                                                                      
SET: rps=147472.0 (overall: 146215.1) avg_msec=0.305 (overall: 0.310)
                                                                      
SET: rps=144019.9 (overall: 146068.4) avg_msec=0.317 (overall: 0.310)
                                                                      
SET: rps=141876.0 (overall: 145806.8) avg_msec=0.320 (overall: 0.311)
                                                                      
SET: rps=145888.0 (overall: 145811.6) avg_msec=0.310 (overall: 0.311)
                                                                      
SET: rps=141860.6 (overall: 145591.5) avg_msec=0.309 (overall: 0.311)
                                                                      
SET: rps=146422.3 (overall: 145635.4) avg_msec=0.303 (overall: 0.311)
                                                                      
SET: rps=148460.0 (overall: 145776.4) avg_msec=0.305 (overall: 0.310)
                                                                      
SET: rps=147486.1 (overall: 145858.0) avg_msec=0.307 (overall: 0.310)
                                                                      
SET: rps=145152.0 (overall: 145825.9) avg_msec=0.312 (overall: 0.310)
                                                                      
SET: rps=138896.0 (overall: 145525.1) avg_msec=0.321 (overall: 0.311)
                                                                      
SET: rps=147689.2 (overall: 145615.5) avg_msec=0.308 (overall: 0.311)
                                                                      
SET: rps=148704.0 (overall: 145738.8) avg_msec=0.309 (overall: 0.310)
                                                                      
SET: rps=148328.0 (overall: 145838.2) avg_msec=0.306 (overall: 0.310)
                                                                      
SET: rps=146131.5 (overall: 145849.1) avg_msec=0.308 (overall: 0.310)
                                                                      
SET: rps=148076.0 (overall: 145928.5) avg_msec=0.307 (overall: 0.310)
                                                                      
SET: rps=147660.0 (overall: 145988.2) avg_msec=0.307 (overall: 0.310)
                                                                      
SET: rps=147322.7 (overall: 146032.8) avg_msec=0.302 (overall: 0.310)
                                                                      
SET: rps=146314.8 (overall: 146041.9) avg_msec=0.310 (overall: 0.310)
                                                                      
SET: rps=147812.0 (overall: 146097.1) avg_msec=0.309 (overall: 0.310)
                                                                      
SET: rps=147512.0 (overall: 146139.9) avg_msec=0.309 (overall: 0.310)
                                                                      
SET: rps=147482.1 (overall: 146179.5) avg_msec=0.309 (overall: 0.310)
                                                                      
SET: rps=147442.2 (overall: 146215.6) avg_msec=0.307 (overall: 0.310)
                                                                      
SET: rps=146564.0 (overall: 146225.3) avg_msec=0.306 (overall: 0.310)
                                                                      
SET: rps=148496.0 (overall: 146286.6) avg_msec=0.306 (overall: 0.309)
                                                                      
SET: rps=146884.5 (overall: 146302.3) avg_msec=0.310 (overall: 0.309)
                                                                      
SET: rps=146916.7 (overall: 146318.2) avg_msec=0.303 (overall: 0.309)
                                                                      
SET: rps=125264.0 (overall: 145792.8) avg_msec=0.334 (overall: 0.310)
                                                                      
SET: rps=136516.0 (overall: 145566.9) avg_msec=0.327 (overall: 0.310)
                                                                      
SET: rps=146490.0 (overall: 145588.9) avg_msec=0.304 (overall: 0.310)
                                                                      
SET: rps=146736.0 (overall: 145615.6) avg_msec=0.315 (overall: 0.310)
                                                                      
SET: rps=145211.2 (overall: 145606.3) avg_msec=0.312 (overall: 0.310)
                                                                      
SET: rps=147528.0 (overall: 145649.0) avg_msec=0.302 (overall: 0.310)
                                                                      
SET: rps=145960.2 (overall: 145655.8) avg_msec=0.304 (overall: 0.310)
                                                                      
SET: rps=145466.1 (overall: 145651.7) avg_msec=0.305 (overall: 0.310)
                                                                      
SET: rps=147244.0 (overall: 145684.8) avg_msec=0.309 (overall: 0.310)
                                                                      
