===== Redis 100M Benchmark =====
Instance Type: c6gd.xlarge
Run: 5
Date: 2026-01-23T04:43:13+00:00

--- System Info ---
CPU: 4 cores
Memory: 7.6G

--- Starting Redis Server ---
Redis server started

--- Warmup ---
Warmup complete (100K SET requests)

--- Test 1: SET 100M requests (50 clients, 3 threads) ---
Start: 2026-01-23T04:43:16+00:00
 
SET: rps=0.0 (overall: nan) avg_msec=0.000 (overall: 0.100)
                                                            
SET: rps=145216.0 (overall: 145216.0) avg_msec=0.311 (overall: 0.311)
                                                                      
SET: rps=146529.9 (overall: 145874.2) avg_msec=0.304 (overall: 0.308)
                                                                      
SET: rps=146404.0 (overall: 146050.6) avg_msec=0.315 (overall: 0.310)
                                                                      
SET: rps=146916.0 (overall: 146266.7) avg_msec=0.309 (overall: 0.310)
                                                                      
SET: rps=146478.1 (overall: 146309.1) avg_msec=0.310 (overall: 0.310)
                                                                      
SET: rps=147896.0 (overall: 146573.2) avg_msec=0.313 (overall: 0.311)
                                                                      
SET: rps=148032.0 (overall: 146781.4) avg_msec=0.310 (overall: 0.310)
                                                                      
SET: rps=148701.2 (overall: 147022.0) avg_msec=0.305 (overall: 0.310)
                                                                      
SET: rps=148896.0 (overall: 147229.9) avg_msec=0.304 (overall: 0.309)
                                                                      
SET: rps=147027.9 (overall: 147209.7) avg_msec=0.305 (overall: 0.309)
                                                                      
SET: rps=146024.0 (overall: 147102.0) avg_msec=0.308 (overall: 0.309)
                                                                      
SET: rps=147112.0 (overall: 147102.9) avg_msec=0.309 (overall: 0.309)
                                                                      
SET: rps=146613.5 (overall: 147065.1) avg_msec=0.312 (overall: 0.309)
                                                                      
SET: rps=146300.0 (overall: 147010.5) avg_msec=0.311 (overall: 0.309)
                                                                      
SET: rps=139472.0 (overall: 146508.7) avg_msec=0.321 (overall: 0.310)
                                                                      
SET: rps=147537.9 (overall: 146573.1) avg_msec=0.310 (overall: 0.310)
                                                                      
SET: rps=147040.0 (overall: 146600.6) avg_msec=0.312 (overall: 0.310)
                                                                      
SET: rps=146960.2 (overall: 146620.6) avg_msec=0.307 (overall: 0.310)
                                                                      
SET: rps=147232.0 (overall: 146652.7) avg_msec=0.312 (overall: 0.310)
                                                                      
SET: rps=146964.2 (overall: 146668.3) avg_msec=0.304 (overall: 0.310)
                                                                      
SET: rps=131220.0 (overall: 145933.8) avg_msec=0.335 (overall: 0.311)
                                                                      
SET: rps=121060.0 (overall: 144804.8) avg_msec=0.367 (overall: 0.313)
                                                                      
SET: rps=147039.8 (overall: 144902.2) avg_msec=0.307 (overall: 0.313)
                                                                      
SET: rps=147776.0 (overall: 145021.8) avg_msec=0.304 (overall: 0.312)
                                                                      
SET: rps=145688.0 (overall: 145048.4) avg_msec=0.309 (overall: 0.312)
                                                                      
SET: rps=145019.9 (overall: 145047.3) avg_msec=0.312 (overall: 0.312)
                                                                      
SET: rps=146372.0 (overall: 145096.3) avg_msec=0.312 (overall: 0.312)
                                                                      
SET: rps=146256.0 (overall: 145137.7) avg_msec=0.310 (overall: 0.312)
                                                                      
SET: rps=146494.0 (overall: 145184.5) avg_msec=0.311 (overall: 0.312)
                                                                      
SET: rps=146318.7 (overall: 145222.4) avg_msec=0.312 (overall: 0.312)
                                                                      
SET: rps=145892.0 (overall: 145244.0) avg_msec=0.305 (overall: 0.312)
                                                                      
SET: rps=147136.0 (overall: 145303.0) avg_msec=0.310 (overall: 0.312)
                                                                      
SET: rps=144310.8 (overall: 145272.9) avg_msec=0.315 (overall: 0.312)
                                                                      
SET: rps=147500.0 (overall: 145338.3) avg_msec=0.309 (overall: 0.312)
                                                                      
SET: rps=145896.4 (overall: 145354.3) avg_msec=0.310 (overall: 0.312)
                                                                      
SET: rps=147308.0 (overall: 145408.5) avg_msec=0.311 (overall: 0.312)
                                                                      
SET: rps=147112.0 (overall: 145454.5) avg_msec=0.307 (overall: 0.312)
                                                                      
SET: rps=147306.8 (overall: 145503.3) avg_msec=0.310 (overall: 0.312)
                                                                      
