===== Redis 100M Benchmark =====
Instance Type: c6gn.xlarge
Run: 5
Date: 2026-01-23T04:43:17+00:00

--- System Info ---
CPU: 4 cores
Memory: 7.6G

--- Starting Redis Server ---
Redis server started

--- Warmup ---
Warmup complete (100K SET requests)

--- Test 1: SET 100M requests (50 clients, 3 threads) ---
Start: 2026-01-23T04:43:20+00:00
 
SET: rps=0.0 (overall: nan) avg_msec=0.000 (overall: 0.156)
                                                            
SET: rps=149063.8 (overall: 149063.8) avg_msec=0.304 (overall: 0.304)
                                                                      
SET: rps=150512.0 (overall: 149786.4) avg_msec=0.305 (overall: 0.305)
                                                                      
SET: rps=149529.9 (overall: 149700.8) avg_msec=0.302 (overall: 0.304)
                                                                      
SET: rps=145444.0 (overall: 148638.7) avg_msec=0.302 (overall: 0.303)
                                                                      
SET: rps=129292.5 (overall: 144738.6) avg_msec=0.332 (overall: 0.309)
                                                                      
SET: rps=149422.3 (overall: 145519.2) avg_msec=0.301 (overall: 0.307)
                                                                      
SET: rps=150628.0 (overall: 146246.6) avg_msec=0.299 (overall: 0.306)
                                                                      
SET: rps=151517.9 (overall: 146905.8) avg_msec=0.298 (overall: 0.305)
                                                                      
SET: rps=151972.0 (overall: 147467.0) avg_msec=0.301 (overall: 0.305)
                                                                      
SET: rps=150732.0 (overall: 147792.6) avg_msec=0.296 (overall: 0.304)
                                                                      
SET: rps=150187.3 (overall: 148010.5) avg_msec=0.303 (overall: 0.304)
                                                                      
SET: rps=151440.0 (overall: 148295.5) avg_msec=0.301 (overall: 0.304)
                                                                      
SET: rps=150446.2 (overall: 148461.2) avg_msec=0.304 (overall: 0.304)
                                                                      
SET: rps=152488.0 (overall: 148748.1) avg_msec=0.299 (overall: 0.303)
                                                                      
SET: rps=149725.1 (overall: 148813.3) avg_msec=0.303 (overall: 0.303)
                                                                      
SET: rps=144228.0 (overall: 148527.4) avg_msec=0.313 (overall: 0.304)
                                                                      
SET: rps=151332.0 (overall: 148692.0) avg_msec=0.296 (overall: 0.303)
                                                                      
SET: rps=147263.0 (overall: 148612.5) avg_msec=0.299 (overall: 0.303)
                                                                      
SET: rps=150824.7 (overall: 148729.1) avg_msec=0.293 (overall: 0.303)
                                                                      
SET: rps=144345.2 (overall: 148508.8) avg_msec=0.318 (overall: 0.303)
                                                                      
SET: rps=151172.0 (overall: 148635.3) avg_msec=0.301 (overall: 0.303)
                                                                      
SET: rps=150940.2 (overall: 148740.2) avg_msec=0.306 (overall: 0.303)
                                                                      
SET: rps=149976.1 (overall: 148794.0) avg_msec=0.298 (overall: 0.303)
                                                                      
SET: rps=146152.0 (overall: 148684.2) avg_msec=0.315 (overall: 0.304)
                                                                      
SET: rps=150944.0 (overall: 148774.3) avg_msec=0.302 (overall: 0.304)
                                                                      
SET: rps=151660.0 (overall: 148885.1) avg_msec=0.302 (overall: 0.304)
                                                                      
SET: rps=150354.6 (overall: 148939.6) avg_msec=0.304 (overall: 0.304)
                                                                      
SET: rps=151852.0 (overall: 149043.3) avg_msec=0.299 (overall: 0.303)
                                                                      
SET: rps=150960.0 (overall: 149109.2) avg_msec=0.300 (overall: 0.303)
                                                                      
SET: rps=151541.8 (overall: 149190.5) avg_msec=0.302 (overall: 0.303)
                                                                      
SET: rps=150968.0 (overall: 149247.7) avg_msec=0.301 (overall: 0.303)
                                                                      
SET: rps=150464.0 (overall: 149285.6) avg_msec=0.301 (overall: 0.303)
                                                                      
SET: rps=150478.1 (overall: 149321.8) avg_msec=0.303 (overall: 0.303)
                                                                      
SET: rps=151520.0 (overall: 149386.3) avg_msec=0.303 (overall: 0.303)
                                                                      
SET: rps=151112.0 (overall: 149435.5) avg_msec=0.301 (overall: 0.303)
                                                                      
SET: rps=150422.3 (overall: 149463.0) avg_msec=0.298 (overall: 0.303)
                                                                      
SET: rps=151040.0 (overall: 149505.5) avg_msec=0.297 (overall: 0.303)
                                                                      
SET: rps=150392.0 (overall: 149528.8) avg_msec=0.308 (overall: 0.303)
                                                                      
SET: rps=150788.9 (overall: 149561.2) avg_msec=0.301 (overall: 0.303)
                                                                      
SET: rps=151928.0 (overall: 149620.2) avg_msec=0.303 (overall: 0.303)
                                                                      
SET: rps=151764.0 (overall: 149672.4) avg_msec=0.302 (overall: 0.303)
                                                                      
SET: rps=151235.1 (overall: 149709.7) avg_msec=0.302 (overall: 0.303)
                                                                      
SET: rps=150244.0 (overall: 149722.0) avg_msec=0.305 (overall: 0.303)
                                                                      
SET: rps=150972.0 (overall: 149750.4) avg_msec=0.301 (overall: 0.303)
                                                                      
SET: rps=143378.5 (overall: 149608.5) avg_msec=0.315 (overall: 0.303)
                                                                      
SET: rps=149428.0 (overall: 149604.6) avg_msec=0.305 (overall: 0.303)
                                                                      
SET: rps=149192.0 (overall: 149595.9) avg_msec=0.301 (overall: 0.303)
                                                                      
SET: rps=151294.8 (overall: 149631.3) avg_msec=0.302 (overall: 0.303)
                                                                      
SET: rps=151516.0 (overall: 149669.7) avg_msec=0.305 (overall: 0.303)
                                                                      
SET: rps=148904.4 (overall: 149654.4) avg_msec=0.307 (overall: 0.303)
                                                                      
SET: rps=150124.0 (overall: 149663.6) avg_msec=0.300 (overall: 0.303)
                                                                      
SET: rps=151143.4 (overall: 149692.1) avg_msec=0.299 (overall: 0.303)
                                                                      
SET: rps=151155.4 (overall: 149719.7) avg_msec=0.301 (overall: 0.303)
                                                                      
SET: rps=150641.4 (overall: 149736.8) avg_msec=0.305 (overall: 0.303)
                                                                      
SET: rps=144908.0 (overall: 149649.2) avg_msec=0.312 (overall: 0.303)
                                                                      
SET: rps=149964.0 (overall: 149654.8) avg_msec=0.298 (overall: 0.303)
                                                                      
SET: rps=150091.6 (overall: 149662.5) avg_msec=0.301 (overall: 0.303)
                                                                      
SET: rps=149384.0 (overall: 149657.7) avg_msec=0.299 (overall: 0.303)
                                                                      
SET: rps=140844.6 (overall: 149508.0) avg_msec=0.309 (overall: 0.303)
                                                                      
SET: rps=144404.0 (overall: 149423.2) avg_msec=0.306 (overall: 0.303)
                                                                      
SET: rps=151052.0 (overall: 149449.8) avg_msec=0.293 (overall: 0.303)
                                                                      
SET: rps=151808.8 (overall: 149487.9) avg_msec=0.290 (overall: 0.303)
                                                                      
SET: rps=150510.0 (overall: 149504.2) avg_msec=0.292 (overall: 0.303)
                                                                      
SET: rps=145685.3 (overall: 149444.4) avg_msec=0.304 (overall: 0.303)
                                                                      
SET: rps=151956.0 (overall: 149483.0) avg_msec=0.294 (overall: 0.303)
                                                                      
SET: rps=151462.2 (overall: 149513.0) avg_msec=0.294 (overall: 0.302)
                                                                      
SET: rps=146220.0 (overall: 149464.0) avg_msec=0.301 (overall: 0.302)
                                                                      
SET: rps=140549.8 (overall: 149332.6) avg_msec=0.315 (overall: 0.303)
                                                                      
SET: rps=145772.0 (overall: 149281.1) avg_msec=0.306 (overall: 0.303)
                                                                      
SET: rps=151152.0 (overall: 149307.8) avg_msec=0.296 (overall: 0.302)
                                                                      
SET: rps=150083.7 (overall: 149318.7) avg_msec=0.294 (overall: 0.302)
                                                                      
SET: rps=150035.9 (overall: 149328.7) avg_msec=0.292 (overall: 0.302)
                                                                      
SET: rps=141636.0 (overall: 149223.5) avg_msec=0.309 (overall: 0.302)
                                                                      
SET: rps=149557.8 (overall: 149228.1) avg_msec=0.298 (overall: 0.302)
                                                                      
SET: rps=151088.0 (overall: 149252.8) avg_msec=0.295 (overall: 0.302)
                                                                      
SET: rps=150749.0 (overall: 149272.5) avg_msec=0.296 (overall: 0.302)
                                                                      
SET: rps=150964.0 (overall: 149294.5) avg_msec=0.296 (overall: 0.302)
                                                                      
SET: rps=142984.1 (overall: 149213.4) avg_msec=0.305 (overall: 0.302)
                                                                      
SET: rps=151020.0 (overall: 149236.2) avg_msec=0.295 (overall: 0.302)
                                                                      
SET: rps=150637.5 (overall: 149253.8) avg_msec=0.295 (overall: 0.302)
                                                                      
SET: rps=148312.0 (overall: 149242.2) avg_msec=0.301 (overall: 0.302)
                                                                      
SET: rps=150964.2 (overall: 149263.2) avg_msec=0.292 (overall: 0.302)
                                                                      
SET: rps=150980.0 (overall: 149283.9) avg_msec=0.292 (overall: 0.302)
                                                                      
SET: rps=142736.0 (overall: 149206.1) avg_msec=0.306 (overall: 0.302)
                                                                      
SET: rps=148294.8 (overall: 149195.3) avg_msec=0.299 (overall: 0.302)
                                                                      
SET: rps=150031.9 (overall: 149205.1) avg_msec=0.297 (overall: 0.302)
                                                                      
