===== Redis 100M Benchmark =====
Instance Type: c6i.xlarge
Run: 5
Date: 2026-01-21T07:35:24+00:00

--- System Info ---
CPU: 4 cores
Memory: 7.6G
model name	: Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz

--- Starting Redis Server ---
Redis server started

--- Warmup ---
Warmup complete (100K SET requests)

--- Test 1: SET 100M requests (50 clients, 3 threads) ---
Start: 2026-01-21T07:35:27+00:00
 
SET: rps=0.0 (overall: -nan) avg_msec=-nan (overall: -nan)
                                                           
SET: rps=158800.8 (overall: 158800.8) avg_msec=0.299 (overall: 0.299)
                                                                      
SET: rps=159072.0 (overall: 158936.1) avg_msec=0.301 (overall: 0.300)
                                                                      
SET: rps=160572.0 (overall: 159480.7) avg_msec=0.295 (overall: 0.298)
                                                                      
SET: rps=158708.0 (overall: 159287.7) avg_msec=0.301 (overall: 0.299)
                                                                      
SET: rps=159462.2 (overall: 159322.7) avg_msec=0.296 (overall: 0.298)
                                                                      
SET: rps=160316.0 (overall: 159488.0) avg_msec=0.297 (overall: 0.298)
                                                                      
SET: rps=159796.0 (overall: 159532.0) avg_msec=0.299 (overall: 0.298)
                                                                      
SET: rps=160680.0 (overall: 159675.3) avg_msec=0.295 (overall: 0.298)
                                                                      
SET: rps=158944.2 (overall: 159593.9) avg_msec=0.300 (overall: 0.298)
                                                                      
SET: rps=159412.0 (overall: 159575.7) avg_msec=0.301 (overall: 0.298)
                                                                      
SET: rps=160204.0 (overall: 159632.8) avg_msec=0.300 (overall: 0.299)
                                                                      
SET: rps=161437.5 (overall: 159786.3) avg_msec=0.295 (overall: 0.298)
                                                                      
SET: rps=158757.0 (overall: 159707.1) avg_msec=0.300 (overall: 0.298)
                                                                      
SET: rps=160028.0 (overall: 159729.9) avg_msec=0.300 (overall: 0.299)
                                                                      
SET: rps=156660.0 (overall: 159525.8) avg_msec=0.303 (overall: 0.299)
                                                                      
SET: rps=162179.3 (overall: 159691.8) avg_msec=0.288 (overall: 0.298)
                                                                      
SET: rps=159804.0 (overall: 159698.4) avg_msec=0.301 (overall: 0.298)
                                                                      
SET: rps=159668.0 (overall: 159696.7) avg_msec=0.300 (overall: 0.298)
                                                                      
SET: rps=159540.0 (overall: 159688.5) avg_msec=0.301 (overall: 0.299)
                                                                      
SET: rps=161792.8 (overall: 159793.9) avg_msec=0.291 (overall: 0.298)
                                                                      
SET: rps=158296.0 (overall: 159722.7) avg_msec=0.299 (overall: 0.298)
                                                                      
SET: rps=154500.0 (overall: 159485.8) avg_msec=0.304 (overall: 0.298)
                                                                      
SET: rps=160605.6 (overall: 159534.6) avg_msec=0.296 (overall: 0.298)
                                                                      
SET: rps=155476.0 (overall: 159365.9) avg_msec=0.305 (overall: 0.299)
                                                                      
SET: rps=161240.0 (overall: 159440.7) avg_msec=0.295 (overall: 0.298)
                                                                      
SET: rps=160992.0 (overall: 159500.2) avg_msec=0.297 (overall: 0.298)
                                                                      
SET: rps=159808.8 (overall: 159511.7) avg_msec=0.300 (overall: 0.298)
                                                                      
SET: rps=163062.8 (overall: 159640.7) avg_msec=0.286 (overall: 0.298)
                                                                      
SET: rps=158665.3 (overall: 159607.0) avg_msec=0.299 (overall: 0.298)
                                                                      
SET: rps=159609.6 (overall: 159607.1) avg_msec=0.294 (overall: 0.298)
                                                                      
SET: rps=159172.0 (overall: 159593.1) avg_msec=0.301 (overall: 0.298)
                                                                      
SET: rps=161100.0 (overall: 159640.1) avg_msec=0.297 (overall: 0.298)
                                                                      
SET: rps=158340.0 (overall: 159600.8) avg_msec=0.302 (overall: 0.298)
                                                                      
SET: rps=159541.8 (overall: 159599.0) avg_msec=0.296 (overall: 0.298)
                                                                      
SET: rps=159252.0 (overall: 159589.1) avg_msec=0.302 (overall: 0.298)
                                                                      
SET: rps=159888.0 (overall: 159597.4) avg_msec=0.300 (overall: 0.298)
                                                                      
SET: rps=159406.4 (overall: 159592.3) avg_msec=0.299 (overall: 0.298)
                                                                      
SET: rps=160452.0 (overall: 159614.8) avg_msec=0.299 (overall: 0.298)
                                                                      
SET: rps=159840.0 (overall: 159620.6) avg_msec=0.301 (overall: 0.298)
                                                                      
SET: rps=158924.0 (overall: 159603.2) avg_msec=0.303 (overall: 0.298)
                                                                      
SET: rps=158840.6 (overall: 159584.6) avg_msec=0.301 (overall: 0.299)
                                                                      
SET: rps=161200.0 (overall: 159623.0) avg_msec=0.296 (overall: 0.298)
                                                                      
SET: rps=160040.0 (overall: 159632.6) avg_msec=0.299 (overall: 0.298)
                                                                      
SET: rps=160320.0 (overall: 159648.2) avg_msec=0.296 (overall: 0.298)
                                                                      
SET: rps=159657.4 (overall: 159648.4) avg_msec=0.299 (overall: 0.298)
                                                                      
SET: rps=159548.0 (overall: 159646.2) avg_msec=0.301 (overall: 0.298)
                                                                      
SET: rps=159031.9 (overall: 159633.2) avg_msec=0.301 (overall: 0.299)
                                                                      
SET: rps=159684.0 (overall: 159634.2) avg_msec=0.301 (overall: 0.299)
                                                                      
SET: rps=158520.0 (overall: 159611.5) avg_msec=0.304 (overall: 0.299)
                                                                      
SET: rps=159019.9 (overall: 159599.7) avg_msec=0.300 (overall: 0.299)
                                                                      
SET: rps=160944.0 (overall: 159626.0) avg_msec=0.297 (overall: 0.299)
                                                                      
SET: rps=160060.0 (overall: 159634.3) avg_msec=0.296 (overall: 0.299)
                                                                      
SET: rps=159360.0 (overall: 159629.1) avg_msec=0.300 (overall: 0.299)
                                                                      
SET: rps=161071.7 (overall: 159655.9) avg_msec=0.294 (overall: 0.299)
                                                                      
SET: rps=160784.0 (overall: 159676.4) avg_msec=0.297 (overall: 0.299)
                                                                      
SET: rps=159452.0 (overall: 159672.4) avg_msec=0.302 (overall: 0.299)
                                                                      
SET: rps=158912.4 (overall: 159659.0) avg_msec=0.302 (overall: 0.299)
                                                                      
SET: rps=160680.0 (overall: 159676.6) avg_msec=0.298 (overall: 0.299)
                                                                      
SET: rps=163156.0 (overall: 159735.4) avg_msec=0.288 (overall: 0.298)
                                                                      
SET: rps=158952.2 (overall: 159722.4) avg_msec=0.301 (overall: 0.299)
                                                                      
SET: rps=156536.0 (overall: 159670.2) avg_msec=0.304 (overall: 0.299)
                                                                      
SET: rps=162200.0 (overall: 159711.0) avg_msec=0.278 (overall: 0.298)
                                                                      
SET: rps=158601.6 (overall: 159693.3) avg_msec=0.302 (overall: 0.298)
                                                                      
SET: rps=158992.0 (overall: 159682.4) avg_msec=0.297 (overall: 0.298)
                                                                      
SET: rps=160116.0 (overall: 159689.0) avg_msec=0.300 (overall: 0.298)
                                                                      
SET: rps=161047.8 (overall: 159709.7) avg_msec=0.292 (overall: 0.298)
                                                                      
SET: rps=158920.0 (overall: 159697.9) avg_msec=0.302 (overall: 0.298)
                                                                      
SET: rps=158948.0 (overall: 159686.9) avg_msec=0.302 (overall: 0.298)
                                                                      
SET: rps=158120.0 (overall: 159664.2) avg_msec=0.299 (overall: 0.298)
                                                                      
SET: rps=160139.5 (overall: 159671.0) avg_msec=0.291 (overall: 0.298)
                                                                      
