===== Redis 100M Benchmark =====
Instance Type: c6id.xlarge
Run: 1
Date: 2026-01-23T05:34:26+00:00

--- System Info ---
CPU: 4 cores
Memory: 7.6G
model name	: Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz

--- Starting Redis Server ---
Redis server started

--- Warmup ---
Warmup complete (100K SET requests)

--- Test 1: SET 100M requests (50 clients, 3 threads) ---
Start: 2026-01-23T05:34:28+00:00
 
SET: rps=0.0 (overall: -nan) avg_msec=0.056 (overall: 0.000)
                                                             
SET: rps=156207.2 (overall: 156207.2) avg_msec=0.275 (overall: 0.275)
                                                                      
SET: rps=148784.0 (overall: 152503.0) avg_msec=0.292 (overall: 0.283)
                                                                      
SET: rps=132139.5 (overall: 145706.1) avg_msec=0.309 (overall: 0.291)
                                                                      
SET: rps=134517.9 (overall: 142906.3) avg_msec=0.319 (overall: 0.298)
                                                                      
SET: rps=135075.7 (overall: 141338.9) avg_msec=0.299 (overall: 0.298)
                                                                      
SET: rps=140872.0 (overall: 141261.3) avg_msec=0.312 (overall: 0.300)
                                                                      
SET: rps=134462.2 (overall: 140288.9) avg_msec=0.315 (overall: 0.302)
                                                                      
SET: rps=124968.1 (overall: 138371.9) avg_msec=0.352 (overall: 0.308)
                                                                      
SET: rps=147536.0 (overall: 139387.4) avg_msec=0.300 (overall: 0.307)
                                                                      
SET: rps=160800.8 (overall: 141531.3) avg_msec=0.281 (overall: 0.304)
                                                                      
SET: rps=164840.0 (overall: 143644.9) avg_msec=0.283 (overall: 0.302)
                                                                      
SET: rps=164456.0 (overall: 145375.1) avg_msec=0.284 (overall: 0.300)
                                                                      
SET: rps=170664.0 (overall: 147316.2) avg_msec=0.267 (overall: 0.297)
                                                                      
SET: rps=162502.0 (overall: 148402.8) avg_msec=0.287 (overall: 0.297)
                                                                      
SET: rps=166588.0 (overall: 149612.6) avg_msec=0.278 (overall: 0.295)
                                                                      
SET: rps=168220.0 (overall: 150773.2) avg_msec=0.274 (overall: 0.294)
                                                                      
SET: rps=164378.5 (overall: 151575.0) avg_msec=0.280 (overall: 0.293)
                                                                      
SET: rps=170344.0 (overall: 152615.7) avg_msec=0.272 (overall: 0.291)
                                                                      
SET: rps=161820.7 (overall: 153101.0) avg_msec=0.279 (overall: 0.291)
                                                                      
SET: rps=137917.0 (overall: 152334.7) avg_msec=0.312 (overall: 0.292)
                                                                      
SET: rps=165131.5 (overall: 152944.9) avg_msec=0.263 (overall: 0.290)
                                                                      
SET: rps=169144.0 (overall: 153679.4) avg_msec=0.275 (overall: 0.289)
                                                                      
SET: rps=166490.0 (overall: 154237.1) avg_msec=0.277 (overall: 0.289)
                                                                      
SET: rps=169096.0 (overall: 154854.7) avg_msec=0.274 (overall: 0.288)
                                                                      
SET: rps=162848.0 (overall: 155173.7) avg_msec=0.286 (overall: 0.288)
                                                                      
SET: rps=166310.8 (overall: 155602.7) avg_msec=0.281 (overall: 0.288)
                                                                      
SET: rps=159620.0 (overall: 155751.1) avg_msec=0.289 (overall: 0.288)
                                                                      
SET: rps=146031.9 (overall: 155403.4) avg_msec=0.302 (overall: 0.288)
                                                                      
SET: rps=161536.0 (overall: 155614.4) avg_msec=0.283 (overall: 0.288)
                                                                      
SET: rps=166456.0 (overall: 155975.0) avg_msec=0.278 (overall: 0.288)
