===== Redis 100M Benchmark =====
Instance Type: c6id.xlarge
Run: 5
Date: 2026-01-23T05:56:34+00:00

--- System Info ---
CPU: 4 cores
Memory: 7.6G
model name	: Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz

--- Starting Redis Server ---
Redis server started

--- Warmup ---
Warmup complete (100K SET requests)

--- Test 1: SET 100M requests (50 clients, 3 threads) ---
Start: 2026-01-23T05:56:37+00:00
 
SET: rps=0.0 (overall: inf) avg_msec=0.130 (overall: 0.088)
                                                            
SET: rps=157151.4 (overall: 157187.3) avg_msec=0.302 (overall: 0.302)
                                                                      
SET: rps=158976.0 (overall: 158079.8) avg_msec=0.298 (overall: 0.300)
                                                                      
SET: rps=159208.0 (overall: 158455.4) avg_msec=0.297 (overall: 0.299)
                                                                      
SET: rps=157328.0 (overall: 158173.8) avg_msec=0.304 (overall: 0.300)
                                                                      
SET: rps=156996.0 (overall: 157937.7) avg_msec=0.303 (overall: 0.301)
                                                                      
SET: rps=158580.0 (overall: 158044.6) avg_msec=0.300 (overall: 0.301)
                                                                      
SET: rps=159444.0 (overall: 158244.3) avg_msec=0.298 (overall: 0.300)
                                                                      
SET: rps=157840.6 (overall: 158193.7) avg_msec=0.300 (overall: 0.300)
                                                                      
SET: rps=160624.0 (overall: 158463.4) avg_msec=0.294 (overall: 0.300)
                                                                      
SET: rps=158152.0 (overall: 158432.3) avg_msec=0.302 (overall: 0.300)
                                                                      
SET: rps=154960.2 (overall: 158115.8) avg_msec=0.306 (overall: 0.301)
                                                                      
SET: rps=158980.0 (overall: 158187.8) avg_msec=0.296 (overall: 0.300)
                                                                      
SET: rps=157768.0 (overall: 158155.5) avg_msec=0.302 (overall: 0.300)
                                                                      
SET: rps=157792.8 (overall: 158129.5) avg_msec=0.297 (overall: 0.300)
                                                                      
SET: rps=157576.0 (overall: 158092.7) avg_msec=0.302 (overall: 0.300)
                                                                      
SET: rps=159496.0 (overall: 158180.3) avg_msec=0.295 (overall: 0.300)
                                                                      
SET: rps=157422.3 (overall: 158135.6) avg_msec=0.302 (overall: 0.300)
                                                                      
SET: rps=157752.0 (overall: 158114.3) avg_msec=0.302 (overall: 0.300)
                                                                      
SET: rps=157680.0 (overall: 158091.5) avg_msec=0.303 (overall: 0.300)
                                                                      
SET: rps=158932.0 (overall: 158133.4) avg_msec=0.296 (overall: 0.300)
                                                                      
SET: rps=156342.6 (overall: 158047.9) avg_msec=0.301 (overall: 0.300)
                                                                      
SET: rps=157168.0 (overall: 158008.0) avg_msec=0.301 (overall: 0.300)
                                                                      
SET: rps=154564.0 (overall: 157858.4) avg_msec=0.304 (overall: 0.300)
                                                                      
SET: rps=155298.8 (overall: 157751.5) avg_msec=0.304 (overall: 0.300)
                                                                      
SET: rps=155420.0 (overall: 157658.4) avg_msec=0.306 (overall: 0.301)
                                                                      
SET: rps=157644.0 (overall: 157657.8) avg_msec=0.302 (overall: 0.301)
                                                                      
SET: rps=159247.0 (overall: 157716.8) avg_msec=0.293 (overall: 0.300)
                                                                      
SET: rps=161388.0 (overall: 157847.8) avg_msec=0.288 (overall: 0.300)
                                                                      
SET: rps=158208.0 (overall: 157860.2) avg_msec=0.300 (overall: 0.300)
                                                                      
SET: rps=156928.0 (overall: 157829.1) avg_msec=0.304 (overall: 0.300)
                                                                      
SET: rps=154788.9 (overall: 157730.8) avg_msec=0.300 (overall: 0.300)
                                                                      
SET: rps=156680.0 (overall: 157698.0) avg_msec=0.305 (overall: 0.300)
                                                                      
SET: rps=159224.0 (overall: 157744.2) avg_msec=0.296 (overall: 0.300)
                                                                      
SET: rps=157055.8 (overall: 157723.9) avg_msec=0.301 (overall: 0.300)
                                                                      
