===== Redis 100M Benchmark =====
Instance Type: c6in.xlarge
Run: 2
Date: 2026-01-23T04:41:12+00:00

--- System Info ---
CPU: 4 cores
Memory: 7.6G
model name	: Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz

--- Starting Redis Server ---
Redis server started

--- Warmup ---
Warmup complete (100K SET requests)

--- Test 1: SET 100M requests (50 clients, 3 threads) ---
Start: 2026-01-23T04:41:15+00:00
 
SET: rps=0.0 (overall: 0.0) avg_msec=-nan (overall: -nan)
                                                          
SET: rps=166376.0 (overall: 165713.2) avg_msec=0.275 (overall: 0.275)
                                                                      
SET: rps=158796.0 (overall: 162261.5) avg_msec=0.281 (overall: 0.278)
                                                                      
SET: rps=142043.8 (overall: 155513.3) avg_msec=0.300 (overall: 0.285)
                                                                      
SET: rps=136567.5 (overall: 150758.0) avg_msec=0.302 (overall: 0.289)
                                                                      
SET: rps=134544.0 (overall: 147525.5) avg_msec=0.304 (overall: 0.291)
                                                                      
SET: rps=133442.2 (overall: 145176.8) avg_msec=0.313 (overall: 0.295)
                                                                      
SET: rps=132015.9 (overall: 143295.5) avg_msec=0.322 (overall: 0.298)
                                                                      
SET: rps=121108.0 (overall: 140530.4) avg_msec=0.338 (overall: 0.303)
                                                                      
SET: rps=146140.0 (overall: 141152.0) avg_msec=0.285 (overall: 0.301)
                                                                      
SET: rps=154709.2 (overall: 142509.4) avg_msec=0.288 (overall: 0.299)
                                                                      
SET: rps=161460.0 (overall: 144227.8) avg_msec=0.287 (overall: 0.298)
                                                                      
SET: rps=160470.1 (overall: 145583.1) avg_msec=0.290 (overall: 0.297)
                                                                      
SET: rps=167248.0 (overall: 147245.5) avg_msec=0.277 (overall: 0.296)
                                                                      
SET: rps=166956.0 (overall: 148650.2) avg_msec=0.277 (overall: 0.294)
                                                                      
SET: rps=168446.2 (overall: 149972.1) avg_msec=0.271 (overall: 0.292)
                                                                      
SET: rps=166896.0 (overall: 151027.4) avg_msec=0.276 (overall: 0.291)
                                                                      
SET: rps=162856.0 (overall: 151721.8) avg_msec=0.286 (overall: 0.291)
                                                                      
SET: rps=171680.0 (overall: 152828.3) avg_msec=0.266 (overall: 0.290)
                                                                      
SET: rps=166936.3 (overall: 153572.3) avg_msec=0.265 (overall: 0.288)
                                                                      
SET: rps=169032.0 (overall: 154343.7) avg_msec=0.272 (overall: 0.287)
                                                                      
SET: rps=160820.0 (overall: 154651.5) avg_msec=0.296 (overall: 0.288)
                                                                      
SET: rps=165310.8 (overall: 155137.0) avg_msec=0.279 (overall: 0.287)
                                                                      
SET: rps=157748.0 (overall: 155250.3) avg_msec=0.291 (overall: 0.287)
                                                                      
SET: rps=164464.0 (overall: 155633.5) avg_msec=0.280 (overall: 0.287)
                                                                      
SET: rps=168673.3 (overall: 156156.2) avg_msec=0.271 (overall: 0.286)
                                                                      
SET: rps=165684.0 (overall: 156522.0) avg_msec=0.277 (overall: 0.286)
                                                                      
SET: rps=165516.0 (overall: 156854.5) avg_msec=0.277 (overall: 0.286)
                                                                      
SET: rps=166776.9 (overall: 157209.6) avg_msec=0.266 (overall: 0.285)
                                                                      
SET: rps=164648.0 (overall: 157465.6) avg_msec=0.277 (overall: 0.285)
                                                                      
SET: rps=166736.0 (overall: 157774.1) avg_msec=0.272 (overall: 0.284)
                                                                      
SET: rps=167524.0 (overall: 158088.1) avg_msec=0.275 (overall: 0.284)
                                                                      
SET: rps=165015.9 (overall: 158305.1) avg_msec=0.280 (overall: 0.284)
                                                                      
SET: rps=171808.0 (overall: 158713.6) avg_msec=0.268 (overall: 0.283)
                                                                      
SET: rps=162124.0 (overall: 158813.7) avg_msec=0.287 (overall: 0.283)
                                                                      
SET: rps=175920.0 (overall: 159301.7) avg_msec=0.253 (overall: 0.283)
                                                                      
SET: rps=170103.6 (overall: 159602.4) avg_msec=0.260 (overall: 0.282)
                                                                      
SET: rps=171268.0 (overall: 159917.2) avg_msec=0.269 (overall: 0.281)
                                                                      
SET: rps=163280.0 (overall: 160005.6) avg_msec=0.290 (overall: 0.282)
                                                                      
SET: rps=167625.5 (overall: 160201.4) avg_msec=0.278 (overall: 0.282)
                                                                      
SET: rps=166552.0 (overall: 160359.9) avg_msec=0.281 (overall: 0.282)
                                                                      
SET: rps=167964.0 (overall: 160545.1) avg_msec=0.279 (overall: 0.282)
                                                                      
SET: rps=162784.9 (overall: 160598.5) avg_msec=0.284 (overall: 0.282)
                                                                      
SET: rps=169292.0 (overall: 160800.4) avg_msec=0.272 (overall: 0.281)
                                                                      
SET: rps=163604.0 (overall: 160864.0) avg_msec=0.285 (overall: 0.281)
                                                                      
SET: rps=161454.2 (overall: 160877.2) avg_msec=0.291 (overall: 0.282)
                                                                      
SET: rps=167184.0 (overall: 161014.1) avg_msec=0.278 (overall: 0.282)
                                                                      
