===== Redis 100M Benchmark =====
Instance Type: c6in.xlarge
Run: 4
Date: 2026-01-23T04:41:22+00:00

--- System Info ---
CPU: 4 cores
Memory: 7.6G
model name	: Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz

--- Starting Redis Server ---
Redis server started

--- Warmup ---
Warmup complete (100K SET requests)

--- Test 1: SET 100M requests (50 clients, 3 threads) ---
Start: 2026-01-23T04:41:25+00:00
 
SET: rps=0.0 (overall: -nan) avg_msec=0.047 (overall: 0.000)
                                                             
SET: rps=155836.0 (overall: 155836.0) avg_msec=0.286 (overall: 0.286)
                                                                      
SET: rps=153047.8 (overall: 154439.1) avg_msec=0.291 (overall: 0.289)
                                                                      
SET: rps=133761.0 (overall: 147537.2) avg_msec=0.301 (overall: 0.292)
                                                                      
SET: rps=135408.0 (overall: 144511.0) avg_msec=0.299 (overall: 0.294)
                                                                      
SET: rps=124270.9 (overall: 140456.5) avg_msec=0.354 (overall: 0.305)
                                                                      
SET: rps=129904.0 (overall: 138701.3) avg_msec=0.312 (overall: 0.306)
                                                                      
SET: rps=136736.0 (overall: 138421.0) avg_msec=0.296 (overall: 0.304)
                                                                      
SET: rps=135749.0 (overall: 138086.3) avg_msec=0.302 (overall: 0.304)
                                                                      
SET: rps=147390.5 (overall: 139121.9) avg_msec=0.295 (overall: 0.303)
                                                                      
SET: rps=164012.0 (overall: 141606.0) avg_msec=0.287 (overall: 0.301)
                                                                      
SET: rps=164208.0 (overall: 143657.0) avg_msec=0.279 (overall: 0.299)
                                                                      
SET: rps=167314.8 (overall: 145632.4) avg_msec=0.276 (overall: 0.297)
                                                                      
SET: rps=165368.0 (overall: 147147.7) avg_msec=0.279 (overall: 0.295)
                                                                      
SET: rps=169012.0 (overall: 148706.8) avg_msec=0.274 (overall: 0.294)
                                                                      
SET: rps=146737.1 (overall: 148575.2) avg_msec=0.309 (overall: 0.295)
                                                                      
SET: rps=169680.0 (overall: 149891.9) avg_msec=0.269 (overall: 0.293)
                                                                      
SET: rps=161920.0 (overall: 150598.3) avg_msec=0.288 (overall: 0.293)
                                                                      
SET: rps=164063.8 (overall: 151348.0) avg_msec=0.286 (overall: 0.292)
                                                                      
SET: rps=166652.0 (overall: 152152.2) avg_msec=0.279 (overall: 0.291)
                                                                      
SET: rps=165844.0 (overall: 152835.7) avg_msec=0.283 (overall: 0.291)
                                                                      
SET: rps=167760.0 (overall: 153545.3) avg_msec=0.276 (overall: 0.290)
                                                                      
SET: rps=169000.0 (overall: 154249.4) avg_msec=0.274 (overall: 0.289)
                                                                      
SET: rps=164312.0 (overall: 154686.2) avg_msec=0.276 (overall: 0.289)
                                                                      
SET: rps=162968.0 (overall: 155030.8) avg_msec=0.282 (overall: 0.288)
                                                                      
SET: rps=161800.0 (overall: 155301.2) avg_msec=0.287 (overall: 0.288)
                                                                      
SET: rps=164856.6 (overall: 155669.6) avg_msec=0.283 (overall: 0.288)
                                                                      
SET: rps=163660.0 (overall: 155965.1) avg_msec=0.285 (overall: 0.288)
                                                                      
SET: rps=169520.0 (overall: 156448.5) avg_msec=0.275 (overall: 0.288)
                                                                      
SET: rps=168216.0 (overall: 156853.7) avg_msec=0.272 (overall: 0.287)
                                                                      
SET: rps=165227.1 (overall: 157133.5) avg_msec=0.285 (overall: 0.287)
                                                                      
SET: rps=160468.0 (overall: 157240.9) avg_msec=0.288 (overall: 0.287)
                                                                      
SET: rps=171132.0 (overall: 157674.5) avg_msec=0.268 (overall: 0.286)
                                                                      
