===== Redis 100M Benchmark =====
Instance Type: c7g.xlarge
Run: 3
Date: 2026-01-21T05:40:55+00:00

--- System Info ---
CPU: 4 cores
Memory: 7.6G

--- Starting Redis Server ---
Redis server started

--- Warmup ---
Warmup complete (1M requests)

--- Test 1: SET 100M requests (50 clients, 3 threads) ---
Start: 2026-01-21T05:58:54+00:00
 
SET: rps=0.0 (overall: nan) avg_msec=0.000 (overall: 0.094)
                                                            
SET: rps=178176.0 (overall: 178176.0) avg_msec=0.253 (overall: 0.253)
                                                                      
SET: rps=177848.0 (overall: 178012.0) avg_msec=0.260 (overall: 0.256)
                                                                      
SET: rps=178697.2 (overall: 178241.0) avg_msec=0.258 (overall: 0.257)
                                                                      
SET: rps=178844.0 (overall: 178391.6) avg_msec=0.259 (overall: 0.257)
                                                                      
SET: rps=179016.0 (overall: 178516.4) avg_msec=0.257 (overall: 0.257)
                                                                      
SET: rps=179000.0 (overall: 178596.9) avg_msec=0.259 (overall: 0.258)
                                                                      
SET: rps=177812.8 (overall: 178484.6) avg_msec=0.253 (overall: 0.257)
                                                                      
SET: rps=179644.0 (overall: 178629.4) avg_msec=0.258 (overall: 0.257)
                                                                      
SET: rps=179708.0 (overall: 178749.1) avg_msec=0.258 (overall: 0.257)
                                                                      
SET: rps=179440.0 (overall: 178818.1) avg_msec=0.258 (overall: 0.257)
                                                                      
SET: rps=178649.4 (overall: 178802.8) avg_msec=0.258 (overall: 0.257)
                                                                      
SET: rps=177076.0 (overall: 178659.0) avg_msec=0.254 (overall: 0.257)
                                                                      
SET: rps=177216.0 (overall: 178548.1) avg_msec=0.252 (overall: 0.257)
                                                                      
SET: rps=178572.0 (overall: 178549.8) avg_msec=0.256 (overall: 0.257)
                                                                      
SET: rps=178736.0 (overall: 178562.2) avg_msec=0.260 (overall: 0.257)
                                                                      
SET: rps=178051.8 (overall: 178530.2) avg_msec=0.259 (overall: 0.257)
                                                                      
SET: rps=174384.0 (overall: 178286.5) avg_msec=0.256 (overall: 0.257)
                                                                      
SET: rps=178684.0 (overall: 178308.6) avg_msec=0.253 (overall: 0.257)
                                                                      
SET: rps=178824.0 (overall: 178335.7) avg_msec=0.259 (overall: 0.257)
                                                                      
SET: rps=179024.0 (overall: 178370.1) avg_msec=0.258 (overall: 0.257)
                                                                      
SET: rps=177705.2 (overall: 178338.3) avg_msec=0.259 (overall: 0.257)
                                                                      
SET: rps=179000.0 (overall: 178368.4) avg_msec=0.258 (overall: 0.257)
                                                                      
SET: rps=178908.0 (overall: 178391.8) avg_msec=0.259 (overall: 0.257)
                                                                      
SET: rps=178840.0 (overall: 178410.5) avg_msec=0.259 (overall: 0.257)
                                                                      
SET: rps=178600.0 (overall: 178418.1) avg_msec=0.260 (overall: 0.257)
                                                                      
SET: rps=178167.3 (overall: 178408.4) avg_msec=0.259 (overall: 0.257)
                                                                      
SET: rps=178768.0 (overall: 178421.7) avg_msec=0.251 (overall: 0.257)
                                                                      
SET: rps=180040.0 (overall: 178479.4) avg_msec=0.257 (overall: 0.257)
                                                                      
SET: rps=179892.0 (overall: 178528.1) avg_msec=0.257 (overall: 0.257)
                                                                      
SET: rps=179812.0 (overall: 178570.9) avg_msec=0.254 (overall: 0.257)
                                                                      
SET: rps=179784.9 (overall: 178610.2) avg_msec=0.256 (overall: 0.257)
                                                                      
SET: rps=176224.0 (overall: 178535.7) avg_msec=0.260 (overall: 0.257)
                                                                      
SET: rps=161096.0 (overall: 178007.6) avg_msec=0.280 (overall: 0.258)
                                                                      
SET: rps=178148.0 (overall: 178011.8) avg_msec=0.251 (overall: 0.258)
                                                                      
SET: rps=180152.0 (overall: 178072.9) avg_msec=0.256 (overall: 0.258)
                                                                      
SET: rps=179521.9 (overall: 178113.2) avg_msec=0.257 (overall: 0.258)
                                                                      
SET: rps=180228.0 (overall: 178170.3) avg_msec=0.257 (overall: 0.258)
                                                                      
SET: rps=180280.0 (overall: 178225.8) avg_msec=0.256 (overall: 0.257)
                                                                      
SET: rps=179521.9 (overall: 178259.2) avg_msec=0.257 (overall: 0.257)
                                                                      
SET: rps=180184.0 (overall: 178307.2) avg_msec=0.257 (overall: 0.257)
                                                                      
SET: rps=180408.0 (overall: 178358.4) avg_msec=0.256 (overall: 0.257)
                                                                      
SET: rps=180648.0 (overall: 178412.9) avg_msec=0.256 (overall: 0.257)
                                                                      
SET: rps=180460.0 (overall: 178460.5) avg_msec=0.257 (overall: 0.257)
                                                                      
SET: rps=179876.5 (overall: 178492.7) avg_msec=0.256 (overall: 0.257)
                                                                      
SET: rps=180368.0 (overall: 178534.4) avg_msec=0.256 (overall: 0.257)
                                                                      
SET: rps=180052.0 (overall: 178567.3) avg_msec=0.255 (overall: 0.257)
                                                                      
SET: rps=179757.0 (overall: 178592.7) avg_msec=0.256 (overall: 0.257)
                                                                      
SET: rps=180856.0 (overall: 178639.8) avg_msec=0.256 (overall: 0.257)
                                                                      
SET: rps=180636.0 (overall: 178680.5) avg_msec=0.256 (overall: 0.257)
                                                                      
SET: rps=180584.0 (overall: 178718.6) avg_msec=0.255 (overall: 0.257)
                                                                      
SET: rps=180468.0 (overall: 178752.8) avg_msec=0.256 (overall: 0.257)
                                                                      
SET: rps=177168.0 (overall: 178722.4) avg_msec=0.237 (overall: 0.257)
                                                                      
SET: rps=178159.4 (overall: 178711.7) avg_msec=0.253 (overall: 0.257)
                                                                      
SET: rps=178368.0 (overall: 178705.4) avg_msec=0.251 (overall: 0.257)
                                                                      
SET: rps=179076.0 (overall: 178712.1) avg_msec=0.259 (overall: 0.257)
                                                                      
SET: rps=178239.0 (overall: 178703.6) avg_msec=0.258 (overall: 0.257)
                                                                      
SET: rps=177476.0 (overall: 178682.1) avg_msec=0.255 (overall: 0.257)
                                                                      
SET: rps=179888.0 (overall: 178702.9) avg_msec=0.257 (overall: 0.257)
                                                                      
SET: rps=180112.0 (overall: 178726.8) avg_msec=0.257 (overall: 0.257)
                                                                      
SET: rps=179728.0 (overall: 178743.4) avg_msec=0.257 (overall: 0.257)
                                                                      
SET: rps=179414.4 (overall: 178754.5) avg_msec=0.257 (overall: 0.257)
                                                                      
SET: rps=179740.0 (overall: 178770.3) avg_msec=0.245 (overall: 0.256)
                                                                      
SET: rps=180124.0 (overall: 178791.8) avg_msec=0.257 (overall: 0.256)
                                                                      
SET: rps=180344.0 (overall: 178816.0) avg_msec=0.257 (overall: 0.256)
                                                                      
SET: rps=180240.0 (overall: 178837.9) avg_msec=0.257 (overall: 0.256)
                                                                      
SET: rps=178836.7 (overall: 178837.9) avg_msec=0.258 (overall: 0.257)
                                                                      
SET: rps=180052.0 (overall: 178856.0) avg_msec=0.257 (overall: 0.257)
                                                                      
SET: rps=179936.0 (overall: 178871.9) avg_msec=0.257 (overall: 0.257)
                                                                      
SET: rps=180132.0 (overall: 178890.1) avg_msec=0.257 (overall: 0.257)
                                                                      
SET: rps=178900.4 (overall: 178890.3) avg_msec=0.250 (overall: 0.256)
                                                                      
SET: rps=178344.0 (overall: 178882.6) avg_msec=0.257 (overall: 0.256)
                                                                      
SET: rps=179744.0 (overall: 178894.5) avg_msec=0.257 (overall: 0.256)
                                                                      
SET: rps=177688.0 (overall: 178878.0) avg_msec=0.256 (overall: 0.256)
                                                                      
SET: rps=179486.1 (overall: 178886.3) avg_msec=0.257 (overall: 0.256)
                                                                      
SET: rps=180188.0 (overall: 178903.6) avg_msec=0.257 (overall: 0.256)
                                                                      
SET: rps=180252.0 (overall: 178921.3) avg_msec=0.257 (overall: 0.256)
                                                                      
SET: rps=180196.0 (overall: 178937.9) avg_msec=0.257 (overall: 0.256)
                                                                      
SET: rps=179418.3 (overall: 178944.1) avg_msec=0.257 (overall: 0.257)
                                                                      
SET: rps=180268.0 (overall: 178960.8) avg_msec=0.257 (overall: 0.257)
                                                                      
SET: rps=180240.0 (overall: 178976.8) avg_msec=0.257 (overall: 0.257)
                                                                      
SET: rps=179804.0 (overall: 178987.0) avg_msec=0.257 (overall: 0.257)
                                                                      
SET: rps=179227.1 (overall: 178989.9) avg_msec=0.257 (overall: 0.257)
                                                                      
SET: rps=179744.0 (overall: 178999.0) avg_msec=0.255 (overall: 0.257)
                                                                      
SET: rps=179932.0 (overall: 179010.1) avg_msec=0.257 (overall: 0.257)
                                                                      
SET: rps=179580.0 (overall: 179016.8) avg_msec=0.257 (overall: 0.257)
                                                                      
SET: rps=179426.3 (overall: 179021.6) avg_msec=0.257 (overall: 0.257)
                                                                      
SET: rps=179996.0 (overall: 179032.8) avg_msec=0.257 (overall: 0.257)
                                                                      
SET: rps=179508.0 (overall: 179038.1) avg_msec=0.258 (overall: 0.257)
                                                                      
SET: rps=179306.8 (overall: 179041.2) avg_msec=0.257 (overall: 0.257)
                                                                      
SET: rps=180044.0 (overall: 179052.3) avg_msec=0.257 (overall: 0.257)
                                                                      
SET: rps=180224.0 (overall: 179065.2) avg_msec=0.257 (overall: 0.257)
                                                                      
SET: rps=177604.0 (overall: 179049.3) avg_msec=0.238 (overall: 0.256)
                                                                      
SET: rps=180168.0 (overall: 179061.3) avg_msec=0.257 (overall: 0.256)
                                                                      
SET: rps=179179.3 (overall: 179062.6) avg_msec=0.257 (overall: 0.256)
                                                                      
SET: rps=179740.0 (overall: 179069.7) avg_msec=0.257 (overall: 0.256)
                                                                      
SET: rps=180288.0 (overall: 179082.4) avg_msec=0.257 (overall: 0.256)
                                                                      
SET: rps=178268.0 (overall: 179074.0) avg_msec=0.253 (overall: 0.256)
                                                                      
SET: rps=180028.0 (overall: 179083.7) avg_msec=0.257 (overall: 0.256)
                                                                      
SET: rps=178968.1 (overall: 179082.5) avg_msec=0.258 (overall: 0.256)
                                                                      
SET: rps=179648.0 (overall: 179088.2) avg_msec=0.257 (overall: 0.256)
                                                                      
SET: rps=178596.0 (overall: 179083.3) avg_msec=0.257 (overall: 0.256)
                                                                      
SET: rps=178500.0 (overall: 179077.6) avg_msec=0.259 (overall: 0.256)
                                                                      
SET: rps=178944.0 (overall: 179076.3) avg_msec=0.259 (overall: 0.256)
                                                                      
SET: rps=179040.0 (overall: 179076.0) avg_msec=0.259 (overall: 0.257)
                                                                      
SET: rps=178286.9 (overall: 179068.4) avg_msec=0.258 (overall: 0.257)
                                                                      
SET: rps=179032.0 (overall: 179068.1) avg_msec=0.259 (overall: 0.257)
                                                                      
SET: rps=178140.0 (overall: 179059.4) avg_msec=0.260 (overall: 0.257)
                                                                      
SET: rps=179076.0 (overall: 179059.6) avg_msec=0.258 (overall: 0.257)
                                                                      
SET: rps=178988.0 (overall: 179058.9) avg_msec=0.259 (overall: 0.257)
                                                                      
SET: rps=178223.1 (overall: 179051.3) avg_msec=0.259 (overall: 0.257)
                                                                      
SET: rps=179116.0 (overall: 179051.9) avg_msec=0.259 (overall: 0.257)
                                                                      
SET: rps=179184.0 (overall: 179053.1) avg_msec=0.258 (overall: 0.257)
                                                                      
SET: rps=177740.0 (overall: 179041.5) avg_msec=0.253 (overall: 0.257)
                                                                      
SET: rps=179732.0 (overall: 179047.5) avg_msec=0.258 (overall: 0.257)
                                                                      
SET: rps=178916.3 (overall: 179046.4) avg_msec=0.258 (overall: 0.257)
                                                                      
SET: rps=179448.0 (overall: 179049.8) avg_msec=0.258 (overall: 0.257)
                                                                      
SET: rps=179752.0 (overall: 179055.8) avg_msec=0.258 (overall: 0.257)
                                                                      
SET: rps=178557.8 (overall: 179051.6) avg_msec=0.258 (overall: 0.257)
                                                                      
SET: rps=179168.0 (overall: 179052.6) avg_msec=0.259 (overall: 0.257)
                                                                      
SET: rps=179720.0 (overall: 179058.1) avg_msec=0.256 (overall: 0.257)
                                                                      
SET: rps=180176.0 (overall: 179067.3) avg_msec=0.257 (overall: 0.257)
                                                                      
SET: rps=179374.5 (overall: 179069.9) avg_msec=0.257 (overall: 0.257)
                                                                      
SET: rps=179988.0 (overall: 179077.3) avg_msec=0.257 (overall: 0.257)
                                                                      
SET: rps=180116.0 (overall: 179085.7) avg_msec=0.257 (overall: 0.257)
                                                                      
SET: rps=180000.0 (overall: 179093.0) avg_msec=0.256 (overall: 0.257)
                                                                      
SET: rps=179195.2 (overall: 179093.8) avg_msec=0.257 (overall: 0.257)
                                                                      
SET: rps=179932.0 (overall: 179100.4) avg_msec=0.258 (overall: 0.257)
                                                                      
SET: rps=180156.0 (overall: 179108.7) avg_msec=0.257 (overall: 0.257)
                                                                      
SET: rps=180128.0 (overall: 179116.5) avg_msec=0.257 (overall: 0.257)
                                                                      
SET: rps=179503.9 (overall: 179119.6) avg_msec=0.256 (overall: 0.257)
                                                                      
SET: rps=179528.0 (overall: 179122.7) avg_msec=0.258 (overall: 0.257)
                                                                      
SET: rps=177236.0 (overall: 179108.4) avg_msec=0.258 (overall: 0.257)
                                                                      
SET: rps=178466.1 (overall: 179103.6) avg_msec=0.259 (overall: 0.257)
                                                                      
SET: rps=179528.0 (overall: 179106.7) avg_msec=0.258 (overall: 0.257)
                                                                      
SET: rps=179232.0 (overall: 179107.7) avg_msec=0.259 (overall: 0.257)
                                                                      
SET: rps=179908.0 (overall: 179113.5) avg_msec=0.258 (overall: 0.257)
                                                                      
SET: rps=177544.0 (overall: 179102.1) avg_msec=0.253 (overall: 0.257)
                                                                      
SET: rps=178549.8 (overall: 179098.1) avg_msec=0.257 (overall: 0.257)
                                                                      
SET: rps=179476.0 (overall: 179100.8) avg_msec=0.258 (overall: 0.257)
                                                                      
SET: rps=178924.0 (overall: 179099.5) avg_msec=0.258 (overall: 0.257)
                                                                      
SET: rps=179280.0 (overall: 179100.8) avg_msec=0.259 (overall: 0.257)
                                                                      
SET: rps=179448.0 (overall: 179103.2) avg_msec=0.258 (overall: 0.257)
                                                                      
SET: rps=178553.8 (overall: 179099.4) avg_msec=0.258 (overall: 0.257)
                                                                      
SET: rps=179732.0 (overall: 179103.8) avg_msec=0.258 (overall: 0.257)
                                                                      
SET: rps=179696.0 (overall: 179107.9) avg_msec=0.258 (overall: 0.257)
                                                                      
SET: rps=179504.0 (overall: 179110.6) avg_msec=0.258 (overall: 0.257)
                                                                      
SET: rps=179148.0 (overall: 179110.8) avg_msec=0.259 (overall: 0.257)
                                                                      
SET: rps=178940.2 (overall: 179109.7) avg_msec=0.258 (overall: 0.257)
