===== Redis 100M Benchmark =====
Instance Type: c7g.xlarge
Run: 5
Date: 2026-01-21T05:38:52+00:00

--- System Info ---
CPU: 4 cores
Memory: 7.6G

--- Starting Redis Server ---
Redis server started

--- Warmup ---
Warmup complete (1M requests)

--- Test 1: SET 100M requests (50 clients, 3 threads) ---
Start: 2026-01-21T05:56:20+00:00
 
SET: rps=0.0 (overall: nan) avg_msec=nan (overall: nan)
                                                        
SET: rps=183720.0 (overall: 183720.0) avg_msec=0.244 (overall: 0.243)
                                                                      
SET: rps=191252.0 (overall: 187486.0) avg_msec=0.241 (overall: 0.242)
                                                                      
SET: rps=191292.0 (overall: 188754.7) avg_msec=0.241 (overall: 0.242)
                                                                      
SET: rps=189314.8 (overall: 188895.1) avg_msec=0.242 (overall: 0.242)
                                                                      
SET: rps=190904.0 (overall: 189296.6) avg_msec=0.240 (overall: 0.241)
                                                                      
SET: rps=192352.0 (overall: 189805.5) avg_msec=0.240 (overall: 0.241)
                                                                      
SET: rps=192460.0 (overall: 190184.5) avg_msec=0.239 (overall: 0.241)
                                                                      
SET: rps=192220.0 (overall: 190438.8) avg_msec=0.240 (overall: 0.241)
                                                                      
SET: rps=191398.4 (overall: 190545.7) avg_msec=0.239 (overall: 0.241)
                                                                      
SET: rps=189004.0 (overall: 190391.7) avg_msec=0.233 (overall: 0.240)
                                                                      
SET: rps=192356.0 (overall: 190570.1) avg_msec=0.240 (overall: 0.240)
                                                                      
SET: rps=192340.0 (overall: 190717.5) avg_msec=0.240 (overall: 0.240)
                                                                      
SET: rps=191749.0 (overall: 190797.1) avg_msec=0.239 (overall: 0.240)
                                                                      
SET: rps=192752.0 (overall: 190936.6) avg_msec=0.239 (overall: 0.240)
                                                                      
SET: rps=192608.0 (overall: 191048.0) avg_msec=0.240 (overall: 0.240)
                                                                      
SET: rps=191486.1 (overall: 191075.4) avg_msec=0.239 (overall: 0.240)
                                                                      
SET: rps=192348.0 (overall: 191150.2) avg_msec=0.239 (overall: 0.240)
                                                                      
SET: rps=192156.0 (overall: 191206.0) avg_msec=0.239 (overall: 0.240)
                                                                      
SET: rps=192476.0 (overall: 191272.8) avg_msec=0.239 (overall: 0.240)
                                                                      
SET: rps=192516.0 (overall: 191334.9) avg_msec=0.240 (overall: 0.240)
                                                                      
SET: rps=191314.8 (overall: 191334.0) avg_msec=0.240 (overall: 0.240)
                                                                      
SET: rps=192556.0 (overall: 191389.5) avg_msec=0.239 (overall: 0.240)
                                                                      
SET: rps=192568.0 (overall: 191440.7) avg_msec=0.239 (overall: 0.240)
                                                                      
SET: rps=192576.0 (overall: 191487.9) avg_msec=0.239 (overall: 0.240)
                                                                      
SET: rps=192724.0 (overall: 191537.3) avg_msec=0.239 (overall: 0.239)
                                                                      
SET: rps=192524.0 (overall: 191575.2) avg_msec=0.239 (overall: 0.239)
                                                                      
SET: rps=191525.9 (overall: 191573.4) avg_msec=0.240 (overall: 0.239)
                                                                      
SET: rps=192328.0 (overall: 191600.3) avg_msec=0.239 (overall: 0.239)
                                                                      
SET: rps=191864.0 (overall: 191609.4) avg_msec=0.239 (overall: 0.239)
                                                                      
SET: rps=192092.0 (overall: 191625.5) avg_msec=0.240 (overall: 0.239)
                                                                      
SET: rps=192600.0 (overall: 191656.9) avg_msec=0.239 (overall: 0.239)
                                                                      
SET: rps=192107.6 (overall: 191671.0) avg_msec=0.239 (overall: 0.239)
                                                                      
SET: rps=191888.0 (overall: 191677.6) avg_msec=0.234 (overall: 0.239)
                                                                      
SET: rps=190404.0 (overall: 191640.2) avg_msec=0.222 (overall: 0.239)
                                                                      
SET: rps=192224.0 (overall: 191656.8) avg_msec=0.238 (overall: 0.239)
                                                                      
SET: rps=191633.5 (overall: 191656.2) avg_msec=0.240 (overall: 0.239)
                                                                      
SET: rps=192524.0 (overall: 191679.6) avg_msec=0.239 (overall: 0.239)
                                                                      
SET: rps=192724.0 (overall: 191707.1) avg_msec=0.239 (overall: 0.239)
                                                                      
SET: rps=192512.0 (overall: 191727.7) avg_msec=0.239 (overall: 0.239)
                                                                      
SET: rps=192228.0 (overall: 191740.2) avg_msec=0.238 (overall: 0.239)
                                                                      
SET: rps=187456.0 (overall: 191635.8) avg_msec=0.235 (overall: 0.239)
                                                                      
SET: rps=191900.4 (overall: 191642.1) avg_msec=0.239 (overall: 0.239)
                                                                      
SET: rps=191796.0 (overall: 191645.7) avg_msec=0.240 (overall: 0.239)
                                                                      
SET: rps=189720.0 (overall: 191602.0) avg_msec=0.244 (overall: 0.239)
                                                                      
SET: rps=189322.7 (overall: 191551.2) avg_msec=0.242 (overall: 0.239)
                                                                      
SET: rps=191108.0 (overall: 191541.5) avg_msec=0.242 (overall: 0.239)
                                                                      
SET: rps=191296.0 (overall: 191536.3) avg_msec=0.242 (overall: 0.239)
                                                                      
SET: rps=190584.0 (overall: 191516.5) avg_msec=0.242 (overall: 0.239)
                                                                      
SET: rps=190414.4 (overall: 191493.9) avg_msec=0.241 (overall: 0.239)
                                                                      
SET: rps=187924.0 (overall: 191422.6) avg_msec=0.229 (overall: 0.239)
                                                                      
SET: rps=191172.0 (overall: 191417.7) avg_msec=0.241 (overall: 0.239)
                                                                      
SET: rps=190980.0 (overall: 191409.3) avg_msec=0.241 (overall: 0.239)
                                                                      
SET: rps=190848.6 (overall: 191398.7) avg_msec=0.241 (overall: 0.239)
                                                                      
SET: rps=191284.0 (overall: 191396.5) avg_msec=0.241 (overall: 0.239)
                                                                      
SET: rps=191376.0 (overall: 191396.2) avg_msec=0.241 (overall: 0.239)
                                                                      
SET: rps=190984.1 (overall: 191388.8) avg_msec=0.241 (overall: 0.239)
                                                                      
SET: rps=191580.0 (overall: 191392.1) avg_msec=0.241 (overall: 0.239)
                                                                      
SET: rps=190780.0 (overall: 191381.6) avg_msec=0.242 (overall: 0.239)
                                                                      
SET: rps=190625.5 (overall: 191368.7) avg_msec=0.241 (overall: 0.239)
                                                                      
SET: rps=191260.0 (overall: 191366.9) avg_msec=0.241 (overall: 0.239)
                                                                      
SET: rps=191260.0 (overall: 191365.2) avg_msec=0.241 (overall: 0.239)
                                                                      
SET: rps=190557.8 (overall: 191352.1) avg_msec=0.242 (overall: 0.239)
                                                                      
SET: rps=191776.0 (overall: 191358.8) avg_msec=0.241 (overall: 0.239)
                                                                      
SET: rps=190988.0 (overall: 191353.0) avg_msec=0.240 (overall: 0.239)
                                                                      
SET: rps=190868.5 (overall: 191345.6) avg_msec=0.240 (overall: 0.239)
                                                                      
SET: rps=191360.0 (overall: 191345.8) avg_msec=0.240 (overall: 0.239)
                                                                      
SET: rps=191120.0 (overall: 191342.4) avg_msec=0.242 (overall: 0.239)
                                                                      
SET: rps=190912.0 (overall: 191336.1) avg_msec=0.242 (overall: 0.240)
                                                                      
SET: rps=190701.2 (overall: 191326.9) avg_msec=0.241 (overall: 0.240)
                                                                      
SET: rps=191532.0 (overall: 191329.8) avg_msec=0.241 (overall: 0.240)
                                                                      
SET: rps=191668.0 (overall: 191334.5) avg_msec=0.241 (overall: 0.240)
                                                                      
SET: rps=190888.0 (overall: 191328.4) avg_msec=0.241 (overall: 0.240)
                                                                      
SET: rps=189892.4 (overall: 191308.6) avg_msec=0.236 (overall: 0.240)
                                                                      
SET: rps=190940.0 (overall: 191303.7) avg_msec=0.230 (overall: 0.239)
                                                                      
SET: rps=190352.0 (overall: 191291.0) avg_msec=0.243 (overall: 0.239)
                                                                      
SET: rps=190916.0 (overall: 191286.0) avg_msec=0.242 (overall: 0.239)
                                                                      
SET: rps=190314.8 (overall: 191273.4) avg_msec=0.241 (overall: 0.240)
                                                                      
SET: rps=191180.0 (overall: 191272.2) avg_msec=0.241 (overall: 0.240)
                                                                      
SET: rps=191216.0 (overall: 191271.5) avg_msec=0.241 (overall: 0.240)
                                                                      
SET: rps=189912.4 (overall: 191254.4) avg_msec=0.240 (overall: 0.240)
                                                                      
SET: rps=185560.0 (overall: 191184.2) avg_msec=0.241 (overall: 0.240)
                                                                      
SET: rps=190772.0 (overall: 191179.2) avg_msec=0.242 (overall: 0.240)
                                                                      
SET: rps=189888.0 (overall: 191163.6) avg_msec=0.243 (overall: 0.240)
                                                                      
SET: rps=190095.6 (overall: 191150.9) avg_msec=0.242 (overall: 0.240)
                                                                      
SET: rps=189372.0 (overall: 191130.0) avg_msec=0.233 (overall: 0.240)
                                                                      
SET: rps=191348.0 (overall: 191132.5) avg_msec=0.240 (overall: 0.240)
                                                                      
SET: rps=191256.0 (overall: 191133.9) avg_msec=0.241 (overall: 0.240)
                                                                      
SET: rps=190557.8 (overall: 191127.4) avg_msec=0.241 (overall: 0.240)
                                                                      
SET: rps=191120.0 (overall: 191127.3) avg_msec=0.241 (overall: 0.240)
                                                                      
SET: rps=188348.0 (overall: 191096.4) avg_msec=0.234 (overall: 0.240)
                                                                      
SET: rps=191264.0 (overall: 191098.3) avg_msec=0.241 (overall: 0.240)
                                                                      
SET: rps=191620.0 (overall: 191104.0) avg_msec=0.241 (overall: 0.240)
                                                                      
SET: rps=190613.6 (overall: 191098.7) avg_msec=0.241 (overall: 0.240)
                                                                      
SET: rps=191184.0 (overall: 191099.6) avg_msec=0.240 (overall: 0.240)
                                                                      
SET: rps=191128.0 (overall: 191099.9) avg_msec=0.242 (overall: 0.240)
                                                                      
