===== Redis 100M Benchmark =====
Instance Type: c7i-flex.xlarge
Run: 1
Date: 2026-01-21T09:08:47+00:00

--- System Info ---
CPU: 4 cores
Memory: 7.6G
model name	: Intel(R) Xeon(R) Platinum 8488C

--- Starting Redis Server ---
Redis server started

--- Warmup ---
Warmup complete (100K SET requests)

--- Test 1: SET 100M requests (50 clients, 3 threads) ---
Start: 2026-01-21T09:08:50+00:00
 
SET: rps=0.0 (overall: inf) avg_msec=0.242 (overall: 0.084)
                                                            
SET: rps=190310.8 (overall: 190342.6) avg_msec=0.225 (overall: 0.225)
                                                                      
SET: rps=183920.0 (overall: 187137.7) avg_msec=0.218 (overall: 0.222)
                                                                      
SET: rps=187270.9 (overall: 187182.2) avg_msec=0.208 (overall: 0.217)
                                                                      
SET: rps=150580.0 (overall: 178049.9) avg_msec=0.282 (overall: 0.231)
                                                                      
SET: rps=138860.6 (overall: 170199.5) avg_msec=0.304 (overall: 0.243)
                                                                      
SET: rps=174024.0 (overall: 170835.7) avg_msec=0.224 (overall: 0.240)
                                                                      
SET: rps=183406.4 (overall: 172634.5) avg_msec=0.218 (overall: 0.237)
                                                                      
SET: rps=177732.0 (overall: 173270.5) avg_msec=0.241 (overall: 0.237)
                                                                      
SET: rps=178100.0 (overall: 173806.1) avg_msec=0.255 (overall: 0.239)
                                                                      
SET: rps=171980.0 (overall: 173623.8) avg_msec=0.268 (overall: 0.242)
                                                                      
SET: rps=179480.0 (overall: 174155.4) avg_msec=0.261 (overall: 0.244)
                                                                      
SET: rps=186573.7 (overall: 175192.7) avg_msec=0.249 (overall: 0.244)
                                                                      
SET: rps=181456.0 (overall: 175673.7) avg_msec=0.256 (overall: 0.245)
                                                                      
SET: rps=186753.0 (overall: 176466.9) avg_msec=0.242 (overall: 0.245)
                                                                      
SET: rps=197860.0 (overall: 177890.8) avg_msec=0.229 (overall: 0.244)
                                                                      
SET: rps=190446.2 (overall: 178677.3) avg_msec=0.237 (overall: 0.243)
                                                                      
SET: rps=185584.0 (overall: 179082.9) avg_msec=0.250 (overall: 0.244)
                                                                      
SET: rps=191236.0 (overall: 179757.0) avg_msec=0.236 (overall: 0.243)
                                                                      
SET: rps=189276.0 (overall: 180257.3) avg_msec=0.243 (overall: 0.243)
                                                                      
SET: rps=188420.0 (overall: 180664.9) avg_msec=0.243 (overall: 0.243)
                                                                      
SET: rps=193677.3 (overall: 181286.0) avg_msec=0.233 (overall: 0.243)
                                                                      
SET: rps=188004.0 (overall: 181591.0) avg_msec=0.241 (overall: 0.243)
                                                                      
SET: rps=181892.0 (overall: 181604.0) avg_msec=0.251 (overall: 0.243)
                                                                      
SET: rps=190016.0 (overall: 181954.1) avg_msec=0.239 (overall: 0.243)
                                                                      
SET: rps=176972.0 (overall: 181755.0) avg_msec=0.265 (overall: 0.244)
                                                                      
SET: rps=182270.9 (overall: 181774.9) avg_msec=0.252 (overall: 0.244)
                                                                      
SET: rps=189076.0 (overall: 182045.0) avg_msec=0.237 (overall: 0.244)
                                                                      
SET: rps=196296.0 (overall: 182553.3) avg_msec=0.228 (overall: 0.243)
                                                                      
SET: rps=185260.0 (overall: 182646.5) avg_msec=0.247 (overall: 0.243)
                                                                      
SET: rps=181224.0 (overall: 182599.2) avg_msec=0.256 (overall: 0.244)
                                                                      
SET: rps=186310.8 (overall: 182719.2) avg_msec=0.246 (overall: 0.244)
                                                                      
SET: rps=187136.0 (overall: 182857.0) avg_msec=0.249 (overall: 0.244)
                                                                      
SET: rps=197036.0 (overall: 183286.2) avg_msec=0.231 (overall: 0.244)
                                                                      
SET: rps=189288.0 (overall: 183462.5) avg_msec=0.241 (overall: 0.244)
                                                                      
SET: rps=175896.0 (overall: 183246.6) avg_msec=0.266 (overall: 0.244)
                                                                      
SET: rps=171992.0 (overall: 182933.1) avg_msec=0.273 (overall: 0.245)
                                                                      
SET: rps=179900.0 (overall: 182851.2) avg_msec=0.262 (overall: 0.245)
                                                                      
SET: rps=187376.0 (overall: 182970.1) avg_msec=0.242 (overall: 0.245)
                                                                      
SET: rps=187167.3 (overall: 183078.1) avg_msec=0.238 (overall: 0.245)
                                                                      
SET: rps=202732.0 (overall: 183568.8) avg_msec=0.206 (overall: 0.244)
                                                                      
SET: rps=200800.0 (overall: 183988.6) avg_msec=0.222 (overall: 0.243)
                                                                      
SET: rps=193672.0 (overall: 184218.9) avg_msec=0.230 (overall: 0.243)
                                                                      
SET: rps=182696.0 (overall: 184183.5) avg_msec=0.252 (overall: 0.243)
                                                                      
SET: rps=190472.0 (overall: 184326.3) avg_msec=0.238 (overall: 0.243)
                                                                      
SET: rps=178689.2 (overall: 184200.7) avg_msec=0.259 (overall: 0.244)
                                                                      
SET: rps=180720.0 (overall: 184125.1) avg_msec=0.260 (overall: 0.244)
                                                                      
SET: rps=185308.0 (overall: 184150.2) avg_msec=0.253 (overall: 0.244)
                                                                      
SET: rps=180396.0 (overall: 184072.1) avg_msec=0.257 (overall: 0.244)
                                                                      
SET: rps=192816.0 (overall: 184250.4) avg_msec=0.237 (overall: 0.244)
                                                                      
SET: rps=183490.0 (overall: 184235.1) avg_msec=0.252 (overall: 0.244)
                                                                      
SET: rps=179088.0 (overall: 184134.3) avg_msec=0.259 (overall: 0.245)
                                                                      
SET: rps=179460.0 (overall: 184044.5) avg_msec=0.260 (overall: 0.245)
                                                                      
SET: rps=190524.0 (overall: 184166.6) avg_msec=0.243 (overall: 0.245)
                                                                      
SET: rps=178596.0 (overall: 184063.6) avg_msec=0.259 (overall: 0.245)
                                                                      
SET: rps=173625.5 (overall: 183873.2) avg_msec=0.272 (overall: 0.246)
                                                                      
SET: rps=172148.0 (overall: 183664.1) avg_msec=0.275 (overall: 0.246)
                                                                      
SET: rps=202488.0 (overall: 183994.0) avg_msec=0.223 (overall: 0.246)
                                                                      
SET: rps=199264.0 (overall: 184257.0) avg_msec=0.219 (overall: 0.245)
                                                                      
SET: rps=212589.7 (overall: 184738.6) avg_msec=0.200 (overall: 0.244)
                                                                      
SET: rps=208276.0 (overall: 185130.5) avg_msec=0.208 (overall: 0.244)
                                                                      
SET: rps=209756.0 (overall: 185533.7) avg_msec=0.196 (overall: 0.243)
                                                                      
SET: rps=214572.0 (overall: 186001.6) avg_msec=0.191 (overall: 0.242)
                                                                      
SET: rps=220119.5 (overall: 186544.8) avg_msec=0.189 (overall: 0.241)
                                                                      
SET: rps=222764.0 (overall: 187110.1) avg_msec=0.193 (overall: 0.240)
                                                                      
SET: rps=221516.0 (overall: 187638.8) avg_msec=0.183 (overall: 0.239)
                                                                      
SET: rps=210056.0 (overall: 187978.1) avg_msec=0.202 (overall: 0.238)
                                                                      
SET: rps=211083.7 (overall: 188324.0) avg_msec=0.209 (overall: 0.238)
                                                                      
SET: rps=199808.0 (overall: 188492.7) avg_msec=0.227 (overall: 0.238)
                                                                      
SET: rps=194553.8 (overall: 188580.8) avg_msec=0.233 (overall: 0.238)
                                                                      
SET: rps=191080.0 (overall: 188616.5) avg_msec=0.238 (overall: 0.238)
                                                                      
SET: rps=199400.0 (overall: 188768.2) avg_msec=0.225 (overall: 0.237)
                                                                      
SET: rps=203051.8 (overall: 188967.1) avg_msec=0.219 (overall: 0.237)
                                                                      
SET: rps=201388.0 (overall: 189137.1) avg_msec=0.222 (overall: 0.237)
                                                                      
SET: rps=200568.0 (overall: 189291.4) avg_msec=0.224 (overall: 0.237)
                                                                      
SET: rps=199274.9 (overall: 189424.9) avg_msec=0.223 (overall: 0.236)
                                                                      
SET: rps=210676.0 (overall: 189704.2) avg_msec=0.209 (overall: 0.236)
                                                                      
SET: rps=212848.0 (overall: 190004.5) avg_msec=0.205 (overall: 0.236)
                                                                      
SET: rps=215644.0 (overall: 190332.8) avg_msec=0.200 (overall: 0.235)
                                                                      
SET: rps=203932.3 (overall: 190505.5) avg_msec=0.213 (overall: 0.235)
                                                                      
SET: rps=209644.0 (overall: 190744.4) avg_msec=0.212 (overall: 0.234)
                                                                      
SET: rps=209292.0 (overall: 190973.2) avg_msec=0.212 (overall: 0.234)
                                                                      
SET: rps=214904.4 (overall: 191265.8) avg_msec=0.203 (overall: 0.234)
                                                                      
SET: rps=216404.0 (overall: 191568.4) avg_msec=0.204 (overall: 0.233)
                                                                      
SET: rps=199552.0 (overall: 191663.3) avg_msec=0.225 (overall: 0.233)
                                                                      
SET: rps=202657.4 (overall: 191793.0) avg_msec=0.221 (overall: 0.233)
                                                                      
SET: rps=199064.0 (overall: 191877.5) avg_msec=0.225 (overall: 0.233)
                                                                      
SET: rps=212136.0 (overall: 192110.1) avg_msec=0.207 (overall: 0.233)
                                                                      
SET: rps=201300.0 (overall: 192214.4) avg_msec=0.221 (overall: 0.233)
                                                                      
SET: rps=194832.7 (overall: 192243.9) avg_msec=0.228 (overall: 0.232)
                                                                      
SET: rps=180316.0 (overall: 192111.5) avg_msec=0.251 (overall: 0.233)
                                                                      
SET: rps=187108.0 (overall: 192056.6) avg_msec=0.241 (overall: 0.233)
                                                                      
SET: rps=178039.8 (overall: 191903.8) avg_msec=0.263 (overall: 0.233)
                                                                      
SET: rps=180184.0 (overall: 191777.9) avg_msec=0.257 (overall: 0.233)
                                                                      
SET: rps=187736.0 (overall: 191735.0) avg_msec=0.240 (overall: 0.233)
                                                                      
SET: rps=187424.0 (overall: 191689.7) avg_msec=0.244 (overall: 0.233)
                                                                      
SET: rps=173676.0 (overall: 191502.2) avg_msec=0.272 (overall: 0.234)
                                                                      
SET: rps=179155.4 (overall: 191374.5) avg_msec=0.261 (overall: 0.234)
                                                                      
SET: rps=180604.0 (overall: 191264.8) avg_msec=0.257 (overall: 0.234)
                                                                      
SET: rps=175844.0 (overall: 191109.2) avg_msec=0.267 (overall: 0.235)
                                                                      
