===== Redis 100M Benchmark =====
Instance Type: c7i.xlarge
Run: 1
Date: 2026-01-21T13:04:50+00:00

--- System Info ---
CPU: 4 cores
Memory: 7.6G
model name	: Intel(R) Xeon(R) Platinum 8488C

--- Starting Redis Server ---
Redis server started

--- Warmup ---
Warmup complete (100K SET requests)

--- Test 1: SET 100M requests (50 clients, 3 threads) ---
Start: 2026-01-21T13:04:53+00:00
 
SET: rps=0.0 (overall: inf) avg_msec=0.127 (overall: 0.146)
                                                            
SET: rps=185725.1 (overall: 185868.5) avg_msec=0.253 (overall: 0.253)
                                                                      
SET: rps=188308.0 (overall: 187085.8) avg_msec=0.251 (overall: 0.252)
                                                                      
SET: rps=188060.0 (overall: 187410.1) avg_msec=0.246 (overall: 0.250)
                                                                      
SET: rps=179956.0 (overall: 185548.4) avg_msec=0.251 (overall: 0.250)
                                                                      
SET: rps=164549.8 (overall: 181338.7) avg_msec=0.266 (overall: 0.253)
                                                                      
SET: rps=169528.0 (overall: 179372.8) avg_msec=0.261 (overall: 0.254)
                                                                      
SET: rps=179709.2 (overall: 179421.0) avg_msec=0.259 (overall: 0.255)
                                                                      
SET: rps=186664.0 (overall: 180325.0) avg_msec=0.248 (overall: 0.254)
                                                                      
SET: rps=187628.0 (overall: 181135.4) avg_msec=0.247 (overall: 0.253)
                                                                      
SET: rps=187128.0 (overall: 181733.9) avg_msec=0.248 (overall: 0.253)
                                                                      
SET: rps=188131.5 (overall: 182317.0) avg_msec=0.248 (overall: 0.252)
                                                                      
SET: rps=186372.0 (overall: 182654.5) avg_msec=0.254 (overall: 0.253)
                                                                      
SET: rps=186266.9 (overall: 182933.0) avg_msec=0.245 (overall: 0.252)
                                                                      
SET: rps=188308.0 (overall: 183316.4) avg_msec=0.247 (overall: 0.252)
                                                                      
SET: rps=180075.7 (overall: 183099.8) avg_msec=0.252 (overall: 0.252)
                                                                      
SET: rps=180844.0 (overall: 182959.1) avg_msec=0.256 (overall: 0.252)
                                                                      
SET: rps=173972.0 (overall: 182431.2) avg_msec=0.275 (overall: 0.253)
                                                                      
SET: rps=185844.0 (overall: 182620.5) avg_msec=0.249 (overall: 0.253)
                                                                      
SET: rps=179920.3 (overall: 182478.0) avg_msec=0.258 (overall: 0.253)
                                                                      
SET: rps=189112.0 (overall: 182809.3) avg_msec=0.242 (overall: 0.253)
                                                                      
SET: rps=188228.0 (overall: 183067.0) avg_msec=0.244 (overall: 0.252)
                                                                      
SET: rps=186956.2 (overall: 183244.2) avg_msec=0.250 (overall: 0.252)
                                                                      
SET: rps=187776.0 (overall: 183441.0) avg_msec=0.245 (overall: 0.252)
                                                                      
SET: rps=186120.0 (overall: 183552.4) avg_msec=0.246 (overall: 0.252)
                                                                      
SET: rps=186768.9 (overall: 183681.4) avg_msec=0.247 (overall: 0.251)
                                                                      
SET: rps=186756.0 (overall: 183799.5) avg_msec=0.252 (overall: 0.251)
                                                                      
SET: rps=186424.0 (overall: 183896.6) avg_msec=0.246 (overall: 0.251)
                                                                      
SET: rps=184396.0 (overall: 183914.4) avg_msec=0.253 (overall: 0.251)
                                                                      
