===== Redis 100M Benchmark =====
Instance Type: c8g.xlarge
Run: 1
Date: 2026-01-21T05:38:27+00:00

--- System Info ---
CPU: 4 cores
Memory: 7.6G

--- Starting Redis Server ---
Redis server started

--- Warmup ---
Warmup complete (1M requests)

--- Test 1: SET 100M requests (50 clients, 3 threads) ---
Start: 2026-01-21T05:55:52+00:00
 
SET: rps=0.0 (overall: inf) avg_msec=0.149 (overall: 0.129)
                                                            
SET: rps=229316.0 (overall: 229496.0) avg_msec=0.202 (overall: 0.202)
                                                                      
SET: rps=229516.0 (overall: 229506.0) avg_msec=0.197 (overall: 0.200)
                                                                      
SET: rps=229609.6 (overall: 229540.6) avg_msec=0.202 (overall: 0.200)
                                                                      
SET: rps=226952.0 (overall: 228894.1) avg_msec=0.203 (overall: 0.201)
                                                                      
SET: rps=230984.0 (overall: 229311.7) avg_msec=0.201 (overall: 0.201)
                                                                      
SET: rps=230436.0 (overall: 229499.0) avg_msec=0.202 (overall: 0.201)
                                                                      
SET: rps=230264.0 (overall: 229608.2) avg_msec=0.202 (overall: 0.201)
                                                                      
SET: rps=228617.5 (overall: 229484.0) avg_msec=0.203 (overall: 0.201)
                                                                      
SET: rps=230568.0 (overall: 229604.3) avg_msec=0.202 (overall: 0.201)
                                                                      
SET: rps=230848.0 (overall: 229728.6) avg_msec=0.199 (overall: 0.201)
                                                                      
SET: rps=229816.0 (overall: 229736.5) avg_msec=0.202 (overall: 0.201)
                                                                      
SET: rps=230524.0 (overall: 229802.1) avg_msec=0.202 (overall: 0.201)
                                                                      
SET: rps=229745.0 (overall: 229797.7) avg_msec=0.201 (overall: 0.201)
                                                                      
SET: rps=230656.0 (overall: 229859.0) avg_msec=0.202 (overall: 0.201)
                                                                      
SET: rps=230888.0 (overall: 229927.5) avg_msec=0.202 (overall: 0.201)
                                                                      
SET: rps=230508.0 (overall: 229963.8) avg_msec=0.202 (overall: 0.201)
                                                                      
SET: rps=230208.0 (overall: 229978.1) avg_msec=0.202 (overall: 0.201)
                                                                      
SET: rps=226456.0 (overall: 229782.6) avg_msec=0.191 (overall: 0.201)
                                                                      
SET: rps=229541.8 (overall: 229769.9) avg_msec=0.202 (overall: 0.201)
                                                                      
SET: rps=230628.0 (overall: 229812.7) avg_msec=0.201 (overall: 0.201)
                                                                      
SET: rps=230484.0 (overall: 229844.7) avg_msec=0.202 (overall: 0.201)
                                                                      
SET: rps=229664.0 (overall: 229836.5) avg_msec=0.200 (overall: 0.201)
                                                                      
SET: rps=230460.0 (overall: 229863.6) avg_msec=0.202 (overall: 0.201)
                                                                      
SET: rps=230272.0 (overall: 229880.6) avg_msec=0.202 (overall: 0.201)
                                                                      
SET: rps=227828.0 (overall: 229798.5) avg_msec=0.199 (overall: 0.201)
                                                                      
SET: rps=229263.0 (overall: 229777.9) avg_msec=0.202 (overall: 0.201)
                                                                      
SET: rps=230348.0 (overall: 229799.0) avg_msec=0.202 (overall: 0.201)
                                                                      
SET: rps=229004.0 (overall: 229770.6) avg_msec=0.202 (overall: 0.201)
                                                                      
SET: rps=228076.0 (overall: 229712.2) avg_msec=0.194 (overall: 0.201)
                                                                      
SET: rps=231144.0 (overall: 229759.9) avg_msec=0.201 (overall: 0.201)
                                                                      
SET: rps=230512.0 (overall: 229784.1) avg_msec=0.200 (overall: 0.201)
                                                                      
SET: rps=229617.5 (overall: 229778.9) avg_msec=0.202 (overall: 0.201)
                                                                      
SET: rps=229740.0 (overall: 229777.8) avg_msec=0.200 (overall: 0.201)
                                                                      
SET: rps=230256.0 (overall: 229791.8) avg_msec=0.202 (overall: 0.201)
                                                                      
SET: rps=230528.0 (overall: 229812.8) avg_msec=0.202 (overall: 0.201)
                                                                      
SET: rps=230432.0 (overall: 229830.0) avg_msec=0.202 (overall: 0.201)
                                                                      
SET: rps=229757.0 (overall: 229828.0) avg_msec=0.202 (overall: 0.201)
                                                                      
SET: rps=229772.0 (overall: 229826.5) avg_msec=0.202 (overall: 0.201)
                                                                      
SET: rps=230772.0 (overall: 229850.8) avg_msec=0.202 (overall: 0.201)
                                                                      
SET: rps=230868.0 (overall: 229876.2) avg_msec=0.202 (overall: 0.201)
                                                                      
SET: rps=229510.0 (overall: 229867.2) avg_msec=0.202 (overall: 0.201)
                                                                      
SET: rps=230456.0 (overall: 229881.2) avg_msec=0.202 (overall: 0.201)
                                                                      
SET: rps=230692.0 (overall: 229900.1) avg_msec=0.202 (overall: 0.201)
                                                                      
SET: rps=230400.0 (overall: 229911.4) avg_msec=0.202 (overall: 0.201)
                                                                      
SET: rps=230556.0 (overall: 229925.7) avg_msec=0.202 (overall: 0.201)
                                                                      
SET: rps=229259.0 (overall: 229911.2) avg_msec=0.202 (overall: 0.201)
                                                                      
SET: rps=230900.0 (overall: 229932.2) avg_msec=0.201 (overall: 0.201)
                                                                      
SET: rps=230684.0 (overall: 229947.9) avg_msec=0.202 (overall: 0.201)
                                                                      
SET: rps=230580.0 (overall: 229960.8) avg_msec=0.202 (overall: 0.201)
                                                                      
SET: rps=229139.5 (overall: 229944.3) avg_msec=0.202 (overall: 0.201)
                                                                      
SET: rps=230016.0 (overall: 229945.7) avg_msec=0.202 (overall: 0.201)
                                                                      
SET: rps=230412.0 (overall: 229954.6) avg_msec=0.202 (overall: 0.201)
                                                                      
