===== Redis 100M Benchmark =====
Instance Type: c8gn.xlarge
Run: 1
Date: 2026-07-01T09:07:40+00:00

--- System Info ---
CPU: 4 cores
Memory: 7.6G

--- Starting Redis Server ---
Redis server started

--- Warmup ---
Warmup complete (100K SET requests)

--- Test 1: SET 100M requests (50 clients, 3 threads) ---
Start: 2026-07-01T09:07:43+00:00
 
SET: rps=0.0 (overall: inf) avg_msec=0.135 (overall: 0.130)
                                                            
SET: rps=178108.0 (overall: 178324.0) avg_msec=0.246 (overall: 0.246)
                                                                      
SET: rps=251360.0 (overall: 214842.0) avg_msec=0.165 (overall: 0.199)
                                                                      
SET: rps=251255.0 (overall: 227012.0) avg_msec=0.163 (overall: 0.185)
                                                                      
SET: rps=251600.0 (overall: 233152.8) avg_msec=0.168 (overall: 0.181)
                                                                      
SET: rps=252356.0 (overall: 236990.4) avg_msec=0.164 (overall: 0.177)
                                                                      
SET: rps=246697.2 (overall: 238612.5) avg_msec=0.162 (overall: 0.175)
                                                                      
SET: rps=252632.0 (overall: 240613.0) avg_msec=0.172 (overall: 0.174)
                                                                      
SET: rps=251657.4 (overall: 241997.0) avg_msec=0.167 (overall: 0.173)
                                                                      
SET: rps=246592.0 (overall: 242506.9) avg_msec=0.170 (overall: 0.173)
                                                                      
SET: rps=250292.0 (overall: 243284.5) avg_msec=0.165 (overall: 0.172)
                                                                      
SET: rps=251636.0 (overall: 244042.9) avg_msec=0.167 (overall: 0.172)
                                                                      
SET: rps=249761.0 (overall: 244520.6) avg_msec=0.167 (overall: 0.171)
                                                                      
SET: rps=251636.0 (overall: 245067.3) avg_msec=0.165 (overall: 0.171)
                                                                      
SET: rps=238092.0 (overall: 244569.6) avg_msec=0.175 (overall: 0.171)
                                                                      
SET: rps=251256.0 (overall: 245014.9) avg_msec=0.171 (overall: 0.171)
                                                                      
SET: rps=248524.0 (overall: 245234.0) avg_msec=0.166 (overall: 0.171)
                                                                      
SET: rps=252318.7 (overall: 245651.9) avg_msec=0.166 (overall: 0.170)
                                                                      
SET: rps=249616.0 (overall: 245871.9) avg_msec=0.168 (overall: 0.170)
                                                                      
SET: rps=252212.0 (overall: 246205.2) avg_msec=0.173 (overall: 0.170)
                                                                      
SET: rps=251992.0 (overall: 246494.3) avg_msec=0.165 (overall: 0.170)
                                                                      
SET: rps=251629.5 (overall: 246739.5) avg_msec=0.166 (overall: 0.170)
                                                                      
SET: rps=250312.0 (overall: 246901.7) avg_msec=0.166 (overall: 0.170)
                                                                      
SET: rps=247304.0 (overall: 246919.2) avg_msec=0.171 (overall: 0.170)
                                                                      
SET: rps=251624.0 (overall: 247115.0) avg_msec=0.169 (overall: 0.170)
                                                                      
SET: rps=252212.0 (overall: 247318.7) avg_msec=0.175 (overall: 0.170)
                                                                      
SET: rps=250788.0 (overall: 247452.0) avg_msec=0.165 (overall: 0.170)
                                                                      
SET: rps=250741.0 (overall: 247574.2) avg_msec=0.170 (overall: 0.170)
                                                                      
SET: rps=252804.0 (overall: 247760.8) avg_msec=0.165 (overall: 0.170)
                                                                      
SET: rps=252540.0 (overall: 247925.5) avg_msec=0.163 (overall: 0.169)
                                                                      
SET: rps=253716.0 (overall: 248118.3) avg_msec=0.166 (overall: 0.169)
                                                                      
SET: rps=253396.0 (overall: 248288.4) avg_msec=0.173 (overall: 0.169)
                                                                      
SET: rps=253036.0 (overall: 248436.6) avg_msec=0.165 (overall: 0.169)
                                                                      
SET: rps=252195.2 (overall: 248550.8) avg_msec=0.168 (overall: 0.169)
                                                                      
SET: rps=252476.0 (overall: 248666.2) avg_msec=0.172 (overall: 0.169)
                                                                      
SET: rps=253896.0 (overall: 248815.5) avg_msec=0.168 (overall: 0.169)
                                                                      
SET: rps=253464.0 (overall: 248944.5) avg_msec=0.159 (overall: 0.169)
                                                                      
SET: rps=253440.0 (overall: 249065.9) avg_msec=0.166 (overall: 0.169)
                                                                      
SET: rps=251625.5 (overall: 249133.5) avg_msec=0.170 (overall: 0.169)
                                                                      
SET: rps=253568.0 (overall: 249247.1) avg_msec=0.168 (overall: 0.169)
                                                                      
SET: rps=249420.0 (overall: 249251.4) avg_msec=0.170 (overall: 0.169)
                                                                      
SET: rps=252828.0 (overall: 249338.5) avg_msec=0.167 (overall: 0.169)
                                                                      
SET: rps=252708.0 (overall: 249418.7) avg_msec=0.169 (overall: 0.169)
                                                                      
SET: rps=252432.0 (overall: 249488.7) avg_msec=0.168 (overall: 0.169)
                                                                      
SET: rps=244171.3 (overall: 249367.5) avg_msec=0.171 (overall: 0.169)
                                                                      
SET: rps=253604.0 (overall: 249461.5) avg_msec=0.167 (overall: 0.169)
                                                                      
SET: rps=253376.0 (overall: 249546.6) avg_msec=0.166 (overall: 0.169)
                                                                      
SET: rps=247452.0 (overall: 249502.0) avg_msec=0.171 (overall: 0.169)
                                                                      
SET: rps=248466.1 (overall: 249480.4) avg_msec=0.165 (overall: 0.169)
                                                                      
SET: rps=249840.0 (overall: 249487.7) avg_msec=0.172 (overall: 0.169)
                                                                      
SET: rps=251059.8 (overall: 249519.3) avg_msec=0.176 (overall: 0.169)
                                                                      
