===== Redis 100M Benchmark =====
Instance Type: m5.xlarge
Run: 2
Date: 2026-01-21T09:09:59+00:00

--- System Info ---
CPU: 4 cores
Memory: 15.4G
model name	: Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz

--- Starting Redis Server ---
Redis server started

--- Warmup ---
Warmup complete (100K SET requests)

--- Test 1: SET 100M requests (50 clients, 3 threads) ---
Start: 2026-01-21T09:10:02+00:00
 
SET: rps=0.0 (overall: 0.0) avg_msec=0.000 (overall: -nan)
                                                           
SET: rps=107180.0 (overall: 106753.0) avg_msec=0.418 (overall: 0.419)
                                                                      
SET: rps=109646.8 (overall: 108202.8) avg_msec=0.420 (overall: 0.420)
                                                                      
SET: rps=109804.0 (overall: 108734.4) avg_msec=0.422 (overall: 0.421)
                                                                      
SET: rps=108019.9 (overall: 108555.8) avg_msec=0.429 (overall: 0.423)
                                                                      
SET: rps=109580.0 (overall: 108760.0) avg_msec=0.422 (overall: 0.423)
                                                                      
SET: rps=107000.0 (overall: 108466.4) avg_msec=0.426 (overall: 0.423)
                                                                      
SET: rps=110292.0 (overall: 108726.5) avg_msec=0.411 (overall: 0.422)
                                                                      
SET: rps=111633.5 (overall: 109090.2) avg_msec=0.410 (overall: 0.420)
                                                                      
SET: rps=108255.0 (overall: 108997.3) avg_msec=0.417 (overall: 0.420)
                                                                      
SET: rps=111420.0 (overall: 109238.9) avg_msec=0.412 (overall: 0.419)
                                                                      
SET: rps=107099.6 (overall: 109044.2) avg_msec=0.406 (overall: 0.418)
                                                                      
SET: rps=112286.9 (overall: 109314.7) avg_msec=0.395 (overall: 0.416)
                                                                      
SET: rps=111080.0 (overall: 109450.1) avg_msec=0.413 (overall: 0.416)
                                                                      
SET: rps=112860.6 (overall: 109694.0) avg_msec=0.409 (overall: 0.415)
                                                                      
SET: rps=109255.0 (overall: 109664.7) avg_msec=0.419 (overall: 0.416)
                                                                      
SET: rps=111952.2 (overall: 109807.8) avg_msec=0.408 (overall: 0.415)
                                                                      
SET: rps=111840.0 (overall: 109927.0) avg_msec=0.407 (overall: 0.415)
                                                                      
SET: rps=109741.0 (overall: 109916.7) avg_msec=0.407 (overall: 0.414)
                                                                      
SET: rps=109676.0 (overall: 109904.1) avg_msec=0.415 (overall: 0.414)
                                                                      
SET: rps=113091.6 (overall: 110063.6) avg_msec=0.387 (overall: 0.413)
                                                                      
SET: rps=111721.1 (overall: 110142.6) avg_msec=0.396 (overall: 0.412)
                                                                      
SET: rps=104808.0 (overall: 109900.8) avg_msec=0.437 (overall: 0.413)
                                                                      
SET: rps=110067.7 (overall: 109908.1) avg_msec=0.406 (overall: 0.413)
                                                                      
SET: rps=112728.0 (overall: 110025.3) avg_msec=0.405 (overall: 0.413)
                                                                      
SET: rps=107952.2 (overall: 109942.2) avg_msec=0.426 (overall: 0.413)
                                                                      
SET: rps=111211.2 (overall: 109991.1) avg_msec=0.385 (overall: 0.412)
                                                                      
SET: rps=113506.0 (overall: 110121.4) avg_msec=0.398 (overall: 0.411)
                                                                      
SET: rps=110308.0 (overall: 110128.1) avg_msec=0.416 (overall: 0.412)
                                                                      
SET: rps=111175.3 (overall: 110164.2) avg_msec=0.417 (overall: 0.412)
                                                                      
SET: rps=113016.0 (overall: 110259.0) avg_msec=0.408 (overall: 0.412)
                                                                      
SET: rps=113334.7 (overall: 110358.4) avg_msec=0.402 (overall: 0.411)
                                                                      
SET: rps=114668.0 (overall: 110492.7) avg_msec=0.375 (overall: 0.410)
                                                                      
SET: rps=112936.3 (overall: 110566.9) avg_msec=0.408 (overall: 0.410)
                                                                      
SET: rps=111597.6 (overall: 110597.2) avg_msec=0.404 (overall: 0.410)
                                                                      
SET: rps=112500.0 (overall: 110651.4) avg_msec=0.412 (overall: 0.410)
                                                                      
SET: rps=111601.6 (overall: 110677.9) avg_msec=0.398 (overall: 0.410)
                                                                      
SET: rps=114888.0 (overall: 110791.4) avg_msec=0.363 (overall: 0.408)
                                                                      
SET: rps=109980.1 (overall: 110770.0) avg_msec=0.417 (overall: 0.409)
                                                                      
SET: rps=111792.0 (overall: 110796.1) avg_msec=0.413 (overall: 0.409)
                                                                      
SET: rps=109546.2 (overall: 110763.7) avg_msec=0.418 (overall: 0.409)
                                                                      
SET: rps=109148.0 (overall: 110724.5) avg_msec=0.409 (overall: 0.409)
                                                                      
SET: rps=107872.5 (overall: 110656.5) avg_msec=0.420 (overall: 0.409)
                                                                      
SET: rps=113712.0 (overall: 110727.3) avg_msec=0.410 (overall: 0.409)
                                                                      
SET: rps=114160.0 (overall: 110805.1) avg_msec=0.389 (overall: 0.409)
                                                                      
SET: rps=113665.3 (overall: 110868.7) avg_msec=0.392 (overall: 0.408)
                                                                      
SET: rps=112633.5 (overall: 110907.1) avg_msec=0.372 (overall: 0.408)
                                                                      
SET: rps=109352.0 (overall: 110874.1) avg_msec=0.424 (overall: 0.408)
                                                                      
SET: rps=110828.0 (overall: 110873.1) avg_msec=0.415 (overall: 0.408)
                                                                      
SET: rps=110322.7 (overall: 110861.9) avg_msec=0.419 (overall: 0.408)
                                                                      
SET: rps=109259.0 (overall: 110829.8) avg_msec=0.412 (overall: 0.408)
                                                                      
SET: rps=104524.0 (overall: 110706.6) avg_msec=0.436 (overall: 0.409)
                                                                      
SET: rps=114020.0 (overall: 110770.1) avg_msec=0.418 (overall: 0.409)
                                                                      
SET: rps=110402.4 (overall: 110763.1) avg_msec=0.422 (overall: 0.409)
                                                                      
SET: rps=100196.0 (overall: 110568.0) avg_msec=0.451 (overall: 0.410)
                                                                      
SET: rps=99852.6 (overall: 110373.0) avg_msec=0.453 (overall: 0.411)
                                                                     
SET: rps=100716.0 (overall: 110201.1) avg_msec=0.452 (overall: 0.412)
                                                                      
SET: rps=101514.0 (overall: 110048.6) avg_msec=0.441 (overall: 0.412)
                                                                      
SET: rps=94912.4 (overall: 109787.3) avg_msec=0.460 (overall: 0.413)
                                                                     
SET: rps=99964.0 (overall: 109621.3) avg_msec=0.455 (overall: 0.413)
                                                                     
SET: rps=99645.4 (overall: 109454.9) avg_msec=0.452 (overall: 0.414)
                                                                     
SET: rps=100083.7 (overall: 109301.1) avg_msec=0.451 (overall: 0.415)
                                                                      
SET: rps=99744.0 (overall: 109147.4) avg_msec=0.449 (overall: 0.415)
                                                                     
SET: rps=103027.9 (overall: 109050.2) avg_msec=0.419 (overall: 0.415)
                                                                      
SET: rps=99768.9 (overall: 108905.0) avg_msec=0.454 (overall: 0.416)
                                                                     
SET: rps=99704.0 (overall: 108763.9) avg_msec=0.456 (overall: 0.416)
                                                                     
SET: rps=99354.6 (overall: 108621.2) avg_msec=0.455 (overall: 0.417)
                                                                     
SET: rps=100360.0 (overall: 108498.2) avg_msec=0.452 (overall: 0.417)
                                                                      
SET: rps=100458.2 (overall: 108379.9) avg_msec=0.451 (overall: 0.418)
                                                                      
SET: rps=100665.3 (overall: 108268.0) avg_msec=0.450 (overall: 0.418)
                                                                      
SET: rps=101605.6 (overall: 108172.7) avg_msec=0.446 (overall: 0.419)
                                                                      
SET: rps=104856.6 (overall: 108125.9) avg_msec=0.423 (overall: 0.419)
                                                                      
SET: rps=109692.0 (overall: 108147.6) avg_msec=0.391 (overall: 0.418)
                                                                      
