===== Redis 100M Benchmark =====
Instance Type: m5.xlarge
Run: 5
Date: 2026-01-23T04:41:40+00:00

--- System Info ---
CPU: 4 cores
Memory: 15.4G
model name	: Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz

--- Starting Redis Server ---
Redis server started

--- Warmup ---
Warmup complete (100K SET requests)

--- Test 1: SET 100M requests (50 clients, 3 threads) ---
Start: 2026-01-23T04:41:43+00:00
 
SET: rps=0.0 (overall: inf) avg_msec=0.025 (overall: 0.228)
                                                            
SET: rps=113282.9 (overall: 113298.8) avg_msec=0.409 (overall: 0.409)
                                                                      
SET: rps=109892.4 (overall: 111595.6) avg_msec=0.422 (overall: 0.415)
                                                                      
SET: rps=112284.0 (overall: 111824.5) avg_msec=0.417 (overall: 0.416)
                                                                      
SET: rps=110266.9 (overall: 111434.7) avg_msec=0.413 (overall: 0.415)
                                                                      
SET: rps=115932.0 (overall: 112332.0) avg_msec=0.394 (overall: 0.411)
                                                                      
SET: rps=114964.1 (overall: 112771.3) avg_msec=0.374 (overall: 0.405)
                                                                      
SET: rps=109278.9 (overall: 112271.8) avg_msec=0.419 (overall: 0.407)
                                                                      
SET: rps=111528.0 (overall: 112179.0) avg_msec=0.384 (overall: 0.404)
                                                                      
SET: rps=115111.6 (overall: 112505.3) avg_msec=0.401 (overall: 0.404)
                                                                      
SET: rps=115448.0 (overall: 112798.9) avg_msec=0.397 (overall: 0.403)
                                                                      
SET: rps=107613.6 (overall: 112326.8) avg_msec=0.419 (overall: 0.404)
                                                                      
SET: rps=114888.0 (overall: 112539.7) avg_msec=0.400 (overall: 0.404)
                                                                      
SET: rps=111179.3 (overall: 112434.9) avg_msec=0.413 (overall: 0.405)
                                                                      
SET: rps=113432.0 (overall: 112506.0) avg_msec=0.395 (overall: 0.404)
                                                                      
SET: rps=111263.0 (overall: 112423.0) avg_msec=0.402 (overall: 0.404)
                                                                      
SET: rps=113732.0 (overall: 112504.6) avg_msec=0.410 (overall: 0.404)
                                                                      
SET: rps=115795.4 (overall: 112704.3) avg_msec=0.386 (overall: 0.403)
                                                                      
SET: rps=113896.8 (overall: 112770.8) avg_msec=0.392 (overall: 0.403)
                                                                      
SET: rps=108370.5 (overall: 112539.3) avg_msec=0.415 (overall: 0.403)
                                                                      
SET: rps=115404.0 (overall: 112681.9) avg_msec=0.381 (overall: 0.402)
                                                                      
SET: rps=110792.0 (overall: 112592.3) avg_msec=0.409 (overall: 0.402)
                                                                      
SET: rps=112645.4 (overall: 112594.7) avg_msec=0.412 (overall: 0.403)
                                                                      
SET: rps=104788.0 (overall: 112256.6) avg_msec=0.435 (overall: 0.404)
                                                                      
SET: rps=111186.1 (overall: 112210.8) avg_msec=0.402 (overall: 0.404)
                                                                      
SET: rps=114561.8 (overall: 112304.7) avg_msec=0.385 (overall: 0.403)
                                                                      
SET: rps=112432.0 (overall: 112309.6) avg_msec=0.409 (overall: 0.404)
                                                                      
SET: rps=111968.0 (overall: 112297.0) avg_msec=0.418 (overall: 0.404)
                                                                      
SET: rps=113406.4 (overall: 112336.6) avg_msec=0.400 (overall: 0.404)
                                                                      
SET: rps=111740.0 (overall: 112316.1) avg_msec=0.401 (overall: 0.404)
                                                                      
SET: rps=110776.9 (overall: 112264.8) avg_msec=0.416 (overall: 0.404)
                                                                      
SET: rps=115772.0 (overall: 112377.5) avg_msec=0.392 (overall: 0.404)
                                                                      
SET: rps=114059.8 (overall: 112430.0) avg_msec=0.394 (overall: 0.404)
                                                                      
SET: rps=114708.0 (overall: 112498.8) avg_msec=0.399 (overall: 0.403)
                                                                      
SET: rps=111300.8 (overall: 112462.9) avg_msec=0.400 (overall: 0.403)
                                                                      
SET: rps=114215.1 (overall: 112512.9) avg_msec=0.396 (overall: 0.403)
                                                                      
SET: rps=115452.0 (overall: 112594.2) avg_msec=0.398 (overall: 0.403)
                                                                      
SET: rps=116052.0 (overall: 112687.2) avg_msec=0.403 (overall: 0.403)
                                                                      
SET: rps=111099.6 (overall: 112645.5) avg_msec=0.410 (overall: 0.403)
                                                                      
SET: rps=116661.4 (overall: 112748.4) avg_msec=0.374 (overall: 0.402)
                                                                      
SET: rps=115124.0 (overall: 112807.5) avg_msec=0.399 (overall: 0.402)
                                                                      
SET: rps=114725.1 (overall: 112854.3) avg_msec=0.405 (overall: 0.402)
                                                                      
SET: rps=113940.0 (overall: 112880.0) avg_msec=0.400 (overall: 0.402)
                                                                      
SET: rps=110043.8 (overall: 112814.1) avg_msec=0.419 (overall: 0.403)
                                                                      
SET: rps=113228.0 (overall: 112823.4) avg_msec=0.402 (overall: 0.403)
                                                                      
SET: rps=112641.4 (overall: 112819.4) avg_msec=0.378 (overall: 0.402)
                                                                      
SET: rps=107203.2 (overall: 112697.3) avg_msec=0.426 (overall: 0.403)
                                                                      
SET: rps=111732.0 (overall: 112676.9) avg_msec=0.408 (overall: 0.403)
                                                                      
SET: rps=112912.4 (overall: 112681.8) avg_msec=0.398 (overall: 0.403)
                                                                      
SET: rps=112376.0 (overall: 112675.6) avg_msec=0.377 (overall: 0.402)
                                                                      
SET: rps=106689.2 (overall: 112555.8) avg_msec=0.416 (overall: 0.403)
                                                                      
SET: rps=96350.6 (overall: 112238.0) avg_msec=0.441 (overall: 0.403)
                                                                     
SET: rps=97884.0 (overall: 111963.1) avg_msec=0.451 (overall: 0.404)
                                                                     
SET: rps=102960.2 (overall: 111793.2) avg_msec=0.435 (overall: 0.405)
                                                                      
SET: rps=102140.0 (overall: 111615.1) avg_msec=0.444 (overall: 0.405)
                                                                      
SET: rps=102008.0 (overall: 111440.4) avg_msec=0.440 (overall: 0.406)
                                                                      
SET: rps=95414.3 (overall: 111154.1) avg_msec=0.456 (overall: 0.407)
                                                                     
SET: rps=100204.0 (overall: 110962.7) avg_msec=0.451 (overall: 0.407)
                                                                      
SET: rps=98478.6 (overall: 110742.4) avg_msec=0.450 (overall: 0.408)
                                                                     
SET: rps=94167.3 (overall: 110461.5) avg_msec=0.458 (overall: 0.409)
                                                                     
SET: rps=101340.0 (overall: 110310.1) avg_msec=0.447 (overall: 0.409)
                                                                      
SET: rps=97442.2 (overall: 110099.1) avg_msec=0.457 (overall: 0.410)
                                                                     
SET: rps=99272.0 (overall: 109925.2) avg_msec=0.456 (overall: 0.411)
                                                                     
SET: rps=94274.9 (overall: 109676.8) avg_msec=0.429 (overall: 0.411)
                                                                     
SET: rps=107260.9 (overall: 109638.7) avg_msec=0.397 (overall: 0.411)
                                                                      
SET: rps=103430.3 (overall: 109543.2) avg_msec=0.406 (overall: 0.411)
                                                                      
SET: rps=111960.2 (overall: 109579.8) avg_msec=0.364 (overall: 0.410)
                                                                      
SET: rps=111948.2 (overall: 109615.2) avg_msec=0.366 (overall: 0.409)
                                                                      
SET: rps=113572.0 (overall: 109673.1) avg_msec=0.368 (overall: 0.409)
                                                                      
SET: rps=112908.7 (overall: 109720.2) avg_msec=0.368 (overall: 0.408)
                                                                      
SET: rps=113088.0 (overall: 109768.1) avg_msec=0.370 (overall: 0.407)
                                                                      
SET: rps=106386.5 (overall: 109720.5) avg_msec=0.392 (overall: 0.407)
                                                                      
SET: rps=112099.6 (overall: 109753.6) avg_msec=0.372 (overall: 0.407)
                                                                      
SET: rps=109564.0 (overall: 109751.0) avg_msec=0.383 (overall: 0.406)
                                                                      
SET: rps=100621.5 (overall: 109627.6) avg_msec=0.444 (overall: 0.407)
                                                                      
SET: rps=110043.8 (overall: 109633.1) avg_msec=0.382 (overall: 0.407)
                                                                      
SET: rps=102019.9 (overall: 109533.0) avg_msec=0.434 (overall: 0.407)
                                                                      
SET: rps=111936.3 (overall: 109564.2) avg_msec=0.370 (overall: 0.406)
                                                                      
SET: rps=106064.0 (overall: 109519.5) avg_msec=0.408 (overall: 0.406)
                                                                      
SET: rps=110055.8 (overall: 109526.3) avg_msec=0.379 (overall: 0.406)
                                                                      
SET: rps=104348.0 (overall: 109461.8) avg_msec=0.417 (overall: 0.406)
                                                                      
SET: rps=102410.4 (overall: 109374.7) avg_msec=0.407 (overall: 0.406)
                                                                      
SET: rps=110019.9 (overall: 109382.6) avg_msec=0.364 (overall: 0.406)
                                                                      
SET: rps=106565.7 (overall: 109348.7) avg_msec=0.400 (overall: 0.406)
                                                                      
SET: rps=111434.3 (overall: 109373.5) avg_msec=0.375 (overall: 0.405)
                                                                      
SET: rps=109268.0 (overall: 109372.2) avg_msec=0.390 (overall: 0.405)
                                                                      
SET: rps=101099.6 (overall: 109276.0) avg_msec=0.421 (overall: 0.405)
                                                                      
SET: rps=109541.8 (overall: 109279.1) avg_msec=0.377 (overall: 0.405)
                                                                      
SET: rps=111728.0 (overall: 109306.8) avg_msec=0.361 (overall: 0.404)
                                                                      
SET: rps=103406.4 (overall: 109240.5) avg_msec=0.429 (overall: 0.405)
                                                                      
SET: rps=98344.0 (overall: 109119.9) avg_msec=0.442 (overall: 0.405)
                                                                     
SET: rps=95677.3 (overall: 108972.1) avg_msec=0.451 (overall: 0.406)
                                                                     
SET: rps=102338.6 (overall: 108900.0) avg_msec=0.435 (overall: 0.406)
                                                                      
SET: rps=112370.5 (overall: 108937.4) avg_msec=0.368 (overall: 0.405)
                                                                      
SET: rps=101896.4 (overall: 108862.4) avg_msec=0.443 (overall: 0.406)
                                                                      
SET: rps=106039.8 (overall: 108832.7) avg_msec=0.405 (overall: 0.406)
                                                                      
