===== Redis 100M Benchmark =====
Instance Type: m5a.xlarge
Run: 4
Date: 2026-01-21T04:55:51+00:00

--- System Info ---
CPU: 4 cores
Memory: 15.3G
model name	: AMD EPYC 7571

--- Starting Redis Server ---
Redis server started

--- Warmup ---
Warmup complete (1M requests)

--- Test 1: SET 100M requests (50 clients, 3 threads) ---
Start: 2026-01-21T05:11:37+00:00
 
SET: rps=0.0 (overall: 0.0) avg_msec=-nan (overall: -nan)
                                                          
SET: rps=65632.0 (overall: 65370.5) avg_msec=0.686 (overall: 0.686)
                                                                    
SET: rps=67740.0 (overall: 66552.9) avg_msec=0.702 (overall: 0.694)
                                                                    
SET: rps=67960.2 (overall: 67022.6) avg_msec=0.693 (overall: 0.694)
                                                                    
SET: rps=67968.0 (overall: 67258.5) avg_msec=0.694 (overall: 0.694)
                                                                    
SET: rps=67872.5 (overall: 67381.5) avg_msec=0.688 (overall: 0.693)
                                                                    
SET: rps=67308.0 (overall: 67369.3) avg_msec=0.714 (overall: 0.696)
                                                                    
SET: rps=67219.1 (overall: 67347.8) avg_msec=0.702 (overall: 0.697)
                                                                    
SET: rps=65408.0 (overall: 67105.8) avg_msec=0.702 (overall: 0.698)
                                                                    
SET: rps=68404.0 (overall: 67249.8) avg_msec=0.697 (overall: 0.698)
                                                                    
SET: rps=67374.5 (overall: 67262.3) avg_msec=0.706 (overall: 0.699)
                                                                    
SET: rps=67768.0 (overall: 67308.2) avg_msec=0.705 (overall: 0.699)
                                                                    
SET: rps=68063.0 (overall: 67371.9) avg_msec=0.694 (overall: 0.699)
                                                                    
SET: rps=67517.9 (overall: 67383.1) avg_msec=0.678 (overall: 0.697)
                                                                    
SET: rps=69036.0 (overall: 67500.9) avg_msec=0.688 (overall: 0.697)
                                                                    
SET: rps=67980.1 (overall: 67532.8) avg_msec=0.698 (overall: 0.697)
                                                                    
SET: rps=67804.0 (overall: 67549.7) avg_msec=0.702 (overall: 0.697)
                                                                    
SET: rps=67908.0 (overall: 67570.8) avg_msec=0.704 (overall: 0.697)
                                                                    
SET: rps=68147.4 (overall: 67602.8) avg_msec=0.700 (overall: 0.698)
                                                                    
SET: rps=68112.0 (overall: 67629.6) avg_msec=0.702 (overall: 0.698)
                                                                    
SET: rps=67131.5 (overall: 67604.6) avg_msec=0.711 (overall: 0.699)
                                                                    
SET: rps=68240.0 (overall: 67634.8) avg_msec=0.697 (overall: 0.699)
                                                                    
SET: rps=68123.5 (overall: 67657.1) avg_msec=0.699 (overall: 0.699)
                                                                    
SET: rps=68676.0 (overall: 67701.2) avg_msec=0.695 (overall: 0.698)
                                                                    
SET: rps=68004.0 (overall: 67713.9) avg_msec=0.693 (overall: 0.698)
                                                                    
SET: rps=68088.0 (overall: 67728.8) avg_msec=0.701 (overall: 0.698)
                                                                    
SET: rps=68128.0 (overall: 67744.1) avg_msec=0.703 (overall: 0.699)
                                                                    
SET: rps=67621.5 (overall: 67739.6) avg_msec=0.695 (overall: 0.698)
                                                                    
SET: rps=68368.0 (overall: 67762.0) avg_msec=0.701 (overall: 0.699)
                                                                    
SET: rps=68625.5 (overall: 67791.8) avg_msec=0.695 (overall: 0.698)
                                                                    
SET: rps=68732.0 (overall: 67823.1) avg_msec=0.698 (overall: 0.698)
                                                                    
SET: rps=68358.6 (overall: 67840.4) avg_msec=0.697 (overall: 0.698)
                                                                    
SET: rps=68528.0 (overall: 67861.8) avg_msec=0.692 (overall: 0.698)
                                                                    
SET: rps=68354.6 (overall: 67876.8) avg_msec=0.695 (overall: 0.698)
                                                                    
SET: rps=67616.0 (overall: 67869.1) avg_msec=0.712 (overall: 0.699)
                                                                    
SET: rps=68478.1 (overall: 67886.5) avg_msec=0.688 (overall: 0.698)
                                                                    
SET: rps=67196.0 (overall: 67867.4) avg_msec=0.706 (overall: 0.698)
                                                                    
SET: rps=67780.0 (overall: 67865.0) avg_msec=0.704 (overall: 0.699)
                                                                    
SET: rps=67924.3 (overall: 67866.6) avg_msec=0.702 (overall: 0.699)
                                                                    
SET: rps=67976.1 (overall: 67869.4) avg_msec=0.701 (overall: 0.699)
                                                                    
SET: rps=69004.0 (overall: 67897.7) avg_msec=0.688 (overall: 0.698)
                                                                    
SET: rps=65920.3 (overall: 67849.4) avg_msec=0.677 (overall: 0.698)
                                                                    
SET: rps=68632.0 (overall: 67868.0) avg_msec=0.696 (overall: 0.698)
                                                                    
SET: rps=68352.0 (overall: 67879.2) avg_msec=0.696 (overall: 0.698)
                                                                    
SET: rps=68490.0 (overall: 67893.1) avg_msec=0.694 (overall: 0.698)
                                                                    
SET: rps=68492.0 (overall: 67906.4) avg_msec=0.697 (overall: 0.698)
                                                                    
SET: rps=67948.2 (overall: 67907.3) avg_msec=0.700 (overall: 0.698)
                                                                    
SET: rps=68372.0 (overall: 67917.2) avg_msec=0.700 (overall: 0.698)
                                                                    
SET: rps=65737.1 (overall: 67871.7) avg_msec=0.694 (overall: 0.698)
                                                                    
SET: rps=67640.0 (overall: 67867.0) avg_msec=0.704 (overall: 0.698)
                                                                    
SET: rps=67628.0 (overall: 67862.2) avg_msec=0.710 (overall: 0.698)
                                                                    
SET: rps=67219.1 (overall: 67849.6) avg_msec=0.707 (overall: 0.698)
                                                                    
SET: rps=66868.0 (overall: 67830.7) avg_msec=0.714 (overall: 0.699)
                                                                    
SET: rps=67302.8 (overall: 67820.8) avg_msec=0.687 (overall: 0.698)
                                                                    
SET: rps=68100.0 (overall: 67825.9) avg_msec=0.702 (overall: 0.699)
                                                                    
SET: rps=68354.6 (overall: 67835.5) avg_msec=0.697 (overall: 0.699)
                                                                    
SET: rps=67920.0 (overall: 67837.0) avg_msec=0.698 (overall: 0.699)
                                                                    
SET: rps=67884.5 (overall: 67837.9) avg_msec=0.701 (overall: 0.699)
                                                                    
SET: rps=68364.0 (overall: 67846.9) avg_msec=0.699 (overall: 0.699)
                                                                    
SET: rps=68560.0 (overall: 67859.0) avg_msec=0.695 (overall: 0.699)
                                                                    
SET: rps=68127.5 (overall: 67863.5) avg_msec=0.692 (overall: 0.698)
                                                                    
SET: rps=68304.0 (overall: 67870.7) avg_msec=0.697 (overall: 0.698)
                                                                    
SET: rps=67406.4 (overall: 67863.2) avg_msec=0.701 (overall: 0.698)
                                                                    
SET: rps=68216.0 (overall: 67868.8) avg_msec=0.701 (overall: 0.699)
                                                                    
SET: rps=67251.0 (overall: 67859.1) avg_msec=0.696 (overall: 0.698)
                                                                    
SET: rps=68364.0 (overall: 67866.9) avg_msec=0.699 (overall: 0.699)
                                                                    
SET: rps=67632.0 (overall: 67863.3) avg_msec=0.698 (overall: 0.698)
                                                                    
SET: rps=68274.9 (overall: 67869.5) avg_msec=0.697 (overall: 0.698)
                                                                    
SET: rps=67636.0 (overall: 67866.0) avg_msec=0.708 (overall: 0.699)
                                                                    
SET: rps=67972.1 (overall: 67867.6) avg_msec=0.698 (overall: 0.699)
                                                                    
SET: rps=68220.0 (overall: 67872.6) avg_msec=0.698 (overall: 0.699)
                                                                    
SET: rps=68228.0 (overall: 67877.6) avg_msec=0.701 (overall: 0.699)
                                                                    
SET: rps=68362.6 (overall: 67884.3) avg_msec=0.692 (overall: 0.699)
                                                                    
SET: rps=67776.0 (overall: 67882.9) avg_msec=0.706 (overall: 0.699)
                                                                    
SET: rps=68653.4 (overall: 67893.3) avg_msec=0.692 (overall: 0.699)
                                                                    
SET: rps=67952.0 (overall: 67894.1) avg_msec=0.698 (overall: 0.699)
                                                                    
SET: rps=68520.0 (overall: 67902.3) avg_msec=0.694 (overall: 0.699)
                                                                    
SET: rps=66940.2 (overall: 67889.8) avg_msec=0.704 (overall: 0.699)
                                                                    
SET: rps=68616.0 (overall: 67899.1) avg_msec=0.697 (overall: 0.699)
                                                                    
SET: rps=68442.2 (overall: 67906.0) avg_msec=0.696 (overall: 0.699)
                                                                    
SET: rps=68584.0 (overall: 67914.4) avg_msec=0.694 (overall: 0.698)
                                                                    
SET: rps=66211.2 (overall: 67893.3) avg_msec=0.669 (overall: 0.698)
                                                                    
SET: rps=68336.0 (overall: 67898.7) avg_msec=0.700 (overall: 0.698)
                                                                    
SET: rps=68368.0 (overall: 67904.4) avg_msec=0.696 (overall: 0.698)
                                                                    
SET: rps=67418.3 (overall: 67898.6) avg_msec=0.696 (overall: 0.698)
                                                                    
SET: rps=68160.0 (overall: 67901.6) avg_msec=0.699 (overall: 0.698)
                                                                    
SET: rps=67856.6 (overall: 67901.1) avg_msec=0.703 (overall: 0.698)
                                                                    
SET: rps=68653.4 (overall: 67909.8) avg_msec=0.693 (overall: 0.698)
                                                                    
SET: rps=66056.0 (overall: 67888.8) avg_msec=0.691 (overall: 0.698)
                                                                    
SET: rps=68328.0 (overall: 67893.7) avg_msec=0.697 (overall: 0.698)
                                                                    
SET: rps=68278.9 (overall: 67898.0) avg_msec=0.695 (overall: 0.698)
                                                                    
SET: rps=68708.0 (overall: 67906.9) avg_msec=0.695 (overall: 0.698)
                                                                    
SET: rps=66936.3 (overall: 67896.3) avg_msec=0.704 (overall: 0.698)
                                                                    
SET: rps=68148.0 (overall: 67899.0) avg_msec=0.691 (overall: 0.698)
                                                                    
SET: rps=67625.5 (overall: 67896.1) avg_msec=0.694 (overall: 0.698)
                                                                    
SET: rps=68308.0 (overall: 67900.4) avg_msec=0.699 (overall: 0.698)
                                                                    
SET: rps=68000.0 (overall: 67901.4) avg_msec=0.697 (overall: 0.698)
                                                                    
SET: rps=67948.0 (overall: 67901.9) avg_msec=0.700 (overall: 0.698)
                                                                    
SET: rps=68780.0 (overall: 67910.9) avg_msec=0.689 (overall: 0.698)
                                                                    
SET: rps=68597.6 (overall: 67917.8) avg_msec=0.693 (overall: 0.698)
                                                                    
SET: rps=68656.0 (overall: 67925.2) avg_msec=0.696 (overall: 0.698)
                                                                    
SET: rps=68263.0 (overall: 67928.5) avg_msec=0.696 (overall: 0.698)
                                                                    
SET: rps=68888.0 (overall: 67937.9) avg_msec=0.691 (overall: 0.698)
                                                                    
SET: rps=68444.4 (overall: 67942.9) avg_msec=0.689 (overall: 0.698)
                                                                    
SET: rps=68268.0 (overall: 67946.0) avg_msec=0.694 (overall: 0.698)
                                                                    
SET: rps=68740.0 (overall: 67953.5) avg_msec=0.691 (overall: 0.698)
                                                                    
SET: rps=68207.2 (overall: 67955.9) avg_msec=0.700 (overall: 0.698)
                                                                    
SET: rps=68272.0 (overall: 67958.9) avg_msec=0.702 (overall: 0.698)
                                                                    
SET: rps=68450.2 (overall: 67963.4) avg_msec=0.693 (overall: 0.698)
                                                                    
SET: rps=68240.0 (overall: 67966.0) avg_msec=0.697 (overall: 0.698)
                                                                    
SET: rps=67462.2 (overall: 67961.4) avg_msec=0.705 (overall: 0.698)
                                                                    
SET: rps=67920.0 (overall: 67961.0) avg_msec=0.704 (overall: 0.698)
                                                                    
SET: rps=68392.0 (overall: 67964.9) avg_msec=0.698 (overall: 0.698)
                                                                    
SET: rps=67753.0 (overall: 67963.0) avg_msec=0.702 (overall: 0.698)
                                                                    
SET: rps=68216.0 (overall: 67965.2) avg_msec=0.702 (overall: 0.698)
                                                                    
SET: rps=68063.8 (overall: 67966.0) avg_msec=0.699 (overall: 0.698)
                                                                    
SET: rps=66884.0 (overall: 67956.7) avg_msec=0.706 (overall: 0.698)
                                                                    
SET: rps=67055.8 (overall: 67949.0) avg_msec=0.702 (overall: 0.698)
                                                                    
SET: rps=67564.0 (overall: 67945.8) avg_msec=0.710 (overall: 0.698)
                                                                    
SET: rps=67761.0 (overall: 67944.2) avg_msec=0.703 (overall: 0.698)
                                                                    
SET: rps=67968.0 (overall: 67944.4) avg_msec=0.699 (overall: 0.698)
                                                                    
SET: rps=66023.9 (overall: 67928.5) avg_msec=0.682 (overall: 0.698)
                                                                    
SET: rps=67976.0 (overall: 67928.9) avg_msec=0.702 (overall: 0.698)
                                                                    
SET: rps=67569.7 (overall: 67926.0) avg_msec=0.706 (overall: 0.698)
                                                                    
SET: rps=67024.0 (overall: 67918.7) avg_msec=0.709 (overall: 0.698)
                                                                    
SET: rps=68232.0 (overall: 67921.2) avg_msec=0.695 (overall: 0.698)
                                                                    
SET: rps=68944.2 (overall: 67929.3) avg_msec=0.689 (overall: 0.698)
                                                                    
SET: rps=69172.0 (overall: 67939.1) avg_msec=0.690 (overall: 0.698)
                                                                    
SET: rps=66135.5 (overall: 67925.0) avg_msec=0.685 (overall: 0.698)
                                                                    
SET: rps=65712.0 (overall: 67907.9) avg_msec=0.688 (overall: 0.698)
                                                                    
SET: rps=68548.0 (overall: 67912.8) avg_msec=0.698 (overall: 0.698)
                                                                    
SET: rps=68346.6 (overall: 67916.1) avg_msec=0.692 (overall: 0.698)
                                                                    
SET: rps=67704.0 (overall: 67914.5) avg_msec=0.693 (overall: 0.698)
                                                                    
SET: rps=67338.6 (overall: 67910.2) avg_msec=0.699 (overall: 0.698)
                                                                    
SET: rps=68036.0 (overall: 67911.1) avg_msec=0.679 (overall: 0.698)
                                                                    
SET: rps=68247.0 (overall: 67913.6) avg_msec=0.696 (overall: 0.698)
                                                                    
SET: rps=67412.0 (overall: 67909.9) avg_msec=0.710 (overall: 0.698)
                                                                    
SET: rps=67673.3 (overall: 67908.2) avg_msec=0.701 (overall: 0.698)
                                                                    
SET: rps=67404.0 (overall: 67904.5) avg_msec=0.709 (overall: 0.698)
                                                                    
SET: rps=68144.0 (overall: 67906.2) avg_msec=0.698 (overall: 0.698)
                                                                    
SET: rps=67251.0 (overall: 67901.6) avg_msec=0.710 (overall: 0.698)
                                                                    
SET: rps=68244.0 (overall: 67904.0) avg_msec=0.699 (overall: 0.698)
                                                                    
SET: rps=67896.4 (overall: 67903.9) avg_msec=0.697 (overall: 0.698)
                                                                    
SET: rps=68560.0 (overall: 67908.5) avg_msec=0.695 (overall: 0.698)
                                                                    
SET: rps=68330.7 (overall: 67911.4) avg_msec=0.694 (overall: 0.698)
                                                                    
SET: rps=68808.0 (overall: 67917.6) avg_msec=0.693 (overall: 0.698)
                                                                    
SET: rps=68156.0 (overall: 67919.2) avg_msec=0.698 (overall: 0.698)
                                                                    
SET: rps=67255.0 (overall: 67914.7) avg_msec=0.706 (overall: 0.698)
                                                                    
SET: rps=67876.0 (overall: 67914.5) avg_msec=0.702 (overall: 0.698)
                                                                    
SET: rps=67422.3 (overall: 67911.1) avg_msec=0.706 (overall: 0.698)
                                                                    
SET: rps=68256.0 (overall: 67913.4) avg_msec=0.700 (overall: 0.698)
                                                                    
SET: rps=68167.3 (overall: 67915.1) avg_msec=0.696 (overall: 0.698)
                                                                    
SET: rps=67976.0 (overall: 67915.5) avg_msec=0.701 (overall: 0.698)
                                                                    
SET: rps=67884.0 (overall: 67915.3) avg_msec=0.699 (overall: 0.698)
                                                                    
SET: rps=68143.4 (overall: 67916.8) avg_msec=0.698 (overall: 0.698)
                                                                    
SET: rps=67920.0 (overall: 67916.8) avg_msec=0.701 (overall: 0.698)
                                                                    
SET: rps=67585.7 (overall: 67914.7) avg_msec=0.697 (overall: 0.698)
                                                                    
SET: rps=68496.0 (overall: 67918.4) avg_msec=0.693 (overall: 0.698)
                                                                    
SET: rps=68456.0 (overall: 67921.8) avg_msec=0.701 (overall: 0.698)
                                                                    
SET: rps=68370.5 (overall: 67924.6) avg_msec=0.692 (overall: 0.698)
                                                                    
SET: rps=68533.9 (overall: 67928.4) avg_msec=0.697 (overall: 0.698)
                                                                    
SET: rps=65860.6 (overall: 67915.6) avg_msec=0.684 (overall: 0.698)
                                                                    
SET: rps=68448.0 (overall: 67918.8) avg_msec=0.699 (overall: 0.698)
                                                                    
SET: rps=67167.3 (overall: 67914.2) avg_msec=0.707 (overall: 0.698)
                                                                    
SET: rps=67940.0 (overall: 67914.4) avg_msec=0.697 (overall: 0.698)
                                                                    
SET: rps=68492.0 (overall: 67917.9) avg_msec=0.695 (overall: 0.698)
                                                                    
SET: rps=68701.2 (overall: 67922.6) avg_msec=0.695 (overall: 0.698)
                                                                    
SET: rps=68288.0 (overall: 67924.8) avg_msec=0.698 (overall: 0.698)
                                                                    
SET: rps=65103.6 (overall: 67908.0) avg_msec=0.714 (overall: 0.698)
                                                                    
SET: rps=67988.0 (overall: 67908.4) avg_msec=0.692 (overall: 0.698)
                                                                    
SET: rps=67856.6 (overall: 67908.1) avg_msec=0.703 (overall: 0.698)
                                                                    
SET: rps=68204.0 (overall: 67909.9) avg_msec=0.699 (overall: 0.698)
                                                                    
SET: rps=67864.0 (overall: 67909.6) avg_msec=0.699 (overall: 0.698)
                                                                    
SET: rps=68000.0 (overall: 67910.1) avg_msec=0.701 (overall: 0.698)
                                                                    
SET: rps=67500.0 (overall: 67907.8) avg_msec=0.697 (overall: 0.698)
                                                                    
SET: rps=66948.2 (overall: 67902.3) avg_msec=0.710 (overall: 0.698)
                                                                    
SET: rps=68136.0 (overall: 67903.6) avg_msec=0.701 (overall: 0.698)
                                                                    
SET: rps=67796.0 (overall: 67903.0) avg_msec=0.699 (overall: 0.698)
                                                                    
SET: rps=67820.7 (overall: 67902.5) avg_msec=0.701 (overall: 0.698)
                                                                    
SET: rps=67412.0 (overall: 67899.8) avg_msec=0.707 (overall: 0.698)
                                                                    
SET: rps=67263.0 (overall: 67896.2) avg_msec=0.712 (overall: 0.698)
                                                                    
SET: rps=67952.0 (overall: 67896.5) avg_msec=0.702 (overall: 0.698)
                                                                    
SET: rps=66964.1 (overall: 67891.4) avg_msec=0.711 (overall: 0.698)
                                                                    
SET: rps=67936.0 (overall: 67891.7) avg_msec=0.700 (overall: 0.698)
                                                                    
SET: rps=67864.0 (overall: 67891.5) avg_msec=0.698 (overall: 0.698)
                                                                    
SET: rps=66912.4 (overall: 67886.2) avg_msec=0.708 (overall: 0.698)
                                                                    
SET: rps=67760.0 (overall: 67885.5) avg_msec=0.706 (overall: 0.699)
                                                                    
SET: rps=67131.5 (overall: 67881.5) avg_msec=0.711 (overall: 0.699)
                                                                    
SET: rps=67208.0 (overall: 67877.9) avg_msec=0.710 (overall: 0.699)
                                                                    
SET: rps=67314.7 (overall: 67874.9) avg_msec=0.706 (overall: 0.699)
                                                                    
SET: rps=68788.0 (overall: 67879.7) avg_msec=0.698 (overall: 0.699)
                                                                    
SET: rps=67498.0 (overall: 67877.7) avg_msec=0.705 (overall: 0.699)
                                                                    
SET: rps=68316.0 (overall: 67880.0) avg_msec=0.698 (overall: 0.699)
                                                                    
SET: rps=67560.0 (overall: 67878.3) avg_msec=0.707 (overall: 0.699)
                                                                    
SET: rps=67665.3 (overall: 67877.2) avg_msec=0.705 (overall: 0.699)
                                                                    
SET: rps=67416.0 (overall: 67874.9) avg_msec=0.706 (overall: 0.699)
                                                                    
SET: rps=66589.6 (overall: 67868.3) avg_msec=0.716 (overall: 0.699)
                                                                    
SET: rps=68252.0 (overall: 67870.2) avg_msec=0.701 (overall: 0.699)
                                                                    
SET: rps=66928.3 (overall: 67865.5) avg_msec=0.713 (overall: 0.699)
                                                                    
SET: rps=67584.0 (overall: 67864.1) avg_msec=0.704 (overall: 0.699)
                                                                    
SET: rps=67216.0 (overall: 67860.8) avg_msec=0.699 (overall: 0.699)
                                                                    
SET: rps=65960.2 (overall: 67851.4) avg_msec=0.693 (overall: 0.699)
                                                                    
SET: rps=68184.0 (overall: 67853.0) avg_msec=0.702 (overall: 0.699)
                                                                    
SET: rps=67964.1 (overall: 67853.6) avg_msec=0.702 (overall: 0.699)
                                                                    
SET: rps=68252.0 (overall: 67855.5) avg_msec=0.699 (overall: 0.699)
                                                                    
SET: rps=67792.0 (overall: 67855.2) avg_msec=0.703 (overall: 0.699)
                                                                    
SET: rps=67681.3 (overall: 67854.4) avg_msec=0.703 (overall: 0.699)
                                                                    
SET: rps=68188.0 (overall: 67856.0) avg_msec=0.700 (overall: 0.699)
                                                                    
SET: rps=65490.0 (overall: 67844.6) avg_msec=0.687 (overall: 0.699)
                                                                    
SET: rps=67792.0 (overall: 67844.3) avg_msec=0.697 (overall: 0.699)
                                                                    
SET: rps=68252.0 (overall: 67846.2) avg_msec=0.697 (overall: 0.699)
                                                                    
SET: rps=68366.5 (overall: 67848.7) avg_msec=0.691 (overall: 0.699)
                                                                    
SET: rps=68220.0 (overall: 67850.5) avg_msec=0.701 (overall: 0.699)
                                                                    
SET: rps=69338.6 (overall: 67857.5) avg_msec=0.682 (overall: 0.699)
                                                                    
SET: rps=68348.0 (overall: 67859.8) avg_msec=0.689 (overall: 0.699)
                                                                    
SET: rps=68180.0 (overall: 67861.2) avg_msec=0.698 (overall: 0.699)
                                                                    
SET: rps=68063.8 (overall: 67862.2) avg_msec=0.696 (overall: 0.699)
                                                                    
SET: rps=68187.3 (overall: 67863.7) avg_msec=0.695 (overall: 0.699)
                                                                    
SET: rps=68628.0 (overall: 67867.2) avg_msec=0.697 (overall: 0.699)
                                                                    
SET: rps=69216.0 (overall: 67873.3) avg_msec=0.686 (overall: 0.699)
                                                                    
SET: rps=68733.1 (overall: 67877.2) avg_msec=0.695 (overall: 0.699)
                                                                    
SET: rps=68844.0 (overall: 67881.6) avg_msec=0.693 (overall: 0.699)
                                                                    
SET: rps=68434.3 (overall: 67884.1) avg_msec=0.696 (overall: 0.699)
                                                                    
SET: rps=67952.0 (overall: 67884.4) avg_msec=0.702 (overall: 0.699)
                                                                    
SET: rps=67872.5 (overall: 67884.4) avg_msec=0.702 (overall: 0.699)
                                                                    
SET: rps=68636.0 (overall: 67887.7) avg_msec=0.694 (overall: 0.699)
                                                                    
SET: rps=67844.0 (overall: 67887.5) avg_msec=0.700 (overall: 0.699)
                                                                    
SET: rps=68330.7 (overall: 67889.5) avg_msec=0.694 (overall: 0.699)
                                                                    
SET: rps=67920.0 (overall: 67889.6) avg_msec=0.704 (overall: 0.699)
                                                                    
SET: rps=68322.7 (overall: 67891.5) avg_msec=0.697 (overall: 0.699)
                                                                    
SET: rps=67776.0 (overall: 67891.0) avg_msec=0.709 (overall: 0.699)
                                                                    
SET: rps=67653.4 (overall: 67890.0) avg_msec=0.702 (overall: 0.699)
                                                                    
SET: rps=68120.0 (overall: 67890.9) avg_msec=0.702 (overall: 0.699)
                                                                    
SET: rps=67235.1 (overall: 67888.1) avg_msec=0.707 (overall: 0.699)
                                                                    
SET: rps=68432.0 (overall: 67890.4) avg_msec=0.699 (overall: 0.699)
                                                                    
SET: rps=67876.5 (overall: 67890.4) avg_msec=0.699 (overall: 0.699)
                                                                    
SET: rps=67456.0 (overall: 67888.5) avg_msec=0.701 (overall: 0.699)
                                                                    
SET: rps=67390.4 (overall: 67886.4) avg_msec=0.707 (overall: 0.699)
                                                                    
SET: rps=67996.0 (overall: 67886.9) avg_msec=0.700 (overall: 0.699)
                                                                    
SET: rps=68928.3 (overall: 67891.3) avg_msec=0.662 (overall: 0.699)
                                                                    
SET: rps=67776.0 (overall: 67890.8) avg_msec=0.691 (overall: 0.699)
                                                                    
SET: rps=66004.0 (overall: 67883.0) avg_msec=0.700 (overall: 0.699)
                                                                    
SET: rps=67697.2 (overall: 67882.2) avg_msec=0.697 (overall: 0.699)
                                                                    
SET: rps=68020.0 (overall: 67882.8) avg_msec=0.703 (overall: 0.699)
                                                                    
SET: rps=67318.7 (overall: 67880.5) avg_msec=0.701 (overall: 0.699)
                                                                    
SET: rps=67168.0 (overall: 67877.5) avg_msec=0.714 (overall: 0.699)
                                                                    
SET: rps=67916.3 (overall: 67877.7) avg_msec=0.701 (overall: 0.699)
                                                                    
SET: rps=67860.0 (overall: 67877.6) avg_msec=0.697 (overall: 0.699)
                                                                    
SET: rps=65980.1 (overall: 67870.0) avg_msec=0.682 (overall: 0.699)
                                                                    
SET: rps=68052.0 (overall: 67870.7) avg_msec=0.705 (overall: 0.699)
                                                                    
SET: rps=69228.0 (overall: 67876.1) avg_msec=0.687 (overall: 0.699)
                                                                    
SET: rps=67956.2 (overall: 67876.4) avg_msec=0.690 (overall: 0.699)
                                                                    
SET: rps=67792.0 (overall: 67876.1) avg_msec=0.692 (overall: 0.699)
                                                                    
SET: rps=67980.1 (overall: 67876.5) avg_msec=0.680 (overall: 0.699)
                                                                    
SET: rps=68916.0 (overall: 67880.6) avg_msec=0.672 (overall: 0.698)
                                                                    
SET: rps=68672.0 (overall: 67883.7) avg_msec=0.690 (overall: 0.698)
                                                                    
SET: rps=67665.3 (overall: 67882.8) avg_msec=0.701 (overall: 0.698)
                                                                    
SET: rps=67764.0 (overall: 67882.4) avg_msec=0.703 (overall: 0.698)
                                                                    
SET: rps=68326.7 (overall: 67884.1) avg_msec=0.695 (overall: 0.698)
                                                                    
SET: rps=67912.0 (overall: 67884.2) avg_msec=0.705 (overall: 0.698)
                                                                    
SET: rps=68159.4 (overall: 67885.3) avg_msec=0.700 (overall: 0.699)
                                                                    
SET: rps=67912.0 (overall: 67885.4) avg_msec=0.703 (overall: 0.699)
                                                                    
SET: rps=68645.4 (overall: 67888.3) avg_msec=0.693 (overall: 0.699)
                                                                    
SET: rps=68208.0 (overall: 67889.5) avg_msec=0.696 (overall: 0.698)
                                                                    
SET: rps=68207.2 (overall: 67890.7) avg_msec=0.696 (overall: 0.698)
                                                                    
SET: rps=69144.0 (overall: 67895.4) avg_msec=0.684 (overall: 0.698)
                                                                    
