===== Redis 100M Benchmark =====
Instance Type: m5a.xlarge
Run: 5
Date: 2026-01-21T04:55:57+00:00

--- System Info ---
CPU: 4 cores
Memory: 15.3G
model name	: AMD EPYC 7571

--- Starting Redis Server ---
Redis server started

--- Warmup ---
Warmup complete (1M requests)

--- Test 1: SET 100M requests (50 clients, 3 threads) ---
Start: 2026-01-21T05:11:35+00:00
 
SET: rps=0.0 (overall: -nan) avg_msec=0.214 (overall: 0.000)
                                                             
SET: rps=68645.4 (overall: 68645.4) avg_msec=0.681 (overall: 0.681)
                                                                    
SET: rps=69428.0 (overall: 69035.9) avg_msec=0.677 (overall: 0.679)
                                                                    
SET: rps=68342.6 (overall: 68804.5) avg_msec=0.690 (overall: 0.683)
                                                                    
SET: rps=68576.0 (overall: 68747.5) avg_msec=0.693 (overall: 0.685)
                                                                    
SET: rps=68502.0 (overall: 68698.3) avg_msec=0.682 (overall: 0.685)
                                                                    
SET: rps=68420.0 (overall: 68652.0) avg_msec=0.692 (overall: 0.686)
                                                                    
SET: rps=68127.5 (overall: 68577.0) avg_msec=0.698 (overall: 0.688)
                                                                    
SET: rps=69140.0 (overall: 68647.2) avg_msec=0.691 (overall: 0.688)
                                                                    
SET: rps=68848.0 (overall: 68669.5) avg_msec=0.689 (overall: 0.688)
                                                                    
SET: rps=68055.8 (overall: 68608.0) avg_msec=0.690 (overall: 0.689)
                                                                    
SET: rps=68420.0 (overall: 68590.9) avg_msec=0.693 (overall: 0.689)
                                                                    
SET: rps=68131.5 (overall: 68552.6) avg_msec=0.696 (overall: 0.690)
                                                                    
SET: rps=68688.0 (overall: 68563.0) avg_msec=0.692 (overall: 0.690)
                                                                    
SET: rps=69027.9 (overall: 68596.2) avg_msec=0.685 (overall: 0.689)
                                                                    
SET: rps=68676.0 (overall: 68601.5) avg_msec=0.693 (overall: 0.690)
                                                                    
SET: rps=68075.7 (overall: 68568.6) avg_msec=0.701 (overall: 0.690)
                                                                    
SET: rps=68500.0 (overall: 68564.6) avg_msec=0.694 (overall: 0.691)
                                                                    
SET: rps=68756.0 (overall: 68575.2) avg_msec=0.696 (overall: 0.691)
                                                                    
SET: rps=68370.5 (overall: 68564.4) avg_msec=0.695 (overall: 0.691)
                                                                    
SET: rps=68346.6 (overall: 68553.5) avg_msec=0.697 (overall: 0.692)
                                                                    
SET: rps=68964.0 (overall: 68573.0) avg_msec=0.687 (overall: 0.691)
                                                                    
SET: rps=69259.0 (overall: 68604.2) avg_msec=0.665 (overall: 0.690)
                                                                    
SET: rps=67644.0 (overall: 68562.6) avg_msec=0.692 (overall: 0.690)
                                                                    
SET: rps=68012.0 (overall: 68539.6) avg_msec=0.700 (overall: 0.691)
                                                                    
SET: rps=69304.0 (overall: 68570.1) avg_msec=0.665 (overall: 0.690)
                                                                    
SET: rps=69055.8 (overall: 68588.8) avg_msec=0.666 (overall: 0.689)
                                                                    
SET: rps=68484.0 (overall: 68584.9) avg_msec=0.698 (overall: 0.689)
                                                                    
SET: rps=69400.0 (overall: 68614.0) avg_msec=0.691 (overall: 0.689)
                                                                    
SET: rps=67585.7 (overall: 68578.5) avg_msec=0.704 (overall: 0.690)
                                                                    
SET: rps=68400.0 (overall: 68572.5) avg_msec=0.702 (overall: 0.690)
                                                                    
SET: rps=68944.2 (overall: 68584.5) avg_msec=0.686 (overall: 0.690)
                                                                    
SET: rps=68728.0 (overall: 68589.0) avg_msec=0.694 (overall: 0.690)
                                                                    
SET: rps=68338.6 (overall: 68581.4) avg_msec=0.688 (overall: 0.690)
                                                                    
SET: rps=68508.0 (overall: 68579.3) avg_msec=0.696 (overall: 0.690)
                                                                    
SET: rps=67613.5 (overall: 68551.6) avg_msec=0.709 (overall: 0.691)
                                                                    
SET: rps=68568.0 (overall: 68552.1) avg_msec=0.699 (overall: 0.691)
                                                                    
SET: rps=67079.7 (overall: 68512.2) avg_msec=0.694 (overall: 0.691)
                                                                    
SET: rps=65693.2 (overall: 68437.9) avg_msec=0.691 (overall: 0.691)
                                                                    
SET: rps=68856.0 (overall: 68448.6) avg_msec=0.692 (overall: 0.691)
                                                                    
SET: rps=68504.0 (overall: 68449.9) avg_msec=0.697 (overall: 0.691)
                                                                    
SET: rps=68454.2 (overall: 68450.0) avg_msec=0.692 (overall: 0.691)
                                                                    
SET: rps=68872.0 (overall: 68460.1) avg_msec=0.693 (overall: 0.691)
                                                                    
SET: rps=68482.1 (overall: 68460.6) avg_msec=0.697 (overall: 0.692)
                                                                    
SET: rps=68548.0 (overall: 68462.6) avg_msec=0.700 (overall: 0.692)
                                                                    
SET: rps=68852.0 (overall: 68471.2) avg_msec=0.689 (overall: 0.692)
                                                                    
SET: rps=69055.8 (overall: 68483.9) avg_msec=0.693 (overall: 0.692)
                                                                    
SET: rps=68952.0 (overall: 68493.9) avg_msec=0.693 (overall: 0.692)
                                                                    
SET: rps=68350.6 (overall: 68490.9) avg_msec=0.696 (overall: 0.692)
                                                                    
SET: rps=68156.0 (overall: 68484.1) avg_msec=0.698 (overall: 0.692)
                                                                    
SET: rps=68673.3 (overall: 68487.9) avg_msec=0.687 (overall: 0.692)
                                                                    
SET: rps=68352.0 (overall: 68485.2) avg_msec=0.699 (overall: 0.692)
                                                                    
SET: rps=68848.0 (overall: 68492.2) avg_msec=0.695 (overall: 0.692)
                                                                    
SET: rps=68940.2 (overall: 68500.6) avg_msec=0.689 (overall: 0.692)
                                                                    
SET: rps=69108.0 (overall: 68511.9) avg_msec=0.689 (overall: 0.692)
                                                                    
SET: rps=67880.5 (overall: 68500.4) avg_msec=0.703 (overall: 0.692)
                                                                    
SET: rps=68972.0 (overall: 68508.8) avg_msec=0.692 (overall: 0.692)
                                                                    
SET: rps=68749.0 (overall: 68513.0) avg_msec=0.689 (overall: 0.692)
                                                                    
SET: rps=69036.0 (overall: 68522.0) avg_msec=0.694 (overall: 0.692)
                                                                    
SET: rps=68689.2 (overall: 68524.8) avg_msec=0.695 (overall: 0.692)
                                                                    
SET: rps=68908.0 (overall: 68531.2) avg_msec=0.695 (overall: 0.692)
                                                                    
SET: rps=69326.7 (overall: 68544.3) avg_msec=0.689 (overall: 0.692)
                                                                    
SET: rps=66572.0 (overall: 68512.5) avg_msec=0.703 (overall: 0.692)
                                                                    
SET: rps=67585.7 (overall: 68497.8) avg_msec=0.694 (overall: 0.692)
                                                                    
SET: rps=69032.0 (overall: 68506.1) avg_msec=0.692 (overall: 0.692)
                                                                    
SET: rps=68572.0 (overall: 68507.1) avg_msec=0.690 (overall: 0.692)
                                                                    
