===== Redis 100M Benchmark =====
Instance Type: m5d.xlarge
Run: 2
Date: 2026-01-23T02:51:48+00:00

--- System Info ---
CPU: 4 cores
Memory: 15.4G
model name	: Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz

--- Starting Redis Server ---
Redis server started

--- Warmup ---
Warmup complete (100K SET requests)

--- Test 1: SET 100M requests (50 clients, 3 threads) ---
Start: 2026-01-23T02:51:52+00:00
 
SET: rps=0.0 (overall: -nan) avg_msec=0.112 (overall: 0.000)
                                                             
SET: rps=109274.9 (overall: 109274.9) avg_msec=0.402 (overall: 0.402)
                                                                      
SET: rps=113872.5 (overall: 111573.7) avg_msec=0.406 (overall: 0.404)
                                                                      
SET: rps=111052.0 (overall: 111400.3) avg_msec=0.412 (overall: 0.407)
                                                                      
SET: rps=112812.8 (overall: 111753.7) avg_msec=0.406 (overall: 0.407)
                                                                      
SET: rps=104516.0 (overall: 110309.7) avg_msec=0.440 (overall: 0.413)
                                                                      
SET: rps=110673.3 (overall: 110370.4) avg_msec=0.400 (overall: 0.411)
                                                                      
SET: rps=113404.0 (overall: 110802.7) avg_msec=0.378 (overall: 0.406)
                                                                      
SET: rps=113857.1 (overall: 111186.4) avg_msec=0.388 (overall: 0.404)
                                                                      
SET: rps=112552.0 (overall: 111337.8) avg_msec=0.393 (overall: 0.403)
                                                                      
SET: rps=112163.4 (overall: 111420.4) avg_msec=0.386 (overall: 0.401)
                                                                      
SET: rps=106214.3 (overall: 110944.9) avg_msec=0.387 (overall: 0.400)
                                                                      
SET: rps=114792.0 (overall: 111264.5) avg_msec=0.385 (overall: 0.398)
                                                                      
SET: rps=112593.6 (overall: 111366.9) avg_msec=0.391 (overall: 0.398)
                                                                      
SET: rps=110107.6 (overall: 111276.8) avg_msec=0.424 (overall: 0.400)
                                                                      
SET: rps=107096.0 (overall: 110998.9) avg_msec=0.419 (overall: 0.401)
                                                                      
SET: rps=107788.0 (overall: 110798.8) avg_msec=0.420 (overall: 0.402)
                                                                      
SET: rps=110649.4 (overall: 110790.0) avg_msec=0.418 (overall: 0.403)
                                                                      
SET: rps=109512.0 (overall: 110719.2) avg_msec=0.427 (overall: 0.404)
                                                                      
SET: rps=110761.0 (overall: 110721.4) avg_msec=0.401 (overall: 0.404)
                                                                      
SET: rps=111852.0 (overall: 110777.8) avg_msec=0.405 (overall: 0.404)
                                                                      
SET: rps=111266.9 (overall: 110801.1) avg_msec=0.402 (overall: 0.404)
                                                                      
SET: rps=109908.4 (overall: 110760.5) avg_msec=0.416 (overall: 0.405)
                                                                      
SET: rps=112304.0 (overall: 110827.4) avg_msec=0.403 (overall: 0.405)
                                                                      
SET: rps=107370.5 (overall: 110683.2) avg_msec=0.417 (overall: 0.405)
                                                                      
SET: rps=109708.0 (overall: 110644.3) avg_msec=0.412 (overall: 0.405)
                                                                      
SET: rps=107996.0 (overall: 110541.9) avg_msec=0.420 (overall: 0.406)
                                                                      
SET: rps=113448.0 (overall: 110649.2) avg_msec=0.387 (overall: 0.405)
                                                                      
SET: rps=108888.5 (overall: 110586.3) avg_msec=0.418 (overall: 0.406)
                                                                      
SET: rps=96684.0 (overall: 110108.1) avg_msec=0.451 (overall: 0.407)
                                                                     
SET: rps=82123.5 (overall: 109174.1) avg_msec=0.547 (overall: 0.411)
                                                                     
SET: rps=101087.7 (overall: 108912.9) avg_msec=0.420 (overall: 0.411)
                                                                      
SET: rps=113059.8 (overall: 109042.6) avg_msec=0.385 (overall: 0.410)
                                                                      
SET: rps=112044.0 (overall: 109133.3) avg_msec=0.409 (overall: 0.410)
                                                                      
SET: rps=106438.2 (overall: 109054.0) avg_msec=0.431 (overall: 0.411)
                                                                      
SET: rps=107784.0 (overall: 109017.8) avg_msec=0.425 (overall: 0.411)
                                                                      
SET: rps=109844.6 (overall: 109040.8) avg_msec=0.421 (overall: 0.411)
                                                                      
SET: rps=111724.0 (overall: 109113.1) avg_msec=0.414 (overall: 0.412)
                                                                      
SET: rps=107000.0 (overall: 109057.4) avg_msec=0.432 (overall: 0.412)
                                                                      
SET: rps=108120.0 (overall: 109033.5) avg_msec=0.398 (overall: 0.412)
                                                                      
SET: rps=111924.3 (overall: 109105.8) avg_msec=0.417 (overall: 0.412)
                                                                      
SET: rps=112840.0 (overall: 109196.7) avg_msec=0.403 (overall: 0.412)
                                                                      
SET: rps=111796.8 (overall: 109258.7) avg_msec=0.418 (overall: 0.412)
                                                                      
SET: rps=110068.0 (overall: 109277.4) avg_msec=0.413 (overall: 0.412)
                                                                      
SET: rps=109000.0 (overall: 109271.1) avg_msec=0.422 (overall: 0.412)
                                                                      
SET: rps=107386.5 (overall: 109229.2) avg_msec=0.426 (overall: 0.412)
                                                                      
SET: rps=113288.0 (overall: 109317.2) avg_msec=0.409 (overall: 0.412)
                                                                      
SET: rps=111186.5 (overall: 109357.2) avg_msec=0.412 (overall: 0.412)
                                                                      
SET: rps=105988.0 (overall: 109287.2) avg_msec=0.436 (overall: 0.413)
                                                                      
SET: rps=111756.0 (overall: 109337.4) avg_msec=0.405 (overall: 0.413)
                                                                      
SET: rps=113784.9 (overall: 109426.5) avg_msec=0.400 (overall: 0.412)
                                                                      
SET: rps=108637.5 (overall: 109411.0) avg_msec=0.387 (overall: 0.412)
                                                                      
SET: rps=112812.0 (overall: 109476.2) avg_msec=0.406 (overall: 0.412)
                                                                      
SET: rps=114709.2 (overall: 109575.1) avg_msec=0.411 (overall: 0.412)
                                                                      
SET: rps=114872.0 (overall: 109673.0) avg_msec=0.415 (overall: 0.412)
                                                                      
SET: rps=110095.6 (overall: 109680.7) avg_msec=0.388 (overall: 0.411)
                                                                      
SET: rps=104569.7 (overall: 109589.3) avg_msec=0.411 (overall: 0.411)
                                                                      
SET: rps=95748.0 (overall: 109347.1) avg_msec=0.467 (overall: 0.412)
                                                                     
SET: rps=100685.3 (overall: 109197.5) avg_msec=0.451 (overall: 0.413)
                                                                      
SET: rps=99713.2 (overall: 109036.5) avg_msec=0.451 (overall: 0.413)
                                                                     
SET: rps=100135.5 (overall: 108888.0) avg_msec=0.453 (overall: 0.414)
                                                                      
SET: rps=98000.0 (overall: 108709.9) avg_msec=0.457 (overall: 0.415)
                                                                     
SET: rps=98448.4 (overall: 108543.5) avg_msec=0.451 (overall: 0.415)
                                                                     
SET: rps=98144.0 (overall: 108378.9) avg_msec=0.445 (overall: 0.416)
                                                                     
SET: rps=95952.2 (overall: 108184.5) avg_msec=0.453 (overall: 0.416)
                                                                     
SET: rps=100402.4 (overall: 108064.6) avg_msec=0.450 (overall: 0.417)
                                                                      
SET: rps=97848.6 (overall: 107909.6) avg_msec=0.448 (overall: 0.417)
                                                                     
SET: rps=100486.1 (overall: 107798.6) avg_msec=0.449 (overall: 0.418)
                                                                      
SET: rps=101292.0 (overall: 107703.2) avg_msec=0.445 (overall: 0.418)
                                                                      
