===== Redis 100M Benchmark =====
Instance Type: m5d.xlarge
Run: 5
Date: 2026-01-23T02:51:53+00:00

--- System Info ---
CPU: 4 cores
Memory: 15.3G
model name	: Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz

--- Starting Redis Server ---
Redis server started

--- Warmup ---
Warmup complete (100K SET requests)

--- Test 1: SET 100M requests (50 clients, 3 threads) ---
Start: 2026-01-23T02:51:56+00:00
 
SET: rps=0.0 (overall: 0.0) avg_msec=-nan (overall: -nan)
                                                          
SET: rps=107308.0 (overall: 106880.5) avg_msec=0.414 (overall: 0.413)
                                                                      
SET: rps=111772.9 (overall: 109326.7) avg_msec=0.407 (overall: 0.410)
                                                                      
SET: rps=111476.0 (overall: 110041.2) avg_msec=0.413 (overall: 0.411)
                                                                      
SET: rps=107103.6 (overall: 109306.1) avg_msec=0.434 (overall: 0.417)
                                                                      
SET: rps=108932.0 (overall: 109231.4) avg_msec=0.433 (overall: 0.420)
                                                                      
SET: rps=110808.8 (overall: 109494.7) avg_msec=0.415 (overall: 0.419)
                                                                      
SET: rps=112096.0 (overall: 109865.5) avg_msec=0.419 (overall: 0.419)
                                                                      
SET: rps=106573.7 (overall: 109453.4) avg_msec=0.430 (overall: 0.421)
                                                                      
SET: rps=114844.6 (overall: 110053.2) avg_msec=0.368 (overall: 0.415)
                                                                      
SET: rps=107048.0 (overall: 109753.4) avg_msec=0.404 (overall: 0.414)
                                                                      
SET: rps=106358.6 (overall: 109444.3) avg_msec=0.439 (overall: 0.416)
                                                                      
SET: rps=106284.0 (overall: 109181.6) avg_msec=0.439 (overall: 0.418)
                                                                      
SET: rps=109589.6 (overall: 109213.0) avg_msec=0.423 (overall: 0.418)
                                                                      
SET: rps=111912.0 (overall: 109405.4) avg_msec=0.418 (overall: 0.418)
                                                                      
SET: rps=111274.9 (overall: 109530.2) avg_msec=0.419 (overall: 0.418)
                                                                      
SET: rps=108468.0 (overall: 109464.0) avg_msec=0.434 (overall: 0.419)
                                                                      
SET: rps=101573.7 (overall: 108999.1) avg_msec=0.442 (overall: 0.420)
                                                                      
SET: rps=113580.0 (overall: 109253.0) avg_msec=0.403 (overall: 0.419)
                                                                      
SET: rps=112498.0 (overall: 109424.1) avg_msec=0.358 (overall: 0.416)
                                                                      
SET: rps=114140.0 (overall: 109659.3) avg_msec=0.379 (overall: 0.414)
                                                                      
SET: rps=111988.1 (overall: 109770.4) avg_msec=0.414 (overall: 0.414)
                                                                      
SET: rps=112304.0 (overall: 109885.3) avg_msec=0.397 (overall: 0.413)
                                                                      
SET: rps=108170.6 (overall: 109810.4) avg_msec=0.426 (overall: 0.414)
                                                                      
SET: rps=109549.8 (overall: 109799.5) avg_msec=0.421 (overall: 0.414)
                                                                      
SET: rps=111084.0 (overall: 109850.8) avg_msec=0.420 (overall: 0.415)
                                                                      
SET: rps=110358.6 (overall: 109870.3) avg_msec=0.399 (overall: 0.414)
                                                                      
SET: rps=112592.0 (overall: 109970.9) avg_msec=0.377 (overall: 0.413)
                                                                      
SET: rps=111888.5 (overall: 110039.5) avg_msec=0.387 (overall: 0.412)
                                                                      
SET: rps=108848.0 (overall: 109998.5) avg_msec=0.433 (overall: 0.412)
                                                                      
SET: rps=107860.0 (overall: 109927.4) avg_msec=0.414 (overall: 0.412)
                                                                      
SET: rps=109278.9 (overall: 109906.4) avg_msec=0.403 (overall: 0.412)
                                                                      
SET: rps=113536.0 (overall: 110019.6) avg_msec=0.392 (overall: 0.411)
                                                                      
SET: rps=110059.8 (overall: 110020.8) avg_msec=0.411 (overall: 0.411)
                                                                      
SET: rps=110104.0 (overall: 110023.2) avg_msec=0.423 (overall: 0.412)
                                                                      
SET: rps=107326.8 (overall: 109945.2) avg_msec=0.423 (overall: 0.412)
                                                                      
SET: rps=110402.4 (overall: 109957.9) avg_msec=0.424 (overall: 0.412)
                                                                      
SET: rps=111721.1 (overall: 110005.6) avg_msec=0.414 (overall: 0.413)
                                                                      
SET: rps=107100.0 (overall: 109929.4) avg_msec=0.434 (overall: 0.413)
                                                                      
SET: rps=109255.0 (overall: 109912.0) avg_msec=0.421 (overall: 0.413)
                                                                      
SET: rps=111256.0 (overall: 109945.5) avg_msec=0.399 (overall: 0.413)
                                                                      
SET: rps=112693.2 (overall: 110012.6) avg_msec=0.412 (overall: 0.413)
                                                                      
SET: rps=111872.0 (overall: 110056.8) avg_msec=0.397 (overall: 0.413)
                                                                      
SET: rps=106908.4 (overall: 109983.5) avg_msec=0.423 (overall: 0.413)
                                                                      
SET: rps=103310.8 (overall: 109831.6) avg_msec=0.442 (overall: 0.413)
                                                                      
SET: rps=110352.0 (overall: 109843.2) avg_msec=0.426 (overall: 0.414)
                                                                      
SET: rps=110952.2 (overall: 109867.3) avg_msec=0.420 (overall: 0.414)
                                                                      
SET: rps=113196.0 (overall: 109937.9) avg_msec=0.414 (overall: 0.414)
                                                                      
SET: rps=112768.9 (overall: 109997.0) avg_msec=0.413 (overall: 0.414)
                                                                      
SET: rps=102139.4 (overall: 109836.4) avg_msec=0.449 (overall: 0.415)
                                                                      
SET: rps=107184.0 (overall: 109783.5) avg_msec=0.424 (overall: 0.415)
                                                                      
SET: rps=112203.2 (overall: 109831.0) avg_msec=0.420 (overall: 0.415)
                                                                      
SET: rps=115020.0 (overall: 109930.6) avg_msec=0.409 (overall: 0.415)
                                                                      
SET: rps=106625.5 (overall: 109868.1) avg_msec=0.389 (overall: 0.414)
                                                                      
SET: rps=109613.6 (overall: 109863.4) avg_msec=0.391 (overall: 0.414)
                                                                      
SET: rps=109067.7 (overall: 109848.9) avg_msec=0.400 (overall: 0.414)
                                                                      
SET: rps=105027.9 (overall: 109762.7) avg_msec=0.420 (overall: 0.414)
                                                                      
SET: rps=96761.0 (overall: 109534.3) avg_msec=0.438 (overall: 0.414)
                                                                     
SET: rps=107438.2 (overall: 109498.1) avg_msec=0.400 (overall: 0.414)
                                                                      
SET: rps=109584.0 (overall: 109499.6) avg_msec=0.395 (overall: 0.414)
                                                                      
SET: rps=108637.5 (overall: 109485.2) avg_msec=0.395 (overall: 0.413)
                                                                      
SET: rps=103856.6 (overall: 109392.8) avg_msec=0.415 (overall: 0.413)
                                                                      
SET: rps=91704.0 (overall: 109108.2) avg_msec=0.490 (overall: 0.414)
                                                                     
SET: rps=99693.2 (overall: 108958.6) avg_msec=0.459 (overall: 0.415)
                                                                     
SET: rps=100176.0 (overall: 108821.7) avg_msec=0.456 (overall: 0.416)
                                                                      
SET: rps=99761.0 (overall: 108682.1) avg_msec=0.456 (overall: 0.416)
                                                                     
SET: rps=97762.9 (overall: 108515.2) avg_msec=0.456 (overall: 0.417)
                                                                     
SET: rps=98450.2 (overall: 108364.8) avg_msec=0.458 (overall: 0.417)
                                                                     
SET: rps=100256.0 (overall: 108245.8) avg_msec=0.455 (overall: 0.418)
                                                                      
SET: rps=100577.7 (overall: 108134.6) avg_msec=0.451 (overall: 0.418)
                                                                      
SET: rps=108394.4 (overall: 108138.3) avg_msec=0.402 (overall: 0.418)
                                                                      
SET: rps=103043.8 (overall: 108066.5) avg_msec=0.421 (overall: 0.418)
                                                                      
SET: rps=111498.0 (overall: 108114.2) avg_msec=0.385 (overall: 0.418)
                                                                      
SET: rps=108452.4 (overall: 108118.8) avg_msec=0.407 (overall: 0.417)
                                                                      
SET: rps=99541.8 (overall: 108002.8) avg_msec=0.452 (overall: 0.418)
                                                                     
