===== Redis 100M Benchmark =====
Instance Type: m5zn.xlarge
Run: 5
Date: 2026-01-21T09:10:08+00:00

--- System Info ---
CPU: 4 cores
Memory: 15.3G
model name	: Intel(R) Xeon(R) Platinum 8252C CPU @ 3.80GHz

--- Starting Redis Server ---
Redis server started

--- Warmup ---
Warmup complete (100K SET requests)

--- Test 1: SET 100M requests (50 clients, 3 threads) ---
Start: 2026-01-21T09:10:11+00:00
 
SET: rps=0.0 (overall: -nan) avg_msec=0.098 (overall: 0.000)
                                                             
SET: rps=143510.0 (overall: 143510.0) avg_msec=0.325 (overall: 0.325)
                                                                      
SET: rps=147100.0 (overall: 145301.4) avg_msec=0.317 (overall: 0.321)
                                                                      
SET: rps=145075.7 (overall: 145226.1) avg_msec=0.314 (overall: 0.319)
                                                                      
SET: rps=144580.0 (overall: 145064.9) avg_msec=0.312 (overall: 0.317)
                                                                      
SET: rps=143200.0 (overall: 144692.5) avg_msec=0.326 (overall: 0.319)
                                                                      
SET: rps=143665.3 (overall: 144521.0) avg_msec=0.323 (overall: 0.320)
                                                                      
SET: rps=146768.0 (overall: 144841.4) avg_msec=0.317 (overall: 0.319)
                                                                      
SET: rps=145514.0 (overall: 144925.7) avg_msec=0.315 (overall: 0.319)
                                                                      
SET: rps=145244.0 (overall: 144961.0) avg_msec=0.316 (overall: 0.319)
                                                                      
SET: rps=143091.6 (overall: 144773.6) avg_msec=0.326 (overall: 0.319)
                                                                      
SET: rps=145346.6 (overall: 144825.8) avg_msec=0.320 (overall: 0.319)
                                                                      
SET: rps=148660.0 (overall: 145144.7) avg_msec=0.305 (overall: 0.318)
                                                                      
SET: rps=147728.0 (overall: 145343.1) avg_msec=0.302 (overall: 0.317)
                                                                      
SET: rps=149731.2 (overall: 145659.4) avg_msec=0.289 (overall: 0.315)
                                                                      
SET: rps=150199.2 (overall: 145962.5) avg_msec=0.288 (overall: 0.313)
                                                                      
SET: rps=151952.0 (overall: 146335.9) avg_msec=0.278 (overall: 0.311)
                                                                      
SET: rps=142936.0 (overall: 146136.4) avg_msec=0.314 (overall: 0.311)
                                                                      
SET: rps=149111.6 (overall: 146301.9) avg_msec=0.300 (overall: 0.310)
                                                                      
SET: rps=149832.0 (overall: 146487.3) avg_msec=0.297 (overall: 0.310)
                                                                      
SET: rps=148366.5 (overall: 146581.4) avg_msec=0.311 (overall: 0.310)
                                                                      
SET: rps=137908.0 (overall: 146169.3) avg_msec=0.327 (overall: 0.311)
                                                                      
SET: rps=147800.0 (overall: 146243.3) avg_msec=0.312 (overall: 0.311)
                                                                      
SET: rps=148960.2 (overall: 146361.6) avg_msec=0.308 (overall: 0.311)
                                                                      
SET: rps=148252.0 (overall: 146440.2) avg_msec=0.311 (overall: 0.311)
                                                                      
SET: rps=146812.0 (overall: 146455.0) avg_msec=0.309 (overall: 0.310)
                                                                      
SET: rps=148812.8 (overall: 146545.9) avg_msec=0.304 (overall: 0.310)
                                                                      
SET: rps=148228.0 (overall: 146608.1) avg_msec=0.314 (overall: 0.310)
                                                                      
SET: rps=149569.7 (overall: 146714.0) avg_msec=0.302 (overall: 0.310)
                                                                      
SET: rps=146440.0 (overall: 146704.6) avg_msec=0.313 (overall: 0.310)
                                                                      
SET: rps=149120.0 (overall: 146785.0) avg_msec=0.311 (overall: 0.310)
                                                                      
SET: rps=147776.9 (overall: 146817.0) avg_msec=0.303 (overall: 0.310)
                                                                      
SET: rps=149304.0 (overall: 146894.6) avg_msec=0.309 (overall: 0.310)
                                                                      
SET: rps=147416.0 (overall: 146910.4) avg_msec=0.310 (overall: 0.310)
                                                                      
SET: rps=150203.2 (overall: 147007.4) avg_msec=0.289 (overall: 0.309)
                                                                      
SET: rps=134788.0 (overall: 146658.9) avg_msec=0.328 (overall: 0.310)
                                                                      
SET: rps=114880.0 (overall: 145777.9) avg_msec=0.390 (overall: 0.312)
                                                                      
SET: rps=129549.8 (overall: 145338.4) avg_msec=0.344 (overall: 0.312)
                                                                      
SET: rps=148680.0 (overall: 145426.1) avg_msec=0.310 (overall: 0.312)
                                                                      
SET: rps=146884.5 (overall: 145463.6) avg_msec=0.316 (overall: 0.312)
                                                                      
SET: rps=150556.0 (overall: 145590.7) avg_msec=0.300 (overall: 0.312)
                                                                      
SET: rps=142608.0 (overall: 145518.1) avg_msec=0.321 (overall: 0.312)
                                                                      
SET: rps=144674.6 (overall: 145497.9) avg_msec=0.322 (overall: 0.313)
                                                                      
SET: rps=144392.0 (overall: 145472.2) avg_msec=0.317 (overall: 0.313)
                                                                      
SET: rps=146224.0 (overall: 145489.2) avg_msec=0.319 (overall: 0.313)
                                                                      
SET: rps=145004.0 (overall: 145478.4) avg_msec=0.311 (overall: 0.313)
                                                                      
SET: rps=148192.0 (overall: 145537.3) avg_msec=0.314 (overall: 0.313)
                                                                      
SET: rps=142528.0 (overall: 145473.4) avg_msec=0.323 (overall: 0.313)
                                                                      
SET: rps=144330.7 (overall: 145449.6) avg_msec=0.317 (overall: 0.313)
                                                                      
SET: rps=139788.0 (overall: 145334.2) avg_msec=0.331 (overall: 0.313)
                                                                      
SET: rps=148432.0 (overall: 145396.1) avg_msec=0.314 (overall: 0.313)
                                                                      
SET: rps=145027.9 (overall: 145388.8) avg_msec=0.311 (overall: 0.313)
                                                                      
SET: rps=144324.0 (overall: 145368.4) avg_msec=0.325 (overall: 0.314)
                                                                      
SET: rps=139372.0 (overall: 145255.5) avg_msec=0.329 (overall: 0.314)
                                                                      
SET: rps=142095.6 (overall: 145196.8) avg_msec=0.319 (overall: 0.314)
                                                                      
SET: rps=146032.0 (overall: 145212.0) avg_msec=0.317 (overall: 0.314)
                                                                      
SET: rps=142356.0 (overall: 145161.1) avg_msec=0.330 (overall: 0.314)
                                                                      
SET: rps=129236.0 (overall: 144882.2) avg_msec=0.342 (overall: 0.315)
                                                                      
SET: rps=134438.2 (overall: 144701.7) avg_msec=0.333 (overall: 0.315)
                                                                      
SET: rps=139828.0 (overall: 144619.2) avg_msec=0.314 (overall: 0.315)
                                                                      
SET: rps=130725.1 (overall: 144387.2) avg_msec=0.349 (overall: 0.316)
                                                                      
SET: rps=128448.0 (overall: 144126.3) avg_msec=0.340 (overall: 0.316)
                                                                      
SET: rps=137466.1 (overall: 144018.7) avg_msec=0.315 (overall: 0.316)
                                                                      
SET: rps=130876.0 (overall: 143810.4) avg_msec=0.347 (overall: 0.316)
                                                                      
SET: rps=129868.5 (overall: 143592.1) avg_msec=0.351 (overall: 0.317)
                                                                      
SET: rps=137724.0 (overall: 143502.0) avg_msec=0.319 (overall: 0.317)
                                                                      
SET: rps=133314.8 (overall: 143347.3) avg_msec=0.334 (overall: 0.317)
                                                                      
SET: rps=131144.0 (overall: 143165.5) avg_msec=0.348 (overall: 0.318)
                                                                      
SET: rps=133996.0 (overall: 143030.4) avg_msec=0.333 (overall: 0.318)
                                                                      
SET: rps=138096.0 (overall: 142959.0) avg_msec=0.324 (overall: 0.318)
                                                                      
SET: rps=130892.4 (overall: 142786.2) avg_msec=0.348 (overall: 0.318)
                                                                      
SET: rps=130584.0 (overall: 142614.7) avg_msec=0.351 (overall: 0.319)
                                                                      
SET: rps=129884.5 (overall: 142437.5) avg_msec=0.349 (overall: 0.319)
                                                                      
SET: rps=135336.0 (overall: 142340.4) avg_msec=0.330 (overall: 0.319)
                                                                      
SET: rps=133442.2 (overall: 142219.9) avg_msec=0.338 (overall: 0.319)
