===== Redis 100M Benchmark =====
Instance Type: m6g.xlarge
Run: 3
Date: 2026-01-21T05:43:00+00:00

--- System Info ---
CPU: 4 cores
Memory: 15.2G

--- Starting Redis Server ---
Redis server started

--- Warmup ---
Warmup complete (1M requests)

--- Test 1: SET 100M requests (50 clients, 3 threads) ---
Start: 2026-01-21T06:04:00+00:00
 
SET: rps=0.0 (overall: nan) avg_msec=0.000 (overall: 0.089)
                                                            
SET: rps=133900.0 (overall: 133900.0) avg_msec=0.353 (overall: 0.353)
                                                                      
SET: rps=133697.2 (overall: 133798.4) avg_msec=0.347 (overall: 0.350)
                                                                      
SET: rps=134252.0 (overall: 133949.4) avg_msec=0.353 (overall: 0.351)
                                                                      
SET: rps=133888.0 (overall: 133934.1) avg_msec=0.356 (overall: 0.353)
                                                                      
SET: rps=133326.7 (overall: 133812.3) avg_msec=0.354 (overall: 0.353)
                                                                      
SET: rps=133688.0 (overall: 133791.6) avg_msec=0.350 (overall: 0.352)
                                                                      
SET: rps=133808.0 (overall: 133794.0) avg_msec=0.354 (overall: 0.353)
                                                                      
SET: rps=133298.8 (overall: 133731.9) avg_msec=0.356 (overall: 0.353)
                                                                      
SET: rps=134084.0 (overall: 133771.0) avg_msec=0.352 (overall: 0.353)
                                                                      
SET: rps=133804.0 (overall: 133774.3) avg_msec=0.354 (overall: 0.353)
                                                                      
SET: rps=133302.8 (overall: 133731.3) avg_msec=0.349 (overall: 0.353)
                                                                      
SET: rps=133592.0 (overall: 133719.7) avg_msec=0.345 (overall: 0.352)
                                                                      
SET: rps=133804.0 (overall: 133726.2) avg_msec=0.349 (overall: 0.352)
                                                                      
SET: rps=133255.0 (overall: 133692.4) avg_msec=0.356 (overall: 0.352)
                                                                      
SET: rps=133124.0 (overall: 133654.6) avg_msec=0.354 (overall: 0.352)
                                                                      
SET: rps=131812.8 (overall: 133539.2) avg_msec=0.353 (overall: 0.352)
                                                                      
SET: rps=134268.0 (overall: 133582.0) avg_msec=0.354 (overall: 0.353)
                                                                      
SET: rps=130644.0 (overall: 133419.0) avg_msec=0.348 (overall: 0.352)
                                                                      
SET: rps=133067.7 (overall: 133400.5) avg_msec=0.357 (overall: 0.353)
                                                                      
SET: rps=133820.0 (overall: 133421.4) avg_msec=0.356 (overall: 0.353)
                                                                      
SET: rps=133824.0 (overall: 133440.6) avg_msec=0.352 (overall: 0.353)
                                                                      
SET: rps=133484.0 (overall: 133442.5) avg_msec=0.353 (overall: 0.353)
                                                                      
SET: rps=133342.6 (overall: 133438.2) avg_msec=0.354 (overall: 0.353)
                                                                      
SET: rps=133960.0 (overall: 133459.9) avg_msec=0.355 (overall: 0.353)
                                                                      
SET: rps=133896.0 (overall: 133477.3) avg_msec=0.345 (overall: 0.353)
                                                                      
SET: rps=133167.3 (overall: 133465.4) avg_msec=0.335 (overall: 0.352)
                                                                      
SET: rps=133644.0 (overall: 133472.0) avg_msec=0.350 (overall: 0.352)
                                                                      
SET: rps=133704.0 (overall: 133480.2) avg_msec=0.356 (overall: 0.352)
                                                                      
SET: rps=133410.4 (overall: 133477.8) avg_msec=0.355 (overall: 0.352)
                                                                      
SET: rps=133796.0 (overall: 133488.4) avg_msec=0.355 (overall: 0.352)
                                                                      
SET: rps=133640.0 (overall: 133493.3) avg_msec=0.350 (overall: 0.352)
                                                                      
SET: rps=133454.2 (overall: 133492.1) avg_msec=0.355 (overall: 0.352)
                                                                      
SET: rps=134116.0 (overall: 133511.0) avg_msec=0.354 (overall: 0.352)
                                                                      
SET: rps=133912.0 (overall: 133522.7) avg_msec=0.354 (overall: 0.352)
                                                                      
SET: rps=134060.0 (overall: 133538.1) avg_msec=0.355 (overall: 0.352)
                                                                      
SET: rps=132984.1 (overall: 133522.6) avg_msec=0.357 (overall: 0.353)
                                                                      
SET: rps=133700.0 (overall: 133527.4) avg_msec=0.348 (overall: 0.352)
                                                                      
SET: rps=133908.0 (overall: 133537.4) avg_msec=0.354 (overall: 0.353)
                                                                      
SET: rps=133239.0 (overall: 133529.8) avg_msec=0.355 (overall: 0.353)
                                                                      
SET: rps=133752.0 (overall: 133535.3) avg_msec=0.356 (overall: 0.353)
                                                                      
SET: rps=134088.0 (overall: 133548.8) avg_msec=0.356 (overall: 0.353)
                                                                      
SET: rps=132665.3 (overall: 133527.7) avg_msec=0.345 (overall: 0.353)
                                                                      
SET: rps=133776.0 (overall: 133533.5) avg_msec=0.349 (overall: 0.352)
                                                                      
SET: rps=133143.4 (overall: 133524.5) avg_msec=0.343 (overall: 0.352)
                                                                      
SET: rps=134012.0 (overall: 133535.4) avg_msec=0.352 (overall: 0.352)
                                                                      
SET: rps=133621.5 (overall: 133537.2) avg_msec=0.350 (overall: 0.352)
                                                                      
SET: rps=134252.0 (overall: 133552.4) avg_msec=0.353 (overall: 0.352)
                                                                      
SET: rps=134224.0 (overall: 133566.4) avg_msec=0.354 (overall: 0.352)
                                                                      
SET: rps=133976.1 (overall: 133574.8) avg_msec=0.354 (overall: 0.352)
                                                                      
SET: rps=133956.0 (overall: 133582.4) avg_msec=0.352 (overall: 0.352)
                                                                      
SET: rps=134272.0 (overall: 133595.9) avg_msec=0.353 (overall: 0.352)
                                                                      
SET: rps=133536.0 (overall: 133594.8) avg_msec=0.347 (overall: 0.352)
                                                                      
SET: rps=133525.9 (overall: 133593.5) avg_msec=0.352 (overall: 0.352)
                                                                      
SET: rps=133940.0 (overall: 133599.9) avg_msec=0.354 (overall: 0.352)
                                                                      
SET: rps=132976.0 (overall: 133588.5) avg_msec=0.352 (overall: 0.352)
                                                                      
SET: rps=131019.9 (overall: 133542.5) avg_msec=0.359 (overall: 0.352)
                                                                      
SET: rps=134128.0 (overall: 133552.8) avg_msec=0.353 (overall: 0.352)
                                                                      
SET: rps=131424.0 (overall: 133516.2) avg_msec=0.345 (overall: 0.352)
                                                                      
SET: rps=133514.0 (overall: 133516.1) avg_msec=0.351 (overall: 0.352)
                                                                      
SET: rps=133972.0 (overall: 133523.7) avg_msec=0.355 (overall: 0.352)
                                                                      
SET: rps=134372.0 (overall: 133537.6) avg_msec=0.353 (overall: 0.352)
                                                                      
SET: rps=133302.8 (overall: 133533.8) avg_msec=0.354 (overall: 0.352)
                                                                      
SET: rps=133140.0 (overall: 133527.5) avg_msec=0.339 (overall: 0.352)
                                                                      
SET: rps=133800.0 (overall: 133531.8) avg_msec=0.355 (overall: 0.352)
                                                                      
SET: rps=133645.4 (overall: 133533.6) avg_msec=0.354 (overall: 0.352)
                                                                      
SET: rps=133884.0 (overall: 133538.9) avg_msec=0.352 (overall: 0.352)
                                                                      
SET: rps=134136.0 (overall: 133547.8) avg_msec=0.350 (overall: 0.352)
                                                                      
SET: rps=133952.0 (overall: 133553.7) avg_msec=0.353 (overall: 0.352)
                                                                      
SET: rps=133960.2 (overall: 133559.6) avg_msec=0.353 (overall: 0.352)
                                                                      
SET: rps=134116.0 (overall: 133567.5) avg_msec=0.354 (overall: 0.352)
                                                                      
