===== Redis 100M Benchmark =====
Instance Type: m6id.xlarge
Run: 4
Date: 2026-01-23T04:41:50+00:00

--- System Info ---
CPU: 4 cores
Memory: 15.3G
model name	: Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz

--- Starting Redis Server ---
Redis server started

--- Warmup ---
Warmup complete (100K SET requests)

--- Test 1: SET 100M requests (50 clients, 3 threads) ---
Start: 2026-01-23T04:41:53+00:00
 
SET: rps=0.0 (overall: -nan) avg_msec=0.059 (overall: 0.000)
                                                             
SET: rps=163282.9 (overall: 163282.9) avg_msec=0.286 (overall: 0.286)
                                                                      
SET: rps=165108.0 (overall: 164193.6) avg_msec=0.286 (overall: 0.286)
                                                                      
SET: rps=164260.0 (overall: 164215.7) avg_msec=0.280 (overall: 0.284)
                                                                      
SET: rps=166788.9 (overall: 164860.3) avg_msec=0.280 (overall: 0.283)
                                                                      
SET: rps=165640.0 (overall: 165016.0) avg_msec=0.283 (overall: 0.283)
                                                                      
SET: rps=171689.2 (overall: 166130.4) avg_msec=0.256 (overall: 0.278)
                                                                      
SET: rps=164180.0 (overall: 165852.2) avg_msec=0.278 (overall: 0.278)
                                                                      
SET: rps=166872.0 (overall: 165979.5) avg_msec=0.281 (overall: 0.279)
                                                                      
SET: rps=162215.1 (overall: 165560.3) avg_msec=0.283 (overall: 0.279)
                                                                      
SET: rps=162880.0 (overall: 165292.7) avg_msec=0.286 (overall: 0.280)
                                                                      
SET: rps=165148.0 (overall: 165279.6) avg_msec=0.276 (overall: 0.280)
                                                                      
SET: rps=162745.0 (overall: 165067.9) avg_msec=0.289 (overall: 0.280)
                                                                      
SET: rps=162392.0 (overall: 164862.4) avg_msec=0.284 (overall: 0.281)
                                                                      
SET: rps=168796.0 (overall: 165142.9) avg_msec=0.275 (overall: 0.280)
                                                                      
SET: rps=164884.0 (overall: 165125.7) avg_msec=0.274 (overall: 0.280)
                                                                      
SET: rps=161860.6 (overall: 164921.1) avg_msec=0.288 (overall: 0.280)
                                                                      
SET: rps=156048.0 (overall: 164399.9) avg_msec=0.294 (overall: 0.281)
                                                                      
SET: rps=162124.0 (overall: 164273.6) avg_msec=0.287 (overall: 0.281)
                                                                      
SET: rps=166074.5 (overall: 164370.1) avg_msec=0.268 (overall: 0.281)
                                                                      
SET: rps=160300.0 (overall: 164167.0) avg_msec=0.290 (overall: 0.281)
                                                                      
SET: rps=157956.2 (overall: 163870.8) avg_msec=0.293 (overall: 0.282)
                                                                      
SET: rps=164160.0 (overall: 163883.9) avg_msec=0.284 (overall: 0.282)
                                                                      
SET: rps=162856.6 (overall: 163839.1) avg_msec=0.280 (overall: 0.282)
                                                                      
SET: rps=167796.0 (overall: 164003.7) avg_msec=0.279 (overall: 0.282)
                                                                      
SET: rps=166868.0 (overall: 164118.0) avg_msec=0.276 (overall: 0.281)
                                                                      
SET: rps=165308.0 (overall: 164163.7) avg_msec=0.282 (overall: 0.281)
                                                                      
SET: rps=164589.7 (overall: 164179.5) avg_msec=0.281 (overall: 0.281)
                                                                      
SET: rps=166055.8 (overall: 164246.6) avg_msec=0.277 (overall: 0.281)
                                                                      
SET: rps=169116.0 (overall: 164414.2) avg_msec=0.277 (overall: 0.281)
                                                                      
SET: rps=166220.0 (overall: 164474.2) avg_msec=0.285 (overall: 0.281)
                                                                      
SET: rps=163820.7 (overall: 164453.1) avg_msec=0.276 (overall: 0.281)
                                                                      
SET: rps=163224.0 (overall: 164414.8) avg_msec=0.287 (overall: 0.281)
                                                                      
SET: rps=167338.7 (overall: 164503.6) avg_msec=0.279 (overall: 0.281)
                                                                      
SET: rps=167264.0 (overall: 164584.6) avg_msec=0.280 (overall: 0.281)
                                                                      
SET: rps=174204.0 (overall: 164858.9) avg_msec=0.258 (overall: 0.280)
                                                                      
SET: rps=165382.5 (overall: 164873.5) avg_msec=0.282 (overall: 0.281)
                                                                      
SET: rps=158330.7 (overall: 164696.3) avg_msec=0.291 (overall: 0.281)
                                                                      
SET: rps=174724.0 (overall: 164959.7) avg_msec=0.257 (overall: 0.280)
                                                                      
SET: rps=161176.0 (overall: 164862.8) avg_msec=0.285 (overall: 0.280)
                                                                      
SET: rps=167350.6 (overall: 164925.1) avg_msec=0.278 (overall: 0.280)
                                                                      
SET: rps=155672.0 (overall: 164699.9) avg_msec=0.296 (overall: 0.281)
                                                                      
SET: rps=157712.0 (overall: 164533.8) avg_msec=0.287 (overall: 0.281)
                                                                      
SET: rps=126844.6 (overall: 163655.6) avg_msec=0.355 (overall: 0.282)
                                                                      
SET: rps=160872.0 (overall: 163592.4) avg_msec=0.291 (overall: 0.282)
                                                                      
SET: rps=163912.4 (overall: 163599.5) avg_msec=0.282 (overall: 0.282)
                                                                      
SET: rps=167328.0 (overall: 163680.4) avg_msec=0.274 (overall: 0.282)
                                                                      
SET: rps=166316.2 (overall: 163737.1) avg_msec=0.277 (overall: 0.282)
                                                                      
SET: rps=166844.0 (overall: 163801.7) avg_msec=0.278 (overall: 0.282)
                                                                      
SET: rps=175812.0 (overall: 164046.3) avg_msec=0.252 (overall: 0.281)
                                                                      
SET: rps=161490.0 (overall: 163995.0) avg_msec=0.288 (overall: 0.281)
                                                                      
SET: rps=165424.0 (overall: 164023.0) avg_msec=0.280 (overall: 0.281)
                                                                      
SET: rps=163304.0 (overall: 164009.2) avg_msec=0.283 (overall: 0.281)
                                                                      
SET: rps=164625.5 (overall: 164020.9) avg_msec=0.282 (overall: 0.281)
                                                                      
SET: rps=162652.0 (overall: 163995.6) avg_msec=0.290 (overall: 0.282)
                                                                      
SET: rps=166388.0 (overall: 164039.0) avg_msec=0.281 (overall: 0.282)
                                                                      
SET: rps=167628.0 (overall: 164102.9) avg_msec=0.276 (overall: 0.281)
                                                                      
SET: rps=163047.8 (overall: 164084.4) avg_msec=0.288 (overall: 0.282)
                                                                      
SET: rps=160120.0 (overall: 164016.2) avg_msec=0.288 (overall: 0.282)
                                                                      
SET: rps=163312.0 (overall: 164004.3) avg_msec=0.286 (overall: 0.282)
                                                                      
SET: rps=165657.4 (overall: 164031.9) avg_msec=0.258 (overall: 0.281)
                                                                      
SET: rps=160541.8 (overall: 163974.5) avg_msec=0.272 (overall: 0.281)
                                                                      
SET: rps=152108.0 (overall: 163783.5) avg_msec=0.295 (overall: 0.281)
                                                                      
SET: rps=150004.0 (overall: 163565.2) avg_msec=0.292 (overall: 0.282)
                                                                      
SET: rps=163896.4 (overall: 163570.4) avg_msec=0.263 (overall: 0.281)
                                                                      
SET: rps=150792.8 (overall: 163373.4) avg_msec=0.295 (overall: 0.281)
                                                                      
SET: rps=158352.0 (overall: 163297.5) avg_msec=0.280 (overall: 0.281)
                                                                      
SET: rps=148322.7 (overall: 163073.5) avg_msec=0.302 (overall: 0.282)
                                                                      
SET: rps=158120.0 (overall: 163000.8) avg_msec=0.280 (overall: 0.282)
                                                                      
SET: rps=155665.3 (overall: 162894.3) avg_msec=0.286 (overall: 0.282)
                                                                      
SET: rps=155792.0 (overall: 162793.0) avg_msec=0.291 (overall: 0.282)
                                                                      
SET: rps=155194.4 (overall: 162685.4) avg_msec=0.289 (overall: 0.282)
                                                                      
SET: rps=144500.0 (overall: 162433.3) avg_msec=0.303 (overall: 0.282)
                                                                      
SET: rps=138004.0 (overall: 162098.0) avg_msec=0.339 (overall: 0.283)
                                                                      
SET: rps=138636.0 (overall: 161781.6) avg_msec=0.339 (overall: 0.284)
                                                                      
SET: rps=137056.0 (overall: 161452.5) avg_msec=0.341 (overall: 0.284)
                                                                      
SET: rps=134776.9 (overall: 161100.8) avg_msec=0.345 (overall: 0.285)
                                                                      
SET: rps=144176.0 (overall: 160881.5) avg_msec=0.322 (overall: 0.285)
                                                                      
SET: rps=155239.0 (overall: 160809.0) avg_msec=0.286 (overall: 0.285)
                                                                      
SET: rps=150608.0 (overall: 160680.1) avg_msec=0.290 (overall: 0.285)
                                                                      
SET: rps=156376.0 (overall: 160626.4) avg_msec=0.281 (overall: 0.285)
                                                                      
SET: rps=153131.5 (overall: 160533.7) avg_msec=0.296 (overall: 0.285)
                                                                      
SET: rps=152876.5 (overall: 160440.1) avg_msec=0.296 (overall: 0.286)
                                                                      
SET: rps=155388.0 (overall: 160379.4) avg_msec=0.280 (overall: 0.286)
                                                                      
SET: rps=155533.9 (overall: 160321.6) avg_msec=0.289 (overall: 0.286)
                                                                      
SET: rps=153960.0 (overall: 160246.9) avg_msec=0.290 (overall: 0.286)
                                                                      
SET: rps=151808.8 (overall: 160148.6) avg_msec=0.297 (overall: 0.286)
                                                                      
SET: rps=154516.0 (overall: 160084.0) avg_msec=0.295 (overall: 0.286)
                                                                      
SET: rps=158541.8 (overall: 160066.4) avg_msec=0.280 (overall: 0.286)
                                                                      
SET: rps=154952.0 (overall: 160009.1) avg_msec=0.292 (overall: 0.286)
                                                                      
SET: rps=151736.0 (overall: 159917.3) avg_msec=0.292 (overall: 0.286)
                                                                      
SET: rps=161852.6 (overall: 159938.6) avg_msec=0.266 (overall: 0.286)
                                                                      
SET: rps=155091.6 (overall: 159885.8) avg_msec=0.293 (overall: 0.286)
                                                                      
SET: rps=157912.0 (overall: 159864.7) avg_msec=0.286 (overall: 0.286)
                                                                      
SET: rps=152676.0 (overall: 159788.3) avg_msec=0.295 (overall: 0.286)
                                                                      
SET: rps=157808.8 (overall: 159767.4) avg_msec=0.279 (overall: 0.286)
                                                                      
SET: rps=155380.0 (overall: 159721.8) avg_msec=0.294 (overall: 0.286)
                                                                      
SET: rps=153470.1 (overall: 159657.2) avg_msec=0.296 (overall: 0.286)
                                                                      
SET: rps=155780.0 (overall: 159617.8) avg_msec=0.293 (overall: 0.286)
                                                                      
SET: rps=151143.4 (overall: 159532.0) avg_msec=0.286 (overall: 0.286)
                                                                      
SET: rps=154302.8 (overall: 159479.6) avg_msec=0.293 (overall: 0.286)
                                                                      
SET: rps=163716.0 (overall: 159521.5) avg_msec=0.265 (overall: 0.286)
                                                                      
SET: rps=165318.7 (overall: 159578.4) avg_msec=0.270 (overall: 0.286)
                                                                      
SET: rps=146364.0 (overall: 159450.4) avg_msec=0.293 (overall: 0.286)
                                                                      
SET: rps=154346.6 (overall: 159401.2) avg_msec=0.294 (overall: 0.286)
                                                                      
SET: rps=156284.0 (overall: 159371.6) avg_msec=0.287 (overall: 0.286)
                                                                      
SET: rps=158047.8 (overall: 159359.1) avg_msec=0.288 (overall: 0.286)
                                                                      
SET: rps=161976.0 (overall: 159383.5) avg_msec=0.277 (overall: 0.286)
                                                                      
SET: rps=164376.0 (overall: 159429.6) avg_msec=0.278 (overall: 0.286)
                                                                      
SET: rps=161717.1 (overall: 159450.6) avg_msec=0.280 (overall: 0.286)
                                                                      
SET: rps=166760.0 (overall: 159516.9) avg_msec=0.280 (overall: 0.286)
                                                                      
SET: rps=167450.2 (overall: 159588.6) avg_msec=0.281 (overall: 0.286)
                                                                      
SET: rps=167048.0 (overall: 159655.0) avg_msec=0.280 (overall: 0.286)
                                                                      
SET: rps=167330.7 (overall: 159723.1) avg_msec=0.284 (overall: 0.286)
                                                                      
SET: rps=168588.0 (overall: 159800.7) avg_msec=0.281 (overall: 0.286)
                                                                      
SET: rps=169100.0 (overall: 159881.4) avg_msec=0.282 (overall: 0.286)
                                                                      
SET: rps=167856.6 (overall: 159950.3) avg_msec=0.283 (overall: 0.285)
                                                                      
SET: rps=167380.0 (overall: 160013.7) avg_msec=0.285 (overall: 0.285)
                                                                      
SET: rps=162104.0 (overall: 160031.4) avg_msec=0.291 (overall: 0.286)
                                                                      
SET: rps=155334.7 (overall: 159991.8) avg_msec=0.290 (overall: 0.286)
                                                                      
SET: rps=165276.0 (overall: 160035.8) avg_msec=0.274 (overall: 0.285)
                                                                      
SET: rps=128976.1 (overall: 159778.5) avg_msec=0.331 (overall: 0.286)
                                                                      
SET: rps=155760.0 (overall: 159745.7) avg_msec=0.287 (overall: 0.286)
                                                                      
SET: rps=153148.0 (overall: 159692.1) avg_msec=0.295 (overall: 0.286)
                                                                      
SET: rps=151713.2 (overall: 159627.7) avg_msec=0.297 (overall: 0.286)
                                                                      
SET: rps=155645.4 (overall: 159595.7) avg_msec=0.286 (overall: 0.286)
                                                                      
SET: rps=137641.4 (overall: 159421.1) avg_msec=0.317 (overall: 0.286)
                                                                      
SET: rps=142348.0 (overall: 159287.0) avg_msec=0.306 (overall: 0.286)
                                                                      
SET: rps=155239.0 (overall: 159255.3) avg_msec=0.288 (overall: 0.286)
                                                                      
SET: rps=155316.0 (overall: 159224.8) avg_msec=0.292 (overall: 0.286)
                                                                      
SET: rps=160095.6 (overall: 159231.5) avg_msec=0.272 (overall: 0.286)
                                                                      
SET: rps=151652.0 (overall: 159173.8) avg_msec=0.295 (overall: 0.286)
                                                                      
SET: rps=154848.6 (overall: 159140.9) avg_msec=0.292 (overall: 0.286)
                                                                      
SET: rps=161988.0 (overall: 159162.3) avg_msec=0.270 (overall: 0.286)
                                                                      
SET: rps=167468.0 (overall: 159224.2) avg_msec=0.288 (overall: 0.286)
                                                                      
SET: rps=171637.5 (overall: 159316.3) avg_msec=0.273 (overall: 0.286)
                                                                      
SET: rps=168224.0 (overall: 159381.7) avg_msec=0.282 (overall: 0.286)
                                                                      
SET: rps=169124.0 (overall: 159452.6) avg_msec=0.284 (overall: 0.286)
                                                                      
SET: rps=166984.1 (overall: 159507.3) avg_msec=0.288 (overall: 0.286)
                                                                      
SET: rps=176540.0 (overall: 159629.6) avg_msec=0.255 (overall: 0.286)
                                                                      
SET: rps=167288.0 (overall: 159684.2) avg_msec=0.288 (overall: 0.286)
                                                                      
SET: rps=164936.0 (overall: 159721.4) avg_msec=0.287 (overall: 0.286)
                                                                      
SET: rps=147529.9 (overall: 159635.4) avg_msec=0.308 (overall: 0.286)
                                                                      
SET: rps=125972.0 (overall: 159400.4) avg_msec=0.352 (overall: 0.286)
                                                                      
SET: rps=119420.0 (overall: 159123.3) avg_msec=0.370 (overall: 0.287)
                                                                      
SET: rps=81836.7 (overall: 158589.2) avg_msec=0.533 (overall: 0.288)
                                                                     
SET: rps=164184.0 (overall: 158627.4) avg_msec=0.280 (overall: 0.288)
                                                                      
SET: rps=164976.0 (overall: 158670.5) avg_msec=0.287 (overall: 0.288)
                                                                      
SET: rps=165693.2 (overall: 158718.1) avg_msec=0.285 (overall: 0.288)
                                                                      
SET: rps=168836.0 (overall: 158785.9) avg_msec=0.281 (overall: 0.288)
                                                                      
SET: rps=167692.0 (overall: 158845.1) avg_msec=0.284 (overall: 0.288)
                                                                      
SET: rps=163721.1 (overall: 158877.5) avg_msec=0.292 (overall: 0.288)
                                                                      
SET: rps=167200.0 (overall: 158932.1) avg_msec=0.281 (overall: 0.288)
                                                                      
SET: rps=166664.0 (overall: 158982.6) avg_msec=0.288 (overall: 0.288)
                                                                      
SET: rps=149657.4 (overall: 158921.9) avg_msec=0.290 (overall: 0.288)
                                                                      
SET: rps=156972.0 (overall: 158909.3) avg_msec=0.285 (overall: 0.288)
                                                                      
SET: rps=140131.5 (overall: 158788.7) avg_msec=0.328 (overall: 0.288)
                                                                      
SET: rps=161000.0 (overall: 158802.8) avg_msec=0.295 (overall: 0.288)
                                                                      
SET: rps=166884.0 (overall: 158853.8) avg_msec=0.288 (overall: 0.288)
                                                                      
SET: rps=163067.7 (overall: 158880.4) avg_msec=0.291 (overall: 0.288)
                                                                      
SET: rps=166160.0 (overall: 158925.8) avg_msec=0.290 (overall: 0.288)
                                                                      
SET: rps=169016.0 (overall: 158988.3) avg_msec=0.283 (overall: 0.288)
                                                                      
SET: rps=167334.7 (overall: 159040.0) avg_msec=0.285 (overall: 0.288)
                                                                      
SET: rps=166496.0 (overall: 159085.6) avg_msec=0.289 (overall: 0.288)
                                                                      
SET: rps=168820.0 (overall: 159144.9) avg_msec=0.284 (overall: 0.288)
                                                                      
SET: rps=165374.5 (overall: 159182.7) avg_msec=0.286 (overall: 0.288)
                                                                      
SET: rps=166472.0 (overall: 159226.5) avg_msec=0.290 (overall: 0.288)
                                                                      
SET: rps=167632.0 (overall: 159276.8) avg_msec=0.287 (overall: 0.288)
                                                                      
SET: rps=168160.0 (overall: 159329.6) avg_msec=0.286 (overall: 0.288)
                                                                      
SET: rps=168426.3 (overall: 159383.5) avg_msec=0.283 (overall: 0.288)
                                                                      
SET: rps=164140.0 (overall: 159411.4) avg_msec=0.291 (overall: 0.288)
                                                                      
SET: rps=166880.0 (overall: 159455.0) avg_msec=0.288 (overall: 0.288)
                                                                      
SET: rps=166860.6 (overall: 159498.2) avg_msec=0.288 (overall: 0.288)
                                                                      
SET: rps=167812.0 (overall: 159546.2) avg_msec=0.287 (overall: 0.288)
                                                                      
SET: rps=163420.0 (overall: 159568.4) avg_msec=0.291 (overall: 0.288)
                                                                      
SET: rps=166372.0 (overall: 159607.2) avg_msec=0.288 (overall: 0.288)
                                                                      
SET: rps=166552.0 (overall: 159646.6) avg_msec=0.289 (overall: 0.288)
                                                                      
SET: rps=166131.5 (overall: 159683.3) avg_msec=0.289 (overall: 0.288)
                                                                      
SET: rps=169140.0 (overall: 159736.3) avg_msec=0.279 (overall: 0.288)
                                                                      
SET: rps=169712.0 (overall: 159792.0) avg_msec=0.272 (overall: 0.288)
                                                                      
SET: rps=166330.7 (overall: 159828.4) avg_msec=0.284 (overall: 0.288)
                                                                      
SET: rps=168924.0 (overall: 159878.5) avg_msec=0.281 (overall: 0.288)
                                                                      
SET: rps=165124.0 (overall: 159907.3) avg_msec=0.289 (overall: 0.288)
                                                                      
SET: rps=164095.6 (overall: 159930.2) avg_msec=0.283 (overall: 0.288)
                                                                      
SET: rps=163496.0 (overall: 159949.6) avg_msec=0.289 (overall: 0.288)
                                                                      
SET: rps=165324.0 (overall: 159978.6) avg_msec=0.290 (overall: 0.288)
                                                                      
SET: rps=167308.0 (overall: 160017.9) avg_msec=0.286 (overall: 0.288)
                                                                      
SET: rps=166701.2 (overall: 160053.8) avg_msec=0.285 (overall: 0.288)
                                                                      
SET: rps=166152.0 (overall: 160086.1) avg_msec=0.288 (overall: 0.288)
                                                                      
SET: rps=164952.0 (overall: 160111.8) avg_msec=0.287 (overall: 0.288)
                                                                      
SET: rps=166952.2 (overall: 160147.9) avg_msec=0.285 (overall: 0.288)
                                                                      
SET: rps=168608.0 (overall: 160192.1) avg_msec=0.283 (overall: 0.288)
                                                                      
SET: rps=167648.0 (overall: 160230.9) avg_msec=0.286 (overall: 0.288)
                                                                      
SET: rps=168107.6 (overall: 160271.8) avg_msec=0.279 (overall: 0.288)
                                                                      
SET: rps=167904.0 (overall: 160311.1) avg_msec=0.284 (overall: 0.287)
                                                                      
SET: rps=168608.0 (overall: 160353.5) avg_msec=0.282 (overall: 0.287)
                                                                      
SET: rps=167860.0 (overall: 160391.8) avg_msec=0.285 (overall: 0.287)
                                                                      
SET: rps=167023.9 (overall: 160425.5) avg_msec=0.282 (overall: 0.287)
                                                                      
SET: rps=164968.0 (overall: 160448.4) avg_msec=0.285 (overall: 0.287)
                                                                      
SET: rps=167376.0 (overall: 160483.2) avg_msec=0.284 (overall: 0.287)
                                                                      
SET: rps=170745.0 (overall: 160534.6) avg_msec=0.273 (overall: 0.287)
                                                                      
SET: rps=167024.0 (overall: 160566.8) avg_msec=0.288 (overall: 0.287)
                                                                      
SET: rps=165336.0 (overall: 160590.4) avg_msec=0.291 (overall: 0.287)
                                                                      
SET: rps=164936.3 (overall: 160611.9) avg_msec=0.290 (overall: 0.287)
                                                                      
SET: rps=170868.0 (overall: 160662.0) avg_msec=0.274 (overall: 0.287)
                                                                      
SET: rps=165416.0 (overall: 160685.2) avg_msec=0.289 (overall: 0.287)
                                                                      
SET: rps=163669.3 (overall: 160699.7) avg_msec=0.293 (overall: 0.287)
                                                                      
SET: rps=164620.0 (overall: 160718.6) avg_msec=0.292 (overall: 0.287)
                                                                      
SET: rps=164956.0 (overall: 160739.0) avg_msec=0.291 (overall: 0.287)
                                                                      
SET: rps=167980.0 (overall: 160773.5) avg_msec=0.284 (overall: 0.287)
                                                                      
SET: rps=164840.6 (overall: 160793.0) avg_msec=0.286 (overall: 0.287)
                                                                      
SET: rps=168456.0 (overall: 160829.2) avg_msec=0.285 (overall: 0.287)
                                                                      
SET: rps=172304.0 (overall: 160883.2) avg_msec=0.272 (overall: 0.287)
                                                                      
SET: rps=167288.0 (overall: 160913.3) avg_msec=0.288 (overall: 0.287)
                                                                      
SET: rps=165390.5 (overall: 160934.2) avg_msec=0.291 (overall: 0.287)
                                                                      
SET: rps=165124.0 (overall: 160953.7) avg_msec=0.289 (overall: 0.287)
                                                                      
SET: rps=168120.0 (overall: 160986.8) avg_msec=0.287 (overall: 0.287)
                                                                      
SET: rps=166156.0 (overall: 161010.6) avg_msec=0.287 (overall: 0.287)
                                                                      
SET: rps=165187.3 (overall: 161029.8) avg_msec=0.289 (overall: 0.287)
                                                                      
SET: rps=164372.0 (overall: 161045.0) avg_msec=0.288 (overall: 0.287)
                                                                      
SET: rps=168472.0 (overall: 161078.8) avg_msec=0.283 (overall: 0.287)
                                                                      
SET: rps=166498.0 (overall: 161103.3) avg_msec=0.289 (overall: 0.287)
                                                                      
SET: rps=169816.0 (overall: 161142.5) avg_msec=0.276 (overall: 0.287)
                                                                      
SET: rps=164044.0 (overall: 161155.5) avg_msec=0.287 (overall: 0.287)
                                                                      
SET: rps=166717.1 (overall: 161180.4) avg_msec=0.288 (overall: 0.287)
                                                                      
SET: rps=168296.0 (overall: 161212.0) avg_msec=0.283 (overall: 0.287)
                                                                      
SET: rps=168816.7 (overall: 161245.7) avg_msec=0.279 (overall: 0.287)
                                                                      
SET: rps=169108.0 (overall: 161280.2) avg_msec=0.279 (overall: 0.287)
                                                                      
SET: rps=169800.0 (overall: 161317.6) avg_msec=0.282 (overall: 0.287)
                                                                      
SET: rps=167448.0 (overall: 161344.3) avg_msec=0.288 (overall: 0.287)
                                                                      
SET: rps=166259.0 (overall: 161365.7) avg_msec=0.289 (overall: 0.287)
                                                                      
SET: rps=167456.0 (overall: 161392.0) avg_msec=0.287 (overall: 0.287)
                                                                      
SET: rps=166752.0 (overall: 161415.1) avg_msec=0.289 (overall: 0.287)
                                                                      
SET: rps=163537.9 (overall: 161424.2) avg_msec=0.289 (overall: 0.287)
                                                                      
SET: rps=166124.0 (overall: 161444.3) avg_msec=0.289 (overall: 0.287)
                                                                      
SET: rps=166768.0 (overall: 161466.9) avg_msec=0.289 (overall: 0.287)
                                                                      
SET: rps=165880.5 (overall: 161485.6) avg_msec=0.289 (overall: 0.287)
                                                                      
SET: rps=165296.0 (overall: 161501.7) avg_msec=0.290 (overall: 0.287)
                                                                      
SET: rps=163976.0 (overall: 161512.1) avg_msec=0.293 (overall: 0.287)
                                                                      
SET: rps=170792.8 (overall: 161551.0) avg_msec=0.274 (overall: 0.287)
                                                                      
SET: rps=165780.0 (overall: 161568.6) avg_msec=0.291 (overall: 0.287)
                                                                      
SET: rps=167200.0 (overall: 161591.9) avg_msec=0.288 (overall: 0.287)
                                                                      
SET: rps=166916.3 (overall: 161614.0) avg_msec=0.287 (overall: 0.287)
                                                                      
SET: rps=167120.0 (overall: 161636.6) avg_msec=0.287 (overall: 0.287)
                                                                      
SET: rps=167184.0 (overall: 161659.3) avg_msec=0.289 (overall: 0.287)
                                                                      
SET: rps=163840.6 (overall: 161668.2) avg_msec=0.291 (overall: 0.287)
                                                                      
SET: rps=166024.0 (overall: 161685.9) avg_msec=0.290 (overall: 0.287)
                                                                      
SET: rps=166412.0 (overall: 161705.0) avg_msec=0.289 (overall: 0.287)
                                                                      
SET: rps=166820.7 (overall: 161725.7) avg_msec=0.287 (overall: 0.287)
                                                                      
SET: rps=167192.0 (overall: 161747.6) avg_msec=0.286 (overall: 0.287)
                                                                      
SET: rps=164752.0 (overall: 161759.6) avg_msec=0.287 (overall: 0.287)
                                                                      
SET: rps=165529.9 (overall: 161774.6) avg_msec=0.290 (overall: 0.287)
                                                                      
SET: rps=166632.0 (overall: 161793.9) avg_msec=0.289 (overall: 0.287)
                                                                      
SET: rps=164908.0 (overall: 161806.2) avg_msec=0.285 (overall: 0.287)
                                                                      
SET: rps=165616.0 (overall: 161821.2) avg_msec=0.287 (overall: 0.287)
                                                                      
SET: rps=164745.0 (overall: 161832.6) avg_msec=0.288 (overall: 0.287)
                                                                      
SET: rps=168072.0 (overall: 161857.0) avg_msec=0.283 (overall: 0.287)
                                                                      
SET: rps=167460.0 (overall: 161878.8) avg_msec=0.286 (overall: 0.287)
                                                                      
SET: rps=166406.4 (overall: 161896.3) avg_msec=0.286 (overall: 0.287)
                                                                      
SET: rps=162524.0 (overall: 161898.8) avg_msec=0.290 (overall: 0.287)
                                                                      
SET: rps=167628.0 (overall: 161920.8) avg_msec=0.286 (overall: 0.287)
                                                                      
SET: rps=169348.0 (overall: 161949.2) avg_msec=0.279 (overall: 0.287)
                                                                      
SET: rps=167490.0 (overall: 161970.4) avg_msec=0.282 (overall: 0.287)
                                                                      
SET: rps=163020.0 (overall: 161974.3) avg_msec=0.287 (overall: 0.287)
                                                                      
SET: rps=168900.4 (overall: 162000.6) avg_msec=0.279 (overall: 0.287)
                                                                      
SET: rps=166452.0 (overall: 162017.4) avg_msec=0.289 (overall: 0.287)
                                                                      
SET: rps=165768.0 (overall: 162031.5) avg_msec=0.287 (overall: 0.287)
                                                                      
SET: rps=164402.4 (overall: 162040.4) avg_msec=0.287 (overall: 0.287)
                                                                      
SET: rps=163476.0 (overall: 162045.8) avg_msec=0.291 (overall: 0.287)
                                                                      
SET: rps=166364.0 (overall: 162061.8) avg_msec=0.287 (overall: 0.287)
                                                                      
SET: rps=164344.0 (overall: 162070.2) avg_msec=0.292 (overall: 0.287)
                                                                      
SET: rps=165370.5 (overall: 162082.4) avg_msec=0.288 (overall: 0.287)
                                                                      
SET: rps=166912.0 (overall: 162100.1) avg_msec=0.289 (overall: 0.287)
                                                                      
SET: rps=166764.0 (overall: 162117.2) avg_msec=0.289 (overall: 0.287)
                                                                      
SET: rps=166171.3 (overall: 162132.0) avg_msec=0.289 (overall: 0.287)
                                                                      
SET: rps=166929.7 (overall: 162149.9) avg_msec=0.283 (overall: 0.287)
                                                                      
SET: rps=166444.0 (overall: 162165.4) avg_msec=0.289 (overall: 0.287)
                                                                      
SET: rps=166412.0 (overall: 162180.7) avg_msec=0.289 (overall: 0.287)
                                                                      
SET: rps=166211.2 (overall: 162195.2) avg_msec=0.288 (overall: 0.287)
                                                                      
SET: rps=163024.0 (overall: 162198.2) avg_msec=0.292 (overall: 0.287)
                                                                      
SET: rps=165732.0 (overall: 162210.8) avg_msec=0.291 (overall: 0.287)
                                                                      
SET: rps=167612.0 (overall: 162230.0) avg_msec=0.287 (overall: 0.287)
                                                                      
SET: rps=163458.2 (overall: 162234.4) avg_msec=0.292 (overall: 0.287)
                                                                      
SET: rps=166784.0 (overall: 162250.4) avg_msec=0.286 (overall: 0.287)
                                                                      
SET: rps=166704.0 (overall: 162266.1) avg_msec=0.288 (overall: 0.287)
                                                                      
SET: rps=165713.2 (overall: 162278.2) avg_msec=0.290 (overall: 0.287)
                                                                      
SET: rps=166068.0 (overall: 162291.4) avg_msec=0.291 (overall: 0.287)
                                                                      
SET: rps=167200.0 (overall: 162308.5) avg_msec=0.289 (overall: 0.287)
                                                                      
SET: rps=166442.2 (overall: 162322.9) avg_msec=0.288 (overall: 0.287)
                                                                      
SET: rps=167248.0 (overall: 162339.9) avg_msec=0.288 (overall: 0.287)
                                                                      
SET: rps=164512.0 (overall: 162347.4) avg_msec=0.291 (overall: 0.287)
                                                                      
SET: rps=166036.0 (overall: 162360.0) avg_msec=0.290 (overall: 0.287)
                                                                      
SET: rps=166597.6 (overall: 162374.6) avg_msec=0.289 (overall: 0.287)
                                                                      
