===== Redis 100M Benchmark =====
Instance Type: m6idn.xlarge
Run: 4
Date: 2026-01-23T02:52:22+00:00

--- System Info ---
CPU: 4 cores
Memory: 15.3G
model name	: Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz

--- Starting Redis Server ---
Redis server started

--- Warmup ---
Warmup complete (100K SET requests)

--- Test 1: SET 100M requests (50 clients, 3 threads) ---
Start: 2026-01-23T02:52:25+00:00
 
SET: rps=0.0 (overall: -nan) avg_msec=0.064 (overall: 0.000)
                                                             
SET: rps=158402.4 (overall: 158402.4) avg_msec=0.296 (overall: 0.296)
                                                                      
SET: rps=163512.0 (overall: 160952.1) avg_msec=0.284 (overall: 0.290)
                                                                      
SET: rps=163732.0 (overall: 161877.5) avg_msec=0.287 (overall: 0.289)
                                                                      
SET: rps=171992.0 (overall: 164403.6) avg_msec=0.268 (overall: 0.283)
                                                                      
SET: rps=164043.8 (overall: 164331.5) avg_msec=0.287 (overall: 0.284)
                                                                      
SET: rps=162920.0 (overall: 164096.5) avg_msec=0.284 (overall: 0.284)
                                                                      
SET: rps=169116.0 (overall: 164812.8) avg_msec=0.280 (overall: 0.284)
                                                                      
SET: rps=168123.5 (overall: 165227.7) avg_msec=0.274 (overall: 0.282)
                                                                      
SET: rps=165416.0 (overall: 165248.6) avg_msec=0.290 (overall: 0.283)
                                                                      
SET: rps=165228.0 (overall: 165246.5) avg_msec=0.278 (overall: 0.283)
                                                                      
SET: rps=165573.7 (overall: 165276.3) avg_msec=0.280 (overall: 0.282)
                                                                      
SET: rps=168288.0 (overall: 165527.0) avg_msec=0.275 (overall: 0.282)
                                                                      
SET: rps=171432.0 (overall: 165980.6) avg_msec=0.272 (overall: 0.281)
                                                                      
SET: rps=165960.2 (overall: 165979.2) avg_msec=0.272 (overall: 0.280)
                                                                      
SET: rps=170116.0 (overall: 166254.6) avg_msec=0.272 (overall: 0.280)
                                                                      
SET: rps=162768.0 (overall: 166037.0) avg_msec=0.286 (overall: 0.280)
                                                                      
SET: rps=167832.0 (overall: 166142.4) avg_msec=0.275 (overall: 0.280)
                                                                      
SET: rps=159243.0 (overall: 165758.1) avg_msec=0.289 (overall: 0.280)
                                                                      
SET: rps=172652.0 (overall: 166120.5) avg_msec=0.268 (overall: 0.280)
                                                                      
SET: rps=168484.0 (overall: 166238.5) avg_msec=0.276 (overall: 0.280)
                                                                      
SET: rps=161266.9 (overall: 166001.1) avg_msec=0.286 (overall: 0.280)
                                                                      
SET: rps=170100.0 (overall: 166187.2) avg_msec=0.275 (overall: 0.280)
                                                                      
SET: rps=168392.0 (overall: 166283.0) avg_msec=0.281 (overall: 0.280)
                                                                      
SET: rps=165996.0 (overall: 166271.0) avg_msec=0.278 (overall: 0.280)
                                                                      
SET: rps=167220.0 (overall: 166308.9) avg_msec=0.280 (overall: 0.280)
                                                                      
SET: rps=162796.8 (overall: 166173.5) avg_msec=0.280 (overall: 0.280)
                                                                      
SET: rps=166836.0 (overall: 166198.0) avg_msec=0.280 (overall: 0.280)
                                                                      
SET: rps=165932.3 (overall: 166188.4) avg_msec=0.283 (overall: 0.280)
                                                                      
SET: rps=167936.3 (overall: 166248.9) avg_msec=0.279 (overall: 0.280)
                                                                      
SET: rps=165956.0 (overall: 166239.1) avg_msec=0.275 (overall: 0.280)
                                                                      
SET: rps=166052.0 (overall: 166233.1) avg_msec=0.283 (overall: 0.280)
                                                                      
SET: rps=171442.2 (overall: 166396.3) avg_msec=0.268 (overall: 0.279)
                                                                      
SET: rps=169244.0 (overall: 166482.5) avg_msec=0.279 (overall: 0.279)
                                                                      
SET: rps=166151.4 (overall: 166472.7) avg_msec=0.275 (overall: 0.279)
                                                                      
SET: rps=169844.0 (overall: 166568.9) avg_msec=0.275 (overall: 0.279)
                                                                      
SET: rps=166448.0 (overall: 166565.5) avg_msec=0.281 (overall: 0.279)
                                                                      
SET: rps=169378.5 (overall: 166641.7) avg_msec=0.276 (overall: 0.279)
                                                                      
SET: rps=169792.0 (overall: 166724.5) avg_msec=0.275 (overall: 0.279)
                                                                      
SET: rps=170128.0 (overall: 166811.7) avg_msec=0.277 (overall: 0.279)
                                                                      
SET: rps=164243.0 (overall: 166747.3) avg_msec=0.283 (overall: 0.279)
                                                                      
SET: rps=162068.0 (overall: 166633.3) avg_msec=0.284 (overall: 0.279)
                                                                      
SET: rps=169812.0 (overall: 166708.9) avg_msec=0.272 (overall: 0.279)
                                                                      
SET: rps=167179.3 (overall: 166719.9) avg_msec=0.276 (overall: 0.279)
                                                                      
SET: rps=169528.0 (overall: 166783.6) avg_msec=0.279 (overall: 0.279)
                                                                      
SET: rps=164577.7 (overall: 166734.4) avg_msec=0.278 (overall: 0.279)
                                                                      
SET: rps=169444.0 (overall: 166793.3) avg_msec=0.274 (overall: 0.279)
                                                                      
SET: rps=163512.0 (overall: 166723.5) avg_msec=0.287 (overall: 0.279)
                                                                      
SET: rps=166088.0 (overall: 166710.3) avg_msec=0.282 (overall: 0.279)
                                                                      
SET: rps=165071.4 (overall: 166676.7) avg_msec=0.280 (overall: 0.279)
                                                                      
SET: rps=166160.0 (overall: 166666.3) avg_msec=0.281 (overall: 0.279)
                                                                      
SET: rps=179032.0 (overall: 166908.5) avg_msec=0.250 (overall: 0.279)
                                                                      
SET: rps=174952.2 (overall: 167063.5) avg_msec=0.262 (overall: 0.278)
                                                                      
SET: rps=169152.0 (overall: 167102.9) avg_msec=0.281 (overall: 0.278)
                                                                      
SET: rps=166996.0 (overall: 167100.9) avg_msec=0.276 (overall: 0.278)
                                                                      
SET: rps=171648.0 (overall: 167183.4) avg_msec=0.280 (overall: 0.278)
                                                                      
SET: rps=168613.5 (overall: 167209.0) avg_msec=0.286 (overall: 0.278)
                                                                      
