===== Redis 100M Benchmark =====
Instance Type: m7g.xlarge
Run: 3
Date: 2026-01-21T09:09:36+00:00

--- System Info ---
CPU: 4 cores
Memory: 15.3G

--- Starting Redis Server ---
Redis server started

--- Warmup ---
Warmup complete (100K SET requests)

--- Test 1: SET 100M requests (50 clients, 3 threads) ---
Start: 2026-01-21T09:09:39+00:00
 
SET: rps=0.0 (overall: inf) avg_msec=0.117 (overall: 0.075)
                                                            
SET: rps=193180.0 (overall: 193240.0) avg_msec=0.228 (overall: 0.228)
                                                                      
SET: rps=192442.2 (overall: 192840.3) avg_msec=0.230 (overall: 0.229)
                                                                      
SET: rps=194220.0 (overall: 193299.6) avg_msec=0.227 (overall: 0.228)
                                                                      
SET: rps=190147.4 (overall: 192510.0) avg_msec=0.223 (overall: 0.227)
                                                                      
SET: rps=192708.0 (overall: 192549.5) avg_msec=0.222 (overall: 0.226)
                                                                      
SET: rps=192796.8 (overall: 192590.8) avg_msec=0.226 (overall: 0.226)
                                                                      
SET: rps=192332.0 (overall: 192553.9) avg_msec=0.225 (overall: 0.226)
                                                                      
SET: rps=190728.0 (overall: 192326.0) avg_msec=0.225 (overall: 0.226)
                                                                      
SET: rps=191330.7 (overall: 192215.2) avg_msec=0.232 (overall: 0.227)
                                                                      
SET: rps=191128.0 (overall: 192106.6) avg_msec=0.227 (overall: 0.227)
                                                                      
SET: rps=191924.0 (overall: 192090.0) avg_msec=0.230 (overall: 0.227)
                                                                      
SET: rps=188192.0 (overall: 191765.7) avg_msec=0.227 (overall: 0.227)
                                                                      
SET: rps=191071.7 (overall: 191712.1) avg_msec=0.229 (overall: 0.227)
                                                                      
SET: rps=192256.0 (overall: 191750.9) avg_msec=0.223 (overall: 0.227)
                                                                      
SET: rps=190312.0 (overall: 191655.1) avg_msec=0.220 (overall: 0.226)
                                                                      
SET: rps=187884.0 (overall: 191419.7) avg_msec=0.230 (overall: 0.226)
                                                                      
SET: rps=190657.4 (overall: 191374.8) avg_msec=0.220 (overall: 0.226)
                                                                      
SET: rps=192764.0 (overall: 191451.8) avg_msec=0.227 (overall: 0.226)
                                                                      
SET: rps=194384.0 (overall: 191606.0) avg_msec=0.221 (overall: 0.226)
                                                                      
SET: rps=187920.0 (overall: 191421.9) avg_msec=0.223 (overall: 0.226)
                                                                      
SET: rps=193310.8 (overall: 191512.1) avg_msec=0.230 (overall: 0.226)
                                                                      
SET: rps=193648.0 (overall: 191609.0) avg_msec=0.224 (overall: 0.226)
                                                                      
SET: rps=192852.0 (overall: 191663.0) avg_msec=0.220 (overall: 0.226)
                                                                      
SET: rps=191776.0 (overall: 191667.7) avg_msec=0.225 (overall: 0.226)
                                                                      
SET: rps=191661.4 (overall: 191667.5) avg_msec=0.227 (overall: 0.226)
                                                                      
SET: rps=189104.0 (overall: 191569.0) avg_msec=0.229 (overall: 0.226)
                                                                      
SET: rps=192680.0 (overall: 191610.1) avg_msec=0.225 (overall: 0.226)
                                                                      
SET: rps=190864.0 (overall: 191583.5) avg_msec=0.225 (overall: 0.226)
                                                                      
SET: rps=193195.2 (overall: 191639.2) avg_msec=0.221 (overall: 0.226)
                                                                      
SET: rps=192496.0 (overall: 191667.7) avg_msec=0.226 (overall: 0.226)
                                                                      
SET: rps=194616.0 (overall: 191762.7) avg_msec=0.222 (overall: 0.225)
                                                                      
SET: rps=182276.0 (overall: 191466.6) avg_msec=0.229 (overall: 0.226)
                                                                      
SET: rps=192079.7 (overall: 191485.2) avg_msec=0.223 (overall: 0.225)
                                                                      
SET: rps=192852.0 (overall: 191525.4) avg_msec=0.227 (overall: 0.226)
                                                                      
SET: rps=192928.0 (overall: 191565.4) avg_msec=0.226 (overall: 0.226)
                                                                      
SET: rps=192816.0 (overall: 191600.1) avg_msec=0.222 (overall: 0.225)
                                                                      
SET: rps=193155.4 (overall: 191642.3) avg_msec=0.219 (overall: 0.225)
                                                                      
SET: rps=191084.0 (overall: 191627.6) avg_msec=0.224 (overall: 0.225)
                                                                      
SET: rps=193720.0 (overall: 191681.2) avg_msec=0.226 (overall: 0.225)
                                                                      
SET: rps=192240.0 (overall: 191695.1) avg_msec=0.226 (overall: 0.225)
                                                                      
SET: rps=193729.1 (overall: 191744.9) avg_msec=0.221 (overall: 0.225)
                                                                      
SET: rps=192496.0 (overall: 191762.8) avg_msec=0.227 (overall: 0.225)
                                                                      
SET: rps=193032.0 (overall: 191792.2) avg_msec=0.219 (overall: 0.225)
                                                                      
SET: rps=194200.0 (overall: 191846.9) avg_msec=0.228 (overall: 0.225)
                                                                      
SET: rps=192620.0 (overall: 191864.1) avg_msec=0.222 (overall: 0.225)
                                                                      
SET: rps=184864.5 (overall: 191711.5) avg_msec=0.227 (overall: 0.225)
                                                                      
SET: rps=173996.0 (overall: 191335.0) avg_msec=0.229 (overall: 0.225)
                                                                      
SET: rps=192476.0 (overall: 191358.7) avg_msec=0.217 (overall: 0.225)
                                                                      
SET: rps=194016.0 (overall: 191412.9) avg_msec=0.217 (overall: 0.225)
                                                                      
SET: rps=191494.0 (overall: 191414.5) avg_msec=0.224 (overall: 0.225)
                                                                      
SET: rps=193776.0 (overall: 191460.8) avg_msec=0.227 (overall: 0.225)
                                                                      
SET: rps=193270.9 (overall: 191495.7) avg_msec=0.221 (overall: 0.225)
                                                                      
SET: rps=192412.0 (overall: 191512.9) avg_msec=0.224 (overall: 0.225)
                                                                      
SET: rps=193368.0 (overall: 191547.2) avg_msec=0.226 (overall: 0.225)
                                                                      
SET: rps=190000.0 (overall: 191519.1) avg_msec=0.221 (overall: 0.225)
                                                                      
SET: rps=181704.0 (overall: 191344.1) avg_msec=0.230 (overall: 0.225)
                                                                      
SET: rps=190924.3 (overall: 191336.7) avg_msec=0.220 (overall: 0.225)
                                                                      
SET: rps=191284.0 (overall: 191335.8) avg_msec=0.220 (overall: 0.225)
                                                                      
SET: rps=192504.0 (overall: 191355.5) avg_msec=0.219 (overall: 0.225)
                                                                      
SET: rps=191284.0 (overall: 191354.4) avg_msec=0.220 (overall: 0.224)
                                                                      
SET: rps=191063.8 (overall: 191349.6) avg_msec=0.221 (overall: 0.224)
                                                                      
SET: rps=191824.0 (overall: 191357.2) avg_msec=0.220 (overall: 0.224)
                                                                      
SET: rps=192268.0 (overall: 191371.7) avg_msec=0.219 (overall: 0.224)
                                                                      
SET: rps=191008.0 (overall: 191366.0) avg_msec=0.219 (overall: 0.224)
                                                                      
SET: rps=191144.0 (overall: 191362.6) avg_msec=0.219 (overall: 0.224)
                                                                      
SET: rps=181740.0 (overall: 191216.9) avg_msec=0.227 (overall: 0.224)
                                                                      
SET: rps=175880.5 (overall: 190987.4) avg_msec=0.240 (overall: 0.224)
                                                                      
SET: rps=187056.0 (overall: 190929.6) avg_msec=0.219 (overall: 0.224)
                                                                      
SET: rps=170434.3 (overall: 190631.7) avg_msec=0.246 (overall: 0.225)
                                                                      
SET: rps=191880.0 (overall: 190649.5) avg_msec=0.215 (overall: 0.224)
                                                                      
SET: rps=190884.5 (overall: 190652.9) avg_msec=0.217 (overall: 0.224)
                                                                      
SET: rps=189286.9 (overall: 190633.8) avg_msec=0.218 (overall: 0.224)
                                                                      
SET: rps=191684.0 (overall: 190648.2) avg_msec=0.214 (overall: 0.224)
                                                                      
SET: rps=191444.0 (overall: 190659.0) avg_msec=0.213 (overall: 0.224)
                                                                      
SET: rps=191536.0 (overall: 190670.6) avg_msec=0.214 (overall: 0.224)
                                                                      
SET: rps=191816.8 (overall: 190685.7) avg_msec=0.214 (overall: 0.224)
                                                                      
SET: rps=192560.0 (overall: 190710.0) avg_msec=0.217 (overall: 0.224)
                                                                      
SET: rps=191617.5 (overall: 190721.7) avg_msec=0.216 (overall: 0.224)
                                                                      
SET: rps=192968.0 (overall: 190750.1) avg_msec=0.216 (overall: 0.223)
                                                                      
SET: rps=184800.8 (overall: 190675.6) avg_msec=0.219 (overall: 0.223)
                                                                      
SET: rps=192100.0 (overall: 190693.1) avg_msec=0.216 (overall: 0.223)
                                                                      
SET: rps=191593.6 (overall: 190704.1) avg_msec=0.214 (overall: 0.223)
                                                                      
SET: rps=192472.0 (overall: 190725.4) avg_msec=0.216 (overall: 0.223)
                                                                      
SET: rps=179382.5 (overall: 190590.0) avg_msec=0.235 (overall: 0.223)
                                                                      
SET: rps=192948.0 (overall: 190617.7) avg_msec=0.216 (overall: 0.223)
                                                                      
SET: rps=193136.0 (overall: 190647.0) avg_msec=0.215 (overall: 0.223)
                                                                      
SET: rps=191936.3 (overall: 190661.8) avg_msec=0.213 (overall: 0.223)
                                                                      
SET: rps=191024.0 (overall: 190665.9) avg_msec=0.215 (overall: 0.223)
                                                                      
SET: rps=192360.0 (overall: 190684.9) avg_msec=0.216 (overall: 0.223)
                                                                      
SET: rps=191892.4 (overall: 190698.4) avg_msec=0.215 (overall: 0.223)
                                                                      
SET: rps=191748.0 (overall: 190709.9) avg_msec=0.216 (overall: 0.223)
                                                                      
SET: rps=190248.0 (overall: 190704.9) avg_msec=0.216 (overall: 0.223)
                                                                      
SET: rps=192529.9 (overall: 190724.6) avg_msec=0.217 (overall: 0.222)
                                                                      
SET: rps=191717.1 (overall: 190735.2) avg_msec=0.217 (overall: 0.222)
                                                                      
SET: rps=189716.0 (overall: 190724.4) avg_msec=0.219 (overall: 0.222)
                                                                      
SET: rps=176884.5 (overall: 190579.9) avg_msec=0.239 (overall: 0.223)
                                                                      
SET: rps=190200.0 (overall: 190576.0) avg_msec=0.232 (overall: 0.223)
                                                                      
SET: rps=189330.7 (overall: 190563.2) avg_msec=0.224 (overall: 0.223)
                                                                      
SET: rps=189432.0 (overall: 190551.8) avg_msec=0.219 (overall: 0.223)
                                                                      
SET: rps=189308.0 (overall: 190539.4) avg_msec=0.242 (overall: 0.223)
                                                                      
SET: rps=188920.0 (overall: 190523.4) avg_msec=0.224 (overall: 0.223)
                                                                      
SET: rps=193064.0 (overall: 190548.3) avg_msec=0.241 (overall: 0.223)
                                                                      
SET: rps=192123.5 (overall: 190563.6) avg_msec=0.239 (overall: 0.223)
                                                                      
SET: rps=191284.0 (overall: 190570.5) avg_msec=0.232 (overall: 0.223)
                                                                      
SET: rps=192800.0 (overall: 190591.7) avg_msec=0.242 (overall: 0.223)
                                                                      
SET: rps=190308.0 (overall: 190589.0) avg_msec=0.238 (overall: 0.224)
                                                                      
SET: rps=191167.3 (overall: 190594.5) avg_msec=0.244 (overall: 0.224)
                                                                      
SET: rps=191864.0 (overall: 190606.2) avg_msec=0.243 (overall: 0.224)
                                                                      
SET: rps=192876.0 (overall: 190627.0) avg_msec=0.243 (overall: 0.224)
                                                                      
SET: rps=192632.0 (overall: 190645.2) avg_msec=0.243 (overall: 0.224)
                                                                      
SET: rps=192692.0 (overall: 190663.6) avg_msec=0.243 (overall: 0.224)
                                                                      
SET: rps=192644.0 (overall: 190681.3) avg_msec=0.243 (overall: 0.225)
                                                                      
SET: rps=191908.4 (overall: 190692.2) avg_msec=0.243 (overall: 0.225)
                                                                      
SET: rps=189460.0 (overall: 190681.4) avg_msec=0.221 (overall: 0.225)
                                                                      
SET: rps=187468.0 (overall: 190653.5) avg_msec=0.225 (overall: 0.225)
                                                                      
SET: rps=190632.0 (overall: 190653.3) avg_msec=0.225 (overall: 0.225)
                                                                      
SET: rps=187127.5 (overall: 190623.1) avg_msec=0.223 (overall: 0.225)
                                                                      
SET: rps=186858.3 (overall: 190590.7) avg_msec=0.222 (overall: 0.225)
                                                                      
SET: rps=173936.0 (overall: 190450.9) avg_msec=0.235 (overall: 0.225)
                                                                      
SET: rps=181172.0 (overall: 190373.7) avg_msec=0.225 (overall: 0.225)
                                                                      
SET: rps=191864.5 (overall: 190386.1) avg_msec=0.217 (overall: 0.225)
                                                                      
SET: rps=192488.0 (overall: 190403.3) avg_msec=0.215 (overall: 0.225)
                                                                      
SET: rps=185436.5 (overall: 190362.6) avg_msec=0.217 (overall: 0.225)
                                                                      
SET: rps=184692.0 (overall: 190317.0) avg_msec=0.236 (overall: 0.225)
                                                                      
SET: rps=194840.0 (overall: 190353.1) avg_msec=0.239 (overall: 0.225)
                                                                      
SET: rps=194143.4 (overall: 190383.3) avg_msec=0.240 (overall: 0.225)
                                                                      
SET: rps=194916.0 (overall: 190418.9) avg_msec=0.239 (overall: 0.225)
                                                                      
SET: rps=194872.0 (overall: 190453.7) avg_msec=0.239 (overall: 0.225)
                                                                      
SET: rps=195268.0 (overall: 190490.9) avg_msec=0.239 (overall: 0.225)
                                                                      
SET: rps=195544.0 (overall: 190529.7) avg_msec=0.239 (overall: 0.225)
                                                                      
SET: rps=194302.8 (overall: 190558.6) avg_msec=0.239 (overall: 0.225)
                                                                      
SET: rps=182280.0 (overall: 190496.0) avg_msec=0.242 (overall: 0.226)
                                                                      
SET: rps=168972.0 (overall: 190334.4) avg_msec=0.250 (overall: 0.226)
                                                                      
SET: rps=152107.6 (overall: 190048.3) avg_msec=0.274 (overall: 0.226)
                                                                      
SET: rps=98408.0 (overall: 189370.5) avg_msec=0.426 (overall: 0.227)
                                                                     
SET: rps=187664.0 (overall: 189357.9) avg_msec=0.242 (overall: 0.227)
                                                                      
SET: rps=188000.0 (overall: 189348.0) avg_msec=0.248 (overall: 0.227)
                                                                      
SET: rps=188688.0 (overall: 189343.2) avg_msec=0.243 (overall: 0.227)
                                                                      
SET: rps=188724.0 (overall: 189338.8) avg_msec=0.241 (overall: 0.227)
                                                                      
SET: rps=189584.0 (overall: 189340.5) avg_msec=0.246 (overall: 0.227)
                                                                      
SET: rps=188633.5 (overall: 189335.5) avg_msec=0.247 (overall: 0.228)
                                                                      
SET: rps=189588.0 (overall: 189337.3) avg_msec=0.246 (overall: 0.228)
                                                                      
SET: rps=189432.0 (overall: 189337.9) avg_msec=0.243 (overall: 0.228)
                                                                      
SET: rps=171860.0 (overall: 189216.7) avg_msec=0.243 (overall: 0.228)
                                                                      
SET: rps=187392.0 (overall: 189204.2) avg_msec=0.219 (overall: 0.228)
                                                                      
SET: rps=178976.1 (overall: 189133.9) avg_msec=0.243 (overall: 0.228)
                                                                      
SET: rps=190952.0 (overall: 189146.3) avg_msec=0.243 (overall: 0.228)
                                                                      
SET: rps=190944.0 (overall: 189158.4) avg_msec=0.243 (overall: 0.228)
                                                                      
SET: rps=191208.0 (overall: 189172.2) avg_msec=0.242 (overall: 0.228)
                                                                      
SET: rps=190541.8 (overall: 189181.3) avg_msec=0.243 (overall: 0.228)
                                                                      
SET: rps=191204.0 (overall: 189194.7) avg_msec=0.243 (overall: 0.228)
                                                                      
SET: rps=191380.0 (overall: 189209.0) avg_msec=0.242 (overall: 0.229)
                                                                      
SET: rps=191620.0 (overall: 189224.8) avg_msec=0.242 (overall: 0.229)
                                                                      
SET: rps=191164.0 (overall: 189237.4) avg_msec=0.243 (overall: 0.229)
                                                                      
SET: rps=191260.0 (overall: 189250.4) avg_msec=0.243 (overall: 0.229)
                                                                      
SET: rps=190852.6 (overall: 189260.7) avg_msec=0.242 (overall: 0.229)
                                                                      
SET: rps=191560.0 (overall: 189275.3) avg_msec=0.243 (overall: 0.229)
                                                                      
SET: rps=191576.0 (overall: 189289.9) avg_msec=0.243 (overall: 0.229)
                                                                      
SET: rps=190426.3 (overall: 189297.0) avg_msec=0.243 (overall: 0.229)
                                                                      
SET: rps=191328.0 (overall: 189309.7) avg_msec=0.243 (overall: 0.229)
                                                                      
SET: rps=191508.0 (overall: 189323.3) avg_msec=0.241 (overall: 0.229)
                                                                      
SET: rps=191288.0 (overall: 189335.4) avg_msec=0.243 (overall: 0.229)
                                                                      
SET: rps=189462.2 (overall: 189336.2) avg_msec=0.243 (overall: 0.229)
                                                                      
SET: rps=189284.0 (overall: 189335.9) avg_msec=0.246 (overall: 0.230)
                                                                      
SET: rps=189524.0 (overall: 189337.0) avg_msec=0.246 (overall: 0.230)
                                                                      
SET: rps=189632.0 (overall: 189338.8) avg_msec=0.247 (overall: 0.230)
                                                                      
SET: rps=187745.0 (overall: 189329.2) avg_msec=0.245 (overall: 0.230)
                                                                      
SET: rps=188768.0 (overall: 189325.9) avg_msec=0.236 (overall: 0.230)
                                                                      
SET: rps=189396.0 (overall: 189326.3) avg_msec=0.246 (overall: 0.230)
                                                                      
SET: rps=189692.0 (overall: 189328.5) avg_msec=0.246 (overall: 0.230)
                                                                      
SET: rps=188613.6 (overall: 189324.3) avg_msec=0.246 (overall: 0.230)
                                                                      
SET: rps=189872.0 (overall: 189327.5) avg_msec=0.244 (overall: 0.230)
                                                                      
SET: rps=189684.0 (overall: 189329.5) avg_msec=0.247 (overall: 0.230)
                                                                      
SET: rps=189912.0 (overall: 189332.9) avg_msec=0.246 (overall: 0.230)
                                                                      
SET: rps=188051.8 (overall: 189325.5) avg_msec=0.244 (overall: 0.231)
                                                                      
SET: rps=187640.0 (overall: 189316.0) avg_msec=0.240 (overall: 0.231)
                                                                      
SET: rps=189612.0 (overall: 189317.6) avg_msec=0.247 (overall: 0.231)
                                                                      
SET: rps=189396.0 (overall: 189318.1) avg_msec=0.247 (overall: 0.231)
                                                                      
SET: rps=189400.0 (overall: 189318.5) avg_msec=0.246 (overall: 0.231)
                                                                      
SET: rps=189159.4 (overall: 189317.6) avg_msec=0.245 (overall: 0.231)
                                                                      
SET: rps=189736.0 (overall: 189320.0) avg_msec=0.247 (overall: 0.231)
                                                                      
SET: rps=189576.0 (overall: 189321.4) avg_msec=0.247 (overall: 0.231)
                                                                      
SET: rps=189468.0 (overall: 189322.2) avg_msec=0.247 (overall: 0.231)
                                                                      
SET: rps=189560.0 (overall: 189323.5) avg_msec=0.247 (overall: 0.231)
                                                                      
SET: rps=188812.8 (overall: 189320.7) avg_msec=0.247 (overall: 0.231)
                                                                      
