===== Redis 100M Benchmark =====
Instance Type: m7gd.xlarge
Run: 2
Date: 2026-01-21T09:09:36+00:00

--- System Info ---
CPU: 4 cores
Memory: 15.3G

--- Starting Redis Server ---
Redis server started

--- Warmup ---
Warmup complete (100K SET requests)

--- Test 1: SET 100M requests (50 clients, 3 threads) ---
Start: 2026-01-21T09:09:39+00:00
 
SET: rps=0.0 (overall: inf) avg_msec=0.008 (overall: 0.128)
                                                            
SET: rps=190032.0 (overall: 190036.0) avg_msec=0.226 (overall: 0.226)
                                                                      
SET: rps=190980.0 (overall: 190508.0) avg_msec=0.217 (overall: 0.222)
                                                                      
SET: rps=189713.2 (overall: 190242.3) avg_msec=0.227 (overall: 0.224)
                                                                      
SET: rps=191264.0 (overall: 190497.5) avg_msec=0.233 (overall: 0.226)
                                                                      
SET: rps=190636.0 (overall: 190525.2) avg_msec=0.227 (overall: 0.226)
                                                                      
SET: rps=189928.3 (overall: 190425.4) avg_msec=0.222 (overall: 0.226)
                                                                      
SET: rps=191264.0 (overall: 190545.1) avg_msec=0.226 (overall: 0.226)
                                                                      
SET: rps=189624.0 (overall: 190430.1) avg_msec=0.222 (overall: 0.225)
                                                                      
SET: rps=190408.0 (overall: 190427.6) avg_msec=0.217 (overall: 0.224)
                                                                      
SET: rps=190502.0 (overall: 190435.1) avg_msec=0.220 (overall: 0.224)
                                                                      
SET: rps=191060.0 (overall: 190491.8) avg_msec=0.225 (overall: 0.224)
                                                                      
SET: rps=185304.0 (overall: 190059.9) avg_msec=0.235 (overall: 0.225)
                                                                      
SET: rps=189376.0 (overall: 190007.4) avg_msec=0.229 (overall: 0.225)
                                                                      
SET: rps=190200.0 (overall: 190021.1) avg_msec=0.226 (overall: 0.225)
                                                                      
SET: rps=189470.1 (overall: 189984.3) avg_msec=0.225 (overall: 0.225)
                                                                      
SET: rps=185464.0 (overall: 189702.0) avg_msec=0.233 (overall: 0.226)
                                                                      
SET: rps=190488.0 (overall: 189748.2) avg_msec=0.226 (overall: 0.226)
                                                                      
SET: rps=190520.0 (overall: 189791.1) avg_msec=0.224 (overall: 0.226)
                                                                      
SET: rps=189502.0 (overall: 189775.8) avg_msec=0.218 (overall: 0.225)
                                                                      
SET: rps=182832.0 (overall: 189429.0) avg_msec=0.232 (overall: 0.225)
                                                                      
SET: rps=187408.0 (overall: 189332.8) avg_msec=0.221 (overall: 0.225)
                                                                      
SET: rps=189884.0 (overall: 189357.9) avg_msec=0.218 (overall: 0.225)
                                                                      
SET: rps=190764.0 (overall: 189418.9) avg_msec=0.225 (overall: 0.225)
                                                                      
SET: rps=187792.8 (overall: 189351.0) avg_msec=0.225 (overall: 0.225)
                                                                      
SET: rps=190860.0 (overall: 189411.3) avg_msec=0.222 (overall: 0.225)
                                                                      
SET: rps=189828.7 (overall: 189427.4) avg_msec=0.218 (overall: 0.225)
                                                                      
SET: rps=191072.0 (overall: 189488.2) avg_msec=0.222 (overall: 0.224)
                                                                      
SET: rps=189486.1 (overall: 189488.2) avg_msec=0.222 (overall: 0.224)
                                                                      
SET: rps=190720.0 (overall: 189530.6) avg_msec=0.226 (overall: 0.224)
                                                                      
SET: rps=190476.0 (overall: 189562.1) avg_msec=0.225 (overall: 0.224)
                                                                      
SET: rps=189824.7 (overall: 189570.6) avg_msec=0.216 (overall: 0.224)
                                                                      
SET: rps=191088.0 (overall: 189617.9) avg_msec=0.224 (overall: 0.224)
                                                                      
SET: rps=190180.0 (overall: 189635.0) avg_msec=0.228 (overall: 0.224)
                                                                      
SET: rps=189055.8 (overall: 189617.9) avg_msec=0.224 (overall: 0.224)
                                                                      
SET: rps=189548.0 (overall: 189615.9) avg_msec=0.227 (overall: 0.224)
                                                                      
SET: rps=190276.0 (overall: 189634.2) avg_msec=0.223 (overall: 0.224)
                                                                      
SET: rps=190075.7 (overall: 189646.2) avg_msec=0.223 (overall: 0.224)
                                                                      
SET: rps=190128.0 (overall: 189658.8) avg_msec=0.213 (overall: 0.224)
                                                                      
SET: rps=185314.8 (overall: 189547.1) avg_msec=0.225 (overall: 0.224)
                                                                      
SET: rps=172056.0 (overall: 189110.4) avg_msec=0.241 (overall: 0.224)
                                                                      
SET: rps=177228.0 (overall: 188820.9) avg_msec=0.223 (overall: 0.224)
                                                                      
SET: rps=190434.3 (overall: 188859.4) avg_msec=0.219 (overall: 0.224)
                                                                      
SET: rps=189464.0 (overall: 188873.5) avg_msec=0.227 (overall: 0.224)
                                                                      
SET: rps=188398.4 (overall: 188862.6) avg_msec=0.224 (overall: 0.224)
                                                                      
SET: rps=189312.0 (overall: 188872.6) avg_msec=0.215 (overall: 0.224)
                                                                      
SET: rps=190068.0 (overall: 188898.6) avg_msec=0.222 (overall: 0.224)
                                                                      
SET: rps=190512.0 (overall: 188932.8) avg_msec=0.222 (overall: 0.224)
                                                                      
SET: rps=188920.3 (overall: 188932.6) avg_msec=0.223 (overall: 0.224)
                                                                      
SET: rps=190972.0 (overall: 188974.2) avg_msec=0.223 (overall: 0.224)
                                                                      
SET: rps=188920.0 (overall: 188973.1) avg_msec=0.229 (overall: 0.224)
                                                                      
SET: rps=191384.0 (overall: 189020.3) avg_msec=0.222 (overall: 0.224)
                                                                      
SET: rps=189665.3 (overall: 189032.7) avg_msec=0.221 (overall: 0.224)
                                                                      
SET: rps=190354.6 (overall: 189057.7) avg_msec=0.225 (overall: 0.224)
                                                                      
SET: rps=191100.0 (overall: 189095.5) avg_msec=0.229 (overall: 0.224)
                                                                      
SET: rps=190820.0 (overall: 189126.8) avg_msec=0.221 (overall: 0.224)
                                                                      
SET: rps=189653.4 (overall: 189136.3) avg_msec=0.217 (overall: 0.224)
                                                                      
SET: rps=189524.0 (overall: 189143.0) avg_msec=0.220 (overall: 0.224)
                                                                      
SET: rps=191072.0 (overall: 189176.3) avg_msec=0.218 (overall: 0.224)
                                                                      
SET: rps=187972.1 (overall: 189155.8) avg_msec=0.225 (overall: 0.224)
                                                                      
SET: rps=190328.0 (overall: 189175.3) avg_msec=0.232 (overall: 0.224)
                                                                      
SET: rps=183780.9 (overall: 189086.6) avg_msec=0.232 (overall: 0.224)
                                                                      
SET: rps=187272.0 (overall: 189057.4) avg_msec=0.220 (overall: 0.224)
                                                                      
SET: rps=187756.0 (overall: 189036.8) avg_msec=0.217 (overall: 0.224)
                                                                      
SET: rps=187540.0 (overall: 189013.4) avg_msec=0.219 (overall: 0.224)
                                                                      
SET: rps=187752.0 (overall: 188994.0) avg_msec=0.218 (overall: 0.224)
                                                                      
SET: rps=187920.3 (overall: 188977.7) avg_msec=0.215 (overall: 0.224)
                                                                      
SET: rps=190300.0 (overall: 188997.4) avg_msec=0.213 (overall: 0.223)
                                                                      
SET: rps=187420.0 (overall: 188974.3) avg_msec=0.213 (overall: 0.223)
                                                                      
