===== Redis 100M Benchmark =====
Instance Type: m7gd.xlarge
Run: 5
Date: 2026-01-23T02:55:32+00:00

--- System Info ---
CPU: 4 cores
Memory: 15.3G

--- Starting Redis Server ---
Redis server started

--- Warmup ---
Warmup complete (100K SET requests)

--- Test 1: SET 100M requests (50 clients, 3 threads) ---
Start: 2026-01-23T02:55:35+00:00
 
SET: rps=0.0 (overall: nan) avg_msec=0.000 (overall: 0.107)
                                                            
SET: rps=188016.0 (overall: 188016.0) avg_msec=0.226 (overall: 0.226)
                                                                      
SET: rps=193358.6 (overall: 190692.6) avg_msec=0.219 (overall: 0.222)
                                                                      
SET: rps=193748.0 (overall: 191709.7) avg_msec=0.228 (overall: 0.224)
                                                                      
SET: rps=192320.0 (overall: 191862.1) avg_msec=0.215 (overall: 0.222)
                                                                      
SET: rps=193020.0 (overall: 192093.5) avg_msec=0.218 (overall: 0.221)
                                                                      
SET: rps=194657.4 (overall: 192522.0) avg_msec=0.209 (overall: 0.219)
                                                                      
SET: rps=196223.1 (overall: 193051.9) avg_msec=0.220 (overall: 0.219)
                                                                      
SET: rps=195460.0 (overall: 193352.5) avg_msec=0.221 (overall: 0.219)
                                                                      
SET: rps=196212.0 (overall: 193669.8) avg_msec=0.216 (overall: 0.219)
                                                                      
SET: rps=184984.0 (overall: 192802.2) avg_msec=0.221 (overall: 0.219)
                                                                      
SET: rps=197020.0 (overall: 193185.2) avg_msec=0.219 (overall: 0.219)
                                                                      
SET: rps=195745.0 (overall: 193399.1) avg_msec=0.223 (overall: 0.219)
                                                                      
SET: rps=197572.0 (overall: 193719.7) avg_msec=0.216 (overall: 0.219)
                                                                      
SET: rps=189163.4 (overall: 193393.4) avg_msec=0.222 (overall: 0.219)
                                                                      
SET: rps=194632.0 (overall: 193475.9) avg_msec=0.220 (overall: 0.219)
                                                                      
SET: rps=191524.0 (overall: 193354.0) avg_msec=0.224 (overall: 0.220)
                                                                      
SET: rps=195330.7 (overall: 193470.6) avg_msec=0.208 (overall: 0.219)
                                                                      
SET: rps=196960.0 (overall: 193664.2) avg_msec=0.224 (overall: 0.219)
                                                                      
SET: rps=197372.0 (overall: 193859.1) avg_msec=0.217 (overall: 0.219)
                                                                      
SET: rps=194091.6 (overall: 193870.8) avg_msec=0.213 (overall: 0.219)
                                                                      
SET: rps=189204.0 (overall: 193648.8) avg_msec=0.219 (overall: 0.219)
                                                                      
SET: rps=194920.3 (overall: 193706.8) avg_msec=0.212 (overall: 0.219)
                                                                      
SET: rps=195888.0 (overall: 193801.5) avg_msec=0.214 (overall: 0.218)
                                                                      
SET: rps=196668.0 (overall: 193920.8) avg_msec=0.222 (overall: 0.219)
                                                                      
SET: rps=195944.2 (overall: 194001.9) avg_msec=0.217 (overall: 0.219)
                                                                      
SET: rps=192482.1 (overall: 193943.3) avg_msec=0.212 (overall: 0.218)
                                                                      
SET: rps=197288.0 (overall: 194067.0) avg_msec=0.214 (overall: 0.218)
                                                                      
SET: rps=194278.9 (overall: 194074.6) avg_msec=0.224 (overall: 0.218)
                                                                      
SET: rps=195440.0 (overall: 194121.6) avg_msec=0.219 (overall: 0.218)
                                                                      
SET: rps=184412.0 (overall: 193798.4) avg_msec=0.229 (overall: 0.219)
                                                                      
SET: rps=184316.0 (overall: 193493.0) avg_msec=0.233 (overall: 0.219)
                                                                      
SET: rps=195156.0 (overall: 193544.9) avg_msec=0.223 (overall: 0.219)
                                                                      
SET: rps=194621.5 (overall: 193577.6) avg_msec=0.225 (overall: 0.219)
                                                                      
SET: rps=196164.0 (overall: 193653.5) avg_msec=0.213 (overall: 0.219)
                                                                      
SET: rps=184344.0 (overall: 193387.9) avg_msec=0.228 (overall: 0.219)
                                                                      
