===== Redis 100M Benchmark =====
Instance Type: m7i.xlarge
Run: 2
Date: 2026-01-23T04:42:08+00:00

--- System Info ---
CPU: 4 cores
Memory: 15.3G
model name	: Intel(R) Xeon(R) Platinum 8488C

--- Starting Redis Server ---
Redis server started

--- Warmup ---
Warmup complete (100K SET requests)

--- Test 1: SET 100M requests (50 clients, 3 threads) ---
Start: 2026-01-23T04:42:11+00:00
 
SET: rps=0.0 (overall: inf) avg_msec=0.061 (overall: 0.107)
                                                            
SET: rps=197468.0 (overall: 197500.0) avg_msec=0.233 (overall: 0.233)
                                                                      
SET: rps=201589.7 (overall: 199548.9) avg_msec=0.231 (overall: 0.232)
                                                                      
SET: rps=201716.0 (overall: 200270.3) avg_msec=0.232 (overall: 0.232)
                                                                      
SET: rps=198532.0 (overall: 199836.2) avg_msec=0.233 (overall: 0.232)
                                                                      
SET: rps=197394.4 (overall: 199346.7) avg_msec=0.231 (overall: 0.232)
                                                                      
SET: rps=190980.0 (overall: 197954.1) avg_msec=0.249 (overall: 0.235)
                                                                      
SET: rps=201745.0 (overall: 198496.9) avg_msec=0.228 (overall: 0.234)
                                                                      
SET: rps=186408.0 (overall: 196988.0) avg_msec=0.255 (overall: 0.236)
                                                                      
SET: rps=203588.0 (overall: 197720.4) avg_msec=0.221 (overall: 0.235)
                                                                      
SET: rps=201179.3 (overall: 198067.1) avg_msec=0.222 (overall: 0.233)
                                                                      
SET: rps=200728.0 (overall: 198308.6) avg_msec=0.233 (overall: 0.233)
                                                                      
SET: rps=203761.0 (overall: 198764.0) avg_msec=0.223 (overall: 0.232)
                                                                      
SET: rps=204560.0 (overall: 199209.2) avg_msec=0.225 (overall: 0.232)
                                                                      
SET: rps=199652.0 (overall: 199240.8) avg_msec=0.228 (overall: 0.232)
                                                                      
SET: rps=203520.0 (overall: 199525.7) avg_msec=0.228 (overall: 0.231)
                                                                      
SET: rps=191227.1 (overall: 199005.7) avg_msec=0.238 (overall: 0.232)
                                                                      
SET: rps=193820.0 (overall: 198701.1) avg_msec=0.241 (overall: 0.232)
                                                                      
SET: rps=191168.0 (overall: 198283.2) avg_msec=0.247 (overall: 0.233)
                                                                      
SET: rps=204856.0 (overall: 198628.7) avg_msec=0.227 (overall: 0.233)
                                                                      
SET: rps=204581.7 (overall: 198927.1) avg_msec=0.226 (overall: 0.232)
                                                                      
SET: rps=206776.0 (overall: 199300.4) avg_msec=0.222 (overall: 0.232)
                                                                      
SET: rps=205768.0 (overall: 199594.0) avg_msec=0.224 (overall: 0.232)
                                                                      
SET: rps=200248.0 (overall: 199622.4) avg_msec=0.229 (overall: 0.231)
                                                                      
SET: rps=194278.9 (overall: 199399.1) avg_msec=0.232 (overall: 0.231)
                                                                      
SET: rps=199508.0 (overall: 199403.5) avg_msec=0.233 (overall: 0.232)
                                                                      
SET: rps=204184.0 (overall: 199587.1) avg_msec=0.226 (overall: 0.231)
                                                                      
SET: rps=202123.5 (overall: 199681.3) avg_msec=0.234 (overall: 0.231)
                                                                      
SET: rps=204908.0 (overall: 199867.8) avg_msec=0.224 (overall: 0.231)
                                                                      
SET: rps=203928.0 (overall: 200007.6) avg_msec=0.230 (overall: 0.231)
                                                                      
SET: rps=202480.0 (overall: 200089.9) avg_msec=0.228 (overall: 0.231)
                                                                      
SET: rps=194664.0 (overall: 199915.1) avg_msec=0.241 (overall: 0.231)
                                                                      
SET: rps=203832.7 (overall: 200037.8) avg_msec=0.226 (overall: 0.231)
                                                                      
SET: rps=200372.0 (overall: 200047.9) avg_msec=0.235 (overall: 0.231)
                                                                      
SET: rps=202560.0 (overall: 200121.7) avg_msec=0.223 (overall: 0.231)
                                                                      
SET: rps=201545.8 (overall: 200162.5) avg_msec=0.232 (overall: 0.231)
                                                                      
SET: rps=204056.0 (overall: 200270.6) avg_msec=0.224 (overall: 0.231)
                                                                      
SET: rps=199896.0 (overall: 200260.5) avg_msec=0.234 (overall: 0.231)
                                                                      
SET: rps=206496.0 (overall: 200424.4) avg_msec=0.217 (overall: 0.231)
                                                                      
SET: rps=194557.8 (overall: 200273.5) avg_msec=0.240 (overall: 0.231)
                                                                      
SET: rps=200288.0 (overall: 200273.9) avg_msec=0.227 (overall: 0.231)
                                                                      
SET: rps=189325.6 (overall: 199998.8) avg_msec=0.247 (overall: 0.231)
                                                                      
SET: rps=204484.0 (overall: 200105.4) avg_msec=0.226 (overall: 0.231)
                                                                      
SET: rps=202123.5 (overall: 200152.5) avg_msec=0.223 (overall: 0.231)
                                                                      
SET: rps=202928.0 (overall: 200215.4) avg_msec=0.225 (overall: 0.231)
                                                                      
SET: rps=193512.0 (overall: 200066.7) avg_msec=0.240 (overall: 0.231)
                                                                      
SET: rps=196512.0 (overall: 199989.6) avg_msec=0.237 (overall: 0.231)
                                                                      
SET: rps=198510.0 (overall: 199958.0) avg_msec=0.230 (overall: 0.231)
                                                                      
SET: rps=203704.0 (overall: 200035.9) avg_msec=0.222 (overall: 0.231)
                                                                      
SET: rps=166066.7 (overall: 199330.4) avg_msec=0.263 (overall: 0.231)
                                                                      
SET: rps=183600.0 (overall: 199016.4) avg_msec=0.247 (overall: 0.232)
                                                                      
SET: rps=198454.2 (overall: 199005.4) avg_msec=0.235 (overall: 0.232)
                                                                      
SET: rps=200752.0 (overall: 199038.9) avg_msec=0.232 (overall: 0.232)
                                                                      
SET: rps=203844.0 (overall: 199129.4) avg_msec=0.230 (overall: 0.232)
                                                                      
SET: rps=204372.0 (overall: 199226.3) avg_msec=0.226 (overall: 0.232)
                                                                      
SET: rps=200184.0 (overall: 199243.7) avg_msec=0.235 (overall: 0.232)
                                                                      
SET: rps=196286.9 (overall: 199190.8) avg_msec=0.240 (overall: 0.232)
                                                                      
SET: rps=201524.0 (overall: 199231.6) avg_msec=0.239 (overall: 0.232)
                                                                      
SET: rps=170472.0 (overall: 198736.7) avg_msec=0.283 (overall: 0.233)
                                                                      
SET: rps=150704.0 (overall: 197924.2) avg_msec=0.311 (overall: 0.234)
                                                                      
SET: rps=151765.0 (overall: 197153.4) avg_msec=0.313 (overall: 0.235)
                                                                      
SET: rps=153792.0 (overall: 196443.9) avg_msec=0.310 (overall: 0.236)
                                                                      
SET: rps=152368.0 (overall: 195734.4) avg_msec=0.314 (overall: 0.237)
                                                                      
SET: rps=152358.6 (overall: 195044.5) avg_msec=0.311 (overall: 0.238)
                                                                      
SET: rps=185712.0 (overall: 194898.9) avg_msec=0.234 (overall: 0.238)
                                                                      
SET: rps=205540.0 (overall: 195062.3) avg_msec=0.211 (overall: 0.237)
                                                                      
SET: rps=204091.6 (overall: 195199.4) avg_msec=0.221 (overall: 0.237)
                                                                      
SET: rps=207132.0 (overall: 195377.2) avg_msec=0.217 (overall: 0.237)
                                                                      
SET: rps=202549.8 (overall: 195482.9) avg_msec=0.221 (overall: 0.236)
                                                                      
SET: rps=206988.0 (overall: 195649.3) avg_msec=0.210 (overall: 0.236)
                                                                      
SET: rps=209920.0 (overall: 195852.8) avg_msec=0.214 (overall: 0.236)
                                                                      
SET: rps=208645.4 (overall: 196033.3) avg_msec=0.212 (overall: 0.235)
                                                                      
SET: rps=205360.0 (overall: 196162.6) avg_msec=0.214 (overall: 0.235)
                                                                      
SET: rps=207832.0 (overall: 196322.2) avg_msec=0.215 (overall: 0.235)
                                                                      
SET: rps=209378.5 (overall: 196499.0) avg_msec=0.215 (overall: 0.234)
                                                                      
SET: rps=210212.0 (overall: 196681.5) avg_msec=0.215 (overall: 0.234)
                                                                      
SET: rps=203228.0 (overall: 196767.5) avg_msec=0.218 (overall: 0.234)
                                                                      
SET: rps=209422.3 (overall: 196932.2) avg_msec=0.213 (overall: 0.234)
                                                                      
SET: rps=208504.0 (overall: 197080.3) avg_msec=0.216 (overall: 0.233)
                                                                      
SET: rps=207486.1 (overall: 197212.2) avg_msec=0.215 (overall: 0.233)
                                                                      
SET: rps=208260.9 (overall: 197351.7) avg_msec=0.208 (overall: 0.233)
                                                                      
SET: rps=198132.0 (overall: 197361.3) avg_msec=0.216 (overall: 0.233)
                                                                      
SET: rps=204940.2 (overall: 197454.0) avg_msec=0.203 (overall: 0.232)
                                                                      
SET: rps=202020.0 (overall: 197508.9) avg_msec=0.223 (overall: 0.232)
                                                                      
SET: rps=207680.0 (overall: 197629.7) avg_msec=0.217 (overall: 0.232)
                                                                      
SET: rps=207292.0 (overall: 197743.2) avg_msec=0.211 (overall: 0.232)
                                                                      
SET: rps=207697.2 (overall: 197859.2) avg_msec=0.217 (overall: 0.231)
                                                                      
SET: rps=199328.1 (overall: 197876.2) avg_msec=0.220 (overall: 0.231)
                                                                      
SET: rps=202629.5 (overall: 197930.3) avg_msec=0.222 (overall: 0.231)
                                                                      
SET: rps=207087.7 (overall: 198033.4) avg_msec=0.217 (overall: 0.231)
                                                                      
SET: rps=209520.0 (overall: 198160.8) avg_msec=0.212 (overall: 0.231)
                                                                      
SET: rps=209414.4 (overall: 198284.7) avg_msec=0.213 (overall: 0.231)
                                                                      
SET: rps=209196.0 (overall: 198403.0) avg_msec=0.215 (overall: 0.230)
                                                                      
SET: rps=204288.0 (overall: 198466.2) avg_msec=0.217 (overall: 0.230)
                                                                      
SET: rps=209480.0 (overall: 198583.1) avg_msec=0.196 (overall: 0.230)
                                                                      
SET: rps=207661.4 (overall: 198678.9) avg_msec=0.212 (overall: 0.230)
                                                                      
SET: rps=200604.0 (overall: 198698.9) avg_msec=0.218 (overall: 0.230)
                                                                      
SET: rps=203988.0 (overall: 198753.3) avg_msec=0.220 (overall: 0.229)
                                                                      
SET: rps=195852.6 (overall: 198723.6) avg_msec=0.225 (overall: 0.229)
                                                                      
SET: rps=202172.0 (overall: 198758.4) avg_msec=0.233 (overall: 0.229)
                                                                      
SET: rps=202152.0 (overall: 198792.3) avg_msec=0.227 (overall: 0.229)
                                                                      
SET: rps=202175.3 (overall: 198825.8) avg_msec=0.224 (overall: 0.229)
                                                                      
SET: rps=200980.0 (overall: 198846.9) avg_msec=0.226 (overall: 0.229)
                                                                      
SET: rps=200135.5 (overall: 198859.4) avg_msec=0.236 (overall: 0.229)
                                                                      
SET: rps=193496.0 (overall: 198808.0) avg_msec=0.235 (overall: 0.229)
                                                                      
SET: rps=203276.0 (overall: 198850.4) avg_msec=0.231 (overall: 0.229)
                                                                      
SET: rps=204318.7 (overall: 198902.1) avg_msec=0.229 (overall: 0.229)
                                                                      
SET: rps=202668.0 (overall: 198937.2) avg_msec=0.229 (overall: 0.229)
                                                                      
SET: rps=198052.0 (overall: 198929.1) avg_msec=0.236 (overall: 0.230)
                                                                      
SET: rps=201788.0 (overall: 198955.2) avg_msec=0.238 (overall: 0.230)
                                                                      
SET: rps=201653.4 (overall: 198979.8) avg_msec=0.236 (overall: 0.230)
                                                                      
SET: rps=202400.0 (overall: 199010.6) avg_msec=0.238 (overall: 0.230)
                                                                      
SET: rps=199152.0 (overall: 199011.8) avg_msec=0.242 (overall: 0.230)
                                                                      
SET: rps=201328.0 (overall: 199032.3) avg_msec=0.238 (overall: 0.230)
                                                                      
SET: rps=201912.4 (overall: 199057.6) avg_msec=0.237 (overall: 0.230)
                                                                      
SET: rps=203344.0 (overall: 199094.8) avg_msec=0.236 (overall: 0.230)
                                                                      
SET: rps=194616.0 (overall: 199056.3) avg_msec=0.239 (overall: 0.230)
                                                                      
SET: rps=162996.0 (overall: 198748.6) avg_msec=0.284 (overall: 0.231)
                                                                      
SET: rps=191796.8 (overall: 198689.6) avg_msec=0.238 (overall: 0.231)
                                                                      
SET: rps=201404.0 (overall: 198712.4) avg_msec=0.223 (overall: 0.231)
                                                                      
