===== Redis 100M Benchmark =====
Instance Type: m8g.xlarge
Run: 1
Date: 2026-01-21T05:45:19+00:00

--- System Info ---
CPU: 4 cores
Memory: 15.3G

--- Starting Redis Server ---
Redis server started

--- Warmup ---
Warmup complete (1M requests)

--- Test 1: SET 100M requests (50 clients, 3 threads) ---
Start: 2026-01-21T06:02:25+00:00
 
SET: rps=0.0 (overall: inf) avg_msec=0.082 (overall: 0.133)
                                                            
SET: rps=238872.0 (overall: 238976.0) avg_msec=0.190 (overall: 0.190)
                                                                      
SET: rps=239972.0 (overall: 239474.0) avg_msec=0.192 (overall: 0.191)
                                                                      
SET: rps=240632.0 (overall: 239860.0) avg_msec=0.192 (overall: 0.191)
                                                                      
SET: rps=239378.5 (overall: 239739.2) avg_msec=0.191 (overall: 0.191)
                                                                      
SET: rps=239916.0 (overall: 239774.6) avg_msec=0.191 (overall: 0.191)
                                                                      
SET: rps=241172.0 (overall: 240007.3) avg_msec=0.192 (overall: 0.191)
                                                                      
SET: rps=240320.0 (overall: 240052.0) avg_msec=0.180 (overall: 0.190)
                                                                      
SET: rps=238956.2 (overall: 239914.6) avg_msec=0.192 (overall: 0.190)
                                                                      
SET: rps=238424.0 (overall: 239749.1) avg_msec=0.187 (overall: 0.190)
                                                                      
SET: rps=239860.0 (overall: 239760.2) avg_msec=0.188 (overall: 0.190)
                                                                      
SET: rps=240136.0 (overall: 239794.3) avg_msec=0.188 (overall: 0.189)
                                                                      
SET: rps=241188.0 (overall: 239910.4) avg_msec=0.192 (overall: 0.190)
                                                                      
SET: rps=240728.0 (overall: 239973.2) avg_msec=0.191 (overall: 0.190)
                                                                      
SET: rps=240920.0 (overall: 240040.8) avg_msec=0.192 (overall: 0.190)
                                                                      
SET: rps=239203.2 (overall: 239984.8) avg_msec=0.191 (overall: 0.190)
                                                                      
SET: rps=240560.0 (overall: 240020.8) avg_msec=0.192 (overall: 0.190)
                                                                      
SET: rps=240696.0 (overall: 240060.4) avg_msec=0.192 (overall: 0.190)
                                                                      
SET: rps=240716.0 (overall: 240096.8) avg_msec=0.192 (overall: 0.190)
                                                                      
SET: rps=240784.0 (overall: 240133.0) avg_msec=0.192 (overall: 0.190)
                                                                      
SET: rps=240852.0 (overall: 240168.9) avg_msec=0.191 (overall: 0.190)
                                                                      
SET: rps=238506.0 (overall: 240089.5) avg_msec=0.192 (overall: 0.190)
                                                                      
SET: rps=237816.0 (overall: 239986.2) avg_msec=0.184 (overall: 0.190)
                                                                      
SET: rps=242528.0 (overall: 240096.6) avg_msec=0.190 (overall: 0.190)
                                                                      
SET: rps=242652.0 (overall: 240203.0) avg_msec=0.190 (overall: 0.190)
                                                                      
SET: rps=243060.0 (overall: 240317.2) avg_msec=0.190 (overall: 0.190)
                                                                      
SET: rps=242764.0 (overall: 240411.3) avg_msec=0.190 (overall: 0.190)
                                                                      
SET: rps=242536.0 (overall: 240489.9) avg_msec=0.190 (overall: 0.190)
                                                                      
SET: rps=241131.5 (overall: 240512.9) avg_msec=0.189 (overall: 0.190)
                                                                      
SET: rps=242760.0 (overall: 240590.3) avg_msec=0.190 (overall: 0.190)
                                                                      
SET: rps=242684.0 (overall: 240660.1) avg_msec=0.190 (overall: 0.190)
                                                                      
