===== Redis 100M Benchmark =====
Instance Type: m8i-flex.xlarge
Run: 5
Date: 2026-07-01T09:07:38+00:00

--- System Info ---
CPU: 4 cores
Memory: 15.3G
model name	: Intel(R) Xeon(R) 6975P-C

--- Starting Redis Server ---
Redis server started

--- Warmup ---
Warmup complete (100K SET requests)

--- Test 1: SET 100M requests (50 clients, 3 threads) ---
Start: 2026-07-01T09:07:41+00:00
 
SET: rps=0.0 (overall: inf) avg_msec=0.328 (overall: 0.031)
                                                            
SET: rps=206555.5 (overall: 206559.5) avg_msec=0.221 (overall: 0.221)
                                                                      
SET: rps=232496.0 (overall: 219476.1) avg_msec=0.191 (overall: 0.205)
                                                                      
SET: rps=238156.0 (overall: 225686.2) avg_msec=0.187 (overall: 0.199)
                                                                      
SET: rps=232912.4 (overall: 227494.5) avg_msec=0.195 (overall: 0.198)
                                                                      
SET: rps=237904.0 (overall: 229571.4) avg_msec=0.189 (overall: 0.196)
                                                                      
SET: rps=241260.0 (overall: 231515.6) avg_msec=0.186 (overall: 0.194)
                                                                      
SET: rps=240040.0 (overall: 232731.3) avg_msec=0.185 (overall: 0.193)
                                                                      
SET: rps=241721.1 (overall: 233857.3) avg_msec=0.185 (overall: 0.192)
                                                                      
SET: rps=238504.0 (overall: 234372.7) avg_msec=0.183 (overall: 0.191)
                                                                      
SET: rps=239948.0 (overall: 234929.3) avg_msec=0.189 (overall: 0.191)
                                                                      
SET: rps=243400.0 (overall: 235698.3) avg_msec=0.180 (overall: 0.190)
                                                                      
SET: rps=240476.0 (overall: 236095.9) avg_msec=0.184 (overall: 0.189)
                                                                      
SET: rps=244175.3 (overall: 236718.9) avg_msec=0.178 (overall: 0.188)
                                                                      
SET: rps=246860.0 (overall: 237442.2) avg_msec=0.182 (overall: 0.188)
                                                                      
SET: rps=245100.0 (overall: 237952.1) avg_msec=0.180 (overall: 0.187)
                                                                      
SET: rps=234196.0 (overall: 237717.6) avg_msec=0.187 (overall: 0.187)
                                                                      
SET: rps=238410.4 (overall: 237758.5) avg_msec=0.186 (overall: 0.187)
                                                                      
SET: rps=244928.0 (overall: 238156.2) avg_msec=0.183 (overall: 0.187)
                                                                      
SET: rps=245324.0 (overall: 238533.0) avg_msec=0.179 (overall: 0.186)
                                                                      
SET: rps=244597.6 (overall: 238837.0) avg_msec=0.180 (overall: 0.186)
                                                                      
SET: rps=244336.0 (overall: 239098.5) avg_msec=0.182 (overall: 0.186)
                                                                      
SET: rps=238004.0 (overall: 239048.8) avg_msec=0.189 (overall: 0.186)
                                                                      
SET: rps=235768.0 (overall: 238906.4) avg_msec=0.189 (overall: 0.186)
                                                                      
SET: rps=240741.0 (overall: 238983.0) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=242248.0 (overall: 239113.5) avg_msec=0.186 (overall: 0.186)
                                                                      
SET: rps=238424.0 (overall: 239087.0) avg_msec=0.192 (overall: 0.186)
                                                                      
SET: rps=242244.0 (overall: 239203.8) avg_msec=0.184 (overall: 0.186)
                                                                      
SET: rps=242288.0 (overall: 239313.8) avg_msec=0.183 (overall: 0.186)
                                                                      
SET: rps=238860.6 (overall: 239298.1) avg_msec=0.186 (overall: 0.186)
                                                                      
SET: rps=244236.0 (overall: 239462.5) avg_msec=0.180 (overall: 0.186)
                                                                      
SET: rps=238212.0 (overall: 239422.2) avg_msec=0.188 (overall: 0.186)
                                                                      
SET: rps=241204.0 (overall: 239477.8) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=243215.2 (overall: 239591.4) avg_msec=0.184 (overall: 0.186)
                                                                      
SET: rps=232808.0 (overall: 239392.1) avg_msec=0.193 (overall: 0.186)
                                                                      
