===== Redis Benchmark =====
Instance Type: m8i.xlarge
Redis Host: redis-server-m8i-xlarge

--- Redis Server Info ---
# Server
redis_version:7.4.7
redis_git_sha1:00000000
redis_git_dirty:0
redis_build_id:31a84af2bcf7caf1
redis_mode:standalone
os:Linux 6.12.63-84.121.amzn2023.x86_64 x86_64
arch_bits:64
monotonic_clock:POSIX clock_gettime
multiplexing_api:epoll
atomicvar_api:c11-builtin
gcc_version:14.2.0
process_id:1
process_supervised:no
run_id:c47a83bfcd393442e55a43b080203e0a5d846997
tcp_port:6379
server_time_usec:1768546099901982
uptime_in_seconds:2250
uptime_in_days:0
hz:10

--- Standard Benchmark (50 clients, 100000 requests) ---
 
PING_INLINE: rps=0.0 (overall: 0.0) avg_msec=-nan (overall: -nan)
                                                                  
PING_INLINE: rps=43512.0 (overall: 43338.6) avg_msec=1.141 (overall: 1.141)
                                                                            
PING_INLINE: rps=43608.0 (overall: 43473.1) avg_msec=1.141 (overall: 1.141)
                                                                            
PING_INLINE: rps=43540.0 (overall: 43495.3) avg_msec=1.142 (overall: 1.141)
                                                                            
PING_INLINE: rps=42872.5 (overall: 43339.3) avg_msec=1.156 (overall: 1.145)
                                                                            
PING_INLINE: rps=43096.0 (overall: 43290.7) avg_msec=1.152 (overall: 1.146)
                                                                            
PING_INLINE: rps=42956.0 (overall: 43235.0) avg_msec=1.157 (overall: 1.148)
                                                                            
PING_INLINE: rps=42516.0 (overall: 43132.4) avg_msec=1.171 (overall: 1.151)
                                                                            
PING_INLINE: rps=41944.0 (overall: 42984.0) avg_msec=1.183 (overall: 1.155)
                                                                            
PING_INLINE: rps=42112.0 (overall: 42887.2) avg_msec=1.179 (overall: 1.158)
                                                                            
PING_INLINE: 42826.55 requests per second, p50=1.151 msec
 
PING_MBULK: rps=18625.5 (overall: 42117.1) avg_msec=1.172 (overall: 1.172)
                                                                           
PING_MBULK: rps=42168.0 (overall: 42152.4) avg_msec=1.178 (overall: 1.176)
                                                                           
PING_MBULK: rps=41749.0 (overall: 41986.9) avg_msec=1.184 (overall: 1.179)
                                                                           
PING_MBULK: rps=42192.0 (overall: 42046.4) avg_msec=1.177 (overall: 1.179)
                                                                           
PING_MBULK: rps=41956.0 (overall: 42026.1) avg_msec=1.183 (overall: 1.180)
                                                                           
PING_MBULK: rps=41896.0 (overall: 42002.2) avg_msec=1.186 (overall: 1.181)
                                                                           
PING_MBULK: rps=42068.0 (overall: 42012.4) avg_msec=1.181 (overall: 1.181)
                                                                           
PING_MBULK: rps=41235.1 (overall: 41907.7) avg_msec=1.199 (overall: 1.183)
                                                                           
PING_MBULK: rps=42328.0 (overall: 41957.4) avg_msec=1.176 (overall: 1.182)
                                                                           
PING_MBULK: rps=42600.0 (overall: 42025.4) avg_msec=1.167 (overall: 1.181)
                                                                           
PING_MBULK: 42016.80 requests per second, p50=1.175 msec
 
SET: rps=30617.5 (overall: 41766.3) avg_msec=1.179 (overall: 1.179)
                                                                    
SET: rps=42008.0 (overall: 41905.5) avg_msec=1.181 (overall: 1.180)
                                                                    
SET: rps=41716.0 (overall: 41836.3) avg_msec=1.191 (overall: 1.184)
                                                                    
SET: rps=42144.0 (overall: 41918.6) avg_msec=1.179 (overall: 1.183)
                                                                    
SET: rps=42340.0 (overall: 42007.6) avg_msec=1.174 (overall: 1.181)
                                                                    
SET: rps=41924.3 (overall: 41993.0) avg_msec=1.180 (overall: 1.181)
                                                                    
SET: rps=41740.0 (overall: 41955.5) avg_msec=1.189 (overall: 1.182)
                                                                    
SET: rps=41836.0 (overall: 41940.1) avg_msec=1.186 (overall: 1.182)
                                                                    
SET: rps=42084.0 (overall: 41956.5) avg_msec=1.180 (overall: 1.182)
                                                                    
SET: 41946.31 requests per second, p50=1.167 msec
 
GET: rps=31.9 (overall: 4000.0) avg_msec=1.222 (overall: 1.222)
                                                                
GET: rps=42320.0 (overall: 42015.9) avg_msec=1.177 (overall: 1.177)
                                                                    
GET: rps=42844.0 (overall: 42428.3) avg_msec=1.160 (overall: 1.168)
                                                                    
GET: rps=42764.0 (overall: 42539.9) avg_msec=1.161 (overall: 1.166)
                                                                    
GET: rps=42592.0 (overall: 42552.9) avg_msec=1.167 (overall: 1.166)
                                                                    
GET: rps=42637.5 (overall: 42569.8) avg_msec=1.160 (overall: 1.165)
                                                                    
GET: rps=42756.0 (overall: 42600.8) avg_msec=1.162 (overall: 1.164)
                                                                    
GET: rps=42752.0 (overall: 42622.4) avg_msec=1.163 (overall: 1.164)
                                                                    
GET: rps=42172.0 (overall: 42566.1) avg_msec=1.178 (overall: 1.166)
                                                                    
GET: rps=41888.0 (overall: 42490.9) avg_msec=1.184 (overall: 1.168)
                                                                    
GET: 42498.94 requests per second, p50=1.151 msec
 
INCR: rps=16334.7 (overall: 42708.3) avg_msec=1.150 (overall: 1.150)
                                                                     
INCR: rps=43140.0 (overall: 43020.2) avg_msec=1.153 (overall: 1.152)
                                                                     
INCR: rps=43184.0 (overall: 43088.9) avg_msec=1.150 (overall: 1.151)
                                                                     
INCR: rps=43248.0 (overall: 43135.9) avg_msec=1.150 (overall: 1.151)
                                                                     
INCR: rps=42529.9 (overall: 42997.3) avg_msec=1.163 (overall: 1.154)
                                                                     
INCR: rps=42424.0 (overall: 42890.9) avg_msec=1.171 (overall: 1.157)
                                                                     
INCR: rps=41452.0 (overall: 42665.6) avg_msec=1.197 (overall: 1.163)
                                                                     
INCR: rps=42368.0 (overall: 42625.3) avg_msec=1.172 (overall: 1.164)
                                                                     
INCR: rps=42136.0 (overall: 42567.0) avg_msec=1.179 (overall: 1.166)
                                                                     
INCR: rps=41669.3 (overall: 42471.0) avg_msec=1.180 (overall: 1.168)
                                                                     
INCR: 42462.84 requests per second, p50=1.159 msec
 
LPUSH: rps=31176.0 (overall: 41679.1) avg_msec=1.185 (overall: 1.185)
                                                                      
LPUSH: rps=42028.0 (overall: 41878.7) avg_msec=1.184 (overall: 1.185)
                                                                      
LPUSH: rps=42168.0 (overall: 41984.0) avg_msec=1.179 (overall: 1.182)
                                                                      
LPUSH: rps=41577.7 (overall: 41875.3) avg_msec=1.191 (overall: 1.185)
                                                                      
LPUSH: rps=41540.0 (overall: 41804.7) avg_msec=1.197 (overall: 1.187)
                                                                      
LPUSH: rps=41628.0 (overall: 41774.0) avg_msec=1.193 (overall: 1.188)
                                                                      
LPUSH: rps=41900.0 (overall: 41792.7) avg_msec=1.186 (overall: 1.188)
                                                                      
LPUSH: rps=41668.0 (overall: 41776.6) avg_msec=1.192 (overall: 1.188)
                                                                      
LPUSH: rps=41306.8 (overall: 41722.7) avg_msec=1.199 (overall: 1.190)
                                                                      
LPUSH: 41736.23 requests per second, p50=1.183 msec
 
RPUSH: rps=0.0 (overall: -nan) avg_msec=-nan (overall: -nan)
                                                             
RPUSH: rps=42207.2 (overall: 42207.2) avg_msec=1.169 (overall: 1.169)
                                                                      
RPUSH: rps=42260.0 (overall: 42233.5) avg_msec=1.173 (overall: 1.171)
                                                                      
RPUSH: rps=42344.0 (overall: 42270.3) avg_msec=1.171 (overall: 1.171)
                                                                      
RPUSH: rps=42252.0 (overall: 42265.7) avg_msec=1.170 (overall: 1.171)
                                                                      
RPUSH: rps=42175.3 (overall: 42247.6) avg_msec=1.169 (overall: 1.170)
                                                                      
RPUSH: rps=42256.0 (overall: 42249.0) avg_msec=1.173 (overall: 1.171)
                                                                      
RPUSH: rps=42464.0 (overall: 42279.7) avg_msec=1.170 (overall: 1.171)
                                                                      
RPUSH: rps=42252.0 (overall: 42276.2) avg_msec=1.173 (overall: 1.171)
                                                                      
RPUSH: rps=42068.0 (overall: 42253.1) avg_msec=1.180 (overall: 1.172)
                                                                      
RPUSH: 42158.52 requests per second, p50=1.167 msec
 
LPOP: rps=12936.3 (overall: 42168.8) avg_msec=1.154 (overall: 1.154)
                                                                     
LPOP: rps=41940.0 (overall: 41993.9) avg_msec=1.185 (overall: 1.178)
                                                                     
LPOP: rps=41688.0 (overall: 41861.4) avg_msec=1.191 (overall: 1.184)
                                                                     
LPOP: rps=41912.0 (overall: 41876.7) avg_msec=1.186 (overall: 1.184)
                                                                     
LPOP: rps=41732.0 (overall: 41843.1) avg_msec=1.191 (overall: 1.186)
                                                                     
LPOP: rps=42326.7 (overall: 41934.5) avg_msec=1.170 (overall: 1.183)
                                                                     
LPOP: rps=42780.0 (overall: 42068.4) avg_msec=1.164 (overall: 1.180)
                                                                     
LPOP: rps=42000.0 (overall: 42059.1) avg_msec=1.183 (overall: 1.180)
                                                                     
LPOP: rps=42112.0 (overall: 42065.4) avg_msec=1.181 (overall: 1.180)
                                                                     
LPOP: rps=41932.0 (overall: 42051.1) avg_msec=1.185 (overall: 1.181)
                                                                     
LPOP: 42052.14 requests per second, p50=1.175 msec
 
RPOP: rps=25486.1 (overall: 41810.5) avg_msec=1.175 (overall: 1.175)
                                                                     
RPOP: rps=42012.0 (overall: 41935.5) avg_msec=1.183 (overall: 1.180)
                                                                     
RPOP: rps=42224.0 (overall: 42045.9) avg_msec=1.177 (overall: 1.179)
                                                                     
RPOP: rps=41616.0 (overall: 41926.9) avg_msec=1.190 (overall: 1.182)
                                                                     
RPOP: rps=41492.0 (overall: 41832.6) avg_msec=1.195 (overall: 1.185)
                                                                     
RPOP: rps=41820.7 (overall: 41830.5) avg_msec=1.183 (overall: 1.184)
                                                                     
RPOP: rps=41920.0 (overall: 41844.0) avg_msec=1.185 (overall: 1.184)
                                                                     
RPOP: rps=41992.0 (overall: 41863.4) avg_msec=1.182 (overall: 1.184)
                                                                     
RPOP: rps=41588.0 (overall: 41831.5) avg_msec=1.194 (overall: 1.185)
                                                                     
RPOP: 41858.52 requests per second, p50=1.175 msec
 
SADD: rps=0.0 (overall: -nan) avg_msec=-nan (overall: -nan)
                                                            
SADD: rps=42780.9 (overall: 42780.9) avg_msec=1.156 (overall: 1.156)
                                                                     
SADD: rps=42000.0 (overall: 42391.2) avg_msec=1.183 (overall: 1.169)
                                                                     
SADD: rps=42140.0 (overall: 42307.6) avg_msec=1.179 (overall: 1.173)
                                                                     
SADD: rps=42000.0 (overall: 42230.8) avg_msec=1.183 (overall: 1.175)
                                                                     
SADD: rps=41757.0 (overall: 42135.8) avg_msec=1.184 (overall: 1.177)
                                                                     
SADD: rps=41932.0 (overall: 42101.9) avg_msec=1.183 (overall: 1.178)
                                                                     
SADD: rps=42208.0 (overall: 42117.0) avg_msec=1.176 (overall: 1.178)
                                                                     
SADD: rps=41972.0 (overall: 42098.9) avg_msec=1.184 (overall: 1.178)
                                                                     
SADD: rps=42652.0 (overall: 42160.3) avg_msec=1.165 (overall: 1.177)
                                                                     
SADD: 42158.52 requests per second, p50=1.167 msec
 
HSET: rps=12776.9 (overall: 41649.4) avg_msec=1.175 (overall: 1.175)
                                                                     
HSET: rps=42272.0 (overall: 42125.4) avg_msec=1.177 (overall: 1.177)
                                                                     
HSET: rps=42252.0 (overall: 42180.2) avg_msec=1.175 (overall: 1.176)
                                                                     
HSET: rps=42456.0 (overall: 42263.6) avg_msec=1.171 (overall: 1.175)
                                                                     
HSET: rps=41928.0 (overall: 42185.7) avg_msec=1.185 (overall: 1.177)
                                                                     
HSET: rps=41533.9 (overall: 42062.5) avg_msec=1.192 (overall: 1.180)
                                                                     
HSET: rps=41648.0 (overall: 41996.8) avg_msec=1.193 (overall: 1.182)
                                                                     
HSET: rps=41768.0 (overall: 41965.5) avg_msec=1.191 (overall: 1.183)
                                                                     
HSET: rps=41792.0 (overall: 41944.7) avg_msec=1.189 (overall: 1.184)
                                                                     
HSET: rps=41996.0 (overall: 41950.2) avg_msec=1.183 (overall: 1.184)
                                                                     
HSET: 41928.72 requests per second, p50=1.175 msec
 
SPOP: rps=22490.0 (overall: 40321.4) avg_msec=1.217 (overall: 1.217)
                                                                     
SPOP: rps=41884.0 (overall: 41323.1) avg_msec=1.186 (overall: 1.197)
                                                                     
SPOP: rps=41928.0 (overall: 41559.4) avg_msec=1.184 (overall: 1.192)
                                                                     
SPOP: rps=42612.0 (overall: 41855.1) avg_msec=1.168 (overall: 1.185)
                                                                     
SPOP: rps=41396.0 (overall: 41754.4) avg_msec=1.201 (overall: 1.188)
                                                                     
SPOP: rps=41490.0 (overall: 41706.7) avg_msec=1.192 (overall: 1.189)
                                                                     
SPOP: rps=42136.0 (overall: 41772.1) avg_msec=1.181 (overall: 1.188)
                                                                     
SPOP: rps=41780.0 (overall: 41773.1) avg_msec=1.190 (overall: 1.188)
                                                                     
SPOP: rps=42092.0 (overall: 41810.4) avg_msec=1.180 (overall: 1.187)
                                                                     
SPOP: 41841.00 requests per second, p50=1.183 msec
 
ZADD: rps=0.0 (overall: 0.0) avg_msec=-nan (overall: -nan)
                                                           
ZADD: rps=42348.0 (overall: 42179.3) avg_msec=1.172 (overall: 1.172)
                                                                     
ZADD: rps=42424.0 (overall: 42301.4) avg_msec=1.172 (overall: 1.172)
                                                                     
ZADD: rps=41912.0 (overall: 42171.8) avg_msec=1.183 (overall: 1.176)
                                                                     
ZADD: rps=42080.0 (overall: 42148.8) avg_msec=1.179 (overall: 1.177)
                                                                     
ZADD: rps=42136.0 (overall: 42146.3) avg_msec=1.179 (overall: 1.177)
                                                                     
ZADD: rps=42159.4 (overall: 42148.5) avg_msec=1.174 (overall: 1.177)
                                                                     
ZADD: rps=42116.0 (overall: 42143.8) avg_msec=1.180 (overall: 1.177)
                                                                     
ZADD: rps=41728.0 (overall: 42091.9) avg_msec=1.189 (overall: 1.179)
                                                                     
ZADD: rps=42224.0 (overall: 42106.6) avg_msec=1.177 (overall: 1.178)
                                                                     
ZADD: 42087.54 requests per second, p50=1.175 msec
 
ZPOPMIN: rps=12188.0 (overall: 42319.4) avg_msec=1.163 (overall: 1.163)
                                                                        
ZPOPMIN: rps=42004.0 (overall: 42074.3) avg_msec=1.178 (overall: 1.174)
                                                                        
ZPOPMIN: rps=42268.0 (overall: 42158.8) avg_msec=1.176 (overall: 1.175)
                                                                        
ZPOPMIN: rps=42228.0 (overall: 42179.8) avg_msec=1.176 (overall: 1.175)
                                                                        
ZPOPMIN: rps=41940.0 (overall: 42124.0) avg_msec=1.182 (overall: 1.177)
                                                                        
ZPOPMIN: rps=42100.0 (overall: 42119.4) avg_msec=1.181 (overall: 1.178)
                                                                        
ZPOPMIN: rps=41800.8 (overall: 42068.6) avg_msec=1.182 (overall: 1.178)
                                                                        
ZPOPMIN: rps=41844.0 (overall: 42037.8) avg_msec=1.186 (overall: 1.179)
                                                                        
ZPOPMIN: rps=41960.0 (overall: 42028.4) avg_msec=1.184 (overall: 1.180)
                                                                        
ZPOPMIN: rps=41748.0 (overall: 41998.3) avg_msec=1.189 (overall: 1.181)
                                                                        
ZPOPMIN: 41999.16 requests per second, p50=1.175 msec
 
LPUSH (needed to benchmark LRANGE): rps=23079.7 (overall: 41978.3) avg_msec=1.173 (overall: 1.173)
                                                                                                   
LPUSH (needed to benchmark LRANGE): rps=41772.0 (overall: 41845.4) avg_msec=1.190 (overall: 1.184)
                                                                                                   
LPUSH (needed to benchmark LRANGE): rps=41812.0 (overall: 41832.3) avg_msec=1.188 (overall: 1.186)
                                                                                                   
LPUSH (needed to benchmark LRANGE): rps=41584.0 (overall: 41762.4) avg_msec=1.193 (overall: 1.188)
                                                                                                   
LPUSH (needed to benchmark LRANGE): rps=41980.0 (overall: 41810.2) avg_msec=1.184 (overall: 1.187)
                                                                                                   
LPUSH (needed to benchmark LRANGE): rps=41629.5 (overall: 41777.5) avg_msec=1.189 (overall: 1.187)
                                                                                                   
LPUSH (needed to benchmark LRANGE): rps=41532.0 (overall: 41740.1) avg_msec=1.195 (overall: 1.189)
                                                                                                   
LPUSH (needed to benchmark LRANGE): rps=41624.0 (overall: 41724.7) avg_msec=1.194 (overall: 1.189)
                                                                                                   
LPUSH (needed to benchmark LRANGE): rps=41044.0 (overall: 41645.2) avg_msec=1.209 (overall: 1.192)
                                                                                                   
LPUSH (needed to benchmark LRANGE): rps=41672.0 (overall: 41648.0) avg_msec=1.192 (overall: 1.192)
                                                                                                   
LPUSH (needed to benchmark LRANGE): 41649.31 requests per second, p50=1.183 msec
 
LRANGE_100 (first 100 elements): rps=26637.5 (overall: 35563.8) avg_msec=1.301 (overall: 1.301)
                                                                                                
LRANGE_100 (first 100 elements): rps=35600.0 (overall: 35584.5) avg_msec=1.305 (overall: 1.303)
                                                                                                
LRANGE_100 (first 100 elements): rps=36532.0 (overall: 35928.8) avg_msec=1.280 (overall: 1.294)
                                                                                                
LRANGE_100 (first 100 elements): rps=34984.0 (overall: 35677.0) avg_msec=1.319 (overall: 1.301)
                                                                                                
LRANGE_100 (first 100 elements): rps=34888.4 (overall: 35510.5) avg_msec=1.333 (overall: 1.308)
                                                                                                
LRANGE_100 (first 100 elements): rps=34980.0 (overall: 35418.3) avg_msec=1.327 (overall: 1.311)
                                                                                                
LRANGE_100 (first 100 elements): rps=36196.0 (overall: 35533.5) avg_msec=1.304 (overall: 1.310)
                                                                                                
LRANGE_100 (first 100 elements): rps=35728.0 (overall: 35558.5) avg_msec=1.307 (overall: 1.309)
                                                                                                
LRANGE_100 (first 100 elements): rps=36552.0 (overall: 35672.0) avg_msec=1.282 (overall: 1.306)
                                                                                                
LRANGE_100 (first 100 elements): rps=35840.0 (overall: 35689.2) avg_msec=1.304 (overall: 1.306)
                                                                                                
LRANGE_100 (first 100 elements): rps=36374.5 (overall: 35753.2) avg_msec=1.283 (overall: 1.304)
                                                                                                
LRANGE_100 (first 100 elements): 35663.34 requests per second, p50=1.279 msec
 
LRANGE_300 (first 300 elements): rps=5248.0 (overall: 15435.3) avg_msec=2.252 (overall: 2.252)
                                                                                               
LRANGE_300 (first 300 elements): rps=15824.0 (overall: 15725.4) avg_msec=2.220 (overall: 2.228)
                                                                                                
LRANGE_300 (first 300 elements): rps=15753.0 (overall: 15737.2) avg_msec=2.252 (overall: 2.238)
                                                                                                
LRANGE_300 (first 300 elements): rps=16000.0 (overall: 15815.8) avg_msec=2.187 (overall: 2.223)
                                                                                                
LRANGE_300 (first 300 elements): rps=15625.5 (overall: 15771.8) avg_msec=2.298 (overall: 2.240)
                                                                                                
LRANGE_300 (first 300 elements): rps=15613.5 (overall: 15742.2) avg_msec=2.300 (overall: 2.251)
                                                                                                
LRANGE_300 (first 300 elements): rps=15696.0 (overall: 15734.9) avg_msec=2.296 (overall: 2.258)
                                                                                                
LRANGE_300 (first 300 elements): rps=16067.7 (overall: 15780.3) avg_msec=2.183 (overall: 2.248)
                                                                                                
LRANGE_300 (first 300 elements): rps=16052.0 (overall: 15812.8) avg_msec=2.195 (overall: 2.241)
                                                                                                
LRANGE_300 (first 300 elements): rps=15760.0 (overall: 15807.2) avg_msec=2.245 (overall: 2.242)
                                                                                                
LRANGE_300 (first 300 elements): rps=16127.5 (overall: 15838.2) avg_msec=2.157 (overall: 2.233)
                                                                                                
LRANGE_300 (first 300 elements): rps=15848.6 (overall: 15839.1) avg_msec=2.242 (overall: 2.234)
                                                                                                
LRANGE_300 (first 300 elements): rps=16012.0 (overall: 15853.1) avg_msec=2.263 (overall: 2.237)
                                                                                                
LRANGE_300 (first 300 elements): rps=15996.0 (overall: 15863.9) avg_msec=2.237 (overall: 2.237)
                                                                                                
LRANGE_300 (first 300 elements): rps=15964.1 (overall: 15870.9) avg_msec=2.268 (overall: 2.239)
                                                                                                
LRANGE_300 (first 300 elements): rps=16096.0 (overall: 15885.5) avg_msec=2.244 (overall: 2.239)
                                                                                                
LRANGE_300 (first 300 elements): rps=15992.0 (overall: 15892.0) avg_msec=2.218 (overall: 2.238)
                                                                                                
LRANGE_300 (first 300 elements): rps=16048.0 (overall: 15901.0) avg_msec=2.195 (overall: 2.235)
                                                                                                
LRANGE_300 (first 300 elements): rps=16023.9 (overall: 15907.7) avg_msec=2.227 (overall: 2.235)
                                                                                                
LRANGE_300 (first 300 elements): rps=15668.0 (overall: 15895.4) avg_msec=2.264 (overall: 2.236)
                                                                                                
LRANGE_300 (first 300 elements): rps=15785.7 (overall: 15889.9) avg_msec=2.243 (overall: 2.237)
                                                                                                
LRANGE_300 (first 300 elements): rps=15416.0 (overall: 15867.8) avg_msec=2.313 (overall: 2.240)
                                                                                                
LRANGE_300 (first 300 elements): rps=15976.1 (overall: 15872.6) avg_msec=2.200 (overall: 2.238)
                                                                                                
LRANGE_300 (first 300 elements): rps=15884.5 (overall: 15873.1) avg_msec=2.211 (overall: 2.237)
                                                                                                
LRANGE_300 (first 300 elements): rps=15637.5 (overall: 15863.4) avg_msec=2.293 (overall: 2.239)
                                                                                                
LRANGE_300 (first 300 elements): 15862.94 requests per second, p50=2.143 msec
 
LRANGE_500 (first 500 elements): rps=0.0 (overall: 0.0) avg_msec=-nan (overall: -nan)
                                                                                      
LRANGE_500 (first 500 elements): rps=10372.0 (overall: 10330.7) avg_msec=3.091 (overall: 3.091)
                                                                                                
LRANGE_500 (first 500 elements): rps=10214.3 (overall: 10272.4) avg_msec=3.320 (overall: 3.205)
                                                                                                
LRANGE_500 (first 500 elements): rps=10300.0 (overall: 10281.5) avg_msec=3.242 (overall: 3.218)
                                                                                                
LRANGE_500 (first 500 elements): rps=10340.0 (overall: 10296.1) avg_msec=3.140 (overall: 3.198)
                                                                                                
LRANGE_500 (first 500 elements): rps=10230.2 (overall: 10282.9) avg_msec=3.229 (overall: 3.204)
                                                                                                
LRANGE_500 (first 500 elements): rps=10432.0 (overall: 10307.6) avg_msec=3.165 (overall: 3.198)
                                                                                                
LRANGE_500 (first 500 elements): rps=10464.0 (overall: 10329.9) avg_msec=3.058 (overall: 3.178)
                                                                                                
LRANGE_500 (first 500 elements): rps=10428.6 (overall: 10342.3) avg_msec=3.034 (overall: 3.159)
                                                                                                
LRANGE_500 (first 500 elements): rps=10348.0 (overall: 10342.9) avg_msec=3.271 (overall: 3.172)
                                                                                                
LRANGE_500 (first 500 elements): rps=10223.1 (overall: 10330.9) avg_msec=3.517 (overall: 3.206)
                                                                                                
LRANGE_500 (first 500 elements): rps=9824.7 (overall: 10284.9) avg_msec=3.561 (overall: 3.237)
                                                                                               
LRANGE_500 (first 500 elements): rps=10356.0 (overall: 10290.8) avg_msec=3.211 (overall: 3.235)
                                                                                                
LRANGE_500 (first 500 elements): rps=10386.5 (overall: 10298.2) avg_msec=3.077 (overall: 3.222)
                                                                                                
LRANGE_500 (first 500 elements): rps=10510.0 (overall: 10313.3) avg_msec=3.061 (overall: 3.211)
                                                                                                
LRANGE_500 (first 500 elements): rps=10366.5 (overall: 10316.9) avg_msec=3.246 (overall: 3.213)
                                                                                                
LRANGE_500 (first 500 elements): rps=10366.5 (overall: 10320.0) avg_msec=3.506 (overall: 3.231)
                                                                                                
LRANGE_500 (first 500 elements): rps=10434.3 (overall: 10326.7) avg_msec=3.201 (overall: 3.230)
                                                                                                
LRANGE_500 (first 500 elements): rps=10458.2 (overall: 10334.0) avg_msec=3.100 (overall: 3.222)
                                                                                                
LRANGE_500 (first 500 elements): rps=10498.0 (overall: 10342.6) avg_msec=3.082 (overall: 3.215)
                                                                                                
LRANGE_500 (first 500 elements): rps=10251.0 (overall: 10338.0) avg_msec=3.192 (overall: 3.214)
                                                                                                
LRANGE_500 (first 500 elements): rps=10440.0 (overall: 10342.9) avg_msec=3.188 (overall: 3.212)
                                                                                                
LRANGE_500 (first 500 elements): rps=10452.4 (overall: 10347.9) avg_msec=3.162 (overall: 3.210)
                                                                                                
LRANGE_500 (first 500 elements): rps=10406.4 (overall: 10350.4) avg_msec=3.122 (overall: 3.206)
                                                                                                
LRANGE_500 (first 500 elements): rps=10490.1 (overall: 10356.3) avg_msec=3.097 (overall: 3.202)
                                                                                                
LRANGE_500 (first 500 elements): rps=10432.0 (overall: 10359.3) avg_msec=3.147 (overall: 3.199)
                                                                                                
LRANGE_500 (first 500 elements): rps=10422.3 (overall: 10361.7) avg_msec=3.287 (overall: 3.203)
                                                                                                
LRANGE_500 (first 500 elements): rps=10310.8 (overall: 10359.9) avg_msec=3.220 (overall: 3.203)
                                                                                                
LRANGE_500 (first 500 elements): rps=10506.0 (overall: 10365.1) avg_msec=3.059 (overall: 3.198)
                                                                                                
LRANGE_500 (first 500 elements): rps=10490.0 (overall: 10369.4) avg_msec=3.047 (overall: 3.193)
                                                                                                
LRANGE_500 (first 500 elements): rps=10368.0 (overall: 10369.3) avg_msec=3.297 (overall: 3.196)
                                                                                                
LRANGE_500 (first 500 elements): rps=10486.1 (overall: 10373.1) avg_msec=3.068 (overall: 3.192)
                                                                                                
LRANGE_500 (first 500 elements): rps=10380.0 (overall: 10373.3) avg_msec=3.148 (overall: 3.191)
                                                                                                
LRANGE_500 (first 500 elements): rps=10418.3 (overall: 10374.7) avg_msec=3.161 (overall: 3.190)
                                                                                                
LRANGE_500 (first 500 elements): rps=10398.4 (overall: 10375.4) avg_msec=3.282 (overall: 3.193)
                                                                                                
LRANGE_500 (first 500 elements): rps=10382.5 (overall: 10375.6) avg_msec=3.132 (overall: 3.191)
                                                                                                
LRANGE_500 (first 500 elements): rps=10337.3 (overall: 10374.5) avg_msec=3.125 (overall: 3.189)
                                                                                                
LRANGE_500 (first 500 elements): rps=10348.0 (overall: 10373.8) avg_msec=3.308 (overall: 3.192)
                                                                                                
LRANGE_500 (first 500 elements): rps=10305.6 (overall: 10372.0) avg_msec=3.223 (overall: 3.193)
                                                                                                
LRANGE_500 (first 500 elements): 10371.29 requests per second, p50=3.039 msec
 
LRANGE_600 (first 600 elements): rps=2656.0 (overall: 7377.8) avg_msec=4.640 (overall: 4.640)
                                                                                              
LRANGE_600 (first 600 elements): rps=8864.5 (overall: 8472.1) avg_msec=3.453 (overall: 3.726)
                                                                                              
LRANGE_600 (first 600 elements): rps=8745.0 (overall: 8587.8) avg_msec=3.841 (overall: 3.775)
                                                                                              
LRANGE_600 (first 600 elements): rps=8836.0 (overall: 8661.5) avg_msec=3.789 (overall: 3.780)
                                                                                              
LRANGE_600 (first 600 elements): rps=8837.3 (overall: 8702.0) avg_msec=3.812 (overall: 3.787)
                                                                                              
LRANGE_600 (first 600 elements): rps=8865.1 (overall: 8732.5) avg_msec=3.676 (overall: 3.766)
                                                                                              
LRANGE_600 (first 600 elements): rps=8841.3 (overall: 8749.7) avg_msec=3.888 (overall: 3.785)
                                                                                              
LRANGE_600 (first 600 elements): rps=8750.0 (overall: 8749.7) avg_msec=4.131 (overall: 3.833)
                                                                                              
LRANGE_600 (first 600 elements): rps=8892.0 (overall: 8766.7) avg_msec=3.688 (overall: 3.815)
                                                                                              
LRANGE_600 (first 600 elements): rps=8852.6 (overall: 8775.8) avg_msec=3.784 (overall: 3.812)
                                                                                              
LRANGE_600 (first 600 elements): rps=8853.2 (overall: 8783.3) avg_msec=3.835 (overall: 3.814)
                                                                                              
LRANGE_600 (first 600 elements): rps=8884.5 (overall: 8792.2) avg_msec=3.886 (overall: 3.820)
                                                                                              
LRANGE_600 (first 600 elements): rps=8757.0 (overall: 8789.4) avg_msec=4.003 (overall: 3.835)
                                                                                              
