===== Redis 100M Benchmark =====
Instance Type: m8i.xlarge
Run: 2
Date: 2026-01-23T04:42:20+00:00

--- System Info ---
CPU: 4 cores
Memory: 15.3G
model name	: Intel(R) Xeon(R) 6975P-C

--- Starting Redis Server ---
Redis server started

--- Warmup ---
Warmup complete (100K SET requests)

--- Test 1: SET 100M requests (50 clients, 3 threads) ---
Start: 2026-01-23T04:42:22+00:00
 
SET: rps=0.0 (overall: inf) avg_msec=0.078 (overall: 0.096)
                                                            
SET: rps=214868.0 (overall: 215060.0) avg_msec=0.211 (overall: 0.211)
                                                                      
SET: rps=235565.8 (overall: 225333.3) avg_msec=0.196 (overall: 0.203)
                                                                      
SET: rps=240392.0 (overall: 230346.2) avg_msec=0.190 (overall: 0.199)
                                                                      
SET: rps=238380.0 (overall: 232352.6) avg_msec=0.192 (overall: 0.197)
                                                                      
SET: rps=236860.0 (overall: 233253.4) avg_msec=0.190 (overall: 0.195)
                                                                      
SET: rps=235820.7 (overall: 233682.4) avg_msec=0.191 (overall: 0.195)
                                                                      
SET: rps=221056.0 (overall: 231880.7) avg_msec=0.213 (overall: 0.197)
                                                                      
SET: rps=224248.0 (overall: 230927.6) avg_msec=0.208 (overall: 0.198)
                                                                      
SET: rps=238692.0 (overall: 231789.5) avg_msec=0.191 (overall: 0.198)
                                                                      
SET: rps=241596.0 (overall: 232769.4) avg_msec=0.190 (overall: 0.197)
                                                                      
SET: rps=236657.4 (overall: 233123.9) avg_msec=0.195 (overall: 0.197)
                                                                      
SET: rps=237824.0 (overall: 233515.2) avg_msec=0.194 (overall: 0.196)
                                                                      
SET: rps=230588.0 (overall: 233290.2) avg_msec=0.202 (overall: 0.197)
                                                                      
SET: rps=231452.0 (overall: 233159.0) avg_msec=0.196 (overall: 0.197)
                                                                      
SET: rps=231450.2 (overall: 233044.8) avg_msec=0.198 (overall: 0.197)
                                                                      
SET: rps=228856.6 (overall: 232782.3) avg_msec=0.202 (overall: 0.197)
                                                                      
SET: rps=229440.0 (overall: 232585.9) avg_msec=0.199 (overall: 0.197)
                                                                      
SET: rps=226096.0 (overall: 232225.8) avg_msec=0.206 (overall: 0.198)
                                                                      
SET: rps=222404.0 (overall: 231709.4) avg_msec=0.209 (overall: 0.198)
                                                                      
SET: rps=223163.4 (overall: 231280.9) avg_msec=0.200 (overall: 0.198)
                                                                      
SET: rps=196656.0 (overall: 229633.9) avg_msec=0.227 (overall: 0.200)
                                                                      
SET: rps=242128.0 (overall: 230201.2) avg_msec=0.190 (overall: 0.199)
                                                                      
SET: rps=228251.0 (overall: 230116.2) avg_msec=0.201 (overall: 0.199)
                                                                      
