===== Redis 100M Benchmark =====
Instance Type: r5.xlarge
Run: 5
Date: 2026-01-21T09:10:40+00:00

--- System Info ---
CPU: 4 cores
Memory: 31.0G
model name	: Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz

--- Starting Redis Server ---
Redis server started

--- Warmup ---
Warmup complete (100K SET requests)

--- Test 1: SET 100M requests (50 clients, 3 threads) ---
Start: 2026-01-21T09:10:44+00:00
 
SET: rps=0.0 (overall: -nan) avg_msec=-nan (overall: -nan)
                                                           
SET: rps=106776.9 (overall: 106776.9) avg_msec=0.421 (overall: 0.421)
                                                                      
SET: rps=106464.0 (overall: 106620.8) avg_msec=0.427 (overall: 0.424)
                                                                      
SET: rps=107872.5 (overall: 107038.6) avg_msec=0.397 (overall: 0.415)
                                                                      
SET: rps=103268.0 (overall: 106097.8) avg_msec=0.446 (overall: 0.423)
                                                                      
SET: rps=104605.6 (overall: 105798.9) avg_msec=0.409 (overall: 0.420)
                                                                      
SET: rps=107960.0 (overall: 106158.4) avg_msec=0.426 (overall: 0.421)
                                                                      
SET: rps=107298.8 (overall: 106321.6) avg_msec=0.427 (overall: 0.422)
                                                                      
SET: rps=102844.6 (overall: 105886.3) avg_msec=0.442 (overall: 0.425)
                                                                      
SET: rps=106692.0 (overall: 105975.6) avg_msec=0.418 (overall: 0.424)
                                                                      
SET: rps=106617.5 (overall: 106039.9) avg_msec=0.412 (overall: 0.423)
                                                                      
SET: rps=106557.8 (overall: 106087.1) avg_msec=0.427 (overall: 0.423)
                                                                      
SET: rps=108984.0 (overall: 106327.9) avg_msec=0.411 (overall: 0.422)
                                                                      
SET: rps=110418.3 (overall: 106643.0) avg_msec=0.363 (overall: 0.417)
                                                                      
SET: rps=108212.6 (overall: 106756.5) avg_msec=0.404 (overall: 0.416)
                                                                      
SET: rps=101024.0 (overall: 106375.6) avg_msec=0.441 (overall: 0.418)
                                                                      
SET: rps=108808.8 (overall: 106527.8) avg_msec=0.397 (overall: 0.417)
                                                                      
SET: rps=110816.0 (overall: 106779.3) avg_msec=0.395 (overall: 0.415)
                                                                      
SET: rps=108450.2 (overall: 106872.2) avg_msec=0.388 (overall: 0.414)
                                                                      
SET: rps=100220.0 (overall: 106523.1) avg_msec=0.454 (overall: 0.416)
                                                                      
SET: rps=108022.8 (overall: 106601.6) avg_msec=0.403 (overall: 0.415)
                                                                      
SET: rps=109636.0 (overall: 106745.3) avg_msec=0.384 (overall: 0.414)
                                                                      
SET: rps=104296.0 (overall: 106634.5) avg_msec=0.424 (overall: 0.414)
                                                                      
SET: rps=107458.2 (overall: 106670.3) avg_msec=0.432 (overall: 0.415)
                                                                      
SET: rps=106348.0 (overall: 106656.9) avg_msec=0.433 (overall: 0.416)
                                                                      
SET: rps=108613.6 (overall: 106735.1) avg_msec=0.421 (overall: 0.416)
                                                                      
SET: rps=107019.7 (overall: 106746.2) avg_msec=0.403 (overall: 0.415)
                                                                      
SET: rps=107310.8 (overall: 106767.1) avg_msec=0.418 (overall: 0.416)
                                                                      
SET: rps=110529.9 (overall: 106901.4) avg_msec=0.384 (overall: 0.414)
                                                                      
SET: rps=107588.0 (overall: 106924.9) avg_msec=0.428 (overall: 0.415)
                                                                      
SET: rps=102892.4 (overall: 106790.6) avg_msec=0.432 (overall: 0.415)
                                                                      
SET: rps=107992.0 (overall: 106829.2) avg_msec=0.428 (overall: 0.416)
                                                                      
