===== Redis 100M Benchmark =====
Instance Type: r5ad.xlarge
Run: 1
Date: 2026-01-21T04:56:04+00:00

--- System Info ---
CPU: 4 cores
Memory: 31.1G
model name	: AMD EPYC 7571

--- Starting Redis Server ---
Redis server started

--- Warmup ---
Warmup complete (1M requests)

--- Test 1: SET 100M requests (50 clients, 3 threads) ---
Start: 2026-01-21T05:11:54+00:00
 
SET: rps=0.0 (overall: -nan) avg_msec=0.237 (overall: 0.000)
                                                             
SET: rps=61948.2 (overall: 61948.2) avg_msec=0.776 (overall: 0.776)
                                                                    
SET: rps=62984.1 (overall: 62466.1) avg_msec=0.755 (overall: 0.766)
                                                                    
SET: rps=63256.0 (overall: 62728.7) avg_msec=0.759 (overall: 0.764)
                                                                    
SET: rps=62282.9 (overall: 62617.1) avg_msec=0.771 (overall: 0.765)
                                                                    
SET: rps=63284.0 (overall: 62750.2) avg_msec=0.757 (overall: 0.764)
                                                                    
SET: rps=63212.0 (overall: 62827.0) avg_msec=0.760 (overall: 0.763)
                                                                    
SET: rps=61689.2 (overall: 62664.2) avg_msec=0.779 (overall: 0.765)
                                                                    
SET: rps=63088.0 (overall: 62717.1) avg_msec=0.757 (overall: 0.764)
                                                                    
SET: rps=63356.0 (overall: 62787.9) avg_msec=0.753 (overall: 0.763)
                                                                    
SET: rps=62235.1 (overall: 62732.5) avg_msec=0.767 (overall: 0.764)
                                                                    
SET: rps=62988.0 (overall: 62755.7) avg_msec=0.765 (overall: 0.764)
                                                                    
SET: rps=63223.1 (overall: 62794.7) avg_msec=0.756 (overall: 0.763)
                                                                    
SET: rps=62580.0 (overall: 62778.3) avg_msec=0.769 (overall: 0.764)
                                                                    
SET: rps=63624.0 (overall: 62838.6) avg_msec=0.751 (overall: 0.763)
                                                                    
SET: rps=62406.4 (overall: 62809.7) avg_msec=0.753 (overall: 0.762)
                                                                    
SET: rps=63284.0 (overall: 62839.3) avg_msec=0.759 (overall: 0.762)
                                                                    
SET: rps=62617.5 (overall: 62826.2) avg_msec=0.764 (overall: 0.762)
                                                                    
SET: rps=62600.0 (overall: 62813.7) avg_msec=0.768 (overall: 0.762)
                                                                    
SET: rps=62513.9 (overall: 62797.9) avg_msec=0.764 (overall: 0.763)
                                                                    
SET: rps=62508.0 (overall: 62783.4) avg_msec=0.769 (overall: 0.763)
                                                                    
SET: rps=63091.6 (overall: 62798.1) avg_msec=0.758 (overall: 0.763)
                                                                    
SET: rps=62648.0 (overall: 62791.3) avg_msec=0.770 (overall: 0.763)
                                                                    
SET: rps=63376.0 (overall: 62816.7) avg_msec=0.760 (overall: 0.763)
                                                                    
SET: rps=62932.3 (overall: 62821.5) avg_msec=0.749 (overall: 0.762)
                                                                    
SET: rps=62448.0 (overall: 62806.6) avg_msec=0.768 (overall: 0.763)
                                                                    
SET: rps=62545.8 (overall: 62796.5) avg_msec=0.765 (overall: 0.763)
                                                                    
SET: rps=63388.0 (overall: 62818.4) avg_msec=0.756 (overall: 0.762)
                                                                    
SET: rps=63175.3 (overall: 62831.2) avg_msec=0.757 (overall: 0.762)
                                                                    
SET: rps=64352.0 (overall: 62883.5) avg_msec=0.724 (overall: 0.761)
                                                                    
SET: rps=61794.5 (overall: 62846.9) avg_msec=0.726 (overall: 0.760)
                                                                    
SET: rps=62352.0 (overall: 62830.9) avg_msec=0.756 (overall: 0.760)
                                                                    
SET: rps=64052.0 (overall: 62869.0) avg_msec=0.748 (overall: 0.759)
                                                                    
SET: rps=62836.7 (overall: 62868.0) avg_msec=0.763 (overall: 0.759)
                                                                    
SET: rps=62712.0 (overall: 62863.4) avg_msec=0.760 (overall: 0.759)
                                                                    
SET: rps=61844.6 (overall: 62834.3) avg_msec=0.776 (overall: 0.760)
                                                                    
