===== Redis 100M Benchmark =====
Instance Type: r5ad.xlarge
Run: 2
Date: 2026-01-21T04:56:06+00:00

--- System Info ---
CPU: 4 cores
Memory: 31.1G
model name	: AMD EPYC 7571

--- Starting Redis Server ---
Redis server started

--- Warmup ---
Warmup complete (1M requests)

--- Test 1: SET 100M requests (50 clients, 3 threads) ---
Start: 2026-01-21T05:12:07+00:00
 
SET: rps=0.0 (overall: -nan) avg_msec=-nan (overall: -nan)
                                                           
SET: rps=62876.5 (overall: 62876.5) avg_msec=0.755 (overall: 0.755)
                                                                    
SET: rps=63100.0 (overall: 62988.0) avg_msec=0.762 (overall: 0.759)
                                                                    
SET: rps=63330.7 (overall: 63102.4) avg_msec=0.756 (overall: 0.758)
                                                                    
SET: rps=63352.0 (overall: 63164.7) avg_msec=0.760 (overall: 0.758)
                                                                    
SET: rps=63414.3 (overall: 63214.7) avg_msec=0.753 (overall: 0.757)
                                                                    
SET: rps=62320.0 (overall: 63065.9) avg_msec=0.772 (overall: 0.760)
                                                                    
SET: rps=63107.6 (overall: 63071.8) avg_msec=0.751 (overall: 0.759)
                                                                    
SET: rps=62728.0 (overall: 63028.9) avg_msec=0.763 (overall: 0.759)
                                                                    
SET: rps=63004.0 (overall: 63026.2) avg_msec=0.753 (overall: 0.758)
                                                                    
SET: rps=63215.1 (overall: 63045.1) avg_msec=0.743 (overall: 0.757)
                                                                    
SET: rps=62552.0 (overall: 63000.4) avg_msec=0.766 (overall: 0.758)
                                                                    
SET: rps=62757.0 (overall: 62980.0) avg_msec=0.763 (overall: 0.758)
                                                                    
SET: rps=62216.0 (overall: 62921.4) avg_msec=0.776 (overall: 0.760)
                                                                    
SET: rps=62653.4 (overall: 62902.2) avg_msec=0.767 (overall: 0.760)
                                                                    
SET: rps=62936.0 (overall: 62904.4) avg_msec=0.765 (overall: 0.761)
                                                                    
SET: rps=62704.0 (overall: 62891.9) avg_msec=0.770 (overall: 0.761)
                                                                    
SET: rps=62490.0 (overall: 62868.2) avg_msec=0.720 (overall: 0.759)
                                                                    
SET: rps=63004.0 (overall: 62875.8) avg_msec=0.762 (overall: 0.759)
                                                                    
SET: rps=63023.9 (overall: 62883.6) avg_msec=0.760 (overall: 0.759)
                                                                    
SET: rps=62720.0 (overall: 62875.4) avg_msec=0.764 (overall: 0.759)
                                                                    
SET: rps=63470.1 (overall: 62903.8) avg_msec=0.750 (overall: 0.759)
                                                                    
SET: rps=62436.0 (overall: 62882.6) avg_msec=0.774 (overall: 0.760)
                                                                    
SET: rps=63324.0 (overall: 62901.7) avg_msec=0.760 (overall: 0.760)
                                                                    
SET: rps=62733.1 (overall: 62894.7) avg_msec=0.742 (overall: 0.759)
                                                                    
SET: rps=62352.0 (overall: 62873.0) avg_msec=0.751 (overall: 0.759)
                                                                    
SET: rps=62705.2 (overall: 62866.6) avg_msec=0.761 (overall: 0.759)
                                                                    
SET: rps=62736.0 (overall: 62861.7) avg_msec=0.761 (overall: 0.759)
                                                                    
SET: rps=63071.7 (overall: 62869.2) avg_msec=0.754 (overall: 0.759)
                                                                    
SET: rps=63192.0 (overall: 62880.4) avg_msec=0.763 (overall: 0.759)
                                                                    
SET: rps=62354.6 (overall: 62862.8) avg_msec=0.772 (overall: 0.759)
                                                                    
SET: rps=61764.0 (overall: 62827.4) avg_msec=0.782 (overall: 0.760)
                                                                    
SET: rps=63398.4 (overall: 62845.3) avg_msec=0.752 (overall: 0.760)
                                                                    
SET: rps=62816.0 (overall: 62844.4) avg_msec=0.766 (overall: 0.760)
                                                                    
SET: rps=62988.0 (overall: 62848.6) avg_msec=0.767 (overall: 0.760)
                                                                    
SET: rps=62940.2 (overall: 62851.2) avg_msec=0.758 (overall: 0.760)
                                                                    
SET: rps=63160.0 (overall: 62859.8) avg_msec=0.762 (overall: 0.760)
                                                                    
SET: rps=62713.2 (overall: 62855.8) avg_msec=0.748 (overall: 0.760)
                                                                    
SET: rps=63724.0 (overall: 62878.6) avg_msec=0.757 (overall: 0.760)
