===== Redis 100M Benchmark =====
Instance Type: r5b.xlarge
Run: 1
Date: 2026-01-23T02:53:23+00:00

--- System Info ---
CPU: 4 cores
Memory: 31.0G
model name	: Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz

--- Starting Redis Server ---
Redis server started

--- Warmup ---
Warmup complete (100K SET requests)

--- Test 1: SET 100M requests (50 clients, 3 threads) ---
Start: 2026-01-23T02:53:26+00:00
 
SET: rps=0.0 (overall: -nan) avg_msec=0.152 (overall: 0.000)
                                                             
SET: rps=122605.6 (overall: 122605.6) avg_msec=0.359 (overall: 0.359)
                                                                      
SET: rps=123560.0 (overall: 123081.8) avg_msec=0.358 (overall: 0.359)
                                                                      
SET: rps=120270.9 (overall: 122143.6) avg_msec=0.378 (overall: 0.365)
                                                                      
SET: rps=123216.0 (overall: 122411.2) avg_msec=0.371 (overall: 0.367)
                                                                      
SET: rps=113701.2 (overall: 120666.4) avg_msec=0.403 (overall: 0.374)
                                                                      
SET: rps=121628.0 (overall: 120826.3) avg_msec=0.377 (overall: 0.374)
                                                                      
SET: rps=123308.0 (overall: 121180.3) avg_msec=0.363 (overall: 0.373)
                                                                      
SET: rps=121904.4 (overall: 121271.0) avg_msec=0.362 (overall: 0.371)
                                                                      
SET: rps=123340.0 (overall: 121500.4) avg_msec=0.368 (overall: 0.371)
                                                                      
SET: rps=115549.8 (overall: 120904.2) avg_msec=0.386 (overall: 0.373)
                                                                      
SET: rps=121792.0 (overall: 120984.8) avg_msec=0.376 (overall: 0.373)
                                                                      
SET: rps=122657.4 (overall: 121124.4) avg_msec=0.359 (overall: 0.372)
                                                                      
SET: rps=118832.0 (overall: 120948.4) avg_msec=0.383 (overall: 0.373)
                                                                      
SET: rps=117247.0 (overall: 120683.5) avg_msec=0.387 (overall: 0.374)
                                                                      
SET: rps=117636.0 (overall: 120480.7) avg_msec=0.382 (overall: 0.374)
                                                                      
SET: rps=116968.0 (overall: 120261.5) avg_msec=0.398 (overall: 0.376)
                                                                      
SET: rps=120996.1 (overall: 120306.0) avg_msec=0.358 (overall: 0.375)
                                                                      
SET: rps=121932.3 (overall: 120396.4) avg_msec=0.382 (overall: 0.375)
                                                                      
SET: rps=114076.0 (overall: 120064.8) avg_msec=0.386 (overall: 0.376)
                                                                      
SET: rps=122669.3 (overall: 120195.1) avg_msec=0.369 (overall: 0.375)
                                                                      
SET: rps=122760.0 (overall: 120316.9) avg_msec=0.380 (overall: 0.375)
                                                                      
SET: rps=118286.9 (overall: 120224.5) avg_msec=0.390 (overall: 0.376)
                                                                      
SET: rps=120175.3 (overall: 120222.4) avg_msec=0.359 (overall: 0.375)
                                                                      
SET: rps=121476.0 (overall: 120274.5) avg_msec=0.362 (overall: 0.375)
                                                                      
SET: rps=122143.4 (overall: 120349.3) avg_msec=0.381 (overall: 0.375)
                                                                      
SET: rps=121448.0 (overall: 120391.4) avg_msec=0.368 (overall: 0.375)
                                                                      
SET: rps=121398.4 (overall: 120428.7) avg_msec=0.373 (overall: 0.375)
                                                                      
SET: rps=116980.1 (overall: 120305.5) avg_msec=0.383 (overall: 0.375)
                                                                      
SET: rps=122008.0 (overall: 120364.0) avg_msec=0.384 (overall: 0.375)
                                                                      
SET: rps=117240.0 (overall: 120260.2) avg_msec=0.391 (overall: 0.376)
                                                                      
SET: rps=121828.7 (overall: 120310.8) avg_msec=0.381 (overall: 0.376)
                                                                      
SET: rps=121092.0 (overall: 120335.2) avg_msec=0.373 (overall: 0.376)
                                                                      
SET: rps=122390.4 (overall: 120397.5) avg_msec=0.372 (overall: 0.376)
                                                                      
SET: rps=116240.0 (overall: 120275.6) avg_msec=0.388 (overall: 0.376)
                                                                      
SET: rps=119095.6 (overall: 120241.8) avg_msec=0.387 (overall: 0.377)
                                                                      
SET: rps=122312.0 (overall: 120299.2) avg_msec=0.373 (overall: 0.376)
                                                                      
SET: rps=122000.0 (overall: 120345.2) avg_msec=0.375 (overall: 0.376)
                                                                      
SET: rps=120036.0 (overall: 120337.1) avg_msec=0.384 (overall: 0.377)
                                                                      
SET: rps=118593.6 (overall: 120292.3) avg_msec=0.381 (overall: 0.377)
                                                                      
SET: rps=119188.0 (overall: 120264.8) avg_msec=0.382 (overall: 0.377)
                                                                      
SET: rps=122677.3 (overall: 120323.7) avg_msec=0.371 (overall: 0.377)
                                                                      
SET: rps=120312.0 (overall: 120323.4) avg_msec=0.385 (overall: 0.377)
                                                                      
SET: rps=121685.3 (overall: 120355.1) avg_msec=0.359 (overall: 0.377)
                                                                      
SET: rps=118908.0 (overall: 120322.3) avg_msec=0.375 (overall: 0.376)
                                                                      
SET: rps=121708.0 (overall: 120353.0) avg_msec=0.378 (overall: 0.377)
                                                                      
SET: rps=120274.9 (overall: 120351.3) avg_msec=0.373 (overall: 0.376)
                                                                      
SET: rps=122276.0 (overall: 120392.2) avg_msec=0.369 (overall: 0.376)
                                                                      
SET: rps=116737.1 (overall: 120315.9) avg_msec=0.385 (overall: 0.376)
                                                                      
SET: rps=116992.0 (overall: 120248.3) avg_msec=0.390 (overall: 0.377)
                                                                      
SET: rps=122701.2 (overall: 120297.4) avg_msec=0.373 (overall: 0.377)
                                                                      
SET: rps=122180.0 (overall: 120334.2) avg_msec=0.376 (overall: 0.377)
                                                                      
SET: rps=122091.6 (overall: 120368.1) avg_msec=0.379 (overall: 0.377)
                                                                      
SET: rps=124568.0 (overall: 120447.1) avg_msec=0.366 (overall: 0.376)
                                                                      
SET: rps=123143.4 (overall: 120497.1) avg_msec=0.365 (overall: 0.376)
                                                                      
SET: rps=118992.0 (overall: 120469.7) avg_msec=0.381 (overall: 0.376)
                                                                      
SET: rps=123636.0 (overall: 120526.1) avg_msec=0.385 (overall: 0.377)
                                                                      
SET: rps=122015.9 (overall: 120552.3) avg_msec=0.382 (overall: 0.377)
                                                                      
SET: rps=124592.0 (overall: 120621.8) avg_msec=0.383 (overall: 0.377)
                                                                      
SET: rps=119996.0 (overall: 120611.2) avg_msec=0.391 (overall: 0.377)
                                                                      
SET: rps=122617.5 (overall: 120644.7) avg_msec=0.390 (overall: 0.377)
                                                                      
SET: rps=122112.0 (overall: 120668.7) avg_msec=0.381 (overall: 0.377)
                                                                      
SET: rps=122083.7 (overall: 120691.5) avg_msec=0.389 (overall: 0.377)
                                                                      
SET: rps=123476.0 (overall: 120735.6) avg_msec=0.386 (overall: 0.378)
                                                                      
SET: rps=123948.0 (overall: 120785.7) avg_msec=0.379 (overall: 0.378)
                                                                      
SET: rps=122521.9 (overall: 120812.5) avg_msec=0.390 (overall: 0.378)
                                                                      
SET: rps=122980.0 (overall: 120845.2) avg_msec=0.390 (overall: 0.378)
                                                                      
SET: rps=119524.0 (overall: 120825.5) avg_msec=0.399 (overall: 0.378)
                                                                      
SET: rps=123916.3 (overall: 120871.1) avg_msec=0.358 (overall: 0.378)
                                                                      
SET: rps=121556.0 (overall: 120881.0) avg_msec=0.389 (overall: 0.378)
                                                                      
SET: rps=111932.3 (overall: 120752.9) avg_msec=0.397 (overall: 0.378)
                                                                      
SET: rps=110548.0 (overall: 120609.5) avg_msec=0.406 (overall: 0.379)
                                                                      
SET: rps=103207.2 (overall: 120367.4) avg_msec=0.421 (overall: 0.379)
                                                                      
SET: rps=110100.0 (overall: 120227.1) avg_msec=0.412 (overall: 0.380)
                                                                      
SET: rps=109633.5 (overall: 120083.7) avg_msec=0.408 (overall: 0.380)
                                                                      
SET: rps=114533.9 (overall: 120009.6) avg_msec=0.378 (overall: 0.380)
                                                                      
SET: rps=110760.0 (overall: 119888.1) avg_msec=0.395 (overall: 0.380)
                                                                      
SET: rps=114446.2 (overall: 119817.4) avg_msec=0.369 (overall: 0.380)
                                                                      
SET: rps=108764.0 (overall: 119676.0) avg_msec=0.418 (overall: 0.381)
                                                                      
SET: rps=109159.4 (overall: 119542.6) avg_msec=0.414 (overall: 0.381)
                                                                      
SET: rps=109768.0 (overall: 119420.7) avg_msec=0.414 (overall: 0.381)
                                                                      
SET: rps=105896.4 (overall: 119253.5) avg_msec=0.409 (overall: 0.382)
                                                                      
SET: rps=109612.0 (overall: 119136.2) avg_msec=0.414 (overall: 0.382)
                                                                      
SET: rps=114952.2 (overall: 119085.7) avg_msec=0.372 (overall: 0.382)
                                                                      
SET: rps=118884.0 (overall: 119083.3) avg_msec=0.358 (overall: 0.382)
                                                                      
SET: rps=104992.0 (overall: 118917.2) avg_msec=0.430 (overall: 0.382)
                                                                      
SET: rps=109044.0 (overall: 118802.7) avg_msec=0.412 (overall: 0.382)
                                                                      
SET: rps=113147.4 (overall: 118737.6) avg_msec=0.395 (overall: 0.383)
                                                                      
SET: rps=113280.0 (overall: 118675.7) avg_msec=0.395 (overall: 0.383)
                                                                      
SET: rps=113115.5 (overall: 118613.1) avg_msec=0.395 (overall: 0.383)
                                                                      
SET: rps=107064.0 (overall: 118485.1) avg_msec=0.415 (overall: 0.383)
                                                                      
SET: rps=111904.4 (overall: 118412.6) avg_msec=0.393 (overall: 0.383)
                                                                      
SET: rps=112680.0 (overall: 118350.5) avg_msec=0.399 (overall: 0.383)
                                                                      
SET: rps=112370.5 (overall: 118286.1) avg_msec=0.399 (overall: 0.384)
                                                                      
SET: rps=110732.0 (overall: 118205.9) avg_msec=0.400 (overall: 0.384)
                                                                      
SET: rps=99621.5 (overall: 118009.9) avg_msec=0.436 (overall: 0.384)
                                                                     
SET: rps=117143.4 (overall: 118000.9) avg_msec=0.368 (overall: 0.384)
                                                                      
SET: rps=115416.0 (overall: 117974.3) avg_msec=0.381 (overall: 0.384)
                                                                      
SET: rps=110766.8 (overall: 117900.0) avg_msec=0.405 (overall: 0.384)
                                                                      
SET: rps=105059.8 (overall: 117770.1) avg_msec=0.422 (overall: 0.385)
                                                                      
SET: rps=104356.0 (overall: 117636.3) avg_msec=0.429 (overall: 0.385)
                                                                      
SET: rps=108378.5 (overall: 117544.5) avg_msec=0.409 (overall: 0.385)
                                                                      
SET: rps=105972.0 (overall: 117431.3) avg_msec=0.412 (overall: 0.385)
                                                                      
SET: rps=104606.3 (overall: 117305.1) avg_msec=0.422 (overall: 0.386)
                                                                      
SET: rps=106585.7 (overall: 117201.9) avg_msec=0.413 (overall: 0.386)
                                                                      
SET: rps=110701.2 (overall: 117139.9) avg_msec=0.397 (overall: 0.386)
                                                                      
SET: rps=103192.0 (overall: 117008.6) avg_msec=0.421 (overall: 0.386)
                                                                      
SET: rps=108757.0 (overall: 116931.4) avg_msec=0.403 (overall: 0.387)
                                                                      
SET: rps=110912.4 (overall: 116875.6) avg_msec=0.403 (overall: 0.387)
                                                                      
SET: rps=109888.0 (overall: 116811.6) avg_msec=0.410 (overall: 0.387)
                                                                      
SET: rps=105780.9 (overall: 116711.2) avg_msec=0.420 (overall: 0.387)
                                                                      
SET: rps=91220.0 (overall: 116482.1) avg_msec=0.507 (overall: 0.388)
                                                                     
SET: rps=95314.7 (overall: 116292.8) avg_msec=0.484 (overall: 0.389)
                                                                     
SET: rps=109832.0 (overall: 116235.8) avg_msec=0.412 (overall: 0.389)
                                                                      
SET: rps=112673.3 (overall: 116204.5) avg_msec=0.397 (overall: 0.389)
                                                                      
SET: rps=106940.0 (overall: 116124.1) avg_msec=0.405 (overall: 0.389)
                                                                      
SET: rps=107533.9 (overall: 116050.0) avg_msec=0.420 (overall: 0.389)
                                                                      
SET: rps=108484.0 (overall: 115985.5) avg_msec=0.415 (overall: 0.390)
                                                                      
SET: rps=109525.9 (overall: 115930.6) avg_msec=0.411 (overall: 0.390)
                                                                      
