===== Redis 100M Benchmark =====
Instance Type: r5d.xlarge
Run: 1
Date: 2026-01-23T04:42:33+00:00

--- System Info ---
CPU: 4 cores
Memory: 31.0G
model name	: Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz

--- Starting Redis Server ---
Redis server started

--- Warmup ---
Warmup complete (100K SET requests)

--- Test 1: SET 100M requests (50 clients, 3 threads) ---
Start: 2026-01-23T04:42:36+00:00
 
SET: rps=0.0 (overall: -nan) avg_msec=0.000 (overall: -nan)
                                                            
SET: rps=110565.7 (overall: 110565.7) avg_msec=0.410 (overall: 0.410)
                                                                      
SET: rps=113820.7 (overall: 112193.2) avg_msec=0.401 (overall: 0.405)
                                                                      
SET: rps=111984.0 (overall: 112123.7) avg_msec=0.392 (overall: 0.401)
                                                                      
SET: rps=115223.1 (overall: 112899.3) avg_msec=0.392 (overall: 0.399)
                                                                      
SET: rps=115696.0 (overall: 113457.3) avg_msec=0.400 (overall: 0.399)
                                                                      
SET: rps=114051.8 (overall: 113556.5) avg_msec=0.404 (overall: 0.400)
                                                                      
SET: rps=113284.0 (overall: 113517.7) avg_msec=0.382 (overall: 0.397)
                                                                      
SET: rps=110940.2 (overall: 113195.0) avg_msec=0.404 (overall: 0.398)
                                                                      
SET: rps=113860.0 (overall: 113268.7) avg_msec=0.404 (overall: 0.399)
                                                                      
SET: rps=108912.4 (overall: 112832.4) avg_msec=0.407 (overall: 0.400)
                                                                      
SET: rps=96800.8 (overall: 111372.9) avg_msec=0.446 (overall: 0.403)
                                                                     
SET: rps=91155.4 (overall: 109685.8) avg_msec=0.475 (overall: 0.408)
                                                                     
SET: rps=96108.0 (overall: 108644.0) avg_msec=0.440 (overall: 0.410)
                                                                     
SET: rps=106749.0 (overall: 108508.4) avg_msec=0.426 (overall: 0.411)
                                                                      
SET: rps=108800.0 (overall: 108527.8) avg_msec=0.420 (overall: 0.412)
                                                                      
SET: rps=113848.6 (overall: 108860.8) avg_msec=0.402 (overall: 0.411)
                                                                      
SET: rps=109976.1 (overall: 108926.5) avg_msec=0.407 (overall: 0.411)
                                                                      
SET: rps=113032.0 (overall: 109154.1) avg_msec=0.402 (overall: 0.411)
                                                                      
SET: rps=110458.2 (overall: 109222.8) avg_msec=0.405 (overall: 0.410)
                                                                      
SET: rps=114708.0 (overall: 109496.4) avg_msec=0.398 (overall: 0.410)
                                                                      
SET: rps=113808.8 (overall: 109702.1) avg_msec=0.403 (overall: 0.410)
                                                                      
SET: rps=108724.0 (overall: 109657.7) avg_msec=0.412 (overall: 0.410)
                                                                      
SET: rps=113525.9 (overall: 109826.2) avg_msec=0.401 (overall: 0.409)
                                                                      
SET: rps=108596.0 (overall: 109775.0) avg_msec=0.411 (overall: 0.409)
                                                                      
SET: rps=112402.4 (overall: 109880.3) avg_msec=0.376 (overall: 0.408)
                                                                      
SET: rps=107356.0 (overall: 109783.4) avg_msec=0.412 (overall: 0.408)
                                                                      
SET: rps=114776.9 (overall: 109968.7) avg_msec=0.385 (overall: 0.407)
                                                                      
SET: rps=112432.0 (overall: 110056.4) avg_msec=0.382 (overall: 0.406)
                                                                      
SET: rps=109904.4 (overall: 110051.2) avg_msec=0.419 (overall: 0.407)
                                                                      
SET: rps=114828.0 (overall: 110210.1) avg_msec=0.386 (overall: 0.406)
                                                                      
SET: rps=110232.0 (overall: 110210.8) avg_msec=0.416 (overall: 0.406)
                                                                      
SET: rps=106539.7 (overall: 110095.4) avg_msec=0.410 (overall: 0.407)
                                                                      
SET: rps=114912.4 (overall: 110241.6) avg_msec=0.391 (overall: 0.406)
                                                                      
SET: rps=103516.0 (overall: 110044.2) avg_msec=0.433 (overall: 0.407)
                                                                      
SET: rps=112171.3 (overall: 110105.1) avg_msec=0.377 (overall: 0.406)
                                                                      
SET: rps=112753.0 (overall: 110178.8) avg_msec=0.388 (overall: 0.405)
                                                                      
SET: rps=109780.0 (overall: 110168.0) avg_msec=0.424 (overall: 0.406)
                                                                      
SET: rps=109757.0 (overall: 110157.2) avg_msec=0.405 (overall: 0.406)
                                                                      
SET: rps=112684.0 (overall: 110221.8) avg_msec=0.405 (overall: 0.406)
                                                                      
SET: rps=106828.0 (overall: 110137.2) avg_msec=0.428 (overall: 0.406)
                                                                      
SET: rps=110641.4 (overall: 110149.5) avg_msec=0.420 (overall: 0.407)
                                                                      
SET: rps=114741.0 (overall: 110259.0) avg_msec=0.399 (overall: 0.407)
                                                                      
SET: rps=110400.0 (overall: 110262.3) avg_msec=0.416 (overall: 0.407)
                                                                      
SET: rps=111521.9 (overall: 110290.9) avg_msec=0.414 (overall: 0.407)
                                                                      
SET: rps=113352.0 (overall: 110358.8) avg_msec=0.410 (overall: 0.407)
                                                                      
SET: rps=101270.9 (overall: 110160.9) avg_msec=0.448 (overall: 0.408)
                                                                      
SET: rps=110264.0 (overall: 110163.1) avg_msec=0.414 (overall: 0.408)
                                                                      
SET: rps=112788.9 (overall: 110217.9) avg_msec=0.403 (overall: 0.408)
                                                                      
SET: rps=116028.0 (overall: 110336.2) avg_msec=0.392 (overall: 0.408)
                                                                      
SET: rps=112168.0 (overall: 110372.8) avg_msec=0.410 (overall: 0.408)
                                                                      
SET: rps=111701.2 (overall: 110398.9) avg_msec=0.403 (overall: 0.408)
                                                                      
SET: rps=113080.0 (overall: 110450.3) avg_msec=0.412 (overall: 0.408)
                                                                      
