===== Redis 100M Benchmark =====
Instance Type: r5d.xlarge
Run: 2
Date: 2026-01-23T02:53:30+00:00

--- System Info ---
CPU: 4 cores
Memory: 31.0G
model name	: Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz

--- Starting Redis Server ---
Redis server started

--- Warmup ---
Warmup complete (100K SET requests)

--- Test 1: SET 100M requests (50 clients, 3 threads) ---
Start: 2026-01-23T02:53:34+00:00
 
SET: rps=0.0 (overall: 0.0) avg_msec=0.000 (overall: -nan)
                                                           
SET: rps=111676.0 (overall: 111231.1) avg_msec=0.418 (overall: 0.418)
                                                                      
SET: rps=107167.3 (overall: 109199.2) avg_msec=0.420 (overall: 0.419)
                                                                      
SET: rps=114656.0 (overall: 111013.3) avg_msec=0.400 (overall: 0.413)
                                                                      
SET: rps=114545.8 (overall: 111897.3) avg_msec=0.380 (overall: 0.404)
                                                                      
SET: rps=115860.0 (overall: 112687.9) avg_msec=0.378 (overall: 0.399)
                                                                      
SET: rps=110883.7 (overall: 112379.9) avg_msec=0.400 (overall: 0.399)
                                                                      
SET: rps=111729.1 (overall: 112287.2) avg_msec=0.394 (overall: 0.399)
                                                                      
SET: rps=111120.0 (overall: 112142.1) avg_msec=0.399 (overall: 0.398)
                                                                      
SET: rps=114474.1 (overall: 112400.8) avg_msec=0.374 (overall: 0.396)
                                                                      
SET: rps=103424.0 (overall: 111507.8) avg_msec=0.422 (overall: 0.398)
                                                                      
SET: rps=103828.7 (overall: 110810.4) avg_msec=0.434 (overall: 0.401)
                                                                      
SET: rps=112619.0 (overall: 110961.5) avg_msec=0.402 (overall: 0.402)
                                                                      
SET: rps=116099.6 (overall: 111356.3) avg_msec=0.391 (overall: 0.401)
                                                                      
SET: rps=115004.0 (overall: 111615.6) avg_msec=0.399 (overall: 0.401)
                                                                      
SET: rps=115151.4 (overall: 111851.1) avg_msec=0.386 (overall: 0.400)
                                                                      
SET: rps=111552.0 (overall: 111832.5) avg_msec=0.364 (overall: 0.397)
                                                                      
SET: rps=114280.0 (overall: 111975.9) avg_msec=0.394 (overall: 0.397)
                                                                      
SET: rps=107844.6 (overall: 111746.4) avg_msec=0.411 (overall: 0.398)
                                                                      
SET: rps=115952.0 (overall: 111966.9) avg_msec=0.392 (overall: 0.398)
                                                                      
SET: rps=112428.0 (overall: 111990.4) avg_msec=0.383 (overall: 0.397)
                                                                      
SET: rps=109358.6 (overall: 111865.3) avg_msec=0.427 (overall: 0.398)
                                                                      
SET: rps=111824.0 (overall: 111863.4) avg_msec=0.398 (overall: 0.398)
                                                                      
SET: rps=113227.1 (overall: 111922.6) avg_msec=0.409 (overall: 0.399)
                                                                      
