===== Redis 100M Benchmark =====
Instance Type: r5n.xlarge
Run: 1
Date: 2026-01-23T02:53:40+00:00

--- System Info ---
CPU: 4 cores
Memory: 31.0G
model name	: Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz

--- Starting Redis Server ---
Redis server started

--- Warmup ---
Warmup complete (100K SET requests)

--- Test 1: SET 100M requests (50 clients, 3 threads) ---
Start: 2026-01-23T02:53:43+00:00
 
SET: rps=0.0 (overall: -nan) avg_msec=0.091 (overall: 0.000)
                                                             
SET: rps=114434.3 (overall: 114434.3) avg_msec=0.405 (overall: 0.406)
                                                                      
SET: rps=112480.0 (overall: 113459.1) avg_msec=0.411 (overall: 0.408)
                                                                      
SET: rps=107625.5 (overall: 111512.0) avg_msec=0.414 (overall: 0.410)
                                                                      
SET: rps=113824.0 (overall: 112088.8) avg_msec=0.399 (overall: 0.407)
                                                                      
SET: rps=110155.4 (overall: 111701.5) avg_msec=0.412 (overall: 0.408)
                                                                      
SET: rps=113620.0 (overall: 112020.6) avg_msec=0.400 (overall: 0.407)
                                                                      
SET: rps=109326.7 (overall: 111635.1) avg_msec=0.401 (overall: 0.406)
                                                                      
SET: rps=109060.0 (overall: 111313.9) avg_msec=0.390 (overall: 0.404)
                                                                      
SET: rps=111079.7 (overall: 111287.8) avg_msec=0.417 (overall: 0.406)
                                                                      
SET: rps=102884.0 (overall: 110449.1) avg_msec=0.433 (overall: 0.408)
                                                                      
SET: rps=111613.6 (overall: 110555.1) avg_msec=0.385 (overall: 0.406)
                                                                      
SET: rps=107564.0 (overall: 110306.4) avg_msec=0.417 (overall: 0.407)
                                                                      
SET: rps=114047.8 (overall: 110594.7) avg_msec=0.389 (overall: 0.406)
                                                                      
SET: rps=113900.4 (overall: 110831.2) avg_msec=0.405 (overall: 0.406)
                                                                      
SET: rps=112840.6 (overall: 110965.4) avg_msec=0.405 (overall: 0.406)
                                                                      
SET: rps=114012.0 (overall: 111156.1) avg_msec=0.402 (overall: 0.405)
                                                                      
SET: rps=113312.0 (overall: 111282.6) avg_msec=0.353 (overall: 0.402)
                                                                      
SET: rps=113012.0 (overall: 111378.9) avg_msec=0.382 (overall: 0.401)
                                                                      
SET: rps=107348.0 (overall: 111167.2) avg_msec=0.405 (overall: 0.401)
                                                                      
SET: rps=113549.8 (overall: 111286.5) avg_msec=0.396 (overall: 0.401)
                                                                      
SET: rps=111892.0 (overall: 111315.3) avg_msec=0.397 (overall: 0.401)
                                                                      
SET: rps=111625.0 (overall: 111329.6) avg_msec=0.395 (overall: 0.401)
                                                                      
SET: rps=110464.0 (overall: 111292.1) avg_msec=0.396 (overall: 0.400)
                                                                      
SET: rps=113537.9 (overall: 111385.8) avg_msec=0.388 (overall: 0.400)
                                                                      
SET: rps=113044.0 (overall: 111451.9) avg_msec=0.403 (overall: 0.400)
                                                                      
SET: rps=107563.5 (overall: 111301.6) avg_msec=0.411 (overall: 0.401)
                                                                      
SET: rps=113740.0 (overall: 111391.7) avg_msec=0.409 (overall: 0.401)
                                                                      
SET: rps=113358.6 (overall: 111462.0) avg_msec=0.404 (overall: 0.401)
                                                                      
SET: rps=112012.0 (overall: 111480.9) avg_msec=0.415 (overall: 0.402)
                                                                      
SET: rps=112549.8 (overall: 111516.6) avg_msec=0.397 (overall: 0.401)
                                                                      
SET: rps=104420.0 (overall: 111288.3) avg_msec=0.438 (overall: 0.403)
                                                                      
SET: rps=114179.3 (overall: 111378.7) avg_msec=0.396 (overall: 0.402)
                                                                      
SET: rps=114856.6 (overall: 111484.2) avg_msec=0.398 (overall: 0.402)
                                                                      
SET: rps=113504.0 (overall: 111543.5) avg_msec=0.401 (overall: 0.402)
                                                                      
SET: rps=114422.3 (overall: 111625.8) avg_msec=0.400 (overall: 0.402)
                                                                      
SET: rps=113428.0 (overall: 111675.7) avg_msec=0.402 (overall: 0.402)
                                                                      
SET: rps=105382.5 (overall: 111505.4) avg_msec=0.426 (overall: 0.403)
                                                                      
SET: rps=112484.0 (overall: 111531.1) avg_msec=0.403 (overall: 0.403)
                                                                      
SET: rps=113255.0 (overall: 111575.4) avg_msec=0.407 (overall: 0.403)
                                                                      
SET: rps=113713.2 (overall: 111628.9) avg_msec=0.402 (overall: 0.403)
                                                                      
SET: rps=110744.0 (overall: 111607.4) avg_msec=0.404 (overall: 0.403)
                                                                      
SET: rps=105458.2 (overall: 111460.8) avg_msec=0.408 (overall: 0.403)
                                                                      
SET: rps=113304.0 (overall: 111503.5) avg_msec=0.407 (overall: 0.403)
                                                                      
SET: rps=112135.5 (overall: 111517.9) avg_msec=0.411 (overall: 0.403)
                                                                      
SET: rps=107836.0 (overall: 111436.3) avg_msec=0.426 (overall: 0.404)
                                                                      
SET: rps=105422.3 (overall: 111305.4) avg_msec=0.435 (overall: 0.404)
                                                                      
SET: rps=109960.0 (overall: 111276.9) avg_msec=0.420 (overall: 0.405)
                                                                      
