===== Redis 100M Benchmark =====
Instance Type: r6g.xlarge
Run: 1
Date: 2026-01-21T05:45:03+00:00

--- System Info ---
CPU: 4 cores
Memory: 30.9G

--- Starting Redis Server ---
Redis server started

--- Warmup ---
Warmup complete (1M requests)

--- Test 1: SET 100M requests (50 clients, 3 threads) ---
Start: 2026-01-21T06:04:38+00:00
 
SET: rps=0.0 (overall: nan) avg_msec=0.000 (overall: 0.041)
                                                            
SET: rps=138776.9 (overall: 138776.9) avg_msec=0.332 (overall: 0.332)
                                                                      
SET: rps=139704.0 (overall: 139239.5) avg_msec=0.327 (overall: 0.329)
                                                                      
SET: rps=140252.0 (overall: 139576.6) avg_msec=0.335 (overall: 0.331)
                                                                      
SET: rps=139581.7 (overall: 139577.8) avg_msec=0.334 (overall: 0.332)
                                                                      
SET: rps=140396.0 (overall: 139741.2) avg_msec=0.328 (overall: 0.331)
                                                                      
SET: rps=139992.0 (overall: 139783.0) avg_msec=0.329 (overall: 0.331)
                                                                      
SET: rps=139318.7 (overall: 139716.5) avg_msec=0.335 (overall: 0.331)
                                                                      
SET: rps=140636.0 (overall: 139831.2) avg_msec=0.335 (overall: 0.332)
                                                                      
SET: rps=139588.0 (overall: 139804.3) avg_msec=0.332 (overall: 0.332)
                                                                      
SET: rps=136292.0 (overall: 139453.5) avg_msec=0.343 (overall: 0.333)
                                                                      
SET: rps=136888.5 (overall: 139219.7) avg_msec=0.341 (overall: 0.334)
                                                                      
SET: rps=138748.0 (overall: 139180.4) avg_msec=0.340 (overall: 0.334)
                                                                      
SET: rps=139115.5 (overall: 139175.4) avg_msec=0.335 (overall: 0.334)
                                                                      
SET: rps=139528.0 (overall: 139200.6) avg_msec=0.339 (overall: 0.335)
                                                                      
SET: rps=137012.0 (overall: 139054.9) avg_msec=0.336 (overall: 0.335)
                                                                      
SET: rps=139292.0 (overall: 139069.7) avg_msec=0.339 (overall: 0.335)
                                                                      
SET: rps=138709.2 (overall: 139048.4) avg_msec=0.335 (overall: 0.335)
                                                                      
SET: rps=139332.0 (overall: 139064.1) avg_msec=0.339 (overall: 0.335)
                                                                      
SET: rps=139008.0 (overall: 139061.2) avg_msec=0.329 (overall: 0.335)
                                                                      
SET: rps=139520.0 (overall: 139084.1) avg_msec=0.337 (overall: 0.335)
                                                                      
SET: rps=139768.0 (overall: 139116.6) avg_msec=0.336 (overall: 0.335)
                                                                      
SET: rps=139015.9 (overall: 139112.0) avg_msec=0.337 (overall: 0.335)
                                                                      
SET: rps=139116.0 (overall: 139112.2) avg_msec=0.334 (overall: 0.335)
                                                                      
SET: rps=139384.0 (overall: 139123.5) avg_msec=0.339 (overall: 0.335)
                                                                      
SET: rps=139428.0 (overall: 139135.7) avg_msec=0.339 (overall: 0.335)
                                                                      
SET: rps=139167.3 (overall: 139136.9) avg_msec=0.339 (overall: 0.336)
                                                                      
SET: rps=139028.0 (overall: 139132.9) avg_msec=0.340 (overall: 0.336)
                                                                      
SET: rps=139668.0 (overall: 139152.0) avg_msec=0.339 (overall: 0.336)
                                                                      
SET: rps=138836.7 (overall: 139141.0) avg_msec=0.338 (overall: 0.336)
                                                                      
SET: rps=139328.0 (overall: 139147.3) avg_msec=0.339 (overall: 0.336)
                                                                      
SET: rps=139396.0 (overall: 139155.3) avg_msec=0.339 (overall: 0.336)
                                                                      
SET: rps=139384.0 (overall: 139162.4) avg_msec=0.339 (overall: 0.336)
                                                                      
SET: rps=136266.9 (overall: 139074.5) avg_msec=0.330 (overall: 0.336)
                                                                      
SET: rps=138276.0 (overall: 139051.0) avg_msec=0.336 (overall: 0.336)
                                                                      
SET: rps=139348.0 (overall: 139059.5) avg_msec=0.339 (overall: 0.336)
                                                                      
SET: rps=139573.7 (overall: 139073.8) avg_msec=0.334 (overall: 0.336)
                                                                      
SET: rps=140120.0 (overall: 139102.0) avg_msec=0.334 (overall: 0.336)
                                                                      
SET: rps=138796.0 (overall: 139094.0) avg_msec=0.341 (overall: 0.336)
                                                                      
SET: rps=139131.5 (overall: 139095.0) avg_msec=0.338 (overall: 0.336)
                                                                      
SET: rps=139424.0 (overall: 139103.2) avg_msec=0.338 (overall: 0.336)
                                                                      
SET: rps=139152.0 (overall: 139104.4) avg_msec=0.337 (overall: 0.336)
                                                                      
SET: rps=138561.8 (overall: 139091.4) avg_msec=0.339 (overall: 0.336)
                                                                      
SET: rps=138652.0 (overall: 139081.2) avg_msec=0.339 (overall: 0.336)
                                                                      
SET: rps=139748.0 (overall: 139096.3) avg_msec=0.339 (overall: 0.336)
                                                                      
SET: rps=137573.7 (overall: 139062.4) avg_msec=0.334 (overall: 0.336)
                                                                      
SET: rps=138704.0 (overall: 139054.6) avg_msec=0.333 (overall: 0.336)
                                                                      
SET: rps=139376.0 (overall: 139061.5) avg_msec=0.337 (overall: 0.336)
                                                                      
SET: rps=138880.5 (overall: 139057.7) avg_msec=0.338 (overall: 0.336)
                                                                      
SET: rps=137848.0 (overall: 139033.0) avg_msec=0.316 (overall: 0.336)
                                                                      
SET: rps=138680.0 (overall: 139026.0) avg_msec=0.333 (overall: 0.336)
                                                                      
SET: rps=139525.9 (overall: 139035.8) avg_msec=0.335 (overall: 0.336)
                                                                      
SET: rps=140640.0 (overall: 139066.6) avg_msec=0.333 (overall: 0.336)
                                                                      
SET: rps=139940.0 (overall: 139083.1) avg_msec=0.336 (overall: 0.336)
                                                                      
SET: rps=139442.2 (overall: 139089.7) avg_msec=0.338 (overall: 0.336)
                                                                      
SET: rps=137788.0 (overall: 139066.1) avg_msec=0.337 (overall: 0.336)
                                                                      
SET: rps=139486.1 (overall: 139073.6) avg_msec=0.337 (overall: 0.336)
                                                                      
SET: rps=139164.0 (overall: 139075.2) avg_msec=0.321 (overall: 0.336)
                                                                      
