===== Redis 100M Benchmark =====
Instance Type: r6g.xlarge
Run: 3
Date: 2026-01-21T05:38:41+00:00

--- System Info ---
CPU: 4 cores
Memory: 30.9G

--- Starting Redis Server ---
Redis server started

--- Warmup ---
Warmup complete (1M requests)

--- Test 1: SET 100M requests (50 clients, 3 threads) ---
Start: 2026-01-21T05:57:04+00:00
 
SET: rps=0.0 (overall: nan) avg_msec=nan (overall: nan)
                                                        
SET: rps=145860.6 (overall: 145860.6) avg_msec=0.312 (overall: 0.312)
                                                                      
SET: rps=147244.0 (overall: 146550.9) avg_msec=0.319 (overall: 0.315)
                                                                      
SET: rps=146496.0 (overall: 146532.6) avg_msec=0.321 (overall: 0.317)
                                                                      
SET: rps=145498.0 (overall: 146273.5) avg_msec=0.318 (overall: 0.318)
                                                                      
SET: rps=146392.0 (overall: 146297.1) avg_msec=0.320 (overall: 0.318)
                                                                      
SET: rps=147024.0 (overall: 146418.1) avg_msec=0.319 (overall: 0.318)
                                                                      
SET: rps=146035.9 (overall: 146363.4) avg_msec=0.320 (overall: 0.319)
                                                                      
SET: rps=146752.0 (overall: 146411.9) avg_msec=0.320 (overall: 0.319)
                                                                      
SET: rps=146812.0 (overall: 146456.3) avg_msec=0.319 (overall: 0.319)
                                                                      
SET: rps=146000.0 (overall: 146410.5) avg_msec=0.318 (overall: 0.319)
                                                                      
SET: rps=146916.0 (overall: 146456.4) avg_msec=0.321 (overall: 0.319)
                                                                      
SET: rps=146500.0 (overall: 146460.1) avg_msec=0.322 (overall: 0.319)
                                                                      
SET: rps=145992.0 (overall: 146424.0) avg_msec=0.317 (overall: 0.319)
                                                                      
SET: rps=146404.0 (overall: 146422.5) avg_msec=0.320 (overall: 0.319)
                                                                      
SET: rps=146344.0 (overall: 146417.3) avg_msec=0.319 (overall: 0.319)
                                                                      
SET: rps=146672.0 (overall: 146433.2) avg_msec=0.321 (overall: 0.319)
                                                                      
SET: rps=145669.3 (overall: 146388.2) avg_msec=0.319 (overall: 0.319)
                                                                      
SET: rps=146464.0 (overall: 146392.4) avg_msec=0.314 (overall: 0.319)
                                                                      
SET: rps=146132.0 (overall: 146378.7) avg_msec=0.318 (overall: 0.319)
                                                                      
SET: rps=145239.0 (overall: 146321.5) avg_msec=0.314 (overall: 0.319)
                                                                      
SET: rps=144908.0 (overall: 146254.3) avg_msec=0.319 (overall: 0.319)
                                                                      
SET: rps=146688.0 (overall: 146274.0) avg_msec=0.319 (overall: 0.319)
                                                                      
SET: rps=142195.2 (overall: 146096.2) avg_msec=0.317 (overall: 0.319)
                                                                      
SET: rps=146616.0 (overall: 146117.8) avg_msec=0.317 (overall: 0.319)
                                                                      
SET: rps=146524.0 (overall: 146134.1) avg_msec=0.320 (overall: 0.319)
                                                                      
SET: rps=146732.0 (overall: 146157.0) avg_msec=0.320 (overall: 0.319)
                                                                      
SET: rps=145482.1 (overall: 146132.0) avg_msec=0.314 (overall: 0.319)
                                                                      
SET: rps=146412.0 (overall: 146142.0) avg_msec=0.316 (overall: 0.319)
                                                                      
SET: rps=146294.8 (overall: 146147.2) avg_msec=0.320 (overall: 0.319)
                                                                      
SET: rps=146444.0 (overall: 146157.1) avg_msec=0.317 (overall: 0.319)
                                                                      
SET: rps=147016.0 (overall: 146184.8) avg_msec=0.321 (overall: 0.319)
                                                                      
SET: rps=146565.8 (overall: 146196.7) avg_msec=0.321 (overall: 0.319)
                                                                      
SET: rps=146964.0 (overall: 146220.0) avg_msec=0.320 (overall: 0.319)
                                                                      
SET: rps=147120.0 (overall: 146246.4) avg_msec=0.318 (overall: 0.319)
                                                                      
SET: rps=146561.8 (overall: 146255.4) avg_msec=0.318 (overall: 0.319)
                                                                      
SET: rps=146904.0 (overall: 146273.4) avg_msec=0.319 (overall: 0.319)
                                                                      
SET: rps=147088.0 (overall: 146295.4) avg_msec=0.320 (overall: 0.319)
                                                                      
SET: rps=146844.0 (overall: 146309.8) avg_msec=0.321 (overall: 0.319)
                                                                      
SET: rps=146043.8 (overall: 146303.0) avg_msec=0.319 (overall: 0.319)
                                                                      
SET: rps=146872.0 (overall: 146317.2) avg_msec=0.319 (overall: 0.319)
                                                                      
SET: rps=146988.0 (overall: 146333.5) avg_msec=0.319 (overall: 0.319)
                                                                      
SET: rps=146605.6 (overall: 146340.0) avg_msec=0.319 (overall: 0.319)
                                                                      
SET: rps=146832.0 (overall: 146351.5) avg_msec=0.320 (overall: 0.319)
                                                                      
SET: rps=146474.1 (overall: 146354.2) avg_msec=0.319 (overall: 0.319)
                                                                      
