===== Redis 100M Benchmark =====
Instance Type: r6gd.xlarge
Run: 2
Date: 2026-01-21T05:41:00+00:00

--- System Info ---
CPU: 4 cores
Memory: 30.9G

--- Starting Redis Server ---
Redis server started

--- Warmup ---
Warmup complete (1M requests)

--- Test 1: SET 100M requests (50 clients, 3 threads) ---
Start: 2026-01-21T06:01:50+00:00
 
SET: rps=0.0 (overall: 0.0) avg_msec=nan (overall: nan)
                                                        
SET: rps=134528.0 (overall: 133992.0) avg_msec=0.352 (overall: 0.352)
                                                                      
SET: rps=134900.0 (overall: 134445.1) avg_msec=0.351 (overall: 0.351)
                                                                      
SET: rps=134972.0 (overall: 134620.5) avg_msec=0.352 (overall: 0.352)
                                                                      
SET: rps=133529.9 (overall: 134347.3) avg_msec=0.340 (overall: 0.349)
                                                                      
SET: rps=134668.0 (overall: 134411.3) avg_msec=0.353 (overall: 0.350)
                                                                      
SET: rps=134932.0 (overall: 134498.0) avg_msec=0.352 (overall: 0.350)
                                                                      
SET: rps=134179.3 (overall: 134452.4) avg_msec=0.349 (overall: 0.350)
                                                                      
SET: rps=134360.0 (overall: 134440.8) avg_msec=0.346 (overall: 0.350)
                                                                      
SET: rps=135144.0 (overall: 134518.9) avg_msec=0.351 (overall: 0.350)
                                                                      
SET: rps=134740.0 (overall: 134541.0) avg_msec=0.345 (overall: 0.349)
                                                                      
SET: rps=134354.6 (overall: 134524.0) avg_msec=0.348 (overall: 0.349)
                                                                      
SET: rps=135232.0 (overall: 134582.9) avg_msec=0.352 (overall: 0.349)
                                                                      
SET: rps=128364.0 (overall: 134105.1) avg_msec=0.353 (overall: 0.350)
                                                                      
SET: rps=134043.8 (overall: 134100.7) avg_msec=0.354 (overall: 0.350)
                                                                      
SET: rps=134840.0 (overall: 134149.9) avg_msec=0.352 (overall: 0.350)
                                                                      
SET: rps=134448.0 (overall: 134168.5) avg_msec=0.351 (overall: 0.350)
                                                                      
SET: rps=134191.2 (overall: 134169.9) avg_msec=0.353 (overall: 0.350)
                                                                      
SET: rps=134612.0 (overall: 134194.4) avg_msec=0.352 (overall: 0.350)
                                                                      
SET: rps=131508.0 (overall: 134053.2) avg_msec=0.349 (overall: 0.350)
                                                                      
SET: rps=133700.0 (overall: 134035.6) avg_msec=0.352 (overall: 0.350)
                                                                      
SET: rps=134928.3 (overall: 134078.2) avg_msec=0.350 (overall: 0.350)
                                                                      
SET: rps=135652.0 (overall: 134149.6) avg_msec=0.348 (overall: 0.350)
                                                                      
SET: rps=135334.7 (overall: 134201.3) avg_msec=0.348 (overall: 0.350)
                                                                      
SET: rps=135688.0 (overall: 134263.2) avg_msec=0.349 (overall: 0.350)
                                                                      
SET: rps=135740.0 (overall: 134322.2) avg_msec=0.350 (overall: 0.350)
                                                                      
SET: rps=134768.9 (overall: 134339.4) avg_msec=0.349 (overall: 0.350)
                                                                      
SET: rps=135460.0 (overall: 134380.8) avg_msec=0.347 (overall: 0.350)
                                                                      
SET: rps=135828.0 (overall: 134432.5) avg_msec=0.349 (overall: 0.350)
                                                                      
SET: rps=135231.1 (overall: 134460.0) avg_msec=0.350 (overall: 0.350)
                                                                      
SET: rps=135432.0 (overall: 134492.4) avg_msec=0.347 (overall: 0.350)
                                                                      
SET: rps=135512.0 (overall: 134525.2) avg_msec=0.350 (overall: 0.350)
                                                                      
SET: rps=135087.7 (overall: 134542.9) avg_msec=0.350 (overall: 0.350)
                                                                      
SET: rps=135668.0 (overall: 134576.9) avg_msec=0.350 (overall: 0.350)
                                                                      
SET: rps=135216.0 (overall: 134595.7) avg_msec=0.349 (overall: 0.350)
                                                                      
SET: rps=135444.0 (overall: 134619.9) avg_msec=0.350 (overall: 0.350)
                                                                      
SET: rps=135358.6 (overall: 134640.5) avg_msec=0.349 (overall: 0.350)
                                                                      
SET: rps=135860.0 (overall: 134673.4) avg_msec=0.349 (overall: 0.350)
                                                                      
SET: rps=135512.0 (overall: 134695.4) avg_msec=0.339 (overall: 0.350)
                                                                      
SET: rps=135231.1 (overall: 134709.2) avg_msec=0.343 (overall: 0.349)
                                                                      
SET: rps=136156.0 (overall: 134745.3) avg_msec=0.349 (overall: 0.349)
                                                                      
SET: rps=134944.2 (overall: 134750.2) avg_msec=0.349 (overall: 0.349)
                                                                      
SET: rps=135972.0 (overall: 134779.2) avg_msec=0.348 (overall: 0.349)
                                                                      
SET: rps=135956.0 (overall: 134806.6) avg_msec=0.349 (overall: 0.349)
                                                                      
SET: rps=135239.0 (overall: 134816.4) avg_msec=0.349 (overall: 0.349)
                                                                      
SET: rps=135612.0 (overall: 134834.1) avg_msec=0.350 (overall: 0.349)
                                                                      
SET: rps=135688.0 (overall: 134852.6) avg_msec=0.348 (overall: 0.349)
                                                                      
SET: rps=135645.4 (overall: 134869.5) avg_msec=0.349 (overall: 0.349)
                                                                      
SET: rps=136004.0 (overall: 134893.1) avg_msec=0.348 (overall: 0.349)
                                                                      
SET: rps=135290.8 (overall: 134901.3) avg_msec=0.350 (overall: 0.349)
                                                                      
SET: rps=134044.0 (overall: 134884.2) avg_msec=0.346 (overall: 0.349)
                                                                      
SET: rps=135032.0 (overall: 134887.0) avg_msec=0.349 (overall: 0.349)
                                                                      
SET: rps=135099.6 (overall: 134891.2) avg_msec=0.350 (overall: 0.349)
                                                                      
SET: rps=133136.0 (overall: 134858.1) avg_msec=0.348 (overall: 0.349)
                                                                      
SET: rps=134824.0 (overall: 134857.5) avg_msec=0.351 (overall: 0.349)
                                                                      
SET: rps=134673.3 (overall: 134854.1) avg_msec=0.351 (overall: 0.349)
                                                                      
SET: rps=134960.0 (overall: 134856.0) avg_msec=0.352 (overall: 0.349)
                                                                      
SET: rps=134920.0 (overall: 134857.1) avg_msec=0.351 (overall: 0.349)
                                                                      
SET: rps=134426.3 (overall: 134849.7) avg_msec=0.344 (overall: 0.349)
                                                                      
SET: rps=132972.0 (overall: 134817.9) avg_msec=0.347 (overall: 0.349)
                                                                      
SET: rps=133252.0 (overall: 134791.8) avg_msec=0.348 (overall: 0.349)
                                                                      
SET: rps=134924.0 (overall: 134794.0) avg_msec=0.351 (overall: 0.349)
                                                                      
SET: rps=133637.5 (overall: 134775.3) avg_msec=0.348 (overall: 0.349)
                                                                      
