===== Redis 100M Benchmark =====
Instance Type: r6i.xlarge
Run: 1
Date: 2026-01-21T09:10:27+00:00

--- System Info ---
CPU: 4 cores
Memory: 30.8G
model name	: Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz

--- Starting Redis Server ---
Redis server started

--- Warmup ---
Warmup complete (100K SET requests)

--- Test 1: SET 100M requests (50 clients, 3 threads) ---
Start: 2026-01-21T09:10:30+00:00
 
SET: rps=0.0 (overall: inf) avg_msec=0.079 (overall: 0.067)
                                                            
SET: rps=168071.7 (overall: 168111.6) avg_msec=0.275 (overall: 0.275)
                                                                      
SET: rps=164616.0 (overall: 166367.3) avg_msec=0.289 (overall: 0.282)
                                                                      
SET: rps=162168.0 (overall: 164969.4) avg_msec=0.293 (overall: 0.286)
                                                                      
SET: rps=164442.2 (overall: 164837.3) avg_msec=0.286 (overall: 0.286)
                                                                      
SET: rps=166992.0 (overall: 165267.6) avg_msec=0.281 (overall: 0.285)
                                                                      
SET: rps=171312.0 (overall: 166273.6) avg_msec=0.268 (overall: 0.282)
                                                                      
SET: rps=171040.0 (overall: 166953.8) avg_msec=0.271 (overall: 0.280)
                                                                      
SET: rps=167613.5 (overall: 167036.4) avg_msec=0.280 (overall: 0.280)
                                                                      
SET: rps=166572.0 (overall: 166984.9) avg_msec=0.282 (overall: 0.280)
                                                                      
SET: rps=170124.0 (overall: 167298.4) avg_msec=0.273 (overall: 0.280)
                                                                      
SET: rps=162470.1 (overall: 166858.4) avg_msec=0.286 (overall: 0.280)
                                                                      
SET: rps=167972.0 (overall: 166951.1) avg_msec=0.280 (overall: 0.280)
                                                                      
SET: rps=169648.0 (overall: 167158.3) avg_msec=0.275 (overall: 0.280)
                                                                      
SET: rps=163422.3 (overall: 166890.7) avg_msec=0.286 (overall: 0.280)
                                                                      
SET: rps=171120.0 (overall: 167172.3) avg_msec=0.272 (overall: 0.280)
                                                                      
SET: rps=166536.0 (overall: 167132.6) avg_msec=0.282 (overall: 0.280)
                                                                      
SET: rps=165884.0 (overall: 167059.2) avg_msec=0.280 (overall: 0.280)
                                                                      
SET: rps=168916.3 (overall: 167162.7) avg_msec=0.277 (overall: 0.280)
                                                                      
SET: rps=166156.0 (overall: 167109.8) avg_msec=0.282 (overall: 0.280)
                                                                      
SET: rps=164708.0 (overall: 166989.8) avg_msec=0.286 (overall: 0.280)
                                                                      
SET: rps=168000.0 (overall: 167037.9) avg_msec=0.280 (overall: 0.280)
                                                                      
SET: rps=152199.2 (overall: 166361.5) avg_msec=0.298 (overall: 0.281)
                                                                      
SET: rps=163944.0 (overall: 166256.6) avg_msec=0.290 (overall: 0.281)
                                                                      
