===== Redis 100M Benchmark =====
Instance Type: r6id.xlarge
Run: 2
Date: 2026-01-21T09:10:39+00:00

--- System Info ---
CPU: 4 cores
Memory: 30.8G
model name	: Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz

--- Starting Redis Server ---
Redis server started

--- Warmup ---
Warmup complete (100K SET requests)

--- Test 1: SET 100M requests (50 clients, 3 threads) ---
Start: 2026-01-21T09:10:42+00:00
 
SET: rps=0.0 (overall: inf) avg_msec=0.095 (overall: 0.081)
                                                            
SET: rps=161119.5 (overall: 161175.3) avg_msec=0.287 (overall: 0.287)
                                                                      
SET: rps=162136.0 (overall: 161654.7) avg_msec=0.292 (overall: 0.289)
                                                                      
SET: rps=161988.0 (overall: 161765.7) avg_msec=0.289 (overall: 0.289)
                                                                      
SET: rps=164956.2 (overall: 162564.9) avg_msec=0.283 (overall: 0.288)
                                                                      
SET: rps=159988.0 (overall: 162050.3) avg_msec=0.291 (overall: 0.288)
                                                                      
SET: rps=160529.9 (overall: 161796.4) avg_msec=0.288 (overall: 0.288)
                                                                      
SET: rps=164664.0 (overall: 162205.4) avg_msec=0.284 (overall: 0.288)
                                                                      
SET: rps=167460.0 (overall: 162861.2) avg_msec=0.278 (overall: 0.287)
                                                                      
SET: rps=165298.8 (overall: 163132.7) avg_msec=0.279 (overall: 0.286)
                                                                      
SET: rps=163044.0 (overall: 163123.8) avg_msec=0.284 (overall: 0.286)
                                                                      
SET: rps=159752.0 (overall: 162817.7) avg_msec=0.292 (overall: 0.286)
                                                                      
SET: rps=174498.0 (overall: 163793.3) avg_msec=0.259 (overall: 0.284)
                                                                      
SET: rps=160640.0 (overall: 163551.1) avg_msec=0.283 (overall: 0.284)
                                                                      
SET: rps=158362.6 (overall: 163179.7) avg_msec=0.293 (overall: 0.284)
                                                                      
SET: rps=164836.0 (overall: 163289.9) avg_msec=0.284 (overall: 0.284)
                                                                      
SET: rps=162187.3 (overall: 163220.9) avg_msec=0.291 (overall: 0.285)
                                                                      
SET: rps=160795.3 (overall: 163076.3) avg_msec=0.295 (overall: 0.285)
                                                                      
SET: rps=170528.0 (overall: 163489.2) avg_msec=0.270 (overall: 0.284)
                                                                      
SET: rps=162199.2 (overall: 163421.2) avg_msec=0.285 (overall: 0.284)
                                                                      
SET: rps=161616.0 (overall: 163331.2) avg_msec=0.292 (overall: 0.285)
                                                                      
SET: rps=160520.0 (overall: 163197.6) avg_msec=0.290 (overall: 0.285)
                                                                      
SET: rps=167235.1 (overall: 163381.5) avg_msec=0.273 (overall: 0.285)
                                                                      
SET: rps=165888.0 (overall: 163490.2) avg_msec=0.281 (overall: 0.284)
                                                                      
SET: rps=164888.0 (overall: 163548.3) avg_msec=0.286 (overall: 0.284)
                                                                      
SET: rps=163402.4 (overall: 163542.5) avg_msec=0.282 (overall: 0.284)
                                                                      
