===== Redis 100M Benchmark =====
Instance Type: r6id.xlarge
Run: 5
Date: 2026-01-23T02:53:56+00:00

--- System Info ---
CPU: 4 cores
Memory: 30.8G
model name	: Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz

--- Starting Redis Server ---
Redis server started

--- Warmup ---
Warmup complete (100K SET requests)

--- Test 1: SET 100M requests (50 clients, 3 threads) ---
Start: 2026-01-23T02:53:59+00:00
 
SET: rps=0.0 (overall: -nan) avg_msec=0.049 (overall: 0.000)
                                                             
SET: rps=166536.0 (overall: 166536.0) avg_msec=0.283 (overall: 0.283)
                                                                      
SET: rps=167784.0 (overall: 167160.0) avg_msec=0.274 (overall: 0.278)
                                                                      
SET: rps=162314.8 (overall: 165540.6) avg_msec=0.289 (overall: 0.282)
                                                                      
SET: rps=158968.0 (overall: 163899.1) avg_msec=0.290 (overall: 0.284)
                                                                      
SET: rps=165136.0 (overall: 164146.3) avg_msec=0.286 (overall: 0.284)
                                                                      
SET: rps=156195.2 (overall: 162817.6) avg_msec=0.295 (overall: 0.286)
                                                                      
SET: rps=171908.0 (overall: 164114.7) avg_msec=0.267 (overall: 0.283)
                                                                      
SET: rps=160676.0 (overall: 163685.3) avg_msec=0.290 (overall: 0.284)
                                                                      
SET: rps=161525.9 (overall: 163444.7) avg_msec=0.288 (overall: 0.284)
                                                                      
SET: rps=168492.0 (overall: 163948.9) avg_msec=0.275 (overall: 0.283)
                                                                      
SET: rps=170268.0 (overall: 164522.7) avg_msec=0.272 (overall: 0.282)
                                                                      
SET: rps=164452.8 (overall: 164516.8) avg_msec=0.278 (overall: 0.282)
                                                                      
SET: rps=171176.0 (overall: 165027.9) avg_msec=0.265 (overall: 0.281)
                                                                      
SET: rps=161200.0 (overall: 164755.1) avg_msec=0.285 (overall: 0.281)
                                                                      
SET: rps=157553.8 (overall: 164274.1) avg_msec=0.294 (overall: 0.282)
                                                                      
SET: rps=165432.0 (overall: 164346.3) avg_msec=0.281 (overall: 0.282)
                                                                      
SET: rps=163772.0 (overall: 164312.6) avg_msec=0.287 (overall: 0.282)
                                                                      
SET: rps=158784.9 (overall: 164004.9) avg_msec=0.283 (overall: 0.282)
                                                                      
SET: rps=171440.0 (overall: 164395.5) avg_msec=0.268 (overall: 0.281)
                                                                      
SET: rps=165318.7 (overall: 164441.7) avg_msec=0.284 (overall: 0.281)
                                                                      
SET: rps=162085.6 (overall: 164326.8) avg_msec=0.293 (overall: 0.282)
                                                                      
SET: rps=170616.0 (overall: 164611.7) avg_msec=0.266 (overall: 0.281)
                                                                      
SET: rps=164402.4 (overall: 164602.6) avg_msec=0.273 (overall: 0.281)
                                                                      
SET: rps=164164.0 (overall: 164584.4) avg_msec=0.279 (overall: 0.281)
                                                                      
SET: rps=164008.0 (overall: 164561.4) avg_msec=0.279 (overall: 0.281)
                                                                      
