===== Redis 100M Benchmark =====
Instance Type: r7g.xlarge
Run: 4
Date: 2026-01-23T04:43:24+00:00

--- System Info ---
CPU: 4 cores
Memory: 30.8G

--- Starting Redis Server ---
Redis server started

--- Warmup ---
Warmup complete (100K SET requests)

--- Test 1: SET 100M requests (50 clients, 3 threads) ---
Start: 2026-01-23T04:43:27+00:00
 
SET: rps=0.0 (overall: 0.0) avg_msec=nan (overall: nan)
                                                        
SET: rps=186492.0 (overall: 185749.0) avg_msec=0.221 (overall: 0.222)
                                                                      
SET: rps=188091.6 (overall: 186920.3) avg_msec=0.226 (overall: 0.224)
                                                                      
SET: rps=188500.0 (overall: 187445.5) avg_msec=0.226 (overall: 0.225)
                                                                      
SET: rps=189260.0 (overall: 187898.2) avg_msec=0.221 (overall: 0.224)
                                                                      
SET: rps=188223.1 (overall: 187963.3) avg_msec=0.226 (overall: 0.224)
                                                                      
SET: rps=188780.0 (overall: 188099.1) avg_msec=0.213 (overall: 0.222)
                                                                      
SET: rps=188753.0 (overall: 188192.7) avg_msec=0.216 (overall: 0.221)
                                                                      
SET: rps=189664.0 (overall: 188376.2) avg_msec=0.217 (overall: 0.221)
                                                                      
SET: rps=185044.0 (overall: 188006.7) avg_msec=0.231 (overall: 0.222)
                                                                      
SET: rps=188908.0 (overall: 188096.7) avg_msec=0.218 (overall: 0.222)
                                                                      
SET: rps=187697.2 (overall: 188060.2) avg_msec=0.218 (overall: 0.221)
                                                                      
SET: rps=189059.8 (overall: 188143.7) avg_msec=0.220 (overall: 0.221)
                                                                      
SET: rps=189036.0 (overall: 188212.2) avg_msec=0.217 (overall: 0.221)
                                                                      
SET: rps=188444.0 (overall: 188228.8) avg_msec=0.213 (overall: 0.220)
                                                                      
SET: rps=187952.0 (overall: 188210.3) avg_msec=0.219 (overall: 0.220)
                                                                      
SET: rps=189155.4 (overall: 188269.5) avg_msec=0.220 (overall: 0.220)
                                                                      
SET: rps=186580.0 (overall: 188170.3) avg_msec=0.230 (overall: 0.221)
                                                                      
SET: rps=188576.0 (overall: 188192.8) avg_msec=0.224 (overall: 0.221)
                                                                      
SET: rps=184820.0 (overall: 188015.6) avg_msec=0.232 (overall: 0.222)
                                                                      
SET: rps=185693.2 (overall: 187899.2) avg_msec=0.218 (overall: 0.221)
                                                                      
SET: rps=188139.5 (overall: 187910.6) avg_msec=0.226 (overall: 0.222)
                                                                      
SET: rps=188340.0 (overall: 187930.1) avg_msec=0.225 (overall: 0.222)
                                                                      
SET: rps=188000.0 (overall: 187933.2) avg_msec=0.231 (overall: 0.222)
                                                                      
SET: rps=186330.7 (overall: 187866.2) avg_msec=0.221 (overall: 0.222)
                                                                      
SET: rps=175088.0 (overall: 187355.9) avg_msec=0.241 (overall: 0.223)
                                                                      
SET: rps=188215.2 (overall: 187389.0) avg_msec=0.216 (overall: 0.223)
                                                                      
SET: rps=186044.0 (overall: 187339.3) avg_msec=0.223 (overall: 0.223)
                                                                      
SET: rps=189492.0 (overall: 187416.1) avg_msec=0.221 (overall: 0.223)
                                                                      
SET: rps=186605.6 (overall: 187388.0) avg_msec=0.225 (overall: 0.223)
                                                                      
SET: rps=184752.0 (overall: 187300.3) avg_msec=0.225 (overall: 0.223)
                                                                      
SET: rps=189016.0 (overall: 187355.6) avg_msec=0.230 (overall: 0.223)
                                                                      
SET: rps=181661.4 (overall: 187177.2) avg_msec=0.224 (overall: 0.223)
                                                                      
SET: rps=189064.0 (overall: 187234.3) avg_msec=0.226 (overall: 0.223)
                                                                      
SET: rps=188740.0 (overall: 187278.5) avg_msec=0.220 (overall: 0.223)
                                                                      
SET: rps=189490.0 (overall: 187341.9) avg_msec=0.214 (overall: 0.223)
                                                                      
SET: rps=188812.0 (overall: 187382.6) avg_msec=0.219 (overall: 0.223)
                                                                      
SET: rps=187392.0 (overall: 187382.9) avg_msec=0.230 (overall: 0.223)
                                                                      
SET: rps=188784.0 (overall: 187419.7) avg_msec=0.215 (overall: 0.223)
                                                                      
SET: rps=189529.9 (overall: 187473.9) avg_msec=0.225 (overall: 0.223)
                                                                      
SET: rps=189079.4 (overall: 187514.3) avg_msec=0.218 (overall: 0.223)
                                                                      
SET: rps=184641.4 (overall: 187444.1) avg_msec=0.233 (overall: 0.223)
                                                                      
SET: rps=188617.5 (overall: 187472.1) avg_msec=0.220 (overall: 0.223)
                                                                      
SET: rps=188972.1 (overall: 187507.0) avg_msec=0.220 (overall: 0.223)
                                                                      
SET: rps=188368.0 (overall: 187526.6) avg_msec=0.212 (overall: 0.222)
                                                                      
SET: rps=188128.0 (overall: 187539.9) avg_msec=0.228 (overall: 0.223)
                                                                      
SET: rps=186356.0 (overall: 187514.2) avg_msec=0.219 (overall: 0.223)
                                                                      
SET: rps=189290.8 (overall: 187552.1) avg_msec=0.211 (overall: 0.222)
                                                                      
SET: rps=190384.0 (overall: 187611.0) avg_msec=0.215 (overall: 0.222)
                                                                      
SET: rps=189892.0 (overall: 187657.5) avg_msec=0.222 (overall: 0.222)
                                                                      
SET: rps=189632.0 (overall: 187696.9) avg_msec=0.226 (overall: 0.222)
                                                                      
SET: rps=187516.0 (overall: 187693.4) avg_msec=0.223 (overall: 0.222)
                                                                      
SET: rps=167733.1 (overall: 187308.6) avg_msec=0.241 (overall: 0.223)
                                                                      
