===== Redis 100M Benchmark =====
Instance Type: r7g.xlarge
Run: 5
Date: 2026-01-23T04:43:26+00:00

--- System Info ---
CPU: 4 cores
Memory: 30.8G

--- Starting Redis Server ---
Redis server started

--- Warmup ---
Warmup complete (100K SET requests)

--- Test 1: SET 100M requests (50 clients, 3 threads) ---
Start: 2026-01-23T04:43:29+00:00
 
SET: rps=0.0 (overall: inf) avg_msec=0.083 (overall: 0.107)
                                                            
SET: rps=191552.0 (overall: 191604.0) avg_msec=0.225 (overall: 0.225)
                                                                      
SET: rps=193768.0 (overall: 192686.0) avg_msec=0.218 (overall: 0.222)
                                                                      
SET: rps=193585.7 (overall: 192986.7) avg_msec=0.216 (overall: 0.220)
                                                                      
SET: rps=193636.0 (overall: 193148.8) avg_msec=0.214 (overall: 0.218)
                                                                      
SET: rps=193681.3 (overall: 193255.6) avg_msec=0.227 (overall: 0.220)
                                                                      
SET: rps=192728.0 (overall: 193167.8) avg_msec=0.213 (overall: 0.219)
                                                                      
SET: rps=194244.0 (overall: 193321.3) avg_msec=0.222 (overall: 0.219)
                                                                      
SET: rps=189633.5 (overall: 192859.2) avg_msec=0.226 (overall: 0.220)
                                                                      
SET: rps=194396.0 (overall: 193029.7) avg_msec=0.214 (overall: 0.219)
                                                                      
SET: rps=194247.0 (overall: 193151.8) avg_msec=0.219 (overall: 0.219)
                                                                      
SET: rps=195476.0 (overall: 193362.8) avg_msec=0.219 (overall: 0.219)
                                                                      
SET: rps=194480.0 (overall: 193455.7) avg_msec=0.222 (overall: 0.220)
                                                                      
SET: rps=191828.7 (overall: 193330.2) avg_msec=0.222 (overall: 0.220)
                                                                      
SET: rps=192127.5 (overall: 193244.2) avg_msec=0.213 (overall: 0.219)
                                                                      
SET: rps=194144.0 (overall: 193304.0) avg_msec=0.221 (overall: 0.219)
                                                                      
SET: rps=181704.0 (overall: 192580.1) avg_msec=0.225 (overall: 0.220)
                                                                      
SET: rps=192103.6 (overall: 192552.0) avg_msec=0.228 (overall: 0.220)
                                                                      
SET: rps=192400.0 (overall: 192543.6) avg_msec=0.216 (overall: 0.220)
                                                                      
SET: rps=192404.0 (overall: 192536.3) avg_msec=0.230 (overall: 0.221)
                                                                      
SET: rps=185872.5 (overall: 192202.3) avg_msec=0.227 (overall: 0.221)
                                                                      
SET: rps=192800.0 (overall: 192230.7) avg_msec=0.214 (overall: 0.221)
                                                                      
SET: rps=184420.0 (overall: 191876.2) avg_msec=0.229 (overall: 0.221)
                                                                      
SET: rps=193490.0 (overall: 191946.5) avg_msec=0.218 (overall: 0.221)
                                                                      
SET: rps=186160.0 (overall: 191705.8) avg_msec=0.231 (overall: 0.221)
                                                                      
SET: rps=194212.0 (overall: 191805.9) avg_msec=0.219 (overall: 0.221)
                                                                      
