===== Redis 100M Benchmark =====
Instance Type: r8g.xlarge
Run: 5
Date: 2026-01-21T05:43:59+00:00

--- System Info ---
CPU: 4 cores
Memory: 30.8G

--- Starting Redis Server ---
Redis server started

--- Warmup ---
Warmup complete (1M requests)

--- Test 1: SET 100M requests (50 clients, 3 threads) ---
Start: 2026-01-21T05:59:16+00:00
 
SET: rps=0.0 (overall: inf) avg_msec=0.096 (overall: 0.130)
                                                            
SET: rps=246676.0 (overall: 246824.0) avg_msec=0.184 (overall: 0.184)
                                                                      
SET: rps=245020.0 (overall: 245922.0) avg_msec=0.176 (overall: 0.180)
                                                                      
SET: rps=245438.3 (overall: 245760.3) avg_msec=0.185 (overall: 0.182)
                                                                      
SET: rps=246536.0 (overall: 245954.0) avg_msec=0.187 (overall: 0.183)
                                                                      
SET: rps=241496.0 (overall: 245063.1) avg_msec=0.175 (overall: 0.182)
                                                                      
SET: rps=246680.0 (overall: 245332.4) avg_msec=0.183 (overall: 0.182)
                                                                      
SET: rps=245729.1 (overall: 245389.3) avg_msec=0.177 (overall: 0.181)
                                                                      
SET: rps=247972.0 (overall: 245711.8) avg_msec=0.186 (overall: 0.182)
                                                                      
SET: rps=246020.0 (overall: 245746.0) avg_msec=0.183 (overall: 0.182)
                                                                      
SET: rps=239301.6 (overall: 245097.5) avg_msec=0.187 (overall: 0.183)
                                                                      
SET: rps=245980.1 (overall: 245177.8) avg_msec=0.187 (overall: 0.183)
                                                                      
SET: rps=246876.0 (overall: 245319.1) avg_msec=0.187 (overall: 0.183)
                                                                      
SET: rps=246500.0 (overall: 245409.8) avg_msec=0.187 (overall: 0.184)
                                                                      
SET: rps=247020.0 (overall: 245524.7) avg_msec=0.187 (overall: 0.184)
                                                                      
SET: rps=246492.0 (overall: 245589.1) avg_msec=0.187 (overall: 0.184)
                                                                      
SET: rps=244920.0 (overall: 245547.3) avg_msec=0.186 (overall: 0.184)
                                                                      
SET: rps=245127.5 (overall: 245522.5) avg_msec=0.187 (overall: 0.184)
                                                                      
SET: rps=246160.0 (overall: 245557.9) avg_msec=0.187 (overall: 0.185)
                                                                      
SET: rps=244948.0 (overall: 245525.9) avg_msec=0.188 (overall: 0.185)
                                                                      
SET: rps=246364.0 (overall: 245567.7) avg_msec=0.187 (overall: 0.185)
                                                                      
SET: rps=246596.0 (overall: 245616.6) avg_msec=0.187 (overall: 0.185)
                                                                      
SET: rps=245613.6 (overall: 245616.5) avg_msec=0.187 (overall: 0.185)
                                                                      
SET: rps=247316.0 (overall: 245690.3) avg_msec=0.187 (overall: 0.185)
                                                                      
SET: rps=247140.0 (overall: 245750.6) avg_msec=0.187 (overall: 0.185)
                                                                      
SET: rps=246904.0 (overall: 245796.7) avg_msec=0.187 (overall: 0.185)
                                                                      
SET: rps=244191.2 (overall: 245734.8) avg_msec=0.188 (overall: 0.185)
                                                                      
SET: rps=245504.0 (overall: 245726.2) avg_msec=0.183 (overall: 0.185)
                                                                      
SET: rps=246448.0 (overall: 245752.0) avg_msec=0.187 (overall: 0.185)
                                                                      
SET: rps=247004.0 (overall: 245795.1) avg_msec=0.187 (overall: 0.185)
                                                                      
SET: rps=246506.0 (overall: 245818.9) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=247044.0 (overall: 245858.4) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=246904.0 (overall: 245891.0) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=246944.0 (overall: 245922.9) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=247140.0 (overall: 245958.6) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=245996.0 (overall: 245959.7) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=246924.0 (overall: 245986.5) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=246440.0 (overall: 245998.7) avg_msec=0.186 (overall: 0.186)
                                                                      
SET: rps=246808.0 (overall: 246020.0) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=245820.7 (overall: 246014.9) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=246040.0 (overall: 246015.5) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=246868.0 (overall: 246036.3) avg_msec=0.186 (overall: 0.186)
                                                                      
SET: rps=247560.0 (overall: 246072.5) avg_msec=0.185 (overall: 0.186)
                                                                      
SET: rps=248184.0 (overall: 246121.6) avg_msec=0.186 (overall: 0.186)
                                                                      
SET: rps=246541.8 (overall: 246131.1) avg_msec=0.186 (overall: 0.186)
                                                                      
SET: rps=243472.0 (overall: 246072.1) avg_msec=0.185 (overall: 0.186)
                                                                      
SET: rps=246032.0 (overall: 246071.2) avg_msec=0.188 (overall: 0.186)
                                                                      
SET: rps=244472.0 (overall: 246037.2) avg_msec=0.172 (overall: 0.186)
                                                                      
SET: rps=247132.0 (overall: 246060.0) avg_msec=0.186 (overall: 0.186)
                                                                      
SET: rps=243673.3 (overall: 246011.2) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=245032.0 (overall: 245991.6) avg_msec=0.186 (overall: 0.186)
                                                                      
SET: rps=245336.0 (overall: 245978.8) avg_msec=0.188 (overall: 0.186)
                                                                      
SET: rps=245215.2 (overall: 245964.0) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=246920.0 (overall: 245982.1) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=247020.0 (overall: 246001.3) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=246668.0 (overall: 246013.4) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=246972.0 (overall: 246030.5) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=246696.0 (overall: 246042.1) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=247004.0 (overall: 246058.7) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=245972.1 (overall: 246057.2) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=247516.0 (overall: 246081.5) avg_msec=0.186 (overall: 0.186)
                                                                      
SET: rps=247408.0 (overall: 246103.2) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=247200.0 (overall: 246120.9) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=247112.0 (overall: 246136.6) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=245396.0 (overall: 246125.1) avg_msec=0.188 (overall: 0.186)
                                                                      
SET: rps=245525.9 (overall: 246115.8) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=247744.0 (overall: 246140.5) avg_msec=0.186 (overall: 0.186)
                                                                      
SET: rps=247432.0 (overall: 246159.7) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=245784.0 (overall: 246154.2) avg_msec=0.188 (overall: 0.186)
                                                                      
SET: rps=244760.0 (overall: 246134.0) avg_msec=0.178 (overall: 0.186)
                                                                      
SET: rps=247432.0 (overall: 246152.5) avg_msec=0.185 (overall: 0.186)
                                                                      
SET: rps=246468.0 (overall: 246157.0) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=245944.2 (overall: 246154.0) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=246728.0 (overall: 246161.9) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=246512.0 (overall: 246166.6) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=247496.0 (overall: 246184.3) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=246932.0 (overall: 246194.1) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=244726.2 (overall: 246175.0) avg_msec=0.188 (overall: 0.186)
                                                                      
SET: rps=246784.0 (overall: 246182.8) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=247200.0 (overall: 246195.6) avg_msec=0.186 (overall: 0.186)
                                                                      
SET: rps=247416.0 (overall: 246210.9) avg_msec=0.186 (overall: 0.186)
                                                                      
SET: rps=245796.0 (overall: 246205.8) avg_msec=0.186 (overall: 0.186)
                                                                      
SET: rps=246456.0 (overall: 246208.8) avg_msec=0.186 (overall: 0.186)
                                                                      
SET: rps=245556.0 (overall: 246200.9) avg_msec=0.188 (overall: 0.186)
                                                                      
SET: rps=246091.6 (overall: 246199.6) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=242948.0 (overall: 246161.4) avg_msec=0.185 (overall: 0.186)
                                                                      
SET: rps=247628.0 (overall: 246178.4) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=247204.0 (overall: 246190.2) avg_msec=0.185 (overall: 0.186)
                                                                      
SET: rps=247684.0 (overall: 246207.2) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=247596.0 (overall: 246222.8) avg_msec=0.186 (overall: 0.186)
                                                                      
SET: rps=245608.0 (overall: 246215.9) avg_msec=0.181 (overall: 0.186)
                                                                      
SET: rps=245761.0 (overall: 246210.9) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=246748.0 (overall: 246216.8) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=245084.0 (overall: 246204.6) avg_msec=0.171 (overall: 0.186)
                                                                      
SET: rps=246020.0 (overall: 246202.6) avg_msec=0.183 (overall: 0.186)
                                                                      
SET: rps=246633.5 (overall: 246207.2) avg_msec=0.186 (overall: 0.186)
                                                                      
SET: rps=248216.0 (overall: 246228.1) avg_msec=0.186 (overall: 0.186)
                                                                      
SET: rps=245668.0 (overall: 246222.3) avg_msec=0.177 (overall: 0.186)
                                                                      
SET: rps=247428.0 (overall: 246234.6) avg_msec=0.186 (overall: 0.186)
                                                                      
SET: rps=246392.0 (overall: 246236.2) avg_msec=0.188 (overall: 0.186)
                                                                      
SET: rps=246444.0 (overall: 246238.3) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=244637.5 (overall: 246222.4) avg_msec=0.188 (overall: 0.186)
                                                                      
SET: rps=246900.0 (overall: 246229.0) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=246304.0 (overall: 246229.7) avg_msec=0.188 (overall: 0.186)
                                                                      
SET: rps=246908.0 (overall: 246236.2) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=247420.0 (overall: 246247.5) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=246382.5 (overall: 246248.8) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=247120.0 (overall: 246256.9) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=247132.0 (overall: 246265.0) avg_msec=0.185 (overall: 0.186)
                                                                      
SET: rps=247056.0 (overall: 246272.3) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=244741.0 (overall: 246258.3) avg_msec=0.186 (overall: 0.186)
                                                                      
SET: rps=247296.0 (overall: 246267.7) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=246660.0 (overall: 246271.2) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=246696.0 (overall: 246274.9) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=245280.0 (overall: 246266.2) avg_msec=0.188 (overall: 0.186)
                                                                      
SET: rps=247160.0 (overall: 246274.0) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=247396.0 (overall: 246283.6) avg_msec=0.186 (overall: 0.186)
                                                                      
SET: rps=243984.1 (overall: 246263.9) avg_msec=0.181 (overall: 0.186)
                                                                      
SET: rps=246888.0 (overall: 246269.2) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=247400.0 (overall: 246278.7) avg_msec=0.186 (overall: 0.186)
                                                                      
SET: rps=247064.0 (overall: 246285.2) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=245024.0 (overall: 246274.8) avg_msec=0.186 (overall: 0.186)
                                                                      
SET: rps=246756.0 (overall: 246278.8) avg_msec=0.185 (overall: 0.186)
                                                                      
SET: rps=246392.0 (overall: 246279.7) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=246266.9 (overall: 246279.6) avg_msec=0.186 (overall: 0.186)
                                                                      
SET: rps=242788.0 (overall: 246251.7) avg_msec=0.186 (overall: 0.186)
                                                                      
SET: rps=247184.0 (overall: 246259.0) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=246840.7 (overall: 246263.6) avg_msec=0.185 (overall: 0.186)
                                                                      
SET: rps=246372.0 (overall: 246264.5) avg_msec=0.186 (overall: 0.186)
                                                                      
SET: rps=246224.0 (overall: 246264.2) avg_msec=0.183 (overall: 0.186)
                                                                      
SET: rps=241100.0 (overall: 246224.5) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=247172.0 (overall: 246231.7) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=246354.6 (overall: 246232.7) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=247036.0 (overall: 246238.7) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=247740.0 (overall: 246249.9) avg_msec=0.186 (overall: 0.186)
                                                                      
SET: rps=247140.0 (overall: 246256.5) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=245725.1 (overall: 246252.5) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=246848.0 (overall: 246256.9) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=246320.0 (overall: 246257.3) avg_msec=0.188 (overall: 0.186)
                                                                      
SET: rps=246680.0 (overall: 246260.4) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=247156.0 (overall: 246266.8) avg_msec=0.186 (overall: 0.186)
                                                                      
SET: rps=246442.2 (overall: 246268.0) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=247808.0 (overall: 246278.9) avg_msec=0.186 (overall: 0.186)
                                                                      
SET: rps=244704.0 (overall: 246267.9) avg_msec=0.184 (overall: 0.186)
                                                                      
SET: rps=245404.0 (overall: 246261.9) avg_msec=0.179 (overall: 0.186)
                                                                      
SET: rps=247336.0 (overall: 246269.3) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=246772.0 (overall: 246272.7) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=246330.7 (overall: 246273.1) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=247440.0 (overall: 246281.0) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=246448.0 (overall: 246282.1) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=247304.0 (overall: 246288.9) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=246324.0 (overall: 246289.1) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=246416.0 (overall: 246290.0) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=245332.0 (overall: 246283.7) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=246031.9 (overall: 246282.1) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=247736.0 (overall: 246291.4) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=246316.0 (overall: 246291.6) avg_msec=0.188 (overall: 0.186)
                                                                      
SET: rps=246560.0 (overall: 246293.3) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=246916.0 (overall: 246297.2) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=246824.0 (overall: 246300.5) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=245788.9 (overall: 246297.3) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=242040.0 (overall: 246270.9) avg_msec=0.185 (overall: 0.186)
                                                                      
SET: rps=243776.0 (overall: 246255.5) avg_msec=0.185 (overall: 0.186)
                                                                      
SET: rps=247772.0 (overall: 246264.8) avg_msec=0.186 (overall: 0.186)
                                                                      
SET: rps=247856.0 (overall: 246274.5) avg_msec=0.186 (overall: 0.186)
                                                                      
SET: rps=243064.0 (overall: 246255.1) avg_msec=0.183 (overall: 0.186)
                                                                      
SET: rps=240312.0 (overall: 246219.3) avg_msec=0.173 (overall: 0.186)
                                                                      
SET: rps=245665.3 (overall: 246216.0) avg_msec=0.186 (overall: 0.186)
                                                                      
SET: rps=246412.0 (overall: 246217.2) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=246184.0 (overall: 246217.0) avg_msec=0.186 (overall: 0.186)
                                                                      
SET: rps=242968.0 (overall: 246197.9) avg_msec=0.186 (overall: 0.186)
                                                                      
SET: rps=247172.0 (overall: 246203.5) avg_msec=0.187 (overall: 0.186)
                                                                      
SET: rps=246167.3 (overall: 246203.3) avg_msec=0.186 (overall: 0.186)
                                                                      
