===== Redis 100M Benchmark =====
Instance Type: r8gd.xlarge
Run: 3
Date: 2026-07-01T09:07:39+00:00

--- System Info ---
CPU: 4 cores
Memory: 30.8G

--- Starting Redis Server ---
Redis server started

--- Warmup ---
Warmup complete (100K SET requests)

--- Test 1: SET 100M requests (50 clients, 3 threads) ---
Start: 2026-07-01T09:07:42+00:00
 
SET: rps=0.0 (overall: inf) avg_msec=0.148 (overall: 0.165)
                                                            
SET: rps=255632.0 (overall: 255884.0) avg_msec=0.175 (overall: 0.175)
                                                                      
SET: rps=253235.1 (overall: 254556.9) avg_msec=0.169 (overall: 0.172)
                                                                      
SET: rps=254352.0 (overall: 254488.7) avg_msec=0.168 (overall: 0.171)
                                                                      
SET: rps=249060.0 (overall: 253132.9) avg_msec=0.174 (overall: 0.171)
                                                                      
SET: rps=249604.0 (overall: 252427.7) avg_msec=0.167 (overall: 0.171)
                                                                      
SET: rps=250576.0 (overall: 252119.2) avg_msec=0.173 (overall: 0.171)
                                                                      
SET: rps=254148.0 (overall: 252408.9) avg_msec=0.163 (overall: 0.170)
                                                                      
SET: rps=253255.0 (overall: 252515.0) avg_msec=0.162 (overall: 0.169)
                                                                      
SET: rps=254920.3 (overall: 252783.0) avg_msec=0.165 (overall: 0.168)
                                                                      
SET: rps=252876.5 (overall: 252792.3) avg_msec=0.167 (overall: 0.168)
                                                                      
SET: rps=253828.0 (overall: 252886.4) avg_msec=0.172 (overall: 0.169)
                                                                      
SET: rps=254268.0 (overall: 253001.3) avg_msec=0.166 (overall: 0.168)
                                                                      
SET: rps=250144.0 (overall: 252781.8) avg_msec=0.176 (overall: 0.169)
                                                                      
SET: rps=253156.0 (overall: 252808.5) avg_msec=0.170 (overall: 0.169)
                                                                      
SET: rps=252517.9 (overall: 252789.1) avg_msec=0.169 (overall: 0.169)
                                                                      
SET: rps=252644.0 (overall: 252780.0) avg_msec=0.166 (overall: 0.169)
                                                                      
SET: rps=254440.0 (overall: 252877.5) avg_msec=0.169 (overall: 0.169)
                                                                      
SET: rps=249916.0 (overall: 252713.2) avg_msec=0.169 (overall: 0.169)
                                                                      
SET: rps=255864.0 (overall: 252878.9) avg_msec=0.171 (overall: 0.169)
                                                                      
SET: rps=253888.5 (overall: 252929.5) avg_msec=0.166 (overall: 0.169)
                                                                      
SET: rps=255064.0 (overall: 253031.0) avg_msec=0.170 (overall: 0.169)
                                                                      
SET: rps=255524.0 (overall: 253144.2) avg_msec=0.169 (overall: 0.169)
                                                                      
SET: rps=253107.6 (overall: 253142.6) avg_msec=0.167 (overall: 0.169)
                                                                      
SET: rps=255452.0 (overall: 253238.7) avg_msec=0.167 (overall: 0.169)
                                                                      
SET: rps=254520.0 (overall: 253289.9) avg_msec=0.177 (overall: 0.169)
                                                                      
SET: rps=254044.0 (overall: 253318.9) avg_msec=0.163 (overall: 0.169)
                                                                      
SET: rps=255568.0 (overall: 253402.1) avg_msec=0.176 (overall: 0.169)
                                                                      
SET: rps=254745.0 (overall: 253450.2) avg_msec=0.169 (overall: 0.169)
                                                                      
SET: rps=255492.0 (overall: 253520.5) avg_msec=0.174 (overall: 0.169)
                                                                      
SET: rps=253632.0 (overall: 253524.2) avg_msec=0.165 (overall: 0.169)
                                                                      
SET: rps=255544.0 (overall: 253589.3) avg_msec=0.169 (overall: 0.169)
                                                                      
SET: rps=255268.0 (overall: 253641.7) avg_msec=0.164 (overall: 0.169)
                                                                      
SET: rps=255404.0 (overall: 253695.1) avg_msec=0.166 (overall: 0.169)
                                                                      
SET: rps=253450.2 (overall: 253687.9) avg_msec=0.171 (overall: 0.169)
                                                                      
SET: rps=255076.0 (overall: 253727.5) avg_msec=0.167 (overall: 0.169)
                                                                      
SET: rps=255408.0 (overall: 253774.1) avg_msec=0.164 (overall: 0.169)
                                                                      
SET: rps=254872.0 (overall: 253803.8) avg_msec=0.170 (overall: 0.169)
                                                                      
SET: rps=253745.0 (overall: 253802.2) avg_msec=0.162 (overall: 0.169)
                                                                      
SET: rps=255868.0 (overall: 253855.1) avg_msec=0.164 (overall: 0.169)
                                                                      
SET: rps=254660.0 (overall: 253875.2) avg_msec=0.163 (overall: 0.168)
                                                                      
SET: rps=252088.0 (overall: 253831.7) avg_msec=0.169 (overall: 0.168)
                                                                      
SET: rps=253348.0 (overall: 253820.2) avg_msec=0.171 (overall: 0.168)
                                                                      
SET: rps=253760.0 (overall: 253818.8) avg_msec=0.169 (overall: 0.168)
                                                                      
SET: rps=254444.0 (overall: 253833.0) avg_msec=0.161 (overall: 0.168)
                                                                      
SET: rps=253502.0 (overall: 253825.6) avg_msec=0.172 (overall: 0.168)
                                                                      
SET: rps=254796.0 (overall: 253846.7) avg_msec=0.171 (overall: 0.168)
                                                                      
SET: rps=254720.0 (overall: 253865.2) avg_msec=0.169 (overall: 0.168)
                                                                      
SET: rps=252272.0 (overall: 253832.1) avg_msec=0.169 (overall: 0.168)
                                                                      
SET: rps=254358.6 (overall: 253842.8) avg_msec=0.169 (overall: 0.168)
                                                                      
SET: rps=253416.0 (overall: 253834.3) avg_msec=0.169 (overall: 0.168)
                                                                      
SET: rps=254712.0 (overall: 253851.5) avg_msec=0.167 (overall: 0.168)
                                                                      
SET: rps=255072.0 (overall: 253875.0) avg_msec=0.166 (overall: 0.168)
                                                                      
SET: rps=253120.0 (overall: 253860.7) avg_msec=0.169 (overall: 0.168)
                                                                      
SET: rps=254844.0 (overall: 253878.9) avg_msec=0.170 (overall: 0.168)
                                                                      
SET: rps=252406.4 (overall: 253852.1) avg_msec=0.169 (overall: 0.168)
                                                                      
SET: rps=253648.0 (overall: 253848.4) avg_msec=0.179 (overall: 0.169)
                                                                      
SET: rps=255184.0 (overall: 253871.8) avg_msec=0.185 (overall: 0.169)
                                                                      
SET: rps=253084.0 (overall: 253858.3) avg_msec=0.181 (overall: 0.169)
                                                                      
SET: rps=255272.0 (overall: 253882.2) avg_msec=0.185 (overall: 0.169)
                                                                      
SET: rps=254700.0 (overall: 253895.8) avg_msec=0.186 (overall: 0.170)
                                                                      
SET: rps=254900.0 (overall: 253912.3) avg_msec=0.186 (overall: 0.170)
                                                                      
SET: rps=253976.1 (overall: 253913.3) avg_msec=0.186 (overall: 0.170)
                                                                      
SET: rps=251952.0 (overall: 253882.2) avg_msec=0.175 (overall: 0.170)
                                                                      
SET: rps=254156.0 (overall: 253886.5) avg_msec=0.173 (overall: 0.170)
                                                                      
SET: rps=253652.0 (overall: 253882.9) avg_msec=0.185 (overall: 0.171)
                                                                      
SET: rps=254512.0 (overall: 253892.4) avg_msec=0.186 (overall: 0.171)
                                                                      
SET: rps=254760.0 (overall: 253905.3) avg_msec=0.186 (overall: 0.171)
                                                                      
SET: rps=253664.0 (overall: 253901.8) avg_msec=0.185 (overall: 0.171)
                                                                      
SET: rps=252757.0 (overall: 253885.2) avg_msec=0.185 (overall: 0.171)
                                                                      
SET: rps=254696.0 (overall: 253896.7) avg_msec=0.186 (overall: 0.172)
                                                                      
SET: rps=254904.0 (overall: 253910.9) avg_msec=0.186 (overall: 0.172)
                                                                      
SET: rps=253920.0 (overall: 253911.0) avg_msec=0.186 (overall: 0.172)
                                                                      
SET: rps=255060.0 (overall: 253926.8) avg_msec=0.185 (overall: 0.172)
                                                                      
SET: rps=253466.2 (overall: 253920.5) avg_msec=0.186 (overall: 0.172)
                                                                      
SET: rps=255344.0 (overall: 253939.5) avg_msec=0.185 (overall: 0.173)
                                                                      
SET: rps=255176.0 (overall: 253955.7) avg_msec=0.185 (overall: 0.173)
                                                                      
SET: rps=254516.0 (overall: 253963.0) avg_msec=0.180 (overall: 0.173)
                                                                      
SET: rps=255472.0 (overall: 253982.3) avg_msec=0.185 (overall: 0.173)
                                                                      
SET: rps=255541.8 (overall: 254002.1) avg_msec=0.175 (overall: 0.173)
                                                                      
SET: rps=255152.0 (overall: 254016.5) avg_msec=0.186 (overall: 0.173)
                                                                      
SET: rps=254322.7 (overall: 254020.3) avg_msec=0.185 (overall: 0.173)
                                                                      
SET: rps=255412.0 (overall: 254037.2) avg_msec=0.180 (overall: 0.173)
                                                                      
SET: rps=255120.0 (overall: 254050.3) avg_msec=0.186 (overall: 0.174)
                                                                      
SET: rps=254960.0 (overall: 254061.1) avg_msec=0.186 (overall: 0.174)
                                                                      
SET: rps=255084.0 (overall: 254073.1) avg_msec=0.185 (overall: 0.174)
                                                                      
SET: rps=253780.0 (overall: 254069.7) avg_msec=0.187 (overall: 0.174)
                                                                      
SET: rps=254358.6 (overall: 254073.0) avg_msec=0.184 (overall: 0.174)
                                                                      
SET: rps=255200.0 (overall: 254085.8) avg_msec=0.185 (overall: 0.174)
                                                                      
SET: rps=254820.0 (overall: 254094.1) avg_msec=0.184 (overall: 0.174)
                                                                      
SET: rps=255404.0 (overall: 254108.6) avg_msec=0.185 (overall: 0.174)
                                                                      
SET: rps=255844.0 (overall: 254127.7) avg_msec=0.185 (overall: 0.175)
                                                                      
SET: rps=254705.2 (overall: 254134.0) avg_msec=0.185 (overall: 0.175)
                                                                      
SET: rps=254828.0 (overall: 254141.4) avg_msec=0.185 (overall: 0.175)
                                                                      
SET: rps=255656.0 (overall: 254157.5) avg_msec=0.185 (overall: 0.175)
                                                                      
SET: rps=255516.0 (overall: 254171.8) avg_msec=0.185 (overall: 0.175)
                                                                      
SET: rps=255312.0 (overall: 254183.7) avg_msec=0.185 (overall: 0.175)
                                                                      
SET: rps=255284.0 (overall: 254195.0) avg_msec=0.185 (overall: 0.175)
                                                                      
SET: rps=254641.5 (overall: 254199.6) avg_msec=0.181 (overall: 0.175)
                                                                      
SET: rps=255288.0 (overall: 254210.6) avg_msec=0.185 (overall: 0.175)
                                                                      
SET: rps=254620.0 (overall: 254214.7) avg_msec=0.186 (overall: 0.176)
                                                                      
SET: rps=255224.0 (overall: 254224.6) avg_msec=0.186 (overall: 0.176)
                                                                      
SET: rps=254376.0 (overall: 254226.1) avg_msec=0.186 (overall: 0.176)
                                                                      
SET: rps=250768.9 (overall: 254192.5) avg_msec=0.183 (overall: 0.176)
                                                                      
SET: rps=254820.0 (overall: 254198.5) avg_msec=0.186 (overall: 0.176)
                                                                      
SET: rps=254264.0 (overall: 254199.1) avg_msec=0.185 (overall: 0.176)
                                                                      
SET: rps=254388.0 (overall: 254200.9) avg_msec=0.186 (overall: 0.176)
                                                                      
SET: rps=255024.0 (overall: 254208.6) avg_msec=0.186 (overall: 0.176)
                                                                      
SET: rps=254980.0 (overall: 254215.7) avg_msec=0.186 (overall: 0.176)
                                                                      
SET: rps=253864.6 (overall: 254212.5) avg_msec=0.186 (overall: 0.176)
                                                                      
SET: rps=254604.0 (overall: 254216.0) avg_msec=0.184 (overall: 0.176)
                                                                      
SET: rps=255008.0 (overall: 254223.2) avg_msec=0.168 (overall: 0.176)
                                                                      
SET: rps=252384.0 (overall: 254206.8) avg_msec=0.187 (overall: 0.176)
                                                                      
SET: rps=252312.0 (overall: 254190.0) avg_msec=0.188 (overall: 0.177)
                                                                      
SET: rps=253228.0 (overall: 254181.6) avg_msec=0.187 (overall: 0.177)
                                                                      
SET: rps=252008.0 (overall: 254162.6) avg_msec=0.187 (overall: 0.177)
                                                                      
SET: rps=252516.0 (overall: 254148.4) avg_msec=0.187 (overall: 0.177)
                                                                      
SET: rps=252184.0 (overall: 254131.7) avg_msec=0.187 (overall: 0.177)
                                                                      
SET: rps=252132.0 (overall: 254114.7) avg_msec=0.186 (overall: 0.177)
                                                                      
SET: rps=253204.0 (overall: 254107.1) avg_msec=0.187 (overall: 0.177)
                                                                      
SET: rps=252852.0 (overall: 254096.6) avg_msec=0.187 (overall: 0.177)
                                                                      
SET: rps=251231.1 (overall: 254072.9) avg_msec=0.182 (overall: 0.177)
                                                                      
SET: rps=255544.0 (overall: 254084.9) avg_msec=0.157 (overall: 0.177)
                                                                      
SET: rps=254320.0 (overall: 254086.8) avg_msec=0.158 (overall: 0.177)
                                                                      
SET: rps=253948.0 (overall: 254085.7) avg_msec=0.158 (overall: 0.177)
                                                                      
SET: rps=252306.8 (overall: 254071.4) avg_msec=0.158 (overall: 0.177)
                                                                      
SET: rps=254488.0 (overall: 254074.7) avg_msec=0.157 (overall: 0.176)
                                                                      
SET: rps=253420.0 (overall: 254069.6) avg_msec=0.159 (overall: 0.176)
                                                                      
SET: rps=254792.0 (overall: 254075.2) avg_msec=0.158 (overall: 0.176)
                                                                      
SET: rps=254660.0 (overall: 254079.7) avg_msec=0.158 (overall: 0.176)
                                                                      
SET: rps=253334.7 (overall: 254074.0) avg_msec=0.158 (overall: 0.176)
                                                                      
SET: rps=254056.0 (overall: 254073.9) avg_msec=0.157 (overall: 0.176)
                                                                      
