===== Redis 100M Benchmark =====
Instance Type: r8i-flex.xlarge
Run: 2
Date: 2026-01-23T04:42:45+00:00

--- System Info ---
CPU: 4 cores
Memory: 30.8G
model name	: Intel(R) Xeon(R) 6975P-C

--- Starting Redis Server ---
Redis server started

--- Warmup ---
Warmup complete (100K SET requests)

--- Test 1: SET 100M requests (50 clients, 3 threads) ---
Start: 2026-01-23T04:42:48+00:00
 
SET: rps=0.0 (overall: inf) avg_msec=0.375 (overall: 0.326)
                                                            
SET: rps=196314.8 (overall: 196514.0) avg_msec=0.217 (overall: 0.217)
                                                                      
SET: rps=232576.0 (overall: 214509.0) avg_msec=0.192 (overall: 0.204)
                                                                      
SET: rps=235840.0 (overall: 221609.9) avg_msec=0.189 (overall: 0.198)
                                                                      
SET: rps=239532.0 (overall: 226085.9) avg_msec=0.184 (overall: 0.195)
                                                                      
SET: rps=236458.2 (overall: 228165.3) avg_msec=0.185 (overall: 0.193)
                                                                      
SET: rps=233952.0 (overall: 229128.5) avg_msec=0.193 (overall: 0.193)
                                                                      
SET: rps=229540.0 (overall: 229187.2) avg_msec=0.196 (overall: 0.193)
                                                                      
SET: rps=229700.0 (overall: 229251.2) avg_msec=0.196 (overall: 0.194)
                                                                      
SET: rps=222996.0 (overall: 228556.8) avg_msec=0.204 (overall: 0.195)
                                                                      
SET: rps=225047.8 (overall: 228205.0) avg_msec=0.202 (overall: 0.196)
                                                                      
SET: rps=233632.0 (overall: 228697.8) avg_msec=0.193 (overall: 0.195)
                                                                      
SET: rps=238284.0 (overall: 229495.8) avg_msec=0.190 (overall: 0.195)
                                                                      
SET: rps=236940.0 (overall: 230067.9) avg_msec=0.189 (overall: 0.194)
                                                                      
SET: rps=229597.6 (overall: 230034.2) avg_msec=0.193 (overall: 0.194)
                                                                      
SET: rps=236220.0 (overall: 230446.2) avg_msec=0.190 (overall: 0.194)
                                                                      
SET: rps=235008.0 (overall: 230731.0) avg_msec=0.189 (overall: 0.194)
                                                                      
SET: rps=236116.0 (overall: 231047.5) avg_msec=0.187 (overall: 0.193)
                                                                      
SET: rps=238640.0 (overall: 231468.9) avg_msec=0.185 (overall: 0.193)
                                                                      
SET: rps=224263.0 (overall: 231088.5) avg_msec=0.202 (overall: 0.193)
                                                                      
SET: rps=227816.0 (overall: 230925.1) avg_msec=0.200 (overall: 0.194)
                                                                      
SET: rps=223060.0 (overall: 230550.9) avg_msec=0.202 (overall: 0.194)
                                                                      
SET: rps=226096.0 (overall: 230348.6) avg_msec=0.202 (overall: 0.194)
                                                                      
SET: rps=221900.0 (overall: 229981.6) avg_msec=0.208 (overall: 0.195)
                                                                      
SET: rps=235243.0 (overall: 230201.5) avg_msec=0.190 (overall: 0.195)
                                                                      
SET: rps=220188.0 (overall: 229801.3) avg_msec=0.207 (overall: 0.195)
                                                                      
SET: rps=237308.0 (overall: 230089.8) avg_msec=0.189 (overall: 0.195)
                                                                      
SET: rps=233476.0 (overall: 230215.1) avg_msec=0.192 (overall: 0.195)
                                                                      
SET: rps=234704.0 (overall: 230375.2) avg_msec=0.193 (overall: 0.195)
                                                                      
SET: rps=225059.8 (overall: 230191.4) avg_msec=0.194 (overall: 0.195)
                                                                      
SET: rps=243172.0 (overall: 230623.7) avg_msec=0.180 (overall: 0.194)
                                                                      
SET: rps=183196.0 (overall: 229095.1) avg_msec=0.217 (overall: 0.195)
                                                                      
SET: rps=227980.0 (overall: 229060.3) avg_msec=0.194 (overall: 0.195)
                                                                      
SET: rps=211988.1 (overall: 228541.4) avg_msec=0.216 (overall: 0.195)
                                                                      
SET: rps=232308.0 (overall: 228652.1) avg_msec=0.189 (overall: 0.195)
                                                                      
SET: rps=222652.0 (overall: 228480.8) avg_msec=0.204 (overall: 0.195)
                                                                      
SET: rps=227636.0 (overall: 228457.4) avg_msec=0.200 (overall: 0.196)
                                                                      
SET: rps=226768.0 (overall: 228411.8) avg_msec=0.200 (overall: 0.196)
                                                                      
SET: rps=231155.4 (overall: 228484.2) avg_msec=0.194 (overall: 0.196)
                                                                      
SET: rps=236156.0 (overall: 228680.7) avg_msec=0.189 (overall: 0.195)
                                                                      
SET: rps=221484.0 (overall: 228501.0) avg_msec=0.206 (overall: 0.196)
                                                                      
SET: rps=223564.0 (overall: 228380.6) avg_msec=0.204 (overall: 0.196)
                                                                      
SET: rps=240713.2 (overall: 228675.2) avg_msec=0.186 (overall: 0.196)
                                                                      
SET: rps=226624.0 (overall: 228627.5) avg_msec=0.200 (overall: 0.196)
                                                                      
SET: rps=238684.0 (overall: 228855.9) avg_msec=0.190 (overall: 0.196)
                                                                      
SET: rps=235244.0 (overall: 228997.7) avg_msec=0.190 (overall: 0.195)
                                                                      
SET: rps=227600.0 (overall: 228967.3) avg_msec=0.200 (overall: 0.196)
                                                                      
SET: rps=226960.2 (overall: 228924.5) avg_msec=0.199 (overall: 0.196)
                                                                      
SET: rps=224508.0 (overall: 228832.6) avg_msec=0.204 (overall: 0.196)
                                                                      
SET: rps=224176.0 (overall: 228737.6) avg_msec=0.200 (overall: 0.196)
                                                                      
SET: rps=231784.0 (overall: 228798.5) avg_msec=0.195 (overall: 0.196)
                                                                      
SET: rps=240176.0 (overall: 229021.4) avg_msec=0.185 (overall: 0.196)
                                                                      
